Text: 嗯嗯嗯嗯，推敲每一道笔触拆解每一个画面。饥核网独家呈现漫画家 CMJ 的专栏电台无稽之谈。以抽丝剥茧的剖析与真诚坦率的讲述，和你一起读漫画史上的经典名片，加入饥合网会员计划， g pass 即刻收听无稽之谈。嗯，对对哒是的， just sare up 随意小猫想各位听众大家好，, Start Time: 720
Text: 哎呦，这个传说中的牛逼战士其实也不是无懈可击呀。啊，看来刘康东打赢他也不是侥幸，咱们得说这一点。勾肉之前跟刘康一战呢被人结结实实踹了一顿啊，伤了元气。但是打击更大的是他这个不败金身的神话破灭了。一旦说这个战无不胜的牛逼，吹破了之后就不好办了，属于说是一拳打不开，, Start Time: 2013300
Text: 百拳跟着来啊。今天你输一下明事，大伙儿都摁着你揍，眼下这空老琢磨，就是嗯这个人是能打败的，说明他有弱点。那我要想想辙了，于是说他一边游走，一边暗中观察看这个四手怪物的招式破绽，看了看哎气势汹汹，但是呢并不是无机可乘。我试试看，于是乎躲过两拳抬起腿来，哎，摆了一个踢脸的架势，, Start Time: 2036620
Text: 结果对面这个沟偻一看，哎，条件反射，两手捂脸，两手捂胸，哼，合着是被刘康那无影脚踹脸，给给打上心理阴影了啊。 PTSD 空手一看，哎，有机会啊，一脚就踹到高哥肚子上，给这三百多斤壮汉踹出血管，去高楼跟地上咕噜一下爬起来。刚反过来，哎，我操吃亏了呀，刚冲过来，, Start Time: 2064000
Text: 空了又一抬腿啊，他又捂脸四只手不够用，属于是又给踹出来了，就这么三番五次啊。佝辘气喘如牛，动作也慢了，拳头也跟不上空。老这边一看，哎，机会来了，蹭抬起腿来，就摆一假动作。但是这回没踢，直接窜到这佝辘面前，抬手就是一正手刀啊，结结实实砍在这哽嗓咽喉之上，喉骨都给打碎了，, Start Time: 2088410
Text: 勾偻，这一下挨的可结实了，还没反过味儿来空老另一手腰已经到了这一下，正砍在后枕骨上，啪嚓一下，不由分说是属于击中人体最脆弱的部位脑干位置嘛。嗯，跟刘康那种就是照脸生踹的方法还不太一样。这佝偻哪吃过这亏，当时就咣当一下栽倒在地啊，因为佝偻好歹是比其他人要强壮很多的。, Start Time: 2111675
Text: 嗯，这要是普通地球人挨这一下，那抢救都来不及，当场就去世了。所以呢佝勒躺在地上是动弹不得空。老一看，哎，得手了啊啊，你说你啊不行啊，小伙你这才传说战士这个水分太大。但是这个时候呢，刘康也已经给希瓦那边撂倒了，分出了胜负啊，希瓦就地昏迷。刘康赶紧过来看空老这边一看，, Start Time: 2137680
Text: 哎，打赢了。老兄弟，你可以啊，空老说，嗨，你说这个没用，他这水平实在也高估太多了。我跟你说，你这冠军有水分，当时决赛要我打，那金牌就我拿，你知道吗？刘刚说，要不咱俩打个擂台呗，孔老说难说呀，但是刘康还是救人心计上来，一脚踩在沟主胸口上，说你们把公主体他娜给带到哪儿去了，, Start Time: 2162020
Text: 给我从实招来啊，不要敬酒，不吃吃罚酒。你要不说咱一会儿吃席，知道吗？勾儿说，哎呀，你们这你们这动手方式比我还鲁莽啊，可以也罢，我就告诉你了啊，这公主已经给带到竞技场去了。我吆摸着啊，就在咱们这边打的时候，她那边啊已经是公开处刑了啊，这公主她娇生惯养，哪经得了我们外界各种花样大型刺候啊，, Start Time: 2184240
Text: 我估计此刻已经嗝屁着凉了啊，这给刘航听的血压拉满呢，一句废话也没有上了一个足球踢，当时就给高人踢的，就地昏迷，空调一看哟，动真火了，说我知道你很急啊啊，但是你嗯你先别急，如果说带到竞技场名正典型的话啊，那我估计在这个真人快打大赛分出胜负之前，他肯定还活着，, Start Time: 2210400
Text: 咱们抓紧时间快点到比赛现场。那公主说不定还有救儿啊，俩人是抬腿就走。这刘康本来想回头给佝偻，再补一脚来着，但是想了想可以，但是没必要啊，救人要紧，这就赶紧的脚下生风，这就来到了外界真人快打大赛的比武现场，这竞技场里也是人山人海山呼海啸，人声鼎沸一派的狂热气息。, Start Time: 2235095
Text: 这边有点喊啊，打死他呀，那边喊骂，哎呀，下死轴啊，再来一个呀，打的不够精彩呀，把他给我撕了。刘康枯老是定睛观瞧，只见场上有人正在单方面来揍，是谁呢？啊，二流影星 johny caate，他那边跟耳麦克对上了。嗯，啊 johny 自从过了自己的章节之后，就纯挨打，, Start Time: 2260490
Text: 岂止是不是？对手啊，那就是被人摁着爆锤啊，尔麦克打刘康打不过打他，那真是易如反掌啊。终帝这几天挨了不少揍啊，身体也跟不上了，还想飞腿踹人家，被人使这个散打里边截腿，直接就把腿搂住了。接着一个大肘子下来，咔嚓，那腿很明显，就能膝关节就给敲折了，腿都变形了，正要那长声惨叫啊，, Start Time: 2283645
Text: 而麦克这边也没客气，一个通用上钩群非常朴实的，还在下边，给这人平地打飞起来，两米多高躺倒在地，就地昏迷。但是他这边挨打，真正关心他的人是一个都没有啊，刘康根本不看这个二，刘永兴死不死，跟我有什么关系，眼睛四下寻找其他他在哪儿。左看右看，哎，看见了公主就在这擂台边上给绳捆索绑，, Start Time: 2310050
Text: 摆出了一个束手就擒的架势。他这边急的哦，立刻就要上前搭救，但是后边跟上了一位这雷电咳嗽就过来了啊，哎呀这你们俩怎么现在才来呀？我到我到这儿就看到公主也捆进一场了啊。本来那个就是想通知一下你们，但是这个电话也不接啊，微信也不回啊，都联系不上，你等会儿再救人吧，, Start Time: 2335750
Text: 情况有变化。听我说说空老就跟过来问说场面的什么情况啊？雷电长叹一声说，哎，咱们这儿分头事事啊，我这边要打比赛，但是人手不够啊，你看到吗？场上这个他就属于是耗材啊，给他派出，也就是拖拖时间。眼下这个 smoke 和 johne cage 已经双双落败，而且呢之前还在外界的桑牙 blade 和 jackson breaks。, Start Time: 2361210
Text: 啊，我也找不到这个气息了，他俩可能已经不在外界了，我没人手了，没预备队了，你俩过来也好啊，如果再没人打的话，这阵容快打大赛咱就输了。地球的命运是危在旦夕啊，刘康说你他妈说人话行吗？雷电说我这我说的还不够，明白了吗？啊，我都说过了啊，这个 he must 这个事儿是天将降大，, Start Time: 2388470
Text: 任于斯人也。而吕行长呢，这都属于对你的考验啊，你要舍弃小我成全大我好嘛。见自己见天地，见苍生。接下来这个仗啊，你一定要打，你不打我就走另外人了。刘康说，雷电大人呢，恕我直言，这都属于你一厢情愿，知道吗？跟地球上我听你的话，拿真人快打大开的金牌。但是后续的事态发生使你对我产生了怀疑。, Start Time: 2414110
Text: 俗话说，用人不疑，疑人不用啊，刀枪无眼，拳脚无情上场，谁知道谁输谁赢。你跟这儿天天念叨 mehe 骂司 in，但是我心里很清楚，我呢只是一个练武的，我不是那个常胜将军啊，你自己考虑清楚，这个世界的命运到底该如何。我说了不算。嗯，说完了，气冲冲走到一边啊，这一番话给雷电一的张口结舌，, Start Time: 2440935
Text: 意思就是我不替你打你爱你爱找谁打找谁打，跟我一点关系都没有，老子之前给你出那么多力了啊，现在怎样看你自己，他们这边吵架，其他人是看在眼里，宝座上高高座的少康，这一看哎呦喂哈地球阵营还内讧了。好，有意思，当下是火上浇油，就问雷电啊，说雷电啊，你们地球已经无人迎战，, Start Time: 2464870
Text: 接下来谁要上场比武啊，雷电一时回答不上来，他后边空老是忠厚人。这一看刘康不打，那我们这边没人了呀，总得有人顶事儿吧，刚要上去。这一想还是得看雷电这反应。于是乎停下脚步，雷电这边心理斗争也非常的激烈啊，刘康这边很明显对我已经相当不满意了，原因是什么呢？过去他对我言听计从，, Start Time: 2492880
Text: 但是因为历史轨迹的发展，没有按照我推断的来，我怀疑他了，这事儿不是很好啊，这属于把话说太满了，他又回神琢磨，这个 he must win，这个 he 到底是谁呢？我这一系列的判断到底哪个环节出问题了，那我这边还能打个 key，还有谁呀？左看右看啊，除了地上趴一个，, Start Time: 2520900
Text: 旁边站一个，没人了呀，地上趴那个腿都折了，这也不太可能是他了。思来想去啊，虽然说空老看起来是个配角，事实上也是配角儿，但是说不定大力出奇迹呢，这都不一定。您说的是电影版，哎，想到这儿啊，雷电长叹一声跟空老说啊，可能这个 winind 它就喂你身上了，你知道吗？, Start Time: 2543900
Text: 你上吧空劳等的就是这句话，因为他刚才打败了功夫，呵，心里对自己的实力有了一个全新的评估啊，有点飘。哎，认为说我这要是有机会的话，那成就肯定不亚于刘康啊，你知道吧？时代只会把机遇垂青给有准备的人啊，我这准备又来了，少林寺还不如你白练教了，那可不嘛。于是乎大踏步走上赛场啊，, Start Time: 2564870
Text: 今日我又给少林弟子赠一赠这个威名邵康一看，哎呦，还有一个人啊，今天乐的还能继续呀。那可以啊，咱来吧，于是乎把手一招说，行啊，既然你们还有人往外派，那比赛就继续啊，场上那位你的对手就是上宗嚯上楼一听，哎呦，嗨，这小子这水平，那我不是手到擒来吗？这就准备登场啊，, Start Time: 2588850
Text: 哪知道绍康还没说完啊，这个领导的说话水平呢就是这样的，说成什么样，你都得听大喘气，你得接着后边有个 and 邵康说没完，还有全吃上东一去玩啥，打这种杂鱼还用得着两人上场是吧？这不牛刀杀鸡嘛，开什么玩笑，就眼下这状态，我动手指头给他解决了，但是主人有命，不能不听啊，, Start Time: 2614930
Text: 只得跟全职两人一起走到擂台中间空老一看坏了，这什么待遇，这是他回头看看雷电说你说这天将降大任，你能不能换个人呢？这大任也太大了，我命不了啊。这边边上东和全两个人看了了空老师一个非常虚的样子啊，微微一笑说，嗨，地球加外界，我们俩是组合呀，我们是没想出来谁能打得过，, Start Time: 2639120
Text: 知道吗？空老师说是吗？很难说啊，说完硬着头皮拉开架势，就要对战这两个字面意义上的怪物。你要是说论故事情节和纸面实力呢，空老是不可能跟这俩人走过几道面的啊。但是游戏叙事它有一点好，就是主观章节啊，现在这个章节它就是空老个人秀，你必须得打过去得，否则故事没法推进啊，, Start Time: 2663580
Text: 总之就是完全没法描述这个就是打斗的过程啊，不管用什么方法吧，场面好看不了也没法好看啊，咱们只结结果，空老师用尽了，毕生所学费尽了九牛二虎之力，总算是给全车上东，两人都打翻在地，赢了一场。就是不讲理了，就必须得赢，你怎么着吧，我就不讲理了，在叙事过程中就替马斯威勒了。, Start Time: 2688800
Text: 怎么地吧，就不讲理，哎，空老这边累的呼哧带喘勉励的支撑啊，跟尚栋说。行行行，好好打，打完了，打完了，你你俩都完了，我不不该，我赢了。上东这边捂着胸口吐了口血，说你想多了呀，老弟，这才哪儿到哪儿啊？说完了跟全职两个人互相搀扶着离场。空老一听，哎呦，我这这可遭了罪了，, Start Time: 2709100
Text: 这什么意思？这打成这样，这待遇还不压轴是吧？这时候就听到一声炮炮之响，竞技场旁边这大铁门呲呲呀呀，被人拉开，里边走出一个巨大的身形，这有多巨大呢？比佝偻还高出一脑袋空，老看了一眼就明白了。这个也是四只手，你们他妈有完没完呢？你们外界怎么对于怪物一点想象力都没有啊，, Start Time: 2735180
Text: 来者是谁呢？不是勒，也不是希瓦，是这个真人快打历史上仅次于半人马种族，那个唬烂角色的不靠谱。战士金太郎啊，这个人呢从故事叙述上啊也是四手族人。但是呢他跟 gogoolow 这一脉的纯血四手是不一样的啊，他是人和老虎的混血种，还起了日本名字，他这个名字就叫皮塔罗哦，, Start Time: 2761705
Text: 这个种族叫提格拉，在部落中的地位较为低贱啊，属于是这个四手达利特，你知道吧？你也太敷衍了， tiger 加个对对， tiger ger 加延展展就完事儿了啊，七个。因此虽虽然这个虎太郎啊这个金太郎是身高力大，但是只能做下等的工作啊，血统发挥到极致，你都能打，, Start Time: 2787290
Text: 你这个血统低贱，你还是不行。这个金太郎呢，虎纹人参怪力无穷脸，也是个老虎脸，是一个虎头怪。自从过路给打败之后呢，他就取代了过路的地位，属于一个守关的啊开发者。这个糊弄人的就是在这个角色身上是淋漓尽致啊。金太郎第一次出出现的时候，就动作模组 keit board，, Start Time: 2812450
Text: 所有东西都没坏啊，就换了一个贴皮，直接是照搬过来。你看这个摸鱼的本领可以说空前绝后，反正是打到这儿呢，空老这边该见识都见着过了。这个四手呢，他也就是身高体大吧，反正我已经跟跟郭洛打过一轮了，有什么招数，我也门儿清啊。你们外界如果把这个当成真人快打大赛，最后的王牌呢是不是太敷衍了啊？, Start Time: 2834540
Text: 过于小看我少林男儿这个虎纹人参的金太郎走到了空老面前啊，张开血盆大口仰天长啸，说我要把你丫心掏里嚼了啊，空老说你省省吧，你这套我见多了，两人没有任何交流，直接开干。空老这边虽然经过了连番恶战，但是要跟四手族人打呢，他反而有经验的优势。因文佝勒打过之后，他明白这类怪物的弱点是在胸腹之间，, Start Time: 2858090
Text: 说白了是起飞脚踹肚子。他少林弟子下盘扎实抬腿又踹，是连踢带打手里边是铁帽子，那他也不闲着，拼尽了全身的力气，跟金太郎是一路周旋呐，勾引出了破绽，就是一顿胖揍啊，闲话少续。这金太郎虽然说是身大力不亏，但是终究是缺了点脑子打法单调弱点，明显被空老一脚踹在脸上，, Start Time: 2884380
Text: 踢的是原地打转，还没有反应过来啊，这脑袋又挨了几下狠，他当下咕咚倒在地上，就地昏迷。竞技场里边的观众这一看，哎呦，呵了不得啊，怎么地球没排打了，还能出来这么个能打的小子，当下是喊声雷动，哎呦，地球这孩子厉害啊，战斗力很强啊，这怎么连四手族怪物都能打败啊，力量惊人呐，, Start Time: 2908860
Text: 这阵容快打大概的冠军呢？我看就是他了呀，这么草率的吗？空老这边虽然说经过连番恶战啊，现在站着都费劲，但是他心里还是很得意的。嗯，几个方面的评估论武艺，我这边连番干掉佝偻，上东全吃，两人加强版啊，还有一个超级佝偻金太郎这样的。而且车轮战呢是我这个水平呢毋庸置疑了。, Start Time: 2936070
Text: 那你说这场上有任何一个人会飞，那就是我了。论场面我这边力挽狂澜啊，刘康不是不打吗？地球危在旦夕的时候，我顶上来，而且把对面最牛逼的人都给干掉了。你说雷电这格局啊，成天戏骂死 in，他是属于钓鱼，又没钓，明白知道吗？连戏是谁？他他自己心里都不清楚，还预言呢啊老子今天才是场上主角啊，, Start Time: 2963040
Text: 地球最帅少年属于是想到这儿，空老这边是双臂张开啊，摘下帽子转个圈，向场内的观众致意，享受，属于胜利者的欢呼。喜悦啊，他这边啊自己显摆完了，转向雷电，说雷电，你看着了吗？地球从此就迎向自由。话还没说完，就听到咔嚓一声，这空楼眼前一黑，就什么都不知道怎么回事儿，, Start Time: 2987780
Text: 就在空老这边沉浸喜悦接受欢呼的时候，这少康已经敲门声走下了宝座，来到他身后，双手伸出扭着他脖子，咔嚓嘎巴扑通死，尸栽倒给空，老是颈骨扭断啊，脑袋转了个一百八十度。当场死于非命气绝身亡，凉透透的一点儿旧回力空间都没有，雷电，刘康以及场上还活着，其他人都傻了。, Start Time: 3018235
Text: 整个竞技场里，鸦雀无声怎么回事儿？眼看着这是个冠军呢，怎么一下凉透了？竞技场上其他观众一看，哎呦，出手的是大王少康，哎呦，明白了，哎呀，这个老板要面子，大王看不过去，要亲自下场，当下是一片喧闹。哎呀，大王威武啊，这回地形没字念了啊，看接下来怎么发展啊。雷电抬眼一看完了，, Start Time: 3047385
Text: 这场上是一个人都没有了。虽然少康之前没有明说最终一战打到哪儿，他下场也是属于合情合理。但是说空老一死，刘康不愿为我效力，我这边是已经没有可战之兵了。再说了，我这刚还寻思呢，这个戏是谁少康一下就把戏给解决了。这回地球是彻底拉倒了，一不做二不休。雷电这边是三十人暴跳，, Start Time: 3075405
Text: 眼中神风暴射，手里集中两百多万伏电压。啊，心里就想着说，都到这个时候了，我也不用顾忌什么地球人地位，什么股神约定，什么真人盔甲大赛规矩了，股神在上啊，我今天哪怕是拼着跟这外界的暴君是同归于尽，也要守候着一封圣灵哦。要想知道这外界的真人快打大赛究竟该如何收场？, Start Time: 3102710
Text: 雷电该怎么挽救地球命运？这细骂斯印需要怎么解读？且听下回分解完事儿，哎啊，要混过了，哎，正好一小时啊，混过去了啊，太好了啊。他这转折这个这是比空老的脖子硬多了啊，那可不嘛，咣咣就完了啊。这医院名字叫做世道纷乱空老挺身就险人心险恶英雄无端殒命。哦，好嘞好啊，, Start Time: 3126520
Text: 你说就是如果我早早知道，就是说混一小时，如此之轻松，为什么不早混混呢？是吧？那您问谁呢？啊，我也不知道当初断更是因为谁啊，我也不知道是说还得有人管他妈被人拦住了啊，并不是我的问题，反正就是说久代这个剧情我约莫再来两回就完事儿了啊，还得两回呢啊，还有两回，后边还有一多多小时就没想到啊，, Start Time: 3152770
Text: 不知道看情况，行吧。没想到我三十多岁的青春竟然在这上浪费了大概十个小时。哎呀，还有一分钟下班，您赶紧走吧。是这样吧啊，把饭盒打包困了饿了饿了 OK 了。好嘞哎好嘞，咱期再见，咱们下期再见，拜拜拜拜拜。, Start Time: 3172130
