Text: 哎，大家好，欢迎收听本期 juduo wave 节目。现在时间是二零二三年二月十四日上午十一点。我是 CT，我是 JF，我是饼干，我是自热。哎，还是这回就是这还是这阵容很熟悉，但是这回录的节目不一样，因为是想时效性高一点。这两天不是那个 steam next fast 嘛，, Start Time: 19210
Text: 就当时哦就叫黑曜协议，他是经常去那个可汗大会啊。对对，应该是就是好长时间了，因为真做起来应该挺不容易的。他还想做那种可以涂装的那种黑要开模化了，就是我还挺期待，也不知道现在啥样了。嗯，就就就是那做完节目看上去嗯，我着都生脑，只能说对我回忆起来远古回忆。嗯，, Start Time: 1918290
Text: 是是分分模贵了，而且我说个远古回忆，昨天晚上半夜我半夜醒了，不知道咋回忆这，然后就突然想起了一款游戏，我操，这还托梦了是吧？叫叫特勤机甲队。你们还有印象象吗？你们还有印象吗？我操特勤机甲队，小时候小时候玩的。对，跟那个什么那知命武力啥的，那个时候就就我就说一句，, Start Time: 1939090
Text: 我们没没，我就就展开开。我就突然想到了这么一个托梦的事情啊，一定喜欢脑袋。不不说了，不是个个岩石，想来别展开聊了啊。操。嗯，然后我说一个让我很愤怒的吧啊来喷一个吧，可以就喜欢这个。对，就是有一个游戏叫第一次世界大战西线战场啊， great war。嗯，然后那个 western front 吧，, Start Time: 1960160
Text: 好像是这么念，好像就常就那那名。对，这个游戏我寄予厚望，是因为他的制作组是那个岩石壁画。嗯，那这个岩石岩石壁画是这个西木，就是西木头嗯，基本上继承下来的。当时他们这个公公司建立，应该是在命运征服三开发期间。嗯，然后就是一部分人就已经出来了，跟可能是跟业一不来对付了，, Start Time: 1983640
Text: 然后一一部分人留下，把那个 CNC 三做完了，然后他们出来这个老逼做的。前早期游戏有一款我印象特别深，叫地球突袭战。嗯，宇宙战场地球突击战好像是我天哪。在我看来那个游戏应该是他们没有完成了命运中锋三的点子的一部分。嗯嗯，就特牛逼，那游戏我记得小时候玩的特别开心。, Start Time: 2008610
Text: 当然他们现在看来，商业最成功游戏应该是那个的星战帝国，应该叫星战帝国吧，还是什么？就是那个呃一个星战的 RTS，嗯，反正他们后来就其实感觉可能是年龄大了，反正就是折腾不动了。一直在做一些比较有那个西目遗风的，就是有红景自自自己手感的 RTS 啥的。比如说那个时候有谷嗯灰谷，, Start Time: 2029330
Text: 还有什么巴比特战战斗系。那巴比特系列基本上就是一个巴比特的红警嗯这种。但是从那之后，感觉他们做游戏有点那个吃不住了。嗯嗯，比如说他们做了一个那个个个主题题，那那个亿万僵尸我很苦心。对，操的呀，我他妈的我都惊了，我都不知道他们在干嘛。然后他们最近宣布了，他们要他们好像是跟一个博物馆还是什么历史研究协会的人合作，, Start Time: 2055210
Text: 做了一个一战的游戏。嗯，这个游戏我玩了一下之后，毫无岩石壁画痕迹，它是一个六格六格历史兵器。嗯，好欢略啊那种。对，它是一个，但是就是它它那个里面包含什么？就是在后方的城市的生产，嗯，然后前方的那个每个六格一个格子里有若干个单位。嗯，然后我从这个格向那格发起进攻，, Start Time: 2084170
Text: 然后有个结算，嗯，结算的时候进入到技术战略战场里，嗯，它是这样的一个一个模式。然后我先说一下，我觉得很很棒的一点嘛，就是比较优秀的一点。它的每一个小战场，它是以那个呃战壕为核心做交互战嘛，那肯定对，就是你你去交互的时候，你控制了一个一个，那应该叫连队一个大队，, Start Time: 2112680
Text: 你你当然可以就是右键把他让他去任何地方。但是其实你的主要的交互节点全部都是战壕。嗯，啊在开战之前你可以挖战壕啊，因为先挖战壕，然后然后把那个机枪什么的都放好，然后那个呃观察的气球也在前线放好，如果那个被打掉了，其实还影响视野。嗯，啊然后你把那个炮兵阵地都都放好，, Start Time: 2139755
Text: 后面的这个地方，然后开打的时候呢，你就让你的步兵冲上去死，嗯，还挺还挺还挺残酷的，就是特别有一战那个感觉。因为你有那个什么普通的那个先就是步兵，然后还有那种所谓的那个战壕清理者，嗯，还有喷火兵啥的。是，然后就大家趁着烟雾和那个就开始冲锋，嗯，对面就开始拿炮击往那个冲锋阵地上扑，, Start Time: 2160150
Text: 嗯，然后呢炸了血肉横飞，然后他们冲上去嗯，冲进去之后在战壕里，然后那那个个起的，然后就就就打起来那种嗯，挺挺惨烈的。然后在大力图大力图上呢，就是你那个你还有那个什么国家的那个科技术，嗯，还有一些什么事件，什么这些这那的就听起来好像还还挺不错的。对，还就是实现的不好，, Start Time: 2182490
Text: 画面特别特别差，就是你那一队那么多人挤在战壕里的时候，就跟蛆似的看着特别的难受啊，你就觉得那是人还挺真实啊。然后然后那个人物一跑起来之后，你会看到每一个模型，就是每个单位那个模型上他也他也没法调，你知道吗？嗯，然后就跟米粒儿似的，然后撒在那个战场上，然后往下雇佣。, Start Time: 2206010
Text: 哇，他那个上面也有截图的，画面就看着不太好，然后就是画面细节很差。嗯，最可怕的是他作为一个二零二三年要卖的游戏，那个画面细节非常的不讨喜。其以我觉得像 grar TS，有些小组座 RTS 特别吃亏，就吃亏在那里，那画面不嫌好，哎，确实然后看着乌秃秃的，嗯，, Start Time: 2229890
Text: 就就特别尴尬。然后有的时候你你会觉得你会体验那种一战战场上的那种无奈，你也没啥策略可言。是啊，就是他拿炮，他拿炮机炸你阵地，你拿炮机炸的那阵阵地，然后你就啊上吧，还没有没有啥办法，就上命命吧。是对，然后是因他使使劲的使劲的填，但是就是哎可能是因为我不太懂这个一战战士这方面我觉得他作为一个电子游戏，, Start Time: 2252190
Text: 他有点那个两头不靠。嗯，呃你说吧，他要是电子兵器，那电子兵器里在那个具体作战的部分，他就用这个投掷结算就完事儿了，很很利索。对你还要进行战斗，或者是你只能点那个自动战斗，就是有点像全战那种。嗯，啊你又忍不住想自动想去手动战斗一下手手动战有有点累嗯，挺累的。, Start Time: 2277635
Text: 然后你你说这个游戏如果完全做微观战场，你的微观战场表现力又不如真正意义上的 RTS。嗯，啊这游戏的 demo 我调中高低画质没区别，而说一样的卡哎就可卡了。哎哎，我就觉得就是会延石计话，做这游戏特别的那个吃力不讨好。嗯，就就觉得哎呦怎么怎么做成这样的，就是怎么做成这样。, Start Time: 2301080
Text: 可能我我我很怀疑，但但因为我不是我很怀疑在硬核历史爱好者里，这个游戏不够硬核，嗯，很可能不够那个就是有兵器那样的那种感觉。但是对于可能对于传统 RTS 玩家来说，这游戏打起来又不够爽，是就互相这个冲冲战壕，然后点炮机冲战壕听着特单一。嗯，然后就你不知道吧，, Start Time: 2328530
Text: 就是可能而且 demo 内容量也比较少， demo demo 就是一小段而已。这个美军参战的视角嗯做的就是所以也不知道正式版出完之后，他能不能把画面呀或者什么的，或者说他的那种易玩性，或者他硬核程度在某一个方面拉起来一点，可能就会好一些。反正我觉得这几个方面都挺难拉拉去去都是重做的对，, Start Time: 2353370
Text: 所以这个 demo 不不太，我我我觉得不太那个快乐吧，三月三十号就卖了。嗯，也不知道为啥雅士壁画突然能做这么一个，就是在里面看不到他做红景的时候，那个特别擅长的部分，嗯，然后就又感觉那个兵器部分他们也并没有那么做到那么得心应手，嗯，感觉是想创新的，是老老额老额那套说实话那个受众没那么广嘛。, Start Time: 2374730
Text: 是，但是现在大家也是很渴求心的红点啊。是啊，我们再做一个，其实也还可以。但是确实也许是工作是有新人了或者怎么样吧，就是有这个新老交替也说不好，是反正大家可以关注一下，看看之后啥样。嗯，成那然后我再说一个，我说的这个叫 back beat 哦，反拍啊。嗯，这这游戏那个其实也是之前就已经在 steam 上放 demo 了。, Start Time: 2399750
Text: 然后最近是在主机平台，在 switch 和 PS 四 PS 五上也出现了个 demo。这个开发者吧，他们之前也做过一游戏，叫 hactor group，是一个电音风格的一个策略游戏。是啊，他们这个开发组挺有意思，叫这个一五一 a 嗯一七勾一七 a 哦，啊一期一 a 哦，, Start Time: 2429100
Text: 他们这个开发组吧，四个人，两个是瑞典人，两个日本人哦，嗯还挺有意思的一个组合。这个 backbeat 他本身我发现这游戏是因为吧他这个背景它是设定在上世纪九十年代，这个反正 demo 里边是九五年。然后讲的是说这个主角们呢组了一个 funk 乐队哦，然后他们要去这个跟外一个，, Start Time: 2451760
Text: 呃，反正反正就是要参加一个什么乐队大赛哦，嗯然后就是这么成长，对，这么 battle 的这么一故事，然后这游戏吧玩法上面是一个还挺还挺神奇的一个解解谜的玩法法，就是有点有有点推子的那意思，然后也有点策略成分长，就是你现在反正能玩到的呢，你乐队里边最多四个人，, Start Time: 2477170
Text: 他们会在这个场景里边呢设定一个目标地点，你最终是要让这四个人走到那个区域里边儿。然后这四个人呢每个人的进进方式不一样的。比如像你呃一回合，你只能走一格，一回合走两格或者一回合走五格这种嗯就是每个人的行进方式不一样，你需要躲避场景中的障碍物。然后在他的有限的这个资源，, Start Time: 2501630
Text: 就是他那个时间轴，你每走一格呢，他时间轴会往上涨，你不能你你不能让他长满，你要在这有限的时间轴之内，让他们全都抵达终点哦，啊，是这么一个基础的玩法。这期间呢可能还会涉及到各种各样的技能，但是试玩里边呃目前就只有一个所谓的空拍，就是你可以站在原地等。嗯，然后我看预告里边还有什么滑铲，, Start Time: 2525350
Text: 然后那个还有什么要有前行要素，就发行演奏是吧？对你要那个躲避一些保安，然后走到终点啥的，反正就是有一些呃奇怪的玩法在，反正这游戏还挺难的哦。他那个刚玩第四关还是第五关，开始就属于你得运筹帷幄了，就是一点一点去调每个人在什么节点上干什么事儿什么的，那个你不能互相妨碍，, Start Time: 2548160
Text: 然后就最终要走到终点，反正挺有意思的。但是呃有一个我目前还比较觉得比较微妙的点，就是他这个一直在宣传自己是这个呃放 k 这种音乐类型，这个要要很深入的融入到游戏之中。但是我目前看到的就只是说他请了很多很就算是这个业内比较有名的这个大师写的歌歌都挺好听。但问题是说呢，, Start Time: 2573600
Text: 你呈现形式，其实也就是游戏里边的音乐用的是 fununk。那这个方法上没有什么没有什么实际的应用哦，你说这个乐队之间配合呢，你什么什么乐队之间不需要配合呢？是的，嗯，所以这个还是有待观望吧。嗯，他那个目前是他那个移动你规划路线之后，他说是根据那个音乐的韵律呃，, Start Time: 2601750
Text: 是来影响他就是用方方你每所格格他会短暂的演奏一段这个他自己的这个乐器。然后你最终走到终点以后，他会重放一遍，就是演乐让你所有人这个按照你的这个是其实就是按照他这个时长走到嗯就是那你说这有什么技术含量呢？其实也没用，他其实就是按照一个采样嘛，然后你按算好，他总共走了多少拍，, Start Time: 2623330
Text: 然后你就播多少拍的这采样。他这个逻辑有点类似于每个人的行动路线，像是一条音轨。嗯，然后全走完了之后，就所有的轨迹是的呀，那他这个你每次不一样的路线的话，这演奏出来东西是不一样吗？呃，是会不一样，但是是比较微妙的不一样哦，我你不会听出特别大的区别，因为毕竟你乐器就在那，, Start Time: 2649270
Text: 而且他演奏的东西至少美观他演奏是一样的啊。对，然后是汇成一首歌啊。对嗯对，然后这个画面上稍微有点糙，然后有些表现形式吧。就是你虽然是一乐队，你说这个上来女主是一个贝斯手，他拿着贝斯在那走呢，也还好。然后第二个这键盘小哥吧，他就直接背了一那个巨小的那种，就那个长得也有点像吉他的那种键盘。, Start Time: 2669020
Text: 嗯，这个那个倒是也还能理解。那鼓手开始就奇怪，我觉得大哥就是手里拿两根根棒子在那甩我，我会推出来来的。推推板车给自己架板车上走，我就开始就开始整的，有点有有点像架子鼓挺好的啊，这个相当个萨克斯手倒还好，对他当是了。其实啊都是都是假的，我操呃就是可以可以期待一下，, Start Time: 2694920
Text: 反正这游戏应该也是上半年啊，他说第一季度就要卖 q 一啊，所以也也可以看看他那里边有好像还有好几个角色，你这乐队是能够就是在没有没有他，反正目前看预告片里那意思好像是你乐队本身就这四个人，一个 base，一个键盘，一个鼓手，还有萨斯手手。就是他那意思是其他那些是 NPC，, Start Time: 2722680
Text: 还有你的对手哦哦，白铜。对，可以嗯，具体怎么玩，我还不是太确定，因为 demo 没有展现太多玩法。好嗯嗯，是行，那我再来一个吧。嗯，我行，这个叫巨脸无艳啊，有一啥啥玩意儿，就是巨脸脸脸那个那意思那意思就是这个贪得无厌的去收敛钱财的，这意思叫 grade ventor 啊。, Start Time: 2745640
Text: 他这个乍看一下，乍看一下，就是那种横版的这种 RPG 啊，你在左边，然后敌人在右边。嗯，你你路这个横向的这个往前前进，遇到敌人就跟他打。嗯，然后他还有什么装备啊，然后还有一些这个加点啊什么的，那但这个就是只是一假象啊，但实际上打起来它不是 RPG，它需要你点啊，, Start Time: 2776140
Text: 就是使劲，你需要拿鼠标点那个敌人你就是砍他哦。然后你要是你呃对，就是你要是摁住了点，它，就是你长时间蓄力点它，你就是他那个里边动画，就是你那个键抡圆了，打打开他。嗯，对，但这个还没什么，但难就难在啊，你还需要隔挡，但你格挡他是你那个你得找那个怪的打点，嗯，, Start Time: 2801430
Text: 就那个他他站在他那一侧，然后他比如说是一个半身身人，他拿出来大斧子就咵砍了一下。嗯，你得找他砍在哪儿了，你拿那个盾去赢那点去，是而且你还得尽量的去就是精准弹，反对你这个是个动作游戏啊。对对，就鼠标动作游戏。嗯，是，反正我之前是没见过这种可能有类似，但是他表现的有他这么及时的。, Start Time: 2827360
Text: 我我我我我我确实没玩过，我大概在某些不可言肃的平台上看过类似啊，你啊，行不行？行吧，别别让整成躲上脖了。他这个就是你打人还好，你要是打些奇形怪状的东西就很难掌握。比如他一开始其实就让你打那种大巨蟒，嗯，对，他就是那种往前伸长一点，冲你冲过来，你真的掌握不好，, Start Time: 2856000
Text: 他那要咬哪儿，你知道吧？是就还得得去弹反，尤其到后边之后，你要打多个人，嗯，那场景那更可怕。就是这个人刚砍完，那人准备抬手了，嗯，你也不知道你该在什么时机，就是打他一下，就你还得打的，你光弹反也没用。是啊，你弹反把他弹有点阴影。对你把他弹晕了以后，就是你要是再蓄力攻击，, Start Time: 2880670
Text: 能给他来一个特别爽的那种，就是给给他一刀两断的那种感觉，就那种暴击的这个还还挺爽。鼠标操作练习模拟器啊，放很多年前就可以搭配红油软件直接使用。嗯，而你他那个特点反应，尤其是他后边有一个现在已经展示出来的，除了点和防的一个另外一个玩法，就对他敌人会给你往这边抛一些投射物。, Start Time: 2902850
Text: 嗯，然后比如说他会抛这种爆炸的酸罐子，对点你你需要拿你一个右，就是你点右键是举盾，嗯，你需要拿你的盾去拍，那罐子，还得动一下，把他打回去，然后把那个罐子正好那个角度打回去之后，炸到他脚底下就叫他写，然后他还会扔这种治疗罐子哦，然后你就你就得自己受着。对你把他那个治疗罐打回，, Start Time: 2928200
Text: 你这边哦，还能给你家血。嗯，就包括还有其他一些什么飞刀啊，什么一些魔法攻击啊等等的二的玩家可以拿来试试。嗯，对你闪避就闪一些地面器，你隔挡不了地波，你就只能闪避一下。你背后有一个小滚。嗯，他那意思好像就反正有那么一套故事吧，这小鬼带着你一块儿，就是出去征伐坏人。, Start Time: 2952120
Text: 对，这故事挺肥的。就是就就就那个人物美术风格也特别飞感觉。嗯，你看那个截图上面截图后面有几个 boss，那 boss 长的真是没法描述。上面一个大胖子，底下底下俩棍，他都腿看到这儿了，底下那腿是两个人的操作，什么玩意儿？是那个打他的时候就特爽，那那时候这个 demo 的结尾啊，, Start Time: 2973210
Text: 就是把他从那个棍上给歇下来了，就就就豁两半，我就太打击感还迷之好，那那这游戏特别诡异。是的，而觉得这人物造型也是是裸奔马铃铃扣个桶的大哥。嗯，对对，他这个桶好像是他上一代英雄就是这个形象。然后你一开始就是这代这个老英雄给你传授一桶抠脑袋了，知道吧？然后已经出发了，, Start Time: 2996830
Text: 嗯，好像是这意思啊，有的 deo 快没没太细了。嗯，四月二十一号就卖了。对，很快卖了。这个应该是，反正是我我这一次代墓接第，唯一玩到的马上就要卖了。嗯，这个游戏 demo 现在还还可以下，还是可以下架，必须试试。嗯，反正正没下架了，今不是今天是最后一天。嗯，, Start Time: 3023980
Text: 之后不知道会像咱们一句话，就咱上的时候就已经卖了，已经结束是反正上的时候也不知道吧，有的 demo 可能就会卖了，有的 demo 可能就玩不到了。游戏 deo 已无所谓，就留着了。嗯嗯，还挺血腥。我反正这个对对，他他那个是挺有血腥，但是他是通过那种黑白画面给你展现血腥，, Start Time: 3045420
Text: 时刻不会太太有冲击啊，这挺逗的，挺逗。嗯，那行，那么咱们来聊点重量级的吧。哦，行，我操，太喜欢了， radio 的 universe，哎，真牛逼，我操这游戏这游戏都看没没有玩也看了吧，我太牛逼了，虽然我没玩通啊，因为这游戏也是挺飞的一个游戏。嗯，哦，这游戏不是联动的游戏的，, Start Time: 3066420
Text: 嗯，是就是消失就弄了，不知道多少年没消失失，大哥一直在更，但是就一直没上。他跟众筹说版本，那个画面完全就不一样了。是啊，而且他这个推上他也写了，我我往前翻，他好像是二零二零年的时候就写过，他要上他要上市。对对对，现在还挂上那条推推，又到现在了，还是即将宣布，, Start Time: 3090500
Text: 就是很神秘啊，是反正是一个格丽莎二拉拉特别满的。嗯，对，一个俯视视角的动作游戏是对，然后剧情特别意识的游开始感觉好像看着女主是自杀了还是怎么的，然后就突然到了一个特别奇怪的工业化场景。嗯，然后女主就在里面这个探索，然后就动平台就就动作，然后打怪。然后他这个打架方式特别神秘，, Start Time: 3111630
Text: 就每个你你的攻击有特定的攻击力嘛，这很正常。是，然后但是那个每个怪有血量，它会直接显示着你，必须得算好。比如说那怪四滴血，你的普攻是两滴血一下，然后你打他两下，正好是给他血量扣到零，这样能获得经验值。如果就是一顿乱呼，你你要大，你要重攻击三攻击力，你呼他两下也能给呼死，, Start Time: 3137060
Text: 然后就没有那个额外经验值了。是就特别神秘的一个。就在数学题，你知道吗？边打边算数。对对，尤其是有时候你打的那个，你给他上了 bot，你本来算好好了，结果他突然又少了一滴血，现在临时又想了别的方法。对对，后边他会解解锁别的武器，那那那那种公式试着算去吧。啊，, Start Time: 3160150
Text: 是的，然后这个美术太牛逼了，嗯，嗯，种说不上来，就那格 h 二，再加上这种像素的嗯那那种压抑的氛围在这个有劲。他整体那个 UI 就是那种老的那种代码屏幕那种感觉的，而他那个出个错，一会儿出个错。是那他那个格力式那个相关的演出做的特别特别有劲儿。嗯嗯，就是很虽然这会儿剧情我完全没看懂，, Start Time: 3183770
Text: 他想说个啥，但是就已经沉浸进去了。这这对不起牛逼，就牛逼，在这你都没看懂，你就进去了。值值得品鉴，一看那个氛围就在那了。嗯嗯，其实一开始我我我想好好看看能不能看懂。那后来我才发现，就是原来我就仔细看那字儿到底是什么，但这就就是一个氛围艺术是他不是字儿啊，嗯，, Start Time: 3207990
Text: 后来就放弃了。嗯哇那那，真的好啊，那个场景的那种色调，那种那个青色的嗯，或者是金黄色的那种场景，哇塞太太抓人了。这个请大家务必看一下啊，这个有点描述不出来，这个 demo 还可以下载。这个 demo 没有下架，大家一定要去试一下。这个游戏太牛逼了，真是真的这种哎就是独树一帜，, Start Time: 3227250
Text: 独一份儿。虽然这游游戏类型大家听着感觉比较常见，但是它这个氛围我真是没没怎么见过，做到这个感觉到那种灵魂在燃烧的那种。哎哎，我像那制制作制作作心一横就要做这个的那种感觉，非常的动人。但是嗯对，而且他这个游戏名你看特别神秘， radio universe，哎，, Start Time: 3250230
Text: 就这种不说人话的名字也特别好。对，这该怎么解释啊？这个像宇宙发表宇宙的是吧，黑暗森林是吧？广播宇宙的这个也不一定啊，反正也不一定是这意思。因为他是开头那个自杀桥段，让我很很费解，可能有可能就是那个也有可能是纯意识流的游戏戏是嗯太好。就比如说是自杀界的话灯什么的，, Start Time: 3273870
Text: 但是这个氛围我不管它啥剧情，我到时候一定要第一时间要干通。我说太牛逼了，是非常好。不过就是大家听半天，我们说这个这个就是氛围啊，美术啊对不好。实际上他一个战斗也特别牛逼，对他不是一个光走意识的，光走这种美感的这种游戏。对他那战斗系统能好好弄，玩的特别细腻。, Start Time: 3298350
Text: 嗯嗯，对你像那个敌人，他也是那种就是互相找破绽的那种。你一个不小心，他就是突然变招是然后给你搞的，而且你血量也不高，你反正你就只能吃那么两三下，嗯嗯，很难啊。嗯，尤其是它里边就是 demo 里边展现的，其中有一个 boss 我觉得挺神的，就是一个他这 boss 他不他不会常规移动，, Start Time: 3320180
Text: 他只能往这个四个方向扔锁链。但是咱们想象就是平常玩到的一些这种俯视的动作游戏，它比如他像右侧扔锁链，嗯，他是不是就得往右侧飞过去啊，就是转着锁链就过去了呗。那实际上他是以 playing 扎到墙上，那锚点，他还是甩啊，就是你在哪？他往他往你的那个方向上转，, Start Time: 3343380
Text: 而且还是带有一定的那种预判什么的。嗯，他你就是无处可躲，嗯，就这个真的我确实他做这么多年太太那个有功力了。嗯，啊这个这个开发者特别逗他，每他每次发推特，包括这个 demo 里给玩家说的话都特别冷淡。那个劲儿啊，别人那个的那个劲儿是是吧？别别人游戏结束， signaldemo 结束，, Start Time: 3363230
Text: 你看都是那个什么。 thank you for playing 叭叭叭。就你那太利瑟什么的对，嗯，他们他这游戏戏束束写。 this 是 the end of the demo。 thank you。嗯，你看跟他游戏完美融合，我操嗯是挺好呃，认识认识一下这大哥，, Start Time: 3387230
Text: 然后他每次他每天发推特啥也都是特别那什么淡定是吧？特别淡定，呃，淡题说不上来，那个反正这个人跟游戏已经融为一体了，那个叫我操，很好推荐大家啊。嗯，那那那咱要不要接着着另另外一个计计都玩个 a sister journey，也是特别牛逼的一款。是是嗯就第第一眼看上去特别蔚蓝的一个平台动作游戏，, Start Time: 3405150
Text: 但是只看着像蔚蓝战是有枪是对对，那主角发了一把枪，能在未蓝里加入了这个平台战斗的要素。本来扫回 v 次干是吗？对，差不多吧。那蔚蓝组那新座他不也开始能战斗，是看来还是得都大家都得走向这个房向，是是都干干。嗯嗯，后这游戏就是也是平台跳跃，然后它的手感也是特好，, Start Time: 3431280
Text: 但是感觉就是饼干。跟我当时聊着也说了，他对那个就是解锁了几个什么二段跳以后，那个难度突然就强度就上去了，也可能是 demo 的原因。 demo 可能是中后期，不一定是他他最好是向右时间，他不然有点太难了，对对儿也要上来。嗯，那这这游戏还有个特别神奇，设定，, Start Time: 3457020
Text: 就是他右扳机手柄冲刺，右扳机是向右冲刺，左扳机向向冲冲，对开开始就没弄懂往错。对，是是一开始挺不适应，就不是跟着你的人物朝向来冲刺。对决定冲刺的方向，他是直接按着他设定好的。他后来也说了，就是这个游戏经常需要那种精细的操作，有时候你可能都来不及转向，是对，, Start Time: 3476600
Text: 他就直接把他不给往向转向空间，他需要你经常反向跳跃，然后再反向冲。对你如果转向他那个动量一下下落了，你就就就充充不太到位置，而是那个个充其其实有点太太。对对，这个几乎是固定距离的。对，而且左城市机乎就使劲劲距离，我操。嗯嗯，后来反正我就是打到很后边吧，就是反复感受之后，, Start Time: 3499980
Text: 应该还是能就是你反向掰着他点，是你可以你可以一定程度上调。对，但但是他就是冲的很远，对你需要很长时间适应他那个超远距离。就一开始那个瀑布那块儿，我就他妈疯狂，他妈跳跳不过去，我操我我我也是一开始那块就给你下马飞。对，就是我从来没有玩过一个，就是一下冲能他妈冲这么远的游戏是冲就完事儿了。, Start Time: 3524170
Text: 看那个版本是看关卡强度，也许就是这个制作人有自己的想法，所以才给了玩家这么个东西。大概的意思就是我拿关卡逼逼你，然后你把这个机制再有一个学习过程，学好之后你也会像我一样爽。也许是这样，然后下跟开开值 demo 后边那个关卡吧，那个 demo 结尾附近的几个关卡，, Start Time: 3547790
Text: 他明显是在炫技了。是就是你 demo 玩完了，你现在下去可以往下走。对你你你试试吧，你你种感觉当时当操那几个卡槽，当时就恨不得就是给那给那个开发者摁的，你给我来一个试试啊。对，就这已经是这种程度的。对，他有好多关卡是那种就是你也玩不出什么爽感来，他是一纯试错关卡。, Start Time: 3569970
Text: 对对，就是你往后像他有一个，比如像你要连续什么又冲刺，又要踩那个能干点儿去，多段跳跃，然后再冲刺什么的。就你只能这块死一下，然后重新来，然后再死一下。实在的古典的平台平台调整他这这个个机卡。你然后回想之前玩那个三 s 的 c 面的时候，他难就难在他特别长，, Start Time: 3589770
Text: 是对他这一趟让你是个耐力游戏。七到九个这种节点对你释明了前五个。然后你在试第六个时候，你前五就反复的，你得你纯纯纯肉记忆忆就特别累，就就起起来，到最后真的就有点心态崩溃了。而且他这个有的关卡吧，我觉得是有点恶意的。他开头他给你弄一小梯子，然后对对你还得先下去，, Start Time: 3611840
Text: 然后才能开始这一次操作，你已经踢消消耗，你耐耐了，你知道吗？这游戏有一个小毛病，就是让我很不爽的一个，就是他那梯子就固定极其的严格，就是你这人的这像素必须须这梯梯子贴上你才能下。对，然然就是一个死的，你本跳跳下去去，但他那个应该是他关卡设计之一，就是你那个冲刺那个距离和梯子登上的那个距离，, Start Time: 3634600
Text: 他也也是设计，反正不还。还有那个蹬墙跳，还有那个蹬墙跳，就是我也我也不太相，你手感特别神秘，但然然有有些墙你看着明显是能扒上的，它扒不上去，对他必须得那墙够长到一定程度才才能扒。有有个游戏不是墙一顶就能扒它，这个特好，就是主要是你觉得能拔，然后扒不了，有点烦，, Start Time: 3657420
Text: 我一冲上去就掉下去了。嗯嗯，然后他他关卡设计好多地方做，就故意那种做，特别极限恶恶心。真是是，就比如说那开头有一个东西有你又想往外跳，但是平台上面有有一一凸出来一块，正好挡着一图。你要是跳起跳特别早，这边摁下去是那种种特别多，感觉有点烦人。嗯嗯，反正这游戏另外一个很极限那样就是画面。, Start Time: 3678010
Text: 嗯，他说的手抠的 handling craft pix r 是是哇，他那画面真是有点那个有有点那个，那确实有点意思，有点赞叹了，不是吗？第一次看到个个图的时候，觉得我对那前景嗯那前景背景对那种嗯说你说前前景它这里边还多一点，就是它有后景设计是你能从后景进行一些就是密室房间之类的移动扒。, Start Time: 3701950
Text: 对，然后巨巨难看着，有时候看着动一不放心吧。嗯，对，很神奇。我靠，这这游戏感觉可能是这么使劲，就看玩家吃不吃得住了，是真点反的是是从 demo 来看太狠，使劲太狠了。那个要是希望只是 demo 这高手玩起来肯定也是巨炫无比。因为他加战斗斗，他有些地方你还要打一下那个水晶跟水晶换位，, Start Time: 3725510
Text: 然然后边打敌人，然后开边一边打墙墙砸碎，一边打着敌人往前冲，我操嗯，要干个事，光这个特别多。戏幕页面里他演示了一些高难关卡，他的那个前后景啊，就光视觉演出已经那细节已经非常非常了是了不得，哎，真是了得得。但是说回来他这个战斗啊跟他这个场景解迷就确实还不是很融合。, Start Time: 3749880
Text: 对，是战斗是战斗，移动是移动是嗯不太能捏一块。对，然后战斗也其实也不简单。嗯，敌人，我操就打那史莱姆 boss。哎，那史莱姆嗯是他他卡在，主要是他这个吧，又是那莱姆，然后朴素的战斗就是你开枪吧，你只有上下左右的方向。对，那那个怪有时候他经常在半层那块儿卡着，, Start Time: 3776380
Text: 你是你是小跳，打他一下也不合适，你是战地上也打不着，而那是史莱姆，好像也不是以固定的这个方式攻击。你是有时候你一靠近，突然一高跳就踩脑袋上了。是是反是他后来我跟我我朋友俩人就一起试的游戏，然后后来他就感觉到啊，这其实补位着对是比较流血降素是吧？就是那个就比较矮汪的，, Start Time: 3799590
Text: 而他里边好多地方是真的，就是你能感觉到啊，那你又搞我，你就在这块又又要卡卡一一下，真恶恶心这种感觉。而且他是他关键是他这种长关卡，他没有望远镜。嗯，对对对，就是塞莱斯特，你有那种特长关卡，他好像关卡下对一下。对他那你顶多你就蹲下，能稍微往下看一点，没没意义就没有。, Start Time: 3825230
Text: 对对，他主要是横向，你看不着。对啊，然后你就只能说就是前五次，比如这种前三到五次，你试完了以后，你就是为了看一眼第六会是什么样的。对，就是就是去送死嘛。对，就这个这个我希望他他正式版它能加起来啊是有点太那什么了。嗯，但是这个确实高难度游戏吧，大家就是完成度挺高的，, Start Time: 3847590
Text: 但是可能还是还是看人吧。嗯嗯，是这确实是比较难。是的，嗯，那我换一个类型说一下，我说一下这个 broken error，就是那个断键过那游戏很挺期待的这游戏我也挺期待，而且它开发可能是是之前道顺势里，但是确实是延了一阵子，甚至包括放 demo 啥的都有点严。, Start Time: 3868540
