Text: 动作格斗 RPGG 桌面策略 ACT 如果你有想说的，一定会有机会说出来。家底有与你一起展示你的游戏。人生冲撞刀光子弹灰告白魔法，各种累累，物理画面都是美眉，没有话题。你来给啊，我是你。嗯，大家好，欢迎收听加九 pro 最新一期 FC 三十周年回顾的节目，, Start Time: 3960
Text: 就也是好多机器人。但是是那个横版过关的，我是不是那那个跟小坦克那机器人对变飞机？对对对对对，我玩过这个这个一个游戏，那那个名字直接叫机器人战争。对对，然后他那是 IGS 给做的，但不是说出那狮鹅传的 IGS。嗯，不过说到那个打斗成龙的那个也挺好看的。成龙你说成龙吧，, Start Time: 1791060
Text: 就叫就叫成龙吧。那个游戏不知道，就是他跟那死亡卡是一层一层走，然后都是各种奇怪的怪。然后你去打他是不是还有蛇和鸭子什么那些，他说有蛇、鸭子，还有龙，不是这都管，那叫叫鸭鸭子这游戏他等于是怎么着？他他有他这游戏吧，他英文名叫 spatten x，他就是说成龙红，, Start Time: 1811570
Text: 他对成龙红金宝元彪。他们就是说八四年拍的那快餐车，就是在日本的艺名是叫这个，然后按雷蒙就是为了宣传这个游戏，他就把这游戏就冠成这个名，包括海报都有成龙元彪他们这帮人。但实际你因为他电影，他那个背景是在那个西班牙古堡，他这背景游戏背景，他等于是在那种中国那种风格的那种塔楼。, Start Time: 1830390
Text: 嗯，所以就说他就拿这当成有商业运作的一个宣一个宣传噱头。但其实跟成龙没有么关系，跟成龙没关系。而且你看他里面他都是他第一关子跟第二关，他第一关棒子跟第三关子，拿着棍棍子、棍子子第一关，拿棍子，这人就特别像李小龙在死亡塔里面对对对，死亡游戏里面就打的那个菲律宾那棍手高手，, Start Time: 1852130
Text: 伊鲁山杜是第三关。那黑人呢，他他就给你感觉觉是特别像李小龙跟那个贾巴尔打的那样似的。对，其实是根据李小龙改变的，而且他他他一层一层爬就完全就是抄袭的，就是死亡游戏里面的这种设定。对，而且我那那个角色也不像成龙比成龙比成龙帅帅多。这个游戏它也出过一二代，但二代做的特别好玩。, Start Time: 1872040
Text: 二代就是说它增加了蓄力的招数，蓄力是你在你蹲在地上蓄力时，如果敌人从你正面追吧，他属于勾悬给人打飞。如果从背面过的话，他是把你就是进行一过肩摔，给人人摔过来游游戏就是关卡艾特有最后一关，有一水下关，还有关是让你在那个飞机顶上走，他会有那个风给你往后推，你那些敌人也特别逗。, Start Time: 1893100
Text: 像有那个魔术师，就是去那些大猩猩追你。还有就是说有那种中国那种杂耍人，使这球还有腿功能打你。对，但是根据成龙好像也改变过，有有叫成龙之龙。对，成龙那个是真正根据成龙改变。对，这个就是但但你玩白白版，成龙之龙吧，它的造型还不是特别像成龙，你玩 bobop PE 那版，, Start Time: 1913520
Text: 就完全就是能看出是成龙大鼻子是吧？是其其他地是两个人，就是说只不 PP 飞翼，就比那个 FC 那版多了几个，就是说 n 上跟 b 这种特技其他都一样。对，因为因为技能更强的是吗？而玩这个游戏就是我玩呢，因为玩的改版的时候，它可以无限，就是蓄力，就是发波。这招你玩原版的话，, Start Time: 1932860
Text: 它只能就是说十五次，除非你你除非你就是说收集五十个还九十个那个珠子，然后才能就是再把这个发播的这个次数给加满。那你这个是在模拟器上玩的时，这个我当时是在真机上玩的，就就在因为这游戏当时特别火，这游戏。对对，当时我还真没在 PCE 上玩，我是在在就在 SC 上玩 PCE 模模拟器玩的哦哦，, Start Time: 1951520
Text: 而且成龙之龙他好像还带了带了一本书，应该是原版原版卡。对，他带是带了一本带一本书，好像上面还有那个成龙那个拍电影的什么照片什么的。我记得好像看有人发过这个，而是他这游戏里面，他就是就是说他为了就是说那个改变游戏节奏，他除了就说你除了就是说你那种闯关的模式，, Start Time: 1972160
Text: 他还有好多那种迷你游戏，像是说跳云彩，还打那个少林寺墓人儿这些训训练观卡。对，训练观就是你训练观卡，就是你根据就在你就是在这种奖励观里于你的表现表现那个状态的话，你获获得就相应的那些奖励。对，比如有那个恢复体力，就增加你那个猪那个猪子的数量或奖励你绝招什么的。, Start Time: 1991830
Text: 对，这其实就相当于是跟这个娱乐界合作出的一些游戏，就早期的那种，比如说说是明星出演的，或者说是电影难的那些游戏，对吧？你看明星还呀，还有这大家都知道那个北野舞的挑战。那个我知道对那个是特别特别难的，特别变态的那个那个挑战嘛。混蛋我觉得那个已经不能用，难来说了，, Start Time: 2016180
Text: 就是混蛋那个不是游那个，不是你经常玩的玩了。后来会发现就是好像是说是第一遍通关以后，告诉你一个什么，说什么你太无聊了，什么怎么回事，你非要玩这个通关以后，就是说要出一像素北野武的脸冲你说这个对吧？而你要死的话，他出去黑白照片，就是北野舞的葬礼那样似的。那个那个游戏具体它好像是特别有几观，, Start Time: 2036660
Text: 好像是特别别态态，就感觉是中国完全没法玩。那个他有一关是那种横卷轴，那种飞行官，就是你控制一个滑翔伞，就跟射击游戏似的。到时候它飞的过程它一直往下降的，你没就是你不可控。那那最后你应该是靠靠什么来过关，应该是只能靠你的运气，就是就完全靠你。刚刚你那躲闪躲闪技忆是说完全靠人品是吗？, Start Time: 2057740
Text: 是不是就跟那个后来那个什么男人要活三十秒，什么靠人品，靠人品一大半一套，人品劲儿也不是也不是特也不是特别大，而且就是他有的关卡吧，你必须得就是对麦克风就是唱歌。对对对对对，说是唱歌。其实你不用唱，就是你就是主要他那个麦克风回回接收到声音的信息，他就能放你过。, Start Time: 2077355
Text: 只不过像他当时做成一种那种噱头，让人觉得说这游戏就是特别猎奇，特别古怪那样似的。对，而且完全没有那个什么存档什么接关，这种概念就是一遍死，然后再救一遍，从头套从头来，这个他全名应该叫做什么北野五的北野野，他全名他名字，他名字叫对北野武的挑战。传。对，就是完全特别特别变态的这那那那种游戏。, Start Time: 2096220
Text: 然后另外一个就是真人，就是说参与的游戏就是也特别难。那游戏叫加齐拉夫速度，天国跳跃地狱。他这个他这游戏那个主角，他用的是当日本一个童星叫叫向梁建智。而且这同星他当时还老就是说参与，就是像日本那个巨人棒球队的一些代言活动。对他有一个节目嘛，他有个节目，就是和巨人的一个投手啊，, Start Time: 2120930
Text: 也不是什么，就是他们有三个人在一起合作的。那个是是是是是相当于那个什么快乐大本营什么一种性质。可能吧，就是这节目太早了，谁也没都没看过。而且就是你看游戏里面他穿的那个衣服，就是那个巨人队队符号的一个那个帽子。他游戏就是像超级玛丽那种，就是依靠跳跃游戏，再加你说他的名字速度，, Start Time: 2146440
Text: 天国跳跃地狱等你就知你就知道这就是速就是加速跟跳跃。这游戏就是占主导。这游戏就是你可以跟草丛里边搜着一个红号，就跟那那小毛毛球一个怪物。就是你可以他跟着你，如果就是说你带着他的状态下，你被敌人碰到的话，他能帮你抵挡一次攻击。平时吧你可以把它发出去，像回力标一样能再回来。, Start Time: 2168420
Text: 这个游戏就是他在世家就是在 MD 上，他还有一它还有一个版本，别换皮版，那版本就是守护神哈特的啊。嗯，不过我觉得 FC 那会儿游戏就是公认的有几个难点，一个又是跳跃特别难。嗯，就是可能很多游戏都是跳跳跳不过去，然后或者是跳死了。然后还有一一个难点，就是敌人的那个，, Start Time: 2187299
Text: 也不能说敌人的 AI 特高，就是敌人的那个子男特命线路特诡异，就是经常天上飞一个，地上有一个，然后就是你像玩那恶魔城飞的那个飞的蝙蝠，或者对那个梅梅杜莎的头或者魔界村里面那些什么那些东西，感觉就是完全无规律的那种，在魔界村什么都站着。对，就是完全无规律那种感觉似的，, Start Time: 2209170
Text: 再再再给你发发子弹啊，或者给你抖，就就是这样特难的。对，其实我就是你像就是除了这个真人参演的游戏外，还有很多游戏，就是这个电影改编的游戏。比如说我玩过一个那个终结者终结者二终结者二终结者二改编的一个那个就好像是叫他那个是应该什么 t 八百还是什么 TT 八百抵一千，, Start Time: 2229500
Text: 那个个一千是那个一千是敌人。对对对对，然后开场的时候，还有一段有一段那个跟电影里样是，但是那里边那约翰康纳做的特特难看，这大分头、大后腿唇啊，但当然我们都当时那时候没看没看终结者。二审判者，我们都说这郭富城吧，这个林志颖是对对林志颖之类的。哎，这游戏就是这游戏还成这个是我我们我们那个我们那小我们小哥们儿，, Start Time: 2250219
Text: 他爸先给打穿的这游戏等于就就五关。我觉得就是我他爸就是我就你就看他爸玩那第二关摩托车里面，因为摩托车里边特难老过不去。对对，你就得躲后头那个会不会车，你又又得就是用枪枪前头那那个门也得给门打开。然后他爸当时就卡在哪点儿，就是第五关，你在那个焦化厂那点，他可没男，, Start Time: 2273940
Text: 你一掉下那岩浆里面铁水就直接死了。还有就是还有就是说你打那个 t 一千人，你必须得就是跳下去剁给他，剁到那个一游里才能能关关的。是他是完全根据电影情节改改变，是他是完全就是真真实的。是的，包括就是你在他们科技大厦安炸弹这点儿，这都是跟电影一样。我我我还真没打那么长，, Start Time: 2295130
Text: 我是看了这个电影，然后又去买这个游戏，但是一上来我觉得太难了，因为就是第一关一上来那个施瓦施瓦辛格不是就是那个那个 t 八百，他不是就出去说打人只能打拳。因为电影里面你是就是他是看见一个人就一拳给他抡好远。然后你在游戏里面是过来一群人，他是拳拳跟他对打一个对，, Start Time: 2314410
Text: 跟你对打。然后你还得咚咚咚咚，能打好多拳才能打死一个。我玩的都是踩在那卡车上往下蹦剁人为什么剁好几次啊？我我我关第一关，我就觉得有点不了。我说为什么我我使使那终终结，这这么改，他么没有喷喷么？我为什么不如像电影里面那个厉害？然后第二关一上来那个开摩托车有喷能就完全过不去了，, Start Time: 2332330
Text: 就完全过不去了。我觉得 FC 好像动画片的那个角色，更多电影的好像基本上都没玩过，还有蝙蝠侠什么的吗？对蝙蝠侠蝙蝠侠一代工人最难。对对对对依赖。我觉得它有一关就全都是那种电网，你必须得就是来回弹墙。这个对你必须抓住，就是关键特别窄的一小小儿突然弹过去，这我是模拟器坑的这有真机真没打通，, Start Time: 2350740
Text: 这我也是，我好像就是第第几关，第四关也就到那儿了，然后再也没有信心能把它捡起来了。而这游戏就像现在它有回旋镖手枪，还有那种反弹镖的。但是我觉得这三个都没有那个拳头，好拳头，你你近身就粘人的，能攻击频率特别快。但是后边那几个飞行 boss 什么的，还还是得用他们来打。, Start Time: 2373080
Text: 对，你拿那你得拿着远远处告诉他，告诉他打。反正我觉得你们和你们的小伙伴们，还有那个你们的小伙伴，他爹都都太厉害了。对，就是我我我感感觉跟你们玩的都都都不太一样。而且就是我当时我玩这些游戏和我身边那些人玩游戏，基本上对那个时候基本游戏都都是小圈子小圈子流行的对那种嗯对，, Start Time: 2395750
Text: 就是大家在一起喜欢爱玩什么游戏，这几个人就爱就爱在一块，大大家在在一块儿玩的。说起这小圈圈流行的游戏戏，我想起来一个，但我我不知道游戏的名字。嗯，我小时候我们家里的，因为我们家 FC 是我小舅儿买的，完了他就买过一盘单卡。这个单卡里游戏是两个直升飞机，一 p 二 p 可以直接直接玩的是一个纵版的，, Start Time: 2419460
Text: 一个就是打飞机那种游戏。一九四二是两个直升飞机，你这那样那样双鹰，然后你有一关是那在沙漠沙漠上椰子树能打那地上椰子树。对，但是前两轮绿道是那种交叉，那玩拐的那种枪。对，然后呢前后能打的那个游戏做特好，画面什么都不错，呃，但但是玩的人非常少。目前我就是知道那个就我跟我弟玩过，, Start Time: 2441720
Text: 那好像那你说这个我就想起那个龙魂来了。嗯，就是也是差不多，也就是这一类的东西，而且也特别难。龙魂主要碰一下就死，而且打 boss 他那 boss 就都占占的空间特别大，而他能发那种子弹打你。对，而且就是后边的时候，那个龙头什么的，吃的多了以后根本就看不见对对方的子弹是怎么过来的。, Start Time: 2463230
Text: 而且那个龙和我们玩时候也有好多特逗的，就是一个人变成虎，另变成骑背上的那我打我这游戏，我我当时打穿的时候，我是那个凭着就使刀的那物体，因为刀你不能变成龙嘛，然后你变成龙是那样时间。你要是有无敌这种时间过之后，然后你就恢复成镖的那状态了。等会我把那刀留到最后，, Start Time: 2487215
Text: 什么使龙给扛过去的龙龙魂。不不不是不是那个龙龙牙是吧？不是不是啊，不是说错了错了。龙魂是那个跟是南梦宫冲那射击，射击那个他能能能炸地。对，是你说的好像不是一回事哈啊，我刚说说错了，你说那是龙牙，龙牙对，龙牙是变龙龙魂那游戏你上了第一关，你打一 boss 时，, Start Time: 2506580
Text: 然后根据就是说你你你的表现会给你进入，就说男关跟那个那个等级低的关，而你每关就有一个女的公主，每关都只有一个，他是他是他是他是八个国家公主，完后一一共就八个。嗯，我这比比那个韦韦韦小宝还多一个是吧？而且就是你看龙魂还有冰封什么，他们这都是沿袭，就是铁板阵的这个对空对地。, Start Time: 2527680
Text: 对对对对对对，然后我我还玩过一个那个就也是电影改编的是那个机械战警。机械战机机械警警叫机械械警警叫机械警警，应应该是那个都有，还有天甲威龙，天甲威龙，对，天甲、威龙那个。然后我玩过两个还是三个，应该是它是不一样，它是好几代，它美版美版是美版是四个，日版是两个。, Start Time: 2549540
Text: 好，就四个没办系日本，反正觉得也是特难。那个人在地上走，然后敌人都特别要二大，觉得二代就是他既然你做腿胖，你走着他那滑冰溜溜的。对对对，溜溜那个就是不知道为什么这个电游戏改编的这个电影总是跟电影不一样，就是就是电影改编的游戏，就是总之跟电影电影不一样。因为因为就是他们当时改，, Start Time: 2570955
Text: 就你看电影里那么厉害，然后是游戏里那么弱。还有就是他们这像他们改编电影的时候吧，因为就是说电影公司他的他们就是说给游给这游戏厂商，他们就说发来资料，并不是说特强面，他们只能说给你给你点儿设定图或给一个吹了。但是就是他的购购的日期是在就是发售之前的对你待的烂必须在那儿。, Start Time: 2592580
Text: 对，所以待的烂在那儿，然后给你一个剧情，你照着他先做，可能剧情还会再改。所以就是说你就说你就是说你有时候你游戏时你必须得就凭空想象加一些原原创的内容。哦，那那还那还得这样，那还有那个一个是鳄鱼先生，那个也是根据电影改编的吧，这不是电影改编的这当然他当然因为当时澳大利亚那鳄鱼邓迪，, Start Time: 2615930
Text: 鳄鱼邓迪嘛，所以说他们就说这个是那个鳄鱼邓迪的那相当于是根据那个他那个人，他。对对，他是以这这鳄鱼邓迪这为原型，他自己就是说有鳄鱼补补的啊。你前段时间放鳄鱼先生，对，那个游戏挺好玩的。那个这游戏觉得你可以就是说使用他有两个光光枪的关卡，你可以选择是是是手柄控制或使用那个关卡。, Start Time: 2637970
Text: 对对对，哎，你说这个还真想起来了，就是好像有很多这个游戏，就是你在平时是在拿手柄控制，然后突然就是到某一关的时候就变了一个样子。那种你像那个火炮 DEC 也是火炮 DEC，待玩火炮第一关。上海开小车，我玩这一赛车游戏还到第二关之后，你比如变成传统动作游戏，, Start Time: 2661210
Text: 能使刀手榴弹，还有手枪，这时候又打几杆，又变成那种主视角射击的关卡。对对对对，还有一个你知道我们那会儿特别流行的一个传言，是那个勇士门、勇士门、勇士门这也没版游戏。勇士门就是两个人贴在墙后面，影视楼在开枪，不断的滚不断的那个打，然后就是人是不能动的。对你让你只能准心兴兴了。, Start Time: 2679840
Text: 然后你要射击上射击是没法动，然后你不射击是可以滚什么的。对他好像类似于就是是不是有点类似于后来出那个什么英雄萨姆那种感觉，就是就是有点像他比较像就是纳萨萨米作西部部枪神的那种。对，然而这游戏就特别有一点特别愚蠢，就是你过关就是两个人就这么着扛着枪特高兴，就朝朝个井深里面走了。, Start Time: 2701830
Text: 然后我们玩那会儿就是有传言说是这个中间就是第三关还是第四关，可以拿光枪打。对，然后就是基本上大家都没把直升飞机那边吧。对对对对对，就是说能拿能拿光枪对着那个对着屏幕，能把那个直升飞机给打开。我们就是当时玩这游游戏时候还有一个事儿，因为它是美版的。你看因为它美版游戏，, Start Time: 2721950
Text: 它美版的 NEF，它那手柄两个手柄都可以插拔下，等于一 p 二 p 都有。那选择和暂停键，但我们就是每个人机械都不一样。有的人那机械手柄就是连上去的，二 p 就没有没有暂停键。所以我们玩这游戏是一感是这种机器车只能一个人玩，就是二 p 就没法摁 style 的。, Start Time: 2740980
Text: 就是中途加入啊，就是这个也是日本和美版的那个就是区别，对吧？他们像那个就是咱这说的魂斗斗罗，就是魂斗罗， fof 就是四个人。那个嗯他就是说你吃那个手提箱时候，你它不有五个档吗？你在每每比如你到二档时间选择键就能能换这个枪，换手榴弹什么的。然后你二 p 就没法换，, Start Time: 2759590
Text: 除非你使用，就是说像小天才就是这种可插拔手柄的才能使用这样的。对，还有一个还有一个就是也是流传多年的这个传言，就是想跟你证实一下，就是那个荒野大大嫖大大镖客里面到底有没有骑马，有有骑马，红白机器，有骑马呃，阶级没有骑马，阶级阶级没有骑马，对吧？阶级没阶级，, Start Time: 2781080
Text: 也没有商店接机接近没有骑马，没有商店，红白机是有那个有骑码的。因为那游戏我好像没玩过，从来没玩过。第第第三关好像基本上我就那你打第一次玩头，我第一次玩打一东西。那个因为那个游戏刚开刚开开始玩的不明白怎么玩，就是你得把那个通缉令打对，找着才行。通缉令他一般都隐藏藏，, Start Time: 2802600
Text: 你得给他打出来。如果你要是最后通缉令的话，你可以去商店买一个。但是那会候不知道，就是首先不会进左左对就完完全没玩过这么深深的东西。其次就是不知道这关，你要是就是是总感觉不不着 boss，什么么见不着关，就要循环的这个。对对对对，就是这种感觉。就而也还有一小细节，, Start Time: 2820920
Text: 就是根据你打 boss 时候，你那枪的那种射的方向，他的就是最后他通缉令被被击破时候，那被弹痕也都不一样啊，这个也也不一样。这这还是你要是比如说偏左打，它是在那个通缉令的左边。对，如果你要是直着打的话，他就给你出那么一排。你要是随机就是各个方向打的话，它就给你出特别乱的通缉令啊。, Start Time: 2838800
Text: 那这个还真不知道，这还真不知道，这游戏其实挺短的，就六关六关打一个三胞胎。兄弟，我不知道，我上来以后玩这个游戏就是第一关，第一关应该是见着 boss 了，第二关可能就没见着 boss。第二关属于回回力标的这个秃头秃头是吧？应该是他一上来，他给我这么一个介绍，, Start Time: 2858760
Text: 说是打他，但是我发现打了很长时间还没见着他，反且有时候我还是那仙长给我砍那点来着，原来被仙长砍过哦哦，其实咱还可以再说几个，就是呃就是可能比稍微稍微偏点，稍微大家觉得就是可能不是很多人玩过的一些游戏，我就觉得就是当时塞尔达传说一在刚出时，南梦宫寓也出过一个就是完全模仿他的游戏，, Start Time: 2875600
Text: 跟他对抗的叫那个时空女时空女武士瓦尔基里等于是北欧神话里面牛用。那这个东西这个完全完全不知道，这这游戏就是你上你，你也可以就是输入你的生日血型设定。根据你设计不同，它的三个属性也都不一样。其实我我想起来一个就是特偏的那个就一类型的一个游戏，就是棋类游戏。棋类棋类游戏我觉得就是象棋可能还好，, Start Time: 2901660
Text: 就是玩过一个版本的中国象棋那个游戏。那有时候想下两两边老人，对对对对，然后好像黑白棋敌人在不断的变，就是好像还有一还有小孩儿，就是小孩儿初级的。对对对，在三毛上做的。对对，有小孩儿，然后那个有老头什么的，然后给你一定的思考时间。然后有的时候电脑思考时间特长，, Start Time: 2927230
Text: 玩过一个这个然后哎对，这不就是象棋的音乐嘛。你说那黑白棋其实挺好玩，就是那个如果你研究被夹入的话，这一这一这一串棋合成对手的那个嗯就翻过去了嘛。对，等于任天堂第一个街机游戏做的就是这个是这个叫奥赛罗和田棋啊，这包括现在就是三 DM 还都在出。我见过一盘卡，, Start Time: 2946885
Text: 是那会我是在那个在我弟弟家建的，就是是我弟弟的爸爸在玩那个就是我们都不会玩那个就是一条单卡，上面就写着手弹手弹。我不知道是不是是是围棋还是什么什么什么棋，就就写着手弹两字儿，然后我们放进去，因为没见过就总想玩，就是特别新鲜的那种感觉，但是发现发现不会玩，然后后面俩还琢磨了一下午，, Start Time: 2966350
Text: 就说应该是怎么玩，是像跳棋的规则呢，还是按照这个军棋的规则呢？还是按照什么这个按照五子棋的规则，就是半天都不会玩。这个游戏戏是还有好多人，日本象棋也都不会玩。对啊，象棋好像也是用着那个黑白黑白棋子儿。不是他象棋是那种那个上面尖的，底下是一梯形，就是一个梯形，, Start Time: 2987370
Text: 上面加了一三角啊。嗯，对，那个东西总部片那种感觉，木头片那个东西跟国际象棋的规则稍微有一点像。但是它分比如说合战啊什么的，要是合战的话，就是俩人溜溜下，可能一天都玩不了的那种。我就记得那时候玩那个如龙有一成，就你必须得这降棋赢了。然后我还先看规则了，这特别复杂特别复杂，, Start Time: 3009520
Text: 那个可好像比国际象棋规则还要复杂，那还得现血。就其实还有一类型，还有一类型游戏，就是这个嗯也当时有很多一些厂商他出了一些类似这这种叫做什么？我觉得把它叫做明星明星企划类游戏。对，就是比如说可纳米世界，就把把这个 kenami 出的一些游戏，很多的游戏给串在一起。, Start Time: 3034429
Text: 那游戏明星对他的英文名叫 YY 世界是吗？对， WAIYY 世界，你看那 g 别级别上克拉米明星赛车也叫叫 YY racy。他为什么不用那个自己厂商的，我也不知道为什么他们这么有起能，他们觉得说这怎么本身这个游戏起就是一特别荒诞的事儿。特别荒诞的个事是对可拉米世界也出过一代还是一代二代？, Start Time: 3057170
Text: 它主要它为什么一代没有魂斗罗的角色？因为它一代是初始魂斗罗那家用版版没出出，到时候你打最后一关，那个恶魔的那个大心脏，它的音乐是魂斗罗一代第八关的音乐。对，还有还有他应该是好像也加入了很多的一些就是呃我看的那个呃呃一些那个开发的一些东西。说的是原来比比如说准备在哪个游戏里面放的一些场景和敌人，, Start Time: 3079880
Text: 但是没有放进去，最后都放在这个里面了。对，像魂斗罗，那就是然后还有的话，你像那个也有一个是呃好像 title 还出过一个彩虹岛，彩虹岛彩虹岛它等于就是他等于就是说把那个泰特出的七个游戏给揉进去了。彩虹岛是那个小人能能出光波，光波是彩虹形状的那个彩虹岛。他对对彩虹岛，, Start Time: 3104730
Text: 他的副标题其实叫泡泡龙二，那等于那小孩泡泡龙小孩他能变成泡泡龙。对他等于是他实际他是他副标题和泡泡龙二，它的这几个关卡就是它真的能变吗？它他他就是实际你玩那个泡泡龙的话，你会发现剧情动画里干始他都是彩虹龙小孩，后来就是那个兄弟能变成泡泡龙。另外就是说那个你看它里面那些那些特别好看，, Start Time: 3129520
Text: 五颜六色的那些鲜花果什什么的，都是泡泡龙里那些加分道去啊，这还真不知道。而且他这游戏就是说挺喜欢玩的这游戏你打到那个他每关都是等于都是那个泰特的街机游戏的场景。你打到比如说像你第五关，你打第五关时，它是全是五颜六色那种方块，就是你什么音乐都没有，只有你跳起来就是落地的时候有那砖块碰撞时候，, Start Time: 3150200
Text: 然后那关 boss 等于也是打砖块，一里面的那个复活街岛头像的那个 boss，然后他的对他白玩了，对，游戏全白玩了。第六他第六关是日本那个妖怪世界，他等于用的是泰测的那个奇奇怪界那个游那个游戏。然后第七关用的是那个他们的那射击游戏是大流大流士隐影战机那室内场景。, Start Time: 3170620
Text: 但是说他的强长吧，你每关你必须你每关。如果你要是收集七颗就不同颜色钻石的话，他会奖给你大钻石。你把七大关的钻石全收集齐了以后，他会给你出一隐藏。第八关是泡芙龙世界。然后你会发现那个 boss 是一邪恶泡泡龙，你给给打完完以后，你会发现那邪恶泡泡龙是泡芙龙里边最常见的跟幽灵似的那个怪物变的。, Start Time: 3191140
Text: 然后以后他给你出真结局，真结局，他有三个选项，让你选有一个选项是让你获一个获获得护。一一个选项是你把爸爸妈妈全给从那个物形形也给变成人，反正就说他有那种分支剧情，我去不是那个咱现在到底说的是是是不是同一个游戏，我说说是是确实是不我怎么确实是那彩虹岛。对我怎么没玩到过那个隐藏关，, Start Time: 3211180
Text: 我玩过是气，我玩过是气球岛，是那个大气球那个哦，知道你说那个是任人堂那气球岛那边那个带个小红气球，彩虹岛，那就是那那小孩发那彩虹能架桥。对，那不是三 DS 那个那个大使计划，还有那个游戏吗？那个还有 PUZ 类，还没说呢，俄罗斯方块啊啊，对啊，俄罗斯方块儿，, Start Time: 3233920
Text: 还有马里奥医生，对嗯多游游戏关关。是是呀，但是这俄罗斯方块我觉得是一个就是年龄跨度巨大的一款游戏。因为我的姥姥和姥爷在家玩，这个游戏玩的非常多。俄罗斯方块是年台，每天都在玩，应该是属于是俄罗级出的的。我觉得就是不管你出什么样主义，俄俄罗方块都会在上网，就是说登场的对，, Start Time: 3252280
Text: 而且都是都是任天堂出，而且俄罗斯方块也在进化。对，咱们这儿看那么简单，咱这玩的俄罗斯块就是红白基金条玩的他的玩的最常见版本就是东海创业版。就是说任天堂堂跟克博博那边买了版权之后，让那个让那个就是给世嘉那帮都给甩了，雅达利那边都给甩了，就是让他们销毁版本就是这个，, Start Time: 3276200
Text: 但世家就就是延长，他们自己出在红白镜出过三版。俄罗方块是 b 跟 BBS 合作的第一款，就是特别普普通通通的俄罗方块。第二款是那个闪光俄罗斯方块，就中间有一小小人跳舞的那是是个个那个第第版那个东东还是是东海版的东海版版。嗯，然后就是是闪闪方方的时候，你你能够得一个就是就一粒小方块块会闪闪闪闪，, Start Time: 3296320
Text: 就是他能有参多方方块。那个个我玩过，能能掌机里都有。第三个是爆破俄罗斯方块。就是它里面有一点，如果你把这点消了，它会把周围四周的那个方块全给炸，没这个倒没玩过，但是你玩那个你玩就是那个你最喜欢玩那个中间带跳舞的，就是你烧削了三十盒就出来跳舞，就是最最高那出六个小时跳什么哥伐克舞蹈的那种。, Start Time: 3315900
Text: 对对对对，那个还挺带劲什，你别说就是玩一会儿突然休息一会儿，觉得也挺有挺有意思，声音还挺有听的。就是我现在觉得最好玩还是 DDS 那那个 DFS 那方。对，而且那个那个手感还特别好，而你每个明明星对应主题也都不一样，气球那头发气球那应该解谜的，你知道吧？给它最后给那那东西全部给弄下来。, Start Time: 3337160
Text: 我俄罗斯方块后来出的就很多了，就是出了很多那种液晶的那种小游戏机上全都是俄罗斯方块，而且都是改版的，都是俄罗样形状的，而且一直流传到现在。你现在去哪个？比如说什么这个小上面呢，什么火车、二合站啊，都能买的，小游戏机里都有对二三三十里面还能说玩的好，什么你死了什么的，, Start Time: 3355785
Text: 还有那语音。呃，我玩过一个也是俄罗斯方块的这个改版的，是有一个是一个二合一的一个二合一的一个小掌机，一拳击嘛就拳击。对，一个是俄罗斯方块，一个是拳击，然后这个是敌人，那个手特长，那个就老我那这就是一短一长。那对对，它拳击它这个全击游方块，它这个是从那个是西欧电子表里面学的。, Start Time: 3374200
Text: 卡西欧电子表，它有一系列是那个液晶游戏功能的，里面，就是这拳击，只不过它的拳击是横版的，不是那种纵版的啊。就我我我玩那个感觉就是特特难，就是敌人刷刷几下打着你，然后你总是打不着他，那之后你闪几下就完了，这这这回不就结束了，他好像还有弹珠台跟这个类似。我感觉啊弹弹珠弹弹珠台，, Start Time: 3394760
Text: 你就有小海报的这个吧。嗯，这，但是你说你这这样打打打成是弹珠台了， inbo 拼 bo，就是说那个那个口出过一个 jdr PG 拼 inball，就是他那个等于他，你世界观是那种永远都有龙种骑士，你打到什么小骷髅？然你就是过关的时候，你根据你的分数高低元素，, Start Time: 3415860
Text: 你可以转换什么金钱？你可以就是说买一些功能，对它加上好多 RPG 的元素。我闲时还玩那个口袋，弹珠台非常带感，那得是体感玩的那个晃的那个 GBA 上的那个嗯，我是模拟器上玩的那拟器上玩那个那时候还玩马了，医生也是算这类 PUZ 的，也算那个他主主是他这个他这个特别难得是说他该末尾版和红白记忆版是要同时发售的对口袋吗？, Start Time: 3432120
Text: 嗯，不是那个就是马那马里奥马丽医生，马医是马了医生。对，还有就个那个是在 GB 发售，没多长时间以后就发售。因为九零年那会儿嗯差不多。我当时 PUZ 玩了一个就是老的那苹果上的藏炸弹，然后盖到红白机上叫叠对叠，等于那也有漫画。那漫画咱这引进叫黑白炸弹，那是那那次那那个是是是那个个啊，, Start Time: 3457240
Text: 啊啊，他那游戏挺好，就是你分成两层，就是你们在在合作的房间里边，你们就说谁第一时间就是说把机票钱，还有那文件夹，找到之后就个能从安全门出去。但是是说你们找过程，你可以就是说陷害对手，比如跟那柜里藏炸弹，对个能安弹簧门或者带流酸什么的。对对对，为在银行发露呀，, Start Time: 3482760
