Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judue news， and you don't seem to 你随的所味再去。大家好，欢迎收听新一期的家油游戏新闻节目。我是大家大家好，我是新总部。大家好，, Start Time: 4080
Text: 然后他同时还是一个对沙漠地块儿，这个利用率非常高的文明。嗯，然后主要就是对就是一个掉钱沿的一个文明对钱。而且因为他呃因为他这种性质，反而他的玩法可能会比较多样。就是不管你冲着哪一种胜利方式去啊，有钱好办的事儿啊，钱都好办事儿啊，所以估计可玩性还挺高的啊，就是这么个事儿，, Start Time: 1842430
Text: 巴看他 forever。哎，对，然后这个 DB 的来信爱吧，我爱吧我爱吧。啊，这个奥德赛呢这个刺客信条，奥德赛这这个一更更内内啊基本上公布了了。首先是这个第一把修剑之传承这个这个额外剧情啊，第二章十五日就上线了。好，然后第二章叫做暗影后羿啊，然后然后叫叫太阳那个啊后羿也是，, Start Time: 1863330
Text: 然后后羿哎哎呀啊吃完太阳就黑了。原来是这样样后，自己己己暗暗后，然然后这样他啊行，然后这第二章会去这这个上古维序者这个这个阵营，他在别的这个这个亚干亚港口啊，还有一些别的事情。嗯，然后你要去接着进一步这个嗯去揭露他们，然后就这个阻止他们的这个轨迹。好，然后这个一月十五日就算正式上线了，, Start Time: 1891230
Text: 要完成第二章的话，你首先要完成第一章，这是肯定的。全面猎杀，同时要完成这个剧行第传章的这个奈克索斯岛的任务线。然后这个第二个就这个，而且第一要二十八集，然后就要开启第二章节。哦，那还行，就是最中不到一半就可以玩了。嗯，是，然后还有这个新的更新内容，这个失落的希腊神话，, Start Time: 1915810
Text: 包括这个莱拉伊亚之女和这个诗人的成就，这个是有很重的这个 RPG 要素。就是你有些抉择会决定这个尼心遇到这个村子的各式各样的故事，嗯，这样一个内容。好，然后还有这个独眼巨人阿尔杰斯的这个挑战，然后他期掉落这个传奇武士呃，传奇的这个武器叫这个赫菲赫菲斯托斯之锤。, Start Time: 1936020
Text: 这。好，然后这个后期挑战五十级的这种后期类似这个 and game 内容。然后这个 UB soft 这个 club 的奖励是这个艾雅就是上一代起源的艾雅会加入到你的船队当中来。嗯，好，这个艾亚就是传奇船员们。对，就是相当于这个俩人分了之后，就来这边啊啊在船上啊过过日子啊，, Start Time: 1958360
Text: 好，差不多就是这些内容。好好嗯，可以，然后我再补充一个新闻吧。行啊，然后是这个最最重想十五嗯那个主题的奥迪 r 八。嗯，啊现在这个十一号就今天开始拍卖了。嗯啊对，这个在东京拍卖啊，这个有兴趣的朋友可以可以拍一下试试，拍一下试试就可以。我说过酷，怎么没上班呢？, Start Time: 1978220
Text: 啊，不是真正有钱的，不都是那种代拍的吗？就是就是就是狗混是替替别人拍的，找个操腿儿的。行，不是你代拍都得找那种个儿高的。你说你你你怎么这举都看不见，你看他平时买那鞋啊。对，然后跟就是哎那那这这这位大大小朋友对小朋友你举没的信息是，然后你们可以啊，谁谁谁买介绍做过是。, Start Time: 2005160
Text: 然后还有一个新闻是这个一个科技相关的信息啊，这个这个在欧美这边有学者啊，天文啊，听完观观作者发现了在这个一个特定星誉的遥远的未来，发现了一串这个稳定持续的信号，然后很可能有携带信息，不要回答啊那个。对，但是你看今天其实陆续有一些对相关的，他去他去分析析他到底是不是这个接触类的信息。, Start Time: 2031400
Text: 对，然后包括其实就是看这篇报告，他也不是第一次，他其实之前也发现过，然后有很多就是就是大家就希望大家能够比较冷静的看到这个事儿，他也不是一个非常就是特别爆炸性的。有一个评论挺逗的，说最后经过经过查证，说是二二十亿年前，人类自己发出来证明宇宙是圆的。你这个你这都要有点精彩了啊。, Start Time: 2056640
Text: 对，这这可以微博博看别人说嗯你这个很有这个这这个银河金刚的指南风格啊，这效果可以以行，差不多说这些。对，这周有没有玩什么环节？嗯，可以说一说玩什么啊，啊，有吗？四十二有吗？我们现在的打麻戏对你说说吧，什么要说这个呀，我操，我以为要说什么。对，先说这个呗，是吧？, Start Time: 2079170
Text: 啊，因为这个我们现在玩的血魂，他不是这个 h 五的嘛，嗯所以说就可以开吧。夜游。对，就是他这个手机端也有，你要介绍一下这个对为，因为他是 h 五，因为他是 h 五的，所以他这个多平台的互通啊都做的非常好啊。然后他就是就是一个很传统的日本麻将的游戏，然后他的额外付费内容是这个很怎么说？, Start Time: 2099850
Text: 二次元式的就是抽人物啊什么啊啊，这些这个立志棒的游戏型，就是赢的是啥分是吗？对，就是他还是继承了这个日麻的模式。那尊尊严对赢的是尊严，也有他们在那个在他们的游戏里互通的一些货币啊什么那种的。没有。其实这个打段位赛他有一个这个排名啊，别的其实逆性性就就了。然后就有有这戏就是很很纯粹，, Start Time: 2120590
Text: 就是克的那部分，特别就是纯抽点东西，然后还牌大家就就是正常打牌啊，现在每天中午都会这个开一局。今天周五，你们不是被老白社会麻给虐了吗？就是社会吧，前两天前两天打的时候，前两天前两天打的时候呢，可能还有这个像像这种打狂麻，然后就不知道日日打怎么打呢？大家还在摸索啊，, Start Time: 2142020
Text: 你这帮人狂狂这个吃碰啊，碰完之后问他们怎么胡胡了，费费个西疯狂的吃碰。对，就记不住意吧。可能是啊，就是不知道有这个一亿起起胡的这个东西，那国内很多麻将没有这个规则。是的，你必须有意义。这个纯数学就是你打达到一定的行就可以胡嘛。是的，日本那个就是我就规定了，, Start Time: 2163780
Text: 就这些种。对对对，别的都不算胡。实际上其实倒也不是说一定要这个门清。因为后来想想想想，因为这个有非常简单的，就就非常简单。比如说你碰个字牌，你就相当于有一亿了，那你就打的很快了嘛，对吧？然后或者你碰个什么自通牌不就有意义吗？然后反正打的群魔乱舞啊，反正因为我跟别人打的时候，, Start Time: 2181440
Text: 大家都打日麻了，然后打的还稳定一点啊。场面是能理解了，那种情绪比较稳定，不是就是他们打的牌还是可以理解啊，不是这个办公室里打起来就是这个啥样都有很猛，就中午们还想睡一会儿啊，果结结果他们就忽然听见一句，今天就中午被老白虐给滋哇乱叫。嗯，说一会儿老白就胡起小队了，, Start Time: 2201210
Text: 一会儿了会果白白自摸了，没准就是跟老白累了，扣衣室睡觉了，那个睡的正睡了。今天主要累了。对我跟大家分享一个中午的，我发现后来很多新人可能都会经经历这个方式学习到一些东西。然后因为我给了我给老白点了一个这个三到两千点点满了，这样最大的嗯啊这个过程呢差不多就是说就是傻了吧。, Start Time: 2222870
Text: 唧开两次杠啊啊，就是干了这么个事儿啊，给给大家简单的介绍一下日麻的规则。嗯，就是这个日日麻中也会翻一张指示牌，就是可能很多地方玩家有混儿这个指示牌。对，日麻翻这个牌翻出来的那个东西，不是这种可以百搭的牌，这张牌叫宝牌。这个宝牌就是你胡牌的时候呢，每有一张宝牌呢就多一番多一翻，, Start Time: 2245890
Text: 多一翻啊，然后开当你杠杠的候候会额外再翻一张宝牌指示牌。嗯，啊然后呢，当你立直胡牌的时候呢，会看这张宝牌指示牌。下面这张牌也有指示宝牌立的能力，就要礼宝牌。嗯，啊然后这个我打我们家的东北那边有这个玩法，你不知道，因为我家那边是翻混儿的，就是从那个牌位到打宝，, Start Time: 2267520
Text: 那么没有我们家那有这个我家那边没有，就是纯混混啊。然后对我觉得日日日牌牌学一个有重重要原因，就是有混儿，没有混儿。你知道我算算名混啊啊，然后然后我就开心的开了个杠。对，因为其实我当时也也快要胡牌了，嗯，然后就想起了天台麻将。少女。对，就是就是少看啊，少看逗号，, Start Time: 2288240
Text: 然后然后摸来了张领领牌牌，就是开完杠之后不是要摸领上牌，反正领上牌还能开一个牌。嗯，为我当领时做过这个三安克，你知道吗？啊，双杠，我说哎我我想想我操这要不然我再杠一个啊，我咔我就杠了啊，干完了，然后这不就翻出来就是宝牌很多了。嗯，然后我用过了一张名牌，好像没不不要要，, Start Time: 2307720
Text: 然后我就打出去了。哎，然后呢，然后老白立直了，这样听这张牌就放纵了，放放有算了，其实实很很很小的一个亿。然后直叔给老白翻出来，连宝袋里加起七八张宝牌，然后然后直接就嗯嗯当时我是我是一味了，嗯，差点差点就给我飞了啊，老白可以。嗯嗯，包括其实这个这个是属于临时出的问题，, Start Time: 2328650
Text: 包括老白这个打法十分的老道啊，听牌非非常快后觉得听牌贼快蹭蹭的特别吓人。然后中年社社会人打牌，对太太可怕怕了。对，偷偷摸摸摸不唧唧的对嗷嗷的就哎是嗯很有意思啊。反正这个日麻是这个，我觉得就后比如说很多朋友不会打麻将的话，从日麻学起有就是有很多好处吧。就我觉得我们录节目就简单提到过，, Start Time: 2350810
Text: 嗯，刚才我说了没有混，然后会好算一点儿。然后后因为特别重视意义，反而就是背起来虽然麻烦，但是你背完之后做起来没有那么大压力嘛，你就断幺九那种，哪有那么多意了。没有，有是是幺幺，全是断幺九哈，所有就水平不行，有字麻牌你就碰，碰完之后你就不管断幺九了啊。对，然后还有一种就是就是他打起来就是因为正听规则呀，, Start Time: 2375260
Text: 包括那个一番起伏的这样的规则，让他打起来比较偏防守啊。你不会这个像我家打麻将，打个五六旬，大家上上牌碰了七八手里三四张了。对，然后马上就啊马上打完算钱了，不是，所以就学起来可能你会更有参与感一点，打的牌多一点儿啊，不然的话就日麻将一看就不是一个节日麻将。对对对对，, Start Time: 2399620
Text: 就是打的玩的很赌的慌。对，板板正正那种，咱们就是过年玩事，你说的那种就是这个打个七的稀里哗啦，对吧？对对对，很高兴过个年完事儿的对日麻就是更像是个日么很严肃的游戏竞技项目，竞技游戏啊竞技项目。而且再包括像这个雀魂这样的 wh 五，就很容易组一局啊。现在前前一阵，, Start Time: 2420440
Text: 我们我们的群里一到晚上了，大家发的都是那个变蓝幻想的那个帮忙打组组队的那个房间号。对，然后最近的全世界发链接三缺一三缺一啊，全是这种。但是但是如果凑不够人的话，他也会给你自动匹配的。对，电脑还挺狠的啊，就是这样啊，很有意思。嗯，反正再练一练，看什么时候能我每局打出这个，, Start Time: 2438890
Text: 然后后负零的这个我也呵呵这个水准，然后回头咱办一个 GC 啊，就在歌华。哎，好，可以可以，大家看一看那个天才麻将，少女技术赌博啊。我我务必看一下天才麻将，少女除了做是个很好看的百脱番之外啊，我我觉得最好是就是看之前先能够这个大大致了解一下麻将规则。是因为我当时我最早看的时候，, Start Time: 2459370
Text: 我完全不懂这个啊，就没看过。你看之后后得得很很的啊，因因为他因为它里边很多多段段确实是你，你知知道这麻将怎怎么玩的，而且看懂天才麻将少女里的棋谱是吃准的，就是非常正的牌谱啊。他那牌谱就是是仔细考证的。虽然有超能力，但是牌谱却是对的。嗯，对，很有意思。嗯嗯，, Start Time: 2482690
Text: 好，别的，你还玩吗？最近最近众筹没没有没有别的还啊，然后因个红外空战要卖了，嗯，但是玩不着嗯，很愤怒，是嗯然后最后非常玩不着没卖呢啊，是嗯，然后就还有一个最近推荐了一个给大家推荐一个这个已经啊正在众筹的一个项目啊，然后还是代号名叫 project 供应链。, Start Time: 2501280
Text: 嗯，然后是一个现代空战游戏戏，一个众众筹在制作质量非常非常高啊，然后就是也是那种比较典型的，可以说是这种所谓的叫阶机空战就选任务进去，然后你在空中进入战场，然后对面飞机过来，然后开始打。嗯，然后有一些气动上的要压要求和压力，你需要做这些这个机动动作，嗯，然后也是现代空战的模式，, Start Time: 2524140
Text: 锁定了导弹机炮这些东西，然后质量非常扎实。嗯，然后虽然现在还适合 demo，但是这个 demo 四点五个 g 已经相当的这个啊就是内容相当多的只只过过没有剧情。但是已经有有两个模特殊模式，嗯，就已经能玩很长一段时间了，但是黄毛空战其实也快卖了。是的，我觉得在此之前拿这个对先爽一爽爽一爽也可以的啊。, Start Time: 2545500
Text: 嗯，差不多是这个哎王还有吗？我我说俩吧，好，嗯，先夸一夸，我最近这个找时间玩一玩神经元最二。哎呵啊，因为我不是我很少玩 CRPG 啊啊，没暗暗黑，我也基本没怎么二，当时玩过一点点，嗯，嗯，这确实不错是吧？神经元啊就是任何地方都每 in 对，就是这个是在现代游戏已经很难得的了。, Start Time: 2567070
Text: 嗯，因为我们之玩的游戏戏是说就是是有些地方方凑凑凑，有些地方你会觉得啊这个这个不可理喻，就是但你会知道啊，这算了，他有就玩一一小部分，那就不玩这这个游戏从就是说美术上啊嗯视觉呈现上啊音乐。对，然后你剧情啊，所有的你跟人对话的每一个字是一句话，然后玩系统对，, Start Time: 2590310
Text: 感觉是一个千锤百炼的。因为我没玩过 CCPG，嗯，但我能感觉到他就是嗯首先自己有一些好的地方吧。对我我也不好，我不懂不太多说。但是我能感觉到他除了他自己这些独创的东西以外，他在这个 CMG 这个大这个大巨人的肩膀上是有能感觉到这种厚重。就是那个系统真的是你，, Start Time: 2608470
Text: 你这么研究吧，系统比你高明，这个这个是在现在游戏里很难得的了，尤其这个什么贝赛斯达这种傻逼游戏玩多了之后，你是贝斯达就给我玩一种时候，我不相信有做游戏的会这么傻。然后你试一下发现，但是我一玩发现现操操还真有这么傻的人做做游戏。对，但是你玩这个人权段二就是对这个就是传就是已经经过数十年嗯打磨过的这么一种游戏核心玩法，, Start Time: 2627180
Text: 他是一种敬畏啊，就你你觉得你聪明，你想各种办法就想在这个系统里找找一些捷径，他想到了。所以写啊你会发现啊他都想到了。是的，这些所有玩法都行得通，而且都在这个合理的范围系统以内啊，有乐趣，然后有有有制约，有。对对，我就这个体验非常非常不错。对，是特别猛。嗯嗯，, Start Time: 2650100
Text: 所以我也推荐就是像我就是比较偏日式的玩家，也也体验一下啊，很好。而且我觉得他手门槛真的比什么永恒之柱什么的要低很多。是的，你进来还挺都想到通，虽然就是不要被一上来，就是让你选好多角色，好多职业点，好多点那个就吓吓怕了。因为我其实后来是那个游戏，不是可以随便洗的。, Start Time: 2669100
Text: 对，上来，如果你懒得研究，也不用研究，我就点，我就是这四十二告诉我，就说说玩之之前直接去网上查。我说哪个职业搭配好怎么怎么怎怎么样。他说你不要查那些，你就先玩嘛，预设人物先打一来，然后我就随便就选预设人物，然后看谁打的好看，我就加到队里头，然后就也能玩。对，, Start Time: 2687250
Text: 嗯，而且就是之前跟罗马也说了，就是传统的 CRBG 像什么伯德之门什么的。他其实是一个本质是回合制，但是它是及时流动的嘛。就是因为这个跑团也重视说一个回合五秒要这个流畅感测试差。然后反而这个神经元队把它把这个节奏拉回来，变成了这个回合制的时候，你反而就是变得更更能理解，, Start Time: 2701990
Text: 更容易理解他的这个战斗是怎么一步一步生效了。所以就确实很不错，嗯，很简单，直接又很有深度啊，确实是就是为什么这种类型能够这么多年啊，是这样，是哎，然后还玩了那个什么那个谁说一下行不行？空洞骑士啊，哎咱们那个你哎但我已经打通了啊，打过以大概是三十几个小时吧，, Start Time: 2722490
Text: 左右我通关那样三十，正好三十小时时，然后呃游戏肯定没得说，就是是好是好。但是我是想说两个不好的地方，就是我觉得我玩的特特不爽的地方啊，但我不知道有嗯，应该不剧透，一是他那个就是剧情，因为我玩的是文版。嗯，我听那个很多人跟我说，说是英文本来的文本特别好哦，写的甚甚至是有这个翁翁风范啊范范词都是押运的什么的，, Start Time: 2745190
Text: 是那种。但是他翻译成中文之后呢，就不说中文翻译的不好，而他肯定是很按照原文。那么翻译嘛翻译完之后呢，就是他让我放弃的去理理，就是了解这个游戏的剧情。我说算了，因为他本身吧，他这个独立游戏，他那个剧情能感觉到很重的。这个就是我不知道有没有引号的山寨版，就是他肯定是有一些像其他我们熟悉的某些类游戏是镜啊，, Start Time: 2768190
Text: 那个那个气氛和那个都差不多出来，就是啊大概是那么回事儿。但具体是这么回事呢，就是你还想知道吗？现但但是他的在本本就搞成这样，就是每个每个角色都不说人，好像确实不是人嘛，是虫子嘛，对吧？他说的话都不连都都不连不连，连句句就是上上上海文也不接着他。可能你要花很大的这个精历去把他们拼在一起，, Start Time: 2790850
Text: 可能你会了解这个可能也是一种乐趣。但是我觉得就是这个本来就很碎片的叙事，嗯，然后这个每块碎片本身又特别的诡异的话呢，就会让让我产生一种很疲劳的感觉。就是算了，我就就让游戏戏玩就得了，就是不是很有兴趣去了解那个具体那个游戏到底是什么剧情，反正大概就那么回事嘛。, Start Time: 2811060
Text: 对啊，就是这样，但是我可能斯盖尔不太同意啊，他会觉得说空袭士这个剧情特别好，或者是怎么着的，因为文本特别好。对，但我是觉得就是他就是会让让我这种就是玩家就会觉得说算了，就是有一种放弃的感觉，就对对他的剧情了了解。还有一个不爽的地方，就是这个你要我真真局的时候候，, Start Time: 2831300
Text: 你要打这么一个关卡，叫做白色宫殿啊，毫无道理，就是他们毫无道理。因为我是这个不玩这个平常跳跃的人啊，未蓝我都没玩啊啊，基基本独立游戏我都买了，结果结果玩上了，还是让这游戏让你结果我玩了三十几个小时，特别好的。有那个 matical v 你你知道吗？我等着最后有什么连续的连轴 boss 战什么的吧，, Start Time: 2849900
Text: 最后告诉我，你什刀刀啊技能都没用，跳大哥哥，而且那个难度我觉得基本能达到蔚蓝的 b 面了吧，是吗？对，巨难，我反正我是就跳了一晚上，我都要我都摔摔手柄了。你是拿 NS 玩的吗？我是我是 steam，因为他是一那游戏 EA 的时候我就买了。那你知足吧，中间我就对中间我就断了，, Start Time: 2870530
Text: 就是玩了一下，就是是就放弃了。嗯，然后后来这个咱这个核集变什么让羽毛弄的挑战似来，我也是看着他，然后我又勾起来玩上了啊，个游戏战战稳稳稳一，你你都都没买了，还是对，还是得办核击变。我是手发买是核击变，就有这个好处吗？对，让你花钱是嗯然后就就玩了一下，感觉就是除了这两个礼仪块以外，, Start Time: 2890390
Text: 我觉得其他都挺好。然后再一个呢还是能感觉到什么呢？是是跟羽毛也说，他也觉得就是呃十几个小时之后，跑图会变得有点儿枯燥啊，就是去解开那些什么东西什么的，然后就是就想打 boboss，嗯，啊，就想就是这个那 boss 让设计特好。对对，我觉得是都能感觉到一个什么问题呢？, Start Time: 2909610
Text: 就是游戏的就是怎么说，花钱的地方还是有价值的。对你像以前那些老的经典的曼兽维尼亚，比如恶魔城啊什么的，我们跑图的时候没有觉得枯燥。对，就毕竟还那些还是大制作的游。在当年嘛大制作的游戏，就是在美术上啊各方面啊都很比较饱满啊。对这游戏虽然说我只能说他美术是个讨巧的方式，, Start Time: 2925240
Text: 就是用很很很少的经历吧。可以呈现出很不错的表，但是整体来说还是个独立游戏，就是很单调，是白的黑的小小人小小虫。大概就是些像简笔画这种风格，所以跑来跑去还是会烦的。啊，所以还是希望如果说这个大厂能够再投点投更多的这个资本进去，还是做一些这个卖兽未来游戏，我觉得还是有有是的出路。, Start Time: 2944000
Text: 毕竟包括今年八方旅人这种，对对对吧？它明显就是比独立游戏要高出一大块，对对吧？然后还是那种复古的，而且还是有市场游戏卖的特别好。所以我觉得像这样的游戏成功的例子，可以让就是以后这些已经渐渐在主流里淡出的这种老的游戏类型，让被大厂再捡起来说啊，其实这些游戏我们还能做，, Start Time: 2966190
Text: 不用再花几个亿了。我们稍微拿出一点比独立游戏高高一些的资本，嗯，用我们的这个现有的资源可以做出来比独立游戏好的多的这个效果。嗯，我那天做梦梦见月下整治了，那真的是做做做梦，梦去我都梦了好几回了了。你们真的我最近也玩空洞的，但是比较前期，就是刚才不咱俩不也聊嘛，, Start Time: 2984070
Text: 我可能才到第四张地图。就是因为我之前想这些说过，就是可能有本身的问题我不认录，我只真的不认录，就就包括玛丽图之后，我可能就是到一个新的版面，我就得打开地图看一下我具体的位置在哪。嗯嗯，然后之前如果录过了一些钱，我错过了可能过个十几分钟之后，我真想不起来。那钱在哪？, Start Time: 3006600
Text: 嗯，我就是不认录到这个水平在所以在游戏前期大概三四个小时的时候，给我一种感觉，可能是这个候。可我知道他们开发组组有三个人啊，就是可能他们在前期对自己的游戏整体的架构嗯稍微有点自信是，所以导致了可能对一些就是可同是特别喜欢亚类型的这个玩家会不会在初期会被劝退的。, Start Time: 3024380
Text: 是的是的，是有这个风险。因为你在中间整个玩的过程中，你能感受到那个独立游戏的时候，那些就是有一些欠火候的地方，就是巴塞维尼亚。整个不是讲有一个他其实有个体验的曲线。对，嗯呃先动，最起码先带你进来。你像比如最好的月下，他的那个体验是非常平缓。非常就是你在每一个分每一个地方的体验都是有正有有稍微有点分裂，, Start Time: 3046000
Text: 马上给个正面给你啊。对对，你获得能力啊，拿到装备啊，他都安排的那个体验非常好，让你一直有奔腾玩下去。越下的舒服服就在于你前期你没有别的路可以走。对，然后空洞的话呢就会有问题，就是可能对一些这个就是不太擅长动作戏的玩家以外，他有好几个坎会让你把这个游戏弃掉。, Start Time: 3066510
Text: 对，这个就是他其实作为独立的的这三个个人嘛，或者者是验验不够够是是开发周期之类的。对，就是他在这个所谓的这个心流啊，对，就是不是那么考究。嗯，你要有的时候会克服一点自己这个气馁的心理，然后再往前玩就会有点茫然。就是刚开后啊，你就又又接触到一个甜蜜的地方，然后马上可能又有一个向下的地方。, Start Time: 3081790
Text: 对，那个个个个西个是很的虑外外，但这这游游戏就是还是再说回来，再跨的话，就真的是你，尤其是 marrvanboss 战的魅力在于什么呢？就是你能特别快的意识到获得周期之来是能特能特别及时的反映。在我打 boss 这个状态上。是的，就是它的节奏感对，真的爽。, Start Time: 3102170
Text: 嗯，所以就是哎就是虽然有点难受，但真的很爱这个游戏。对，但最后突然变成平台条件，没有这个状态。对啊，你去玩未来，这就是独立游戏的魅力，你知道吗？是想怎么着怎么么？我感觉他做到做到最后发现我操未来好好玩啊，我也会。对，但是我特别庆幸我未来是在超外上玩的，是吧？, Start Time: 3118040
Text: 对，所以那个手柄可能让我觉得稍微舒服一些啊，因为那好到最后给我捏的确是太疼了。嗯啊然后我的话这个又玩回了守望先锋，哎，对后想拿这个皮肤。嗯嗯啊我我对不起，我就我又给暴雪这个送钱了是吧？没倒没送钱，送游戏时间了，送了时间啊。安娜皮肤确实想要啊，是猫神嘛，是真的很很不错。, Start Time: 3136650
Text: 这个埃及主题吗？还是什么意思？因为安娜就是个埃及人啊，对，安娜和法英，这不就埃及女女是是是那个猫神神什么么来着？之前贝斯特啊哎哎这个中文这个暴雪好像没翻译成贝斯特，嗯，反正是差不多这个个这个名字嗯，是是嗯不是是不是是是嗯，啊然后除了守望先锋，这这个这个这个就没什么可说的啊，, Start Time: 3162750
Text: 这个这这不说，然后有一个游戏我很想玩。嗯，呃我在犹豫，我这两天在犹豫是不是要买？是这个 steam 这样一个游戏，叫做这个 parky teact。是这个一个这个这个游乐游乐场建造模拟类游戏啊，模拟经营游戏。 party teack party parparty 啊，, Start Time: 3185470
Text: 就 park 啊啊啊， party y teack。就就这个。对对，就就就就就这个意思，这个名字。对，然后其实它就是一个这个模拟经营类游戏，就是你你建到一个游乐场，然后去运营它等等这种。因为我非常非常的喜欢过山车大亨啊，对我特别我特别喜欢这个游戏。然后后来呢，, Start Time: 3207240
Text: 其实这个 steam 上有这个过山车之星嘛，这个游戏。对，但那个时候很多人说说觉得过山车之星是这个过过山车大亨的精神续作。哎，但其实还不太一样，他们俩他们俩注重点这游戏。嗯，过山车大亨所注重的有一个点是这个过山车的这个修建，因为他这个自由度在当时来看是很高的。, Start Time: 3226760
Text: 然你自己去搭这个轨道，哎啊，你你想它你怎么翻转啊等等啊，你都可以实现。但还有哦另外一个重点就是这个经营这个公园。对，就比如说你除了建造过山车之外，你要怎么把你这公园经营的非常的好啊。让让别人爱上你的公园，让别人愿愿意在你的公园里花钱。嗯，这是他这个最重要的两个可玩的点。, Start Time: 3248040
Text: 但其其过过山车之最，最注重的就是修建过山车啊，就是怎怎么能修建出各种奇奇怪怪的过山车，他遵循物理规则吗？呃，算是遵循的。但是有好多人修的那个就看起来并不遵循，也也也能成立，也可以成立。因为呃如果你在 youtube 上搜过山车之星的视频，你发现大家展示都是自己修建那种特别诡诡异的，, Start Time: 3269330
Text: 特别厉害的那种嗯，啊都把人玩死死，就就是会游客会出事吗？对对对，那好像不会出事吗？就就是个涉计让你啊。对对对，哎，你你真人敢坐过山车吗？我坐过，但是你要说问我敢是敢，但是我不会说很很自愿愿愿愿意去做不敢做的。我我跟我提那玩意，我跟你说我来不了，这时候来不了，, Start Time: 3294910
Text: 我也来不了龙马，怕这个是吧？怕这个啊啊媳妇太爱做这个个行对女性对对，好像普遍的这种东西的接受感，接受能力就程度会比较高。我跟他做过两回，就是全程就闭着眼睛就过去，就就不想回想，对，睁眼就要疯了，知道了，包括游乐园里那些转啊什起起来都不行，宇宙飞船那些我都不敢做啊，, Start Time: 3316050
Text: 对，高什什转转都不行，别人我都脚离地，你知道吗？包是个脚踏实地的人，对不敢做啊？对，然后所以刚说这个过山过山车之星，其实这个可能只是在某种程度来说，跟这个国山大亨亨有相似似处啊，但其实这个 party tech 就更像是过山车车亨的这这个精神续作啊，因为他除了说当然也有建造游乐设施，, Start Time: 3336480
Text: 修建过山车的环节，他把这个经营部分又更细致化了啊，就比如说你不像以前说你单单的，比如说你你想在你的公园里建一个卖东西的商店，你直接建建这儿就完了。嗯，它这里边是你建完商店之后，它后边还有一系列东西，需要你去规划。嗯，对，所以说它把重点也放在了这个经营方面。, Start Time: 3365260
Text: 哎，对这个对于喜欢模模拟经营类的朋友来说，嗯，其实这个游戏比国产车之星要更适合你啊。对对对，嗯，然后这个游戏我今天晚上回去买吧啊，说了我我补充两个相关的，也是没怎么玩，其中一个是这个杀戮尖塔啊，开放了这个 mode 的知识。嗯哦，然后这两天那真是爽 mode。, Start Time: 3385170
Text: 对，就是他可以允许玩家这个修改，比如说自己设计牌啊，然后自己设计个职业啊啊，然后替换卡面面啊，那不不得拿这做一个传说呀，你这么着玩家的能力，可是做做个个什什么 a 嘛。对对对，这个真了不得。然后所以这个个今天 s 版要上了，但是这个临的 NS 版的上线啊，, Start Time: 3408530
Text: 这个 steam 版有了这么个事儿，哎，牛逼，但是我还没没有机会仔细的翻一翻。最近的这个创业工坊里有没有哪些这个神作啊？我看了一个把这个做了一个人物，是这个东方的魔拟杀。不对，特别牛逼啊。我不知道，我不我其实不是很清楚，他是专单杀做的，还是说他就把那机器人那个球改成了，, Start Time: 3432290
Text: 我还不太清楚啊，我想翻一翻，我觉得这个万物皆可东方嘛，这成对东东方的是啊挺牛逼的啊。还有一个游戏，这个推荐给大家一个叫叫 arial 四六四三啊，这个游戏是忍者杀手世界观下的一个游戏。然后玩法是这个迈阿密，这现实的就是忍者杀手是什么？对对对对，忍忍者杀手是这个去前年了吧，, Start Time: 3450920
Text: 已经是前一七年了。对对，简简，这我倒知道是这个班机设的一个这个动画作品。对，忍忍怎说呢呢？靠他的不能说靠他，反正是好动画是吧？对，忍忍杀我，你以为什么呀？我游戏戏个游戏是啊忍者杀手的这个对对这个跟他同世界观呢，然后这忍者杀手杀手呢是一个非常非常奇怪的赛欧朋克动画啊，, Start Time: 3477320
Text: 这个我们看我那上人就是那个对，都是纸片人啊。他啊我知道啊啊那个那个那个那个呀突然就知道了这个那个宁迦斯莱尔是这个很有意思，就是他原来我印象中他是这个九几年的时候，是在美国的，一个就是塞欧朋克的这个就是读物啊。然后他被翻译到日文的时候呢，就是有一些直译，就是日日式直译，, Start Time: 3501820
Text: 然后就导致他那个成文很魔性，然后就成为了这个一个很棒的这个亚文化传译。对，瞎喊。然后包括里面有一些这种就是忍者之间，那开场之前一定要这个问好啊之类的啊，死合的时候一定要说这个赛欧达拉这样的啊，就是特很神奇啊，然后一些奇怪怪叫叫声，就已经是是一个亚文文的用成句写成了奇怪的小说，, Start Time: 3526820
Text: 然后也号称这个无法奇法动画画。嗯，啊然后当时这个班级社就接下做成动画，就是做成一个特别奇怪的这个动画，包括这个纸片人士的战斗啊，然后算是当年的什么泡泡子那种感觉的。嗯，但实际上他不是不是不是喜剧的，就是他越往后看会非常严，这还不喜剧呢，反正我当时对，就是你看起来很滑稽嘛，, Start Time: 3548100
