Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。计划新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 把自己的爱好做上去，那就能成一个经点。对，是这样就行了，当然也是天时地利人和的这对对对对对，嗯，虽以说回奇海博士，我觉得其实辐射整体不光是在黑色幽默上借鉴，其实很多地方上我觉得都有他的影子。对比如说阴谋论，对和捆绑之类的，就是就是在奇爱博士里，奇爱博士这部电影的世界观就完全是进驻在阴谋论上。, Start Time: 1914550
Text: 那么而且就是和捆绑和和格炸的这样的气氛被推升日高潮。实际上是一个交替的这样一个蔡依链。那么像三体里面讲过，就是蔡依链的对对对吧？那我和西蒙对面坐着，我我我不知道西蒙在想什么，西蒙不知道我在想他想什么这样一个链条，那结果最后引发了最坏的结果。嗯嗯，那么实际上他也是对人类的一个讽喻啊，, Start Time: 1937150
Text: 他是一个现代寓言啊，而且他用喜剧的方式来表现。对，就是说对严肃的这种残酷的问题，用喜剧的方式来表现。但是你面你明知道他是个喜剧，你仔细想你是笑不出来的。对啊对，嗯，这这个这个这个是笑是当时其实也笑当时能笑，但是你看完了之后就不想笑。当时你就是说看完之后就是比枯萎的时候，, Start Time: 1957870
Text: 对嗯，所以说是库布里克嘛，嗯这也是无法替代的人。对嗯，那我们说就是说那个谈及就是说核战啊，谈及就是说库布里克啊，他这个人能够就带来的就是给辐射的这样一些影响。我们刚才说了很多内容，那么辐射里边有一条是更重要的，嗯，也吸吸引非常非常非常非常多玩家的。如果没个东西，, Start Time: 1980440
Text: 就像我们今天在这说说这些事儿。如果没有一些扯淡的内容，我们自己说不去。对对，嗯，这个是什么呢？就是荒诞荒诞荒诞嗯，那么就是荒诞这一块来讲的话，对于刚才这个系列影响最大的就是 monitpatson 蒙 dey 蒙迪子。对，嗯，就是他的两部电影是非常牛逼的。, Start Time: 2003820
Text: 那么就是说我们讲是巨蟒与圣杯嗯 pabryence life 万事魔兴。嗯，那么这两部电影对那这两部电影也是就是说蒙迪佩斯这个人，他的他和他的就是说创作团队真的是就是鬼才的集合。嗯，啊这种程度一点也不亚于就是说黑岛的这样一个状态啊，就是就是这帮人啊，外财传到人。, Start Time: 2025730
Text: 对对对对，那么就是真的是怪胎团队，而且是更关键是他们聚集在一起做出这么个东西来啊，就是巨蟒与圣杯和那个万世魔星这两部片子单用语言描述完全无法描述，根本就无法表达词汇太偏繁了。然后你也是聚宝与圣杯这部电影，可能尤其是对辐射系列影响更深一些。对，就是说这种。因为你看在福顺福州二里面，, Start Time: 2045135
Text: 专门还有两个事件来致敬这部电影亚瑟王福顺二和平实亚瑟，还有谁是手榴弹？对对对对对，事情谁是手榴弹，这个这个梗实在是太棒了。对他实际上电影我看完最后的结果就是怎么说呢？我认为就是他是真正的荒诞，就应该是这样。 no fucking reason，什么原因都没有。, Start Time: 2071740
Text:  no fucking reason，就这么个，就这么个事，就是胡逼，就是就是电影，就是电影，就是荒诞的本身。而且就是说这部电影它不是给你说教，他只是展示对他告诉你真正的荒诞。他其实就他妈是这样的呀啊大概是就是前面的这部事情。你像就是说我讲基调，讲那些些 mad max 啊，, Start Time: 2092320
Text: 或者说是甚至其爱博士，我可以去描述他的故事情节，他是一个怎么样。但是只有这两部电影完全想用语言形式完全怎法讲啊，并非这两部情身确实无法帮你身杯，就是亚瑟狼主要圣杯的故事。但实际上呢，圣杯找到了巨场在哪里，你你也不要问为什么，其实都不骑马，也不要问椰子壳是怎么回事，, Start Time: 2112920
Text: 也不要问麻雀为什么其实椰子好。对对，你也不要问问这体思家怎么死的，反正这电影没有原因就是屌。对对，就是看就行了。对你也不要问为什么，就是为什么一个姑娘比鸭子重鸭，就是一个子子比子重，那个为什么你就输了。对你只要只要认真的就输输了，就是说所以这样就是一种荒诞的核心。, Start Time: 2134780
Text: 对我说，有些事情生活就是本来就是如此荒诞。如果你一定要追究荒诞的原因，那么你本人就已经太荒诞一帮怪逼。对，就是你不是用，其实他又你单纯用一帮怪逼形容，也也也不是。就是你明明知道他在喂你吃屎，嗯，但是你说不出来半个字，就是这种情况。对啊，所以说那个就是呃如果对于辐射的黑色幽默和荒诞世界结构啊，, Start Time: 2156750
Text: 有兴趣的人的话，不妨看一下这个点，不是不防，必须要看必须要看。因为什么呢？即使是在今天，即使是在就是资讯爆炸，然后人们的生活时间都碎片化的时候，阅读也碎化化。这这样个情况下下，这两部作品依然不失它的魅力。就是对，就是所以说强烈的推荐各位看一看蒙德菲的两个，, Start Time: 2183680
Text: 就是一个万世莫兴，一个个一个一个个那个个圣圣杯。对对对，这两作作品的的非常棒，剧爆的圣圣杯，个人人为为都已经变成一荒荒诞的文化符号。对对，后来征结的电影，金凯瑞的电影，他发现很多荒诞的部分都借鉴了，引用了大量的这个部分。对对对对对，最后那个法国人在城墙上拍墙做笑的那一张，, Start Time: 2203800
Text: 你像 DNF 出现已经变成一个一个，怎么说呢？变成一个梗，一个一个核心圈，对，流传于各大欧美网络文化圈。对对对，这其实就像我们今天就是暴走漫画姚明脸这个啊嗯他就是一个就是当你想表述一个东西难以名状，就是又觉得很慌，你可以用它嗯难以名状的荒诞。对，难以名状不这个事事太扯犊子吧，, Start Time: 2224940
Text: 但是怎么会这样呢？但是确实存在怎么办？那个哎对这种时候你真你真的很难形容这个电影，他究竟讲了一个什么故事，反正他他就他哎就是荒诞，你看你看你看你感觉跟我是一样的志军，对不对？就是说不是本人无能，而这个电影太屌。嗯，你你张嘴不知土何言啊，就是你完全不知道从何说起。, Start Time: 2249510
Text: 好吧，我们现在就就不知从何说起，我们就是说说说不就不说了，希望大家一看啊，那么就是说辐射里面很多对话之类的对荒诞的内核。嗯，那么就是在这里面有很多的内容，他辐射里面也吸取了这个荒诞元素，在游戏里面很经典。对话就是当你问及亚瑟骑士说啊，你知道拿亚瑟骑王先问你知道哪里有圣杯吗？, Start Time: 2270450
Text: 然后主角随便在地上随便的指了一个辐射吗？然后主角主角回头问亚瑟，王王说，你知道哪里有这个技术系，你点人创创造器嘛？瑟瑟说，我知道，然后地上随随便指什核对，我们听到这个故事，这个是特别棒的开始意思。对对，那么这是就是说服可以说是辐射荒诞精神的一个根源，或者给我们讲是无厘头，, Start Time: 2292090
Text: 他就是无厘头元素啊，那么更多的就是影响到单部作品的，影响单部作品的。那么大家比方说我们举个例子，新维加斯嗯新闻加斯斯的核心的影响是凯恩克斯纳的邮邮邮差邮差一九六八年。对，这一部的就就是邮差这个人啊，真的的是他妈的了不得。你想想看，就是说被冠以邮差绰号的人有谁嗯啊就是凯恩斯丹纳他绰号了，, Start Time: 2316940
Text: 邮差嗯，那么觉卡尔马龙嗯他绰号有邮差嗯，这个人就是说为什么叫邮差？天天上工，风雨无阻，什么事都干，然后还保证把你能把你弄得欲仙欲死。就是说这样一个情况，那么邮差这部片子呢，它就是表述的也是在世界末日之后，那么人们通过就是说邮差来联络，那么倒退了嘛。对，那就是说电信号的这联络方式已经完蛋了，, Start Time: 2343020
Text: 那无线电也不好使，那怎么办？人们就是说原始的传递信息的方法，邮差虽然效率低啊，但是他能保证能够送到这里边，就出现了就是比较强势的那种，他只是一个人。对，那这个邮差他只是一个人的，居然能把信送到，嗯，太可怕了。那么就是我们前面讲过，就是说那个向莱维维斯赞歌里呗，, Start Time: 2370280
Text: 嗯，那么修饰他去给教廷送那个就是蓝图。对那结果路上其实就死在强盗手里，但邮差的强大之处就在于前面，不管有多少强盗，一概车过去了，他死不了。对对，那么就是在在邮差这部片子里边呢，它实际上就是是一个我们前面讲到的就是说体制反体制嗯，啊它实际上是一个繁体字的这样一个片子。, Start Time: 2390480
Text: 他死诉你嗯，在末世或者说是在真实情况下，你能信赖的，或者说你能认知到的，除了就是你自己之外，你要必须要信仰，嗯，啊，你必须要足够信仰来支撑你来完成你认为神圣的，或者说你认为有必要的这样一个使命。对啊嗯那么就是我们在游戏里面看到邮差这个人其实也是屌不得了，头上吃颗子弹死不了。, Start Time: 2415080
Text: 嗯，啊那么就是如果说是你那个幸运点到十的话，那就是说医生会跟你讲说你这个真是太了不起了。就是说死神的绕肉你走大概是这个意思。嗯，那么就是嗯那么就包括说是其实这个他就是向凯克斯啊来来全盘致敬的这样一个内容。嗯，包括邮差在废土上的这样一个游历，新维加斯的整个的游戏的这样一个结构。, Start Time: 2438040
Text: 邮差在废土上游历实际上是什么？你目睹了很多人的经历。对啊，你参与了很多人的故事，你承载了很多人的责任任啊，但是最后呢你是一个邮差，你要把很多事情送，你要把你的职责完成，你把该带点的东西带到嗯啊该举是是能必得啊。对，使命必达。对对对对，发三邮差这部电影呢，我邮差这部电影。, Start Time: 2465600
Text: 我的个人认为他虽然很多人评价说邮差这部电影是一部大乱片，说他是什么呃，极帜片美利坚文美美利坚文化宣传片。但实际上我认为这部片的核心精神是你不能把它忽略掉的。就是他引人提的英雄和流氓，往往就是一念之间。对，是对，是的是的。他每一个人不是天生，就是英雄，成为英雄必需要。, Start Time: 2489210
Text: 有时候并不是一个多么浓厚的契机，只需要可能是一口气，一个信念念。他他另一步就是说说有强权的地方不愿意。有反抗而强权之所以有强权，是因为他为了掩盖他自身的软弱。在整个电影中，我们看到最牛逼的的那个反派是像以前是个卖打印机的。对对对对对，这些打印机销售员。对对，, Start Time: 2510830
Text: 他之所以用自己的这个就是用这种残忍的手段来来对待他人，实际上是为了掩盖自身的讲座。而一个英雄往往并可能他的内心并没有那么那么呃那么伟伟伟大，但他的内心必定是要很坚强，他的很多精神内涵你不能把他忽略掉。我是这么认为的。对对对，是的，就是。那么他实际上就是本身这个片片它仍然是一个就是后起出入片。, Start Time: 2532530
Text: 嗯，对，它也是一个反英雄主义的这样一个内核。对，那么键问问题是在个什么呢？它像你揭示的一个东西很浅显，但你也许没有想到英雄也是人。对啊，英雄也是人，就是说他也有自己的，就是说痛楚也有自己软弱的部分，也有就是不可告告人的东西。嗯，但是呢在这件事情里面，他是英雄。, Start Time: 2555550
Text: 对啊嗯事件里面。对，在事件里面也是也是英雄，那就好比说是你那个就是男女之间嘛漂漂的姑娘里上厕所了。当然了，对嗯，这个明星也长火尖子。对，刘禅这部电影，我反正是觉得他还还有一个观点，就是我们常的就是星星之火可以燎原。太是我的态度和原论。对，有很多这个这个精神精神文化符号在里面，, Start Time: 2576150
Text: 你不能简单的把它看作一部美丽天言文化宣传，这件事是不对的。对对，这样是不公平的，我认为这样是不公平的。对他实际上讲的是就是说人还是就是这些作品，它的共同特征仍然是强调人性里面共同的部分。对啊对对啊，那就是说像邮差这种，那么就是说说到西部片，季君来介绍几部吧啊所以因为是提到的这个辐射系列啊，, Start Time: 2603400
Text: 就不只是要提到西部片。因为要提到它的几个文化核心，就是黑帮片和西部片啊，黑帮片，还有还有黑色电影，我们之后可以谈 fime。 no 呀。对，为什么要提到黑帮片和西部片呢？因为因为呃西部片是美国文化里面英雄人物的一个文化体现。嗯，对对对，西部篇它黑帮篇是美国文化里面所谓的经经济时代的一个呃黑客缩影。, Start Time: 2627560
Text: 对对，呃，不管是在维维加斯还是在辐射，甚甚是在辐射三里面，你都能看到很多这种。比如辐射三的西部元素可能少，但辐射三的黑帮元素不会少，就包括那个奴隶犯体群体。对对我比较推荐的。对我比较推荐几个呢就是辐射系列，经常在提的一些系列。比如说啊辐射，我们在新维加斯和辐射二面呢经常看到几个梗，, Start Time: 2652480
Text: 就是黄金三镖客的梗啊。对啊，是这个克林克布跟 ugly 啊。对，好人、坏人、好人、好好人、坏人、好超人。对对对对，呃，就是克林特伊斯特伍德的这个经典电影，我是比较推荐他大家去看的这是他对于怎么讲，也是一个很关键的精神内涵。就是呃好人不一定是好人，坏人也不一定是坏人。, Start Time: 2673520
Text: 你无法永远不能从他所做的一切事情去判断一个人的对错。然后另一个观点就是你永远都就是命运对待，你永远都是荒诞和离析不清的，就这样的一种一种观点。对对对，在配合上西部西部片的内涵，它往往体现出来就是一种在这种苍凉的大地上啊，人们彼此为这个命运啊相互争斗的一种故事。, Start Time: 2695690
Text: 就是黄金三雕客，我可以推荐大家去看一下啊，另一部要推荐的西部片呢，就是有些人可能我觉得我要推荐这个克林特蒂斯五德，就是是呃意大利意大利西部片三部曲，但实际上我不会再推荐更多。因为西部片呢，黄金三三雕一部部够够了，我另一步推推荐西部片是什么呢？叫做蓝格，是个动画片。, Start Time: 2717775
Text: 对 rango go。我之所以推荐这部 rango 呢，实际上这个个是是一个是这个就是个个梗集集合，它讲述的是一个生活的大城市的蜥蜴，掉到莫哈维废土里面。莫哈维沙漠里，一群西部生活在西部废土上的昆虫动物的一个动画片。但实际上它并不是给小孩看动画片哦，他对他不是一个小孩看照片，, Start Time: 2737350
Text: 他中间是他深刻内含了很多跟人性和自我斗争有关的东西。他这部电影，如果你看了这部动画片，你再去玩什么？是新闻加四就能体会到很多呃深层次的意思在里面，你能够感受到这一点，我是比较推荐他去看的，为什么去推荐他呢？中间有一有这么一段话，就是说呃主持人后来遇到西部之魂，, Start Time: 2760430
Text: 西部之魂造型经克一测一测五德是一样的。也就主角问说，但我明明不是一个英雄，然后我也没有那个能力，是我我也我也从来没有当过英雄，然后那个西部这边搞子说呃， unno one can work roout for his own story。有没有人能够走出自己的故事？, Start Time: 2780440
Text: 如果你不是英雄，那就翻译英雄 be a hero。就它是这样的一部呃，充满着西部片，也叫西部片色彩的动画片，它也充满着这种废除文化一个荒原之上文化的一部电影。我是很推荐大家看，因为西部文化是充斥在整个辐射二尔辐射行为加斯内的这是我推荐的。嗯，另一面要推荐就是这个全民公敌约翰德出演啊，, Start Time: 2797540
Text: 全民公敌。这个在哎这个是在辐射行维加斯的人有非常深刻的记，就是拿着芝加哥打字机。呃呃，国印银保险险柜全民公迪对高米杠嗯，另一个就是邦尼和克莱德，这两部是天才雌雄大盗雌雄大盗。克莱德。对，因为在辐射里面有各种各样有关这个当年黑帮片的梗啊，尤其是辐射新维加斯里面的赌场文化，, Start Time: 2817860
Text: 黑帮文化。我是很推荐大家去看一下，你看完这些东西就能更深入的去理解文化。哪怕你回头再要去玩这个游戏的话，就能更更怎么说呢？更深入更深刻的理解的更透彻一点。对，其实就是我我第我第一次玩到就是 prime，我在玩新维维斯斯德玩玩 prime 进去，看到那个就是那个石碑，, Start Time: 2841410
Text: 就是写着磁雄大盗那个石碑，当时就喷了就是了。对，当时就喷了，他就是帮尼与克莱德像也好。对对啊，梗子就是帮尼克莱德了啊，呃，亡玩鸳洋洋道了。对，然后那个电影太棒了，关键是你在游戏里边就是游戏经过再创作嘛。进是一个生化再创作，就是解决帮尼克莱德的问题，就是他们俩藏身在新维加斯附近一个小破屋里，, Start Time: 2860530
Text: 然后你可以嘴炮了。科么德。对对对对对对对对，之所以要推荐黑帮片，就是赌场场化。实际际在些当一个社会失去了伦理和道德，失去了信仰之时候嗯，能够辨的有多糟。嗯，对对对，是的对，辐是新微加慧云。实际上已经把这些东西我们说讲雅化了，高氧化它并没有真的把它做的那么那么夸张。, Start Time: 2882770
Text: 那么灰色它并不像是福特三把，一切都真正赤裸裸血腥的时候，罪罪罪恶、罪恶直接展现出来。对对，它新维加速也一是非常细谑的方式，用非常这常吐槽和和黑色幽默的方式。现在你看，然后用一种用这种黑帮片的这种模式告诉你啊啊，当人失去了道德之后，人就会变得如同野兽一般。而它是什么样的野兽呢？, Start Time: 2905850
Text: 就用这种呃电影化和模式化的方式告告诉所，就是我推荐大家去看一下黑帮片，感受一下美国的黑帮文化，感受到上个世纪二三十年代、四十年代的这种爵士文化的蓝调文化，它究竟是用什么样的？对对对，很多人说是不能理解，说哎呀，说是辐射里面这种呃文化素材好难看啊，人都是梳着那种呃油光发亮的这种这种大背头女性都是那种波浪卷啊。, Start Time: 2928910
Text: 但是如果你看你会过这个文化，你就能理解了，这是我推荐它的原因。对，那么就是像这些人说的，我们说到就是说西部电影，黑魔电影那不可避免免说到就是黑色电影这样一个流派。嗯，那 film 啊它就是一个它实际上是电影啊，它本身就是反映一些故事。但是就是黑色电影它反映的是社会问题，, Start Time: 2953050
Text: 嗯啊社会的那些就是黑暗的可碰触的点。嗯，那我们把这些事像就是说展现出来，那么像就是说我们最熟悉的一个角色。神秘陌生人。 noimr mr stranger， mr stranger。就是说他就是他的装扮或者是的装束，就是典型典型特别黑色电影里边的就是说人物的这样一个装束，, Start Time: 2972890
Text: 那礼貌风礼貌电衣、黑色手枪。对对对对，个左轮手枪也是点点四四对顶四四，左手手这手手枪也是很一发九千多。对对对，太厉害害了。就是嗯那么就是黑色电影它本身的一个经典的特征是什么呢？城市的背景嗯，黑夜嗯啊暗淡的光源周边暗淡的光源，萤火之光。嗯，那么很多不可告人的事情在这里发生。, Start Time: 2993060
Text: 对那很多残酷的事情在这里悄然的这样一个诞生。那么就是说是对美丽但是脆弱的女性嗯啊等等，这些都是黑色电影的这样一些经典的内容。对，包括说是辐射整个辐射里边引用了非常非常多黑色电影。那么像俊俊刚才说的一些这样的内容，那么包括说是像辐射一里面辐射一里面的赌场。嗯，, Start Time: 3015200
Text: 马尔塔之鹰。对啊，马尔塔之鹰它本身呢就是说小说它就是一个硬汉之战小说。嗯，那我们知道硬汉小说这个在四五十年代风靡一时，那最后代表就是林伯德勤德勒嗯啊装逼犯极极致。那发比士海明威认为不用能在。那么就是说像这样的一些作品啊，代表当时一些社会思潮对那发生了很多事情。, Start Time: 3037350
Text: 嗯，那但是并是我我就是当是主角或者说是参与到其中的人都能够做些什么的。更多时候你是感觉到深刻的无力感。对啊，你做不到什么？那你就是说同样的游戏题材，你像黑色洛城。对对对，刚好说黑色洛成。对对对，就是它实际上就是就是黑色洛成这部片子，它实际就是不是这个游戏啊，, Start Time: 3058550
Text: 它实际上就是是片子。对，也是片子，它是给你一个电影化的一个成绩。对对，你在过他的时候，你就是一个黑帮电影，就是黑色经历也是。对对，那么他是发生在都市里的，那么我们讲就是说辐射三它没法上 film noil，就是因为它这个城市里面炸秃了，就是但是像那个西里诺是新维加斯，, Start Time: 3080270
Text: 他是非常常合。对对对，西里诺是特别典型的那一个城市，黑就是黑色电影发生的地方。那我们刚才讲到说像马尔塔之鹰，嗯，那么我们看四代那个宣传片里有一个男的走在那个霓虹灯，那就是特别典型的那种，我就感觉是那种风格，但哈里风格电影影还是熟悉的配方。对对对对对对对，把爆烟压制的底方啊要看不见。, Start Time: 3101390
Text: 里方有一种阴影，打在人的脸上，穿着一个大衣，慢慢的缓步走在灯灯光辉亮的大街上。对，很多。那么就是黑色电影这边可以推荐的也是非常多的那得打个比方说，像刚才讲的马尔塔之鹰，那么致敬的，不光是辐射一，那么就是辐三三新维加斯里边的就是杂志嗯，枪与子弹啊，上面就是那枪，, Start Time: 3121150
Text: 一个人，一个人拿着一个手枪，那一张那个那个杂志的封面是像马尔塔之鹰的海报之敬啊，完全构图完全一模一样。对啊，只是文字化嗯啊或者说抄起来也不要脸，然后当然人家就致敬，人家就致敬了，致敬超跑就致敬。对对对，那么就是包括说像猎人之夜啊，然后等等等等。就是这样的一些黑色电影，, Start Time: 3140910
Text: 那么大家也可以去读一读雷蒙德秦德勒硬汉小说，我是超喜欢的。嗯，因为就是说肥宅装逼嘛。对，嗯，就是就是那个我一个朋友，他曾经形容过雷蒙特切特勒的小说，嗯，是什么呢？硬汉，然后特别丧，又又又又嗯喝酒，然后碰上一个案子去去案子特特别丧，要不然赶回来了。然后碰见女人，, Start Time: 3163340
Text: 然后妈不个人好上了，然后把女的赶走了，然后把案子破了完了特别衰，然后回去又喝酒，就是这样就是这样个故事。那对对那所有的故事都是这样一个故事，无论是他的一些对经典是种很铁血，很孤世硬汉这种角色。对，就是说漫长的告别啊，就是说或者说是高窗小妹妹啊，那那个再见爱人啊，, Start Time: 3186920
Text: 这样一些，基本上他的基调都是一样。但是他欲罢不能。嗯，他让你欲罢不能，因为什么你感觉就是说这是我理想中的男人啊，理想男人就是一该理想中男人硬汉性。我他妈不需要什么女人，我他妈不需要什么成就，我就是我啊嗯我他妈可以喝十二杯罗丝起子一样开车，就是这样一个情况啊，, Start Time: 3208160
Text: 就是装逼犯的极致啊，那么就是这是关于黑色电影和他文学作品这一块。然那实际上说到这儿呢，这个就是我们关于电影基调已经描述的非常多了，但是呢对远远不够，因为什么呢？这里边在辐射里边还掺杂着大量的就是说其他电影所借鉴的元素，而且这帮孙子与时俱进到什么程度呢？就是说呃我游戏制作过程当中，, Start Time: 3225540
Text: 发售电影我也拿来用，做着做着直接做着做着拿就用了。对对对，就打个比方说，你像一个什么终结者啊，那者二二对对，天网天网等等等等，拿了就用了这些人，就是说相当的不要脸，就是而且他们对于电影这一块的话，还有就是特殊的偏好。打个比方，亨利米勒这个不用说了，那克林特伊斯特伍德简直就是化身。, Start Time: 3249410
Text: 嗯，那么就是粗略统计大概是引用了至少十几部克林特斯斯伍德的电影。对电影里面的这样一些情节，嗯，或者直接把人设就搬来了，嗯，他会直接把人设搬搬来，对狂致敬，对疯狂的致敬。那么就是说像恐怖的这样一个成分，因为就是末世嘛，他存在一些恐怖内容。那么是什么乔治罗梅罗嗯啊对你就是说像一些恐怖内容，, Start Time: 3268170
Text: 就是猛鬼街，或者说类似这样一些东西。那么涉及到僵尸啊，过过啊过这些，然后就是说包括说是一些场景氛围的这样一些设计。嗯，其实就是说呃很多人抱怨你像福尔森或者说什么里边地铁啊，真的比较讨厌。对对对，假人你仔细去观察他一下，你会发现他的一个不景，他营造的这样一个氛围。, Start Time: 3293070
Text: 他停留在就是乔治都宾卢那个年代点到的那个年代，就是是什么呢？狭长街道吓你跳跳是这样的的。对对对啊，他停留在这样一个就是说那个氛围里面，他如果他并不是一个真正的恐怖，你讲心理恐怖的话，这个东西没头的。嗯，啊对，如果你你要玩寂静岭嘛，对不对？对，点儿日本就做那个上来，, Start Time: 3316360
Text: 你就尿了，对不对？对对对对对，像像那种就是另一个要提到的恐怖元素，可能就是洛世文学洛夫克拉斯特系列的。对对对对，是的对，克苏鲁。因为这个备战斯达又他妈提到克苏鲁，对么什么游戏里都能提到克苏鲁这东西时髦啊，对，真是时髦时髦时髦啊。对对对，就是说克苏鲁这块的话也是在就是大家都知道在望海牙啊这个 DLC 里边提到了，, Start Time: 3338760
Text: 那么其实就是说还是挺深的。但是就是乐夫克夫夫克拉夫特他的这个作品啊，就是科苏鲁系列讲的什么未知的恐惧，对，难了名状的恐怖。你他娘就是不知道他是什么，但是非常非常恐怖啊，越想越恐怕嗯，这样非常恐怖。嗯，其实说实话，望海牙到最后烧书那儿，在那个敦位置烧书那段，, Start Time: 3362510
Text: 我是有点发毛的。我操这蹲位士就是那个罗夫克拉夫特那本。对对对，本书里那个敦未制恐怖。对对对，敦位制恐怖事件。对对对，就是那就是说所以说最后我去在柱子，而且他这个任务处理也非常强。嗯，你把那个书往柱子上一摁砰的一声，这个任务就结束了，嗯，毫无交代。嗯，不知道为什么，, Start Time: 3384750
Text: 你不知道，为什么也不知道，就是说到底是什么呀？你杀了很多人，然后抢了就是书，然后把他带回到大陆，结果这个任务就是结束了，这就是无可名状的恐怖。嗯嗯，就是尤其是他中间有一个有一个你进入恐怖恐怖楼，你会产生一个幻觉。你会发现桌子前面站着一个穿着格子毛衣的男人。, Start Time: 3405730
Text: 嗯，你回头一看，发说那个人幻觉消失了一片，又变成废墟，求你幻觉一瞬间，感觉仿佛回到了战前多少年。两百年以前，等一瞬间幻觉消失失前面站着来人一样站成一个僵尸。而当你到了望海洋之后，你会发现哎看到一个老爷子穿着很多男人一模一样的衣服，但是游戏绝对不会告诉他们有什么联系。, Start Time: 3424140
Text: 你自己回家。慢慢想慢慢琢磨磨，越想越恐怖，越越越越越越越对劲。实实际情况就是这些越越越越不对劲。那么就是这个里边就是各种流行的各种流行元素都在往里绑。那么你说如果说是早期的他这些的这些内容，他还是寻求一些就是历史文化元素。大家比如说像死前嗯死前那就是 DRC 啊，, Start Time: 3444250
Text: 就是就是马德莱赌场。嗯啊那么死前的来源就是这样一部电影，这个电影名叫做 treasure of the treasure of ceremonmodery。必须必须金杀嗯啊完完全全的这样一个内容套用啊，非常的有历史感。嗯，那么就是在其他的部分呢，也是大量的就是内容的引用。, Start Time: 3468430
Text: 有些可能不是说这样，像我们讲到碧水金沙这样的全盘的照搬。嗯，啊那么，但是他用了很多很多里边的内容，打个比方说像就是 soling green 绿色食品啊，啊，绿色食品讲的什么？是一个人吃人的故事，人的尸体被制成。对，这你的那个文章里边，我在诗里边写到的对，, Start Time: 3492280
Text: 他含着一句台词啊，就是说那个要公布这个事儿。嗯，啊这就是一个典型的这样一个借用。嗯，那么像像其他的很多，那是打个比方说像辐射二里边，辐射二里边，你去那个金球啊， golden globe 去拍毛片。然后他会跟你讲，我们这儿拍了很多屌毛片啊，比如说 top 啊啊 bfrerazy 全部都是这个里边讲的是什么呢？, Start Time: 3510160
Text: 就是说有一句话，在美国电电影界一句话就是说是什么呢？就是其实他是跟查克诺里斯这个人联系起来，但是是稍微有点远。查克诺里斯创造的世界上所有的颜色除了粉红色，粉红色是汤姆克鲁斯创造的对，那么实际上就是说讲的是什么呢？就是说汤姆克鲁斯就是这种类型的对吧？就是电影的一个始作者者。, Start Time: 3534300
Text: 对对，男就后这帅帅英牛逼，各种屌，他跟我对各种屌，各种打球总能赢。对嗯，对，就是一个典型的跟典型高富帅，那实际上就是说也不高。对对对，是是种。对对对，确实不高。那就是说那个在这里边呢，他就是因为很明显啊，辐射这帮就是说自由孙子讨厌这帮主流主流文化，他他都不喜欢。, Start Time: 3557490
Text: 对他不喜欢他，然后就是就要抨击他们。对，就是抨抨击仇，互相容易。对，是对对对，讽刺这个那就是说在那个拍毛片的地方方，如说除了就是说有什么片子吗？那我们拍很多就是著名的大片儿，比如说他会棒。对， top top top 干的，他把那个壮士凌云那个杠杠那个 g 换成 b 那么就是 top one，, Start Time: 3584570
Text: 就是大屁股嘛。对，那么就是像个阿凡哥的出道作，就一九八三年出道作，那么就是 risy y business 嗯，就乖乖也疯狂，嗯，他给改个名，就 freeky business，这样的话就是说埋汰一痛。对对对，包括山大地叫就是哈勃教。刚才我们定的哈勃教，就是之前我提次对对对，, Start Time: 3604760
Text: 之间提到过，就是说两两个男女的，就是说布道教宗，一个是一个就是汤姆普斯斯，你也也也是。对对对，就是这样一个情况，对么？他们把这个电影这个滥用也算是叹为观止啊，当然还有很多要他们的啊，他们实际上到最最怎么说呢？今天叫丧心病狂的像是新维家私，在新维家私里面，每一个任务几乎你都能找到枕像。, Start Time: 3625120
Text: 最早你在清泉镇那个叫 ghost ghost st，刚刚坏次鬼震陷斗鬼镇。对对对，一八一八八七年的一部西部片鬼震械斗斗。对，那到几乎每一个任务都能找到到啊，这些反是人到最后包括那个钉钉是一首歌，不是那个钉个是一个电影。对，太多了太多了，根本就说不了。就这些人就是简直把玩梗这个事儿就玩坏了，, Start Time: 3648700
Text: 你知道吧？就你就是你每看到一个任务，你每看到一个地名，你要小的这个东西根本就儿不了，太可怕了，玩出发来了。对对，那么就是包括说我们熟知的很多商业片，嗯，他也是大震凌云。你像就就是说虎胆龙威啊，虎胆龙威说的就是前是壮日凌云。那么就是像那个就是轻霄黎明，有的不是致敬，, Start Time: 3671360
Text: 就是纯讽直接拿来用。对他直接拿来用，你像就是说轻消黎明，然后杀窗那个对夺宝奇兵嗯啊躲在冰箱里面躲核弹，结果结果挂那么不是躲在冰箱里面躲了核爆。嗯，在辐射游戏里面有一个冰箱，里面有一个骷髅，带着那个那个那个叫印见到琼斯帽子子，极极讽刺。对对对对，死了了。对，, Start Time: 3692040
