Text: 傻逼哟动作格斗 RPGG 桌面策略 ACTB。如果你有想说的，一定会有机会说出来，家底有与你一起展示你的游戏。人生冲撞刀光子弹灰灰告白魔法，各种雷物理画面都是美美，没有话题，你来给啦，重新填迂回不？大家好，欢迎收听加 dual pro 特别新的一期加 deal pro 节目啊，, Start Time: 1370
Text: 只有那个指哪走哪那种是吗？嗯，后来对对对，二代都要指进哦，但其实当时都都指的时候，那个气氛做的非常好。对对对，嗯嗯，就有有一种身临其境的那种气氛。对对对，那你这 PSP 版应该周期挺短的吧， PSP 版大概做了六六七个月这么长，嗯，也做了蛮久。我也。嗯，对，, Start Time: 2224430
Text: 因为那个里边内容还是不少，当时是不是当时就不是一个人做一关了？因为是一个 PSP 上的，就那个整个从这个工作室范围来讲，不是特别重视的一个项目。所以当时就是一个人要负责很多，就是大概两两三关这样嗯嗯，那就是你的量也上去了呗。对，但是从这儿开始以后就没有再怎么疯狂的加班过了，, Start Time: 2250990
Text: 就就感觉就大家家这个项目比较休闲一点。所以说这个不是说进了游戏行业就必然要加班，还是看这个项目对项目是吧？对，像现在像现在玉璧，包括就是说玉璧、蒙特利尔，玉璧蒙特利尔也有很多，就是上海这边过去的朋友。嗯，那像这种现在玉璧这种风格，整个就比较适合养老哦，是吗？, Start Time: 2278720
Text: 就就就都不是特别敢那种眼睛放光了，成就是不是成都。还有一个是在 jason wonderber 的手相干，成成都成都那个工作室，其实 facebook 游戏做的非常好， facebook 游戏手就夜游。啊，对对对，那个我印象中是不是那个叉 BLA 上有一款二 k 的游戏，, Start Time: 2304020
Text: 叫斯科特的那个是成都做的是吗？好像是斯科特对斯科特 pilgram 是那个。对对对对对，不是吧？那个应该不是成都做，因为我印象中他那制作名单里边好多好多中国人是吗？啊，哦，特别多，都海也不知道，那我不知道有没有就是接外包单子或者怎么样哦，但是那个那那那个电影嘛电影同步游戏嘛做的挺好的。, Start Time: 2327460
Text: 嗯，那再之后呢，再之后呢，再之后就然后就就离开玉碧了呀。嗯，贝奥五夫做完就就哦贝奥五夫做完其实还没有走，还大概有两三个月的时间，就是在做那个 i am life 哦，那这很近了。那个不是那个项目，就是说非常的曲折，就是中间停了好几次。那是后来这我们想停黑木。, Start Time: 2353710
Text: 对，这我买了黑木黑木其实我也说不清楚，因为当时就是本来预定是另外预备，另预备另外一个工作室做。然后我们帮他们就是做一些美术资源或者怎么样啊，然后就是然后当时就做了几个月的 training，包括就是说自己做那个拿他们的那个引擎做关卡玩这样后来我就走了，然后听说那个那个项目暂时就就停了也不知道。, Start Time: 2382760
Text: 然后后来嗯也不知道为什么，后来又过了一年又在上海又重新开始，然后又做了大概两三年的时间做出来，最后结果果还是挺不错的。对，那游戏还可以 m live。但是后来不是光盘版那个嗯下载版变成 RK 对下载版嗯嗯下载版其实就是说这游戏做的好不好，很多时候就是看你有没有时间去去打磨它。, Start Time: 2408670
Text: 嗯嗯，对，其实我们特想当时啊你说嗯我说当时就是比较遗憾，就是那些项目都太赶了。真的是后来后来就是说你回想起来有些地方就能做的更好，也没有时间做。那这交期什么谁来定了，继续交期？这个提交日期的话，就都是跟着那个呃原版走啊，这没根本没得商量的这个。那你如果不是就是本来开发的，, Start Time: 2433400
Text: 就是如果是一个原版的游戏呢啊就比如背后五福呢跟着电影走哦，电影档期是吧？那如果说有一款就是完全你们自主的游戏，那这个这这个时这个时间这 deadline 是谁来定啊？一般就是一般是发行商来定。因为发行商的话需要就是说包括打广告各各种方面的啊，他也他需要定一个，, Start Time: 2462890
Text: 他需要就是说有一个计划，包括预算，就是说这些广告什么时候在哪儿投放这些。当然这些玉必是自己发行自己的游戏，所以他这方面也算比较灵活吧。而且是有一个全球战略在里面，嗯，也是 b 必人自己发行为，自己做游戏都是这样的。但是我觉得你像咱们刚才聊的这些，都已经算是就是那种大作了。, Start Time: 2486420
Text: 可是你要反反观他的一些，你像雷曼啊，你像蜂兔啊这种比较轻松的游戏，嗯，他们那个档期也要卡的很死吗？那种游戏反而做起来也很快。然后就像我刚才说的那个风兔那个项目三个月就做完了，然后就等后来还有一个。对，那就可以，就是做完就等着。还有就是那个当时在卫上，当时在在 e 上有一个也是索尼的电影，, Start Time: 2508920
Text: 叫叫什么 cloud cloudy。不知道不知道不知道，就是天上会掉掉汉堡包掉各种食物的那种嗯啊美啊。对对，美食从天降哦，美食从间酱。对对对，中文名叫那个当时就是说还做了一个那个在 v 上面哦，那就不是，那我就没参与了。当然就是说他们也做了很多休闲游戏，那些休闲游戏，, Start Time: 2538030
Text: 其实做起来很快，嗯，就靠靠创意里。我觉得风透顶了就赢在创意上。对，而且关键是他不重样。对，特特特缺，就是傻逼呗。那个嗯嗯是南哥，后来为什么离开玉碧了呢？那时候当时就是那个有一段时间，就是这个上海这边没有什么好项目，嗯，然后感觉就是需要更好的发展空间嘛。嗯，, Start Time: 2560370
Text: 而且就是很多人当时也已经当时就是跟我一起进来的人，也都已经就是到国外工作室去了，就更好发展了呗。嗯嗯，对对，就相当于一个台阶，一个一个对，就一个阶段已经结束了，他想往更高的地方去走了。然后人家也知道你了，对你也有上海能力了。嗯，上海 AB 真的是为那个中国的游戏，, Start Time: 2587575
Text: 也包括世界很多工作室都输送了不少的人才。嗯，对对，其实好的挺好挺好的。嗯，这也算是一种就是而且关键你作为一个国内的不是学游戏的一个学生。那个时候学生来讲，我觉得这也是一个挺好的一个一个机遇。我觉得嗯能够学习这些东西。然后到到了后来就是在网上找的工作，在网上投的简历，, Start Time: 2611670
Text: 然后就到了德国这个雅格工作室。这个鸭格公作给大家介绍一下啊，前不久出的那款，我们在节目里经常夸奖的游戏就是 spack up 的 line。这款游戏就是这个雅格公司出出来的。嗯，谢谢啊，谢谢。嗯，嗯，其是我自己其实真的是挺喜欢的啊。二听上一次出品二 k 发行的。, Start Time: 2637550
Text: 对对对，嗯，我听上一期节目那个你其实吧不应该听赖锋，刚刚准备开始喷，然后你那儿就猛，我给他拦住了。对对对，其实其实实事儿啊没事，就是说画面不说，但是这游戏是做真的真是挺好，可能卖着新能玩游戏的人，嗯，有点少有可能其实其实这个游戏吧就那个制作团队也是比较年轻的。, Start Time: 2657170
Text: 就我刚我刚过去的时候，我在那边已经算是经验比较丰富的。嗯，就很多是他们那个就欧洲前几年的话，其实工作室不是特别多。然后包括像这种游戏方面的人才培养也没有成系统。嗯，大概也就在呃零七零八年开始，然后才有慢慢的越来越多那种游戏学校。然后像我们后来零九年、一零年在德国那个就招的那些实习生，, Start Time: 2683970
Text: 就从游戏学校什么 game gaamer kademy 毕业的那些人，那些人就已经非常素质非常优秀了，已经嗯很专业了。但是就是就对对对，然后就是我刚去那会儿，还是感觉这边就是呃经验也不是很丰富。然后很多同事吧都是属于那种第一个项目啊，或者说之前只做那种德式 RPG 德式 PCRPG 德式 PCRP 有没有什么游戏，, Start Time: 2714440
Text: 不知道得有什么什么日什么 rift 呀什么完全没听说过，反正很很多 PCRPG，可能你们接触的比较少，我接触的也比较少。你像现在让我叫名字，我已经叫不出来了。但是就德国人特别爱玩 RPG，而且都是那种特硬核，就里边主角倍儿丑，上古卷轴那种是吗？嗯，上古卷轴已经算不错了，, Start Time: 2743170
Text: 那美式的嗯对，然后系统特高深，然后那个特别不容易上手。那嗯嗯嗯就这种特别多，就很多人就是之前是做这种游戏，然后然后就是刚刚转型过来做这种动作，射击类的嗯主流的这种游戏。对嗯，然后 spack of the line，这个就是特种部队一线生机。这个游戏一开始他那个灵感来源就是一本小说，, Start Time: 2768910
Text: 叫黑暗之心。那本小说后来就是当时写了以后，然后后来也被翻拍成电影，就是那个现代启示录，然后现在启示录啊啊。我说呢我说这个怎么现在启这个那个有点有点有点似曾相识的感觉。现在启示录特特牛逼的战争片儿，特牛逼，它里边那种七十年代末期拍了一部特别伟大的一部战争电影。, Start Time: 2797140
Text: 哦，那那时候我没出生呢，对对对，我感我我没没那时候大家都没出生。嗯，他里边那种就是对于那种黑呃人性人性暗面的那种描写。对，包括就是说战争对人心理的影响。对，就是对，包括就是人为了嗯就为了让他的所做的行为正当化。他所就是说呃要告诉自己一些粉饰粉饰的方式。对对对对，, Start Time: 2821320
Text: 就比如说他做一些罪恶的事情，但是他要把自己用当做英雄包装起来是这种这种感觉。嗯，然后这个游戏这游戏它有一点好处，就是虽然制作团队很年轻，但是它有一点好处，就是它的方向一直都比较明确，它就是为了表达这个主题，它一切都是为了这个故事图，嗯嗯，这样挺好的，对，不会说中间有动摇的东西。, Start Time: 2852160
Text: 对，所以这故故事让我震撼的就是说说个个别正义的一个小队指挥官，你上来就特别正义的。对你觉得然后后来经过不断的一个去追追寻这个故事的真相，然后你会在无意当中杀害了特别多的平民啊，特别特别多。在一次就是误伤事件当中哦，你拿那个燃烧弹弹那个整个一片那个那个难民营的人全都烧死了。, Start Time: 2875830
Text: 对，然后当时有一个画面就特别震撼啊，就是那人抱有一个女的抱着自己的孩子，然后就整个人都烧焦了，然后表情特别扭曲。然后这个人就是一直在在你玩家心里是特正义的那种一个自己一个长官，你知道吗？然后一直还喝是底下手，底下人，你们怎么着怎么着怎么结果后来扒自己干了这么一件事啊，, Start Time: 2902465
Text: 然后自己自己手底下人也不服他了，真的就是那种后来后来自己人的心里就扭曲了，越来越扭曲，越来越扭曲。对，然后他就会找找各种理由去为他之前的所作所为去圆场。对对对，就是说我没做错没做错啊，最牛逼是结尾啊，他一直你透了吧，没关系，这是可以透了。南哥南哥透吧啊，结尾就是说他之前一直认为的呃那个上校。, Start Time: 2923210
Text: 对，就是最后在在在迪拜呃组织了一支自己的武装力量，然后就是统治呃对当地进行黑暗统治的这么一个上校。他一直以认为这个上校是万恶之源，因为就是说上校给他呃，设置了各种陷阱，然后让他钻，还让他误伤了平民，平民什么。对对，他一直认为上校是罪魁祸首，结果到到了最后才发现上校是他上校早就已经死了。, Start Time: 2951320
Text: 然后那些一那些上校跟他对话什么的，都是他自己想象出来神经病是吧？对，就已经疯了，他已经疯了哦嗯就是他自从那个那个事件之后，对，因为在在那之前的话，是玩家是没有跟那个上校直接对过话的。哦。对，嗯，就是在游戏一开始几关的后跟你说话，一直是那个 radio man，, Start Time: 2980940
Text: 就是那个电台电台那个人这对，然后后来你就把电台主播给杀了。哦哦，对对，然后然后最后是特别牛逼，是有你可以选择两个结局啊，嗯就是一就是一个是自杀啊，还有一个是像那个上校的那个幻影开枪啊，我选的是自杀，但我不知道另外一个结局最后是什么样的，是有两个，另外一个对嗯，, Start Time: 3002780
Text: 另外一个自杀的话，就就就是自杀了就结束了。嗯，对，然后如果你如果你选择就是说呃击碎那个幻象就表示自己还没有还没有做好准备接受现实。对，然后然后后面会会出现，就是说那个美军的那个军队过来过来找你。嗯，这个这个一个桥段，然后这个时候你还可以再做一个再做一次选择。, Start Time: 3028115
Text: 你可以选择就是说跟乖乖跟他们回去，就是结束这一切，就表示就之前他这个主角他所做的一切事，他也不想再提起了。但是哦但是他就是说嗯想要就是以后就一直这样嗯就把这些埋藏下去，然后回家生活。如果不回去呢，还有还有另外一个结局，就是你把来找你的美军全部杀了，然后就等于自己自己坐上了那个位置校。, Start Time: 3057740
Text: 他他一直想象中上校的那个位置，也就是那个也就是现在启示录里边那个马龙白兰度演白兰度那个角色。对哦，对对对对，因为现在其实路里就是最后主角就把那个上校杀了，然后自己自己就变成统治者。嗯，然了，这个游戏爱 GN 评价紧凑而独特的战争设游游游戏确实不一样，独特独特很独特。, Start Time: 3085490
Text: 对嗯对爱埃吉恩的评分还是还是比较给的比较高。嗯，对，然后但是我说明人家通了这游戏，嗯，对对对对对对，肯定。嗯，然后这个游戏还呃还有一个成就吧，就是说它引起了一个在那个 penny 的上面一个非常大的讨论。嗯，什么讨论 archpeniny arket 啊，, Start Time: 3111510
Text: 我知道 penenny arcate 就是后面就是后面有一个游戏展会叫 packs 嘛 PAX 嗯，那个其实就是 penny ark 的 XB exhibition。然后就它是一个非常非常大的那个游戏游戏网站。然后那上面就讨论就是说对这种对整个 FPS 这种一个主题的一个反思。, Start Time: 3134390
Text: 就是说你宣宣扬那些战争英雄到底是不是不应该？就是说那些战争英雄他们所作所为，到底是不是真正的英雄英雄事迹？嗯，那最后包括嗯嗯这当然当然是没有一个结论了。但是就是说他能让人反思，就包括里边回帖的一些人，他的父辈参加过二战这种，他就会非常就是如果有人抛出一个对立的观点，, Start Time: 3154590
Text: 他就会觉得非常的受伤害。他说就是说我的父辈就是一些反思，为了这个二战这么多人的这个生命安全，然后贡贡献了很多。嗯，然后他觉得这种就是一定是肯定是战争英雄就是英雄。嗯，对，但是就是从另另外一个角度来讲，就是他杀害的那些德军士兵，他们也本身也不是坏人，他只是在那个只是玩打仗而已。, Start Time: 3182210
Text: 对嗯对，所以说就是这方面的这个反思嗯，就得到就是说玩家包括媒体上面一些一些些思思，我觉得是非常好。其实这一年好多其他形式的那种那种作品，也也开始设计这些内容。你比如其实拆弹部队就有一点，但他不是说做坏事儿这种东西，而是说打仗商瘾这种。对，然后包括咱们他那蝶泳中中四个男主角，, Start Time: 3206610
Text: 他之所以跟那谁走一个人啊，演员是一个人说的啊。对啊对嗯，对，就是那里边那角色嗯，是他跟那谁，那那叫什么来着，跟谁走啊，化妆化特厉害那个我告诉他叫什么了，化妆化特厉害的。对啊，谍影重重四里边我说话特老呃，那个绿巨人那个对叫什么来着？叫什么来着？就当初他跟他走的时候，, Start Time: 3230460
Text: 不也是因为自己在执行任务的时候，有什了好多民嘛嘛嗯所以他决定说换一个身份，然后去去尝试，去做特工。其实这种东西就是你从战争引申出来的东西，慢慢的大家也开始去关注了，也不会说单纯的就每每一个作品都跟 COD 一样，就是打打打打，而你现在要另辟蹊径，你不能都走主流，, Start Time: 3256160
Text: 因为你们都斗不过这种的。你必须得要是不是你们当时也是出于这种考虑，在做那种特别主流的，也没有什么太大的竞争力，也有这方面的关系。就是说这个这个当时就是跟二 k 也有过很多交流，就是他们也会就是来定这个方向。嗯，就二二 k 就是说每隔一段时间就会就会过来，就是说开一开会啊，, Start Time: 3274640
Text: 然后看一下现在这个版本去，然后中间就有一段时间，就是说定这个游戏的方向。他就说的很明确，就是说我们这个不是一个主流的设计游戏啊，是一个有点有点 cot 这种就是说靠的。嗯，然后然后那个因为那个这游戏里面就是说你打到后面它会出来很多幻象。对啊对对，你就你死了了。, Start Time: 3298950
Text: 然后了了以后会出出很多，就是说你根根本释释了的东西，就这种嗯嗯就是这这种风格，包括就是说预告片啊，像像这种就整整体风格上是一个有点有点另类的这样一个风格。然后就是说他的这种反战的主题哦，哎那你们现在是说从现在之后再往后开发的游戏，都是由二 k 发行吗？还是只是这一部作品单纯的合作啊。, Start Time: 3321510
Text: 嗯，牙牙哥这个工作室它是一独立工作室独立的。他就是说跟谁签了合同，就跟跟谁发行这样。所以开发这个 speack off 的时候有什么特别有意思的故事吗？嗯嗯，这个开发这个时候嗯，其实就就包括包括从这个环境啊、流程啊，呃我这我就自由的，可以从下一期咱们好好聊一聊具体的这个这个关卡设计方面的这些问题。, Start Time: 3346775
Text: 我觉得我有好多问哪个问题，想问你挺八卦的吧。行行，那就是说你你觉得这在德国的环境跟在中国有什么那个特别大的不不同吗？在欧洲这个德国，德国就是说大部分开发者都不耐操，就是说不好意思，粗俗了就是一条。嗯，咱就是粗俗，就是说就是他那个你要你跟他说加班，他又给你提孩子哦，, Start Time: 3376000
Text: 哎这不挺好的吗？对，欧洲其实是挺好的，挺好的一件事儿。就是说他会专门就是在那个每周一的工作会议上面说说近的加工作策策是说嗯已经经加了个个了，就经常要周六过来。我那个都跟我孩子答应的那个什么时间都没有没有办法兑现什么的，然后就要求公司修改制度。嗯，然后后来还就真改了，, Start Time: 3404780
Text: 就他就改成这个压力工作室，就改成就是说你加了多少班，就给你补多少休假。嗯，这挺挺的。对对对，嗯，就非常人性化，这就等于就不是加班了。对，自由工作时间。对对对对对，基本上是自由工作时间，包括就是说进工作室之前赶紧生一孩子，有借口，嗯，包括就是每天早晨上班和下呃，, Start Time: 3431160
Text: 晚上下班的时间也比较灵活。就是他你他是从八点到十点上班都可以，然后你下午就是四点到六点走都可以。嗯，这个那德国我记着好像确实管的不是特别严。我以前我 live 上认识一个德国的一个网友，然后跟他聊，他又说好像德国的这个管的还是挺宽松的。对对，但是那个他就跟咱印象中的不一样，, Start Time: 3455080
Text: 咱一直以为那边就是特别死色的那种。对对，嗯，那德国人死板他不是，他死板是按照规矩来，就比如说规矩告诉规矩上写八小时，你给他多一小时，他就会抗议这样哦，抗议怎么会抗议？德国人是不是还是很细致啊呃比较细致，就研究这种规则方面，它非常较真儿。然后就是有一事儿我觉得挺有意思，, Start Time: 3479350
Text: 就是说我们那公司它作为一个游戏开发工作室，他是有工会的啊，就这个就是在国内，在国内，包括在美国基本上都没听说过这种情是整个业界的工会。还是就你们工作室有一工会啊，就是公司的工会，就是德国法司啊。德国的法律规定就是一个企业是有权成立工会的。然后而且还有权就是说制约那个管理层啊这么厉害的。, Start Time: 3503130
Text: 对，一个公司里的工会还挺逗的。嗯，对，挺逗的。就是当时就是说提出要要开工会的时候，然后那个把那个老板经理什么的也都吓得不轻。那因为这东西就是说他都是有法律效率的，不是说不是说像中国有些地方劳动法的争议之眼，比工会主席成为了老板。对，互相尊的那边的话，那边的话真的是他有法律效率。, Start Time: 3532730
Text: 如果真让这个东西成立起来了，他说这个这个时候不能加班或者怎么样，那你可能项目就有危危险。这样哦，其实就是说大家从后来还是把这个东西弄起来了。然后但是就后来就是大家也是也是非常理解，就是这个做游戏确实是不可能像其他的工作一样，就是能那么准时，然后嗯工作量能控制那么好。, Start Time: 3557180
Text: 你这个团队多少人？团队？当时我刚进来的时候，大概五十五十来个人，然后后来最高的时候就加上各种 free elancer，就是那种 freelancer 也在，嗯，也算。对对对，就很多动画师嘛。我前面跟你说过，就是说动画师都算上，然后嗯大概将近一百人吧。嗯八九十这样你在这待了四年是吗？, Start Time: 3582940
Text: 四年基本上就是说全部在做呃 the line 这一个游戏。嗯，那打磨的，后来后来后来就是说今年的话有参加过一段时间新项目，但这个就不方便透露。嗯，因为还没有公布。嗯，没关系，我觉得这更多有意思的事儿，咱们可以在下期多好好聊聊。对对，因为我们也对你就是平时的那种状态更感兴趣一点。, Start Time: 3608035
Text: 对对对，行行，没问题。那咱这期差不多，就时间也差不多了。嗯嗯，然后咱们下一期好好聊一聊关卡设计方面的专业话题一些。嗯，对，还有黑木耳多透露一点啊，黑木耳黑对对对对啊，大家一定要期待。然后另外呢，我们的网站是三 w 点 g 杠 CORES 点 com，然后微信公众平台是 GAMECORES。, Start Time: 3631710
Text: 对，然后 QQ 群是幺二八幺六八零八，新浪微博是集合网。咱们那新群新群那个忘了，应该是下期说吧，下期说吧。对，完了，另外那个希望大家给我们的 podcard 评一下分啊分啊，谢谢大家，下期节目再见啊，谢谢大家。再见。不认识，不愿意试，不愿意说不愿意我这边。, Start Time: 3657020
