Text: 大家好，我叫很很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新。, Start Time: 390
Text: 就是因为这种系统更迎合当下的这个快餐式的主流，而且在主机上可以翻译的更好，比较简单的。嗯，对，好上手。对，还好的是他这个即使用这个系统，他这个职业的特点跟他这个设定结合的也是很紧密的。嗯，对呃，所以呃还有一点呢就是呃虽然是不同啊，但我觉得也也有相同地方方是 mysieffect 呃，, Start Time: 1919030
Text: 是一个三部曲啊，就船斜坡、船长三部曲，然后它不同的选择择呃会会带到下代代去啊，那么继继承继继承存档。对对，所以这会让就是说玩家一旦入了这个坑，你就故完再再出来。对，而且你而且你会越玩越上映没错啊，那么甚至说那个哪怕游戏系统本身产生了一些变化，也不妨碍你的体验。, Start Time: 1946180
Text: 因为故事是继承的。 DA 那个 dragon age 也是故事是继承的。对，但是有一些区别的是呢，就是说 dragon age 的这个继承其实来的更加复杂。没是啊，因为你能感受到质量效应，基本上是说斜坡的坡个人故事和他身边队友的的一选择择。比如 rex，如果一代死的话，, Start Time: 1969880
Text: 你后面再也见不到他了。对啊，那么，但是 dragage 就不一样了。 dragon age 你基本上在影响整个世界观，确实我们后面会讲到一个群像塑造的问题。 ddrag age，其实他真正的主角是那些队友们，包括整个世界上的各各方势力，各个国家、各个组织。, Start Time: 1987420
Text: 对你只是一个视角，或者说你可以影响，但是你的作用你只是把他们串起来。对你不会说像斜坡那样，整个世界围着你转。对，这是因为 dragon age 就叫 dragon 嘛，它是那个色达斯的第九个纪元，他其实讲的是这个纪元发生的所所有的情。对对，所以在绝根院这里，, Start Time: 2005070
Text: 我觉得玩家扮演的更像是一个见证者。你只见证了一部分的历史，你见到了一些人。但是呃大部分的历史其实并不是你创造或者你逆转的。嗯嗯呃没有，不像不像质量效应那么明确，就是你就是宇宙的拯救者。由于银河系毁灭了，除了 DA 二对 DAR 是一个人的故事。对嗯嗯质量效应来说，, Start Time: 2022770
Text: 对质的感觉是嗯质量效应它能给你一个家的感觉。但是 DDAA 是真的是没有这种感觉，质量效应，你会感觉就是三代下来，就是大家都是亲人，然后尤其最后玩神宝的就是那那个资料片队，那那大家就在一块就开一个 party，那个时候那种感你你说家实际上就是飞船嘛。对， SR 二嘛就是有特别有诺曼底，, Start Time: 2045210
Text: 诺曼底哦，就特别有那个家的感觉，包括那个很重建，因为诺曼底也毁掉了，就跟等于是真的是船毁人亡，船长和船那起共共同共存亡。嗯，那重建了了个诺诺曼底以后，其实是是很动的嘛嘛错就包括那个 joker 又看见那个船开进港了，而且他是一个一地一对对，所以所以所以就后最后因为虽然小啊，, Start Time: 2070140
Text: 但是你逛的很熟熟嘛，那个那个那个船那进防，而而且就就是不是还还还那个最后最后因为二座，最后还有那个防防守，你那个那个那个你这诺曼底那个任务嘛，就是他把 deroker 对敌人会敌敌人会这样这样攻上来。然后你对你是逃命了，所以那个个家感特强强是 cyber 以后其实也是是高高兴。, Start Time: 2092660
Text: 嗯嗯，然后但是 DAA 就不行， DAADAA 做其实结局都很凄凉。对，就是你感觉就是一切功成名就了，但是大家就散掉了，然后主角失踪了，然后 AVI 那去做教皇的副手了，然后什么 morregan 去镜的那边，不知道哪 DA 会有更强烈的这个无力感，就是世界不是。, Start Time: 2111320
Text: 虽然你能逆转一部分，但最后还是大家各奔前程，对你也没有一个所谓真正的 home 的概念，就没有归归宿。对， DAI 里面稍微好一点，是 DAI 里面至少有 sky home。就是你可以就有点像诺曼底那感觉回来了。其实能看到 ME 和 DA 互相借鉴的一些东西。, Start Time: 2134280
Text:  DAR 我们就不说了， ME 其实也有一些就是有一些选择你想做。但是其实不一定一切都如你的意角色，有他自己的想法。最典型的就是质量量，像三的那个 to 春卡 a to 春卡卡 to 称卡。对，就是你想阻拦莫莫丁真的是需要一个很很难的一个选择。因为他是结实的可种一代和二代的各种各种选择结合到一起。, Start Time: 2150940
Text: 这这是一个非常棒的设计原因，就是它既体现了你之前的选择，嗯，同时又又又又给又给你一个，就是阻拦他的机会，又不会说完全把可能性限死。对，完全把可能性现死，就跟 DA 二似的这样。这其实质量像三，这是一个很不错的，像 DAA 的一个借鉴吧。对，确实对，嗯，差不多就是这些吧。, Start Time: 2173020
Text: 然后这然后所就是视角的问题，然后让他们永远是用 shepper 作为视角的。对，也许 ME 四会变，但是 DAA 就是 ME 四，可能就是只是从 sheper 变成另外一个人，然后这现在又进用全新的游戏了。对，应该是全新的游戏。因为嗯我记得是那个去年一三的时候，, Start Time: 2196670
Text:  e 也不是做了一些场景展示嘛啊明确说就是呃所谓的切斜坡三部曲就结束了。嗯，对，然后会不会是又是另外一个是三部曲呢？对，但设定设定式那个一新人有可能可以选种族。对我觉得我感觉是它的走向应该也会像 DAI 这样的，就是说更更加自由开放。对，但这会不会是一好好事呢？, Start Time: 2216950
Text: 我觉得这这这可不是真不不一定是因为最新的消息是说，他们不是那个原 DAI 的这个很多团队，不是已经两部人对你像两百个人的团队啊，对一个野心又是更大的一个事情。但是就是从质量相应来说，我觉得质量相声三部曲还是一个很完整很完整的作品，非常完整。其实我觉得这量像三的结局，, Start Time: 2239520
Text: 之所以大家很多人构造权，其实很大原因就是制作组跟玩家在在争一个这个角色的塑造权。制作组认为， shapper 的这个名字本身就有，就是他就是牧羊人的谐音嘛。 shapper 对对，他有一个救世主的价值，他最后必须要牺牲牲，这是这是他完成他的宿命的价个嗯一一个必必须要争一个就是设定这个人物，, Start Time: 2261020
Text: 一开始就觉得他知道他就是写好了。对对，这是生软认为就是这个人物的最终解释权在我们。而且甚至甚至你可以认为其实在 m 一二的时候，他已已死了后他只是靠那个基因重造又活了一次，他到底是不是还是那个他的对题是涉受到哲学问题，但是玩家就很不开心了。玩家说 shepher 的死了，, Start Time: 2283330
Text: 然后我们之前所做的任何努力，最后就是最多只能换换来他一个心跳，然后觉得这个结局就是不可接受，不可接受。然后又不是我们选择了，我们只能选择三光，这是很诚意意。但其实其实这就是一个玩家想掌控这个角色，而不只能也想掌控这个角色双方的冲突问题。但是这个冲突实际上说明这个这个游戏是个非常成功的游戏。, Start Time: 2304370
Text: 对对，他因为他胜入，因为大家在乎大家在意这个结局，不是说啊随你怎么做，而且这个是电子游戏作为互动艺术，他有特色的地方，像电影。嗯，呃实际上就是完全是那个呃电影面电影的导演在决定这个角色怎么样，对观众是无法参与的。电子游戏的角色会让你更关心更 care。因为你曾经就是他没错。, Start Time: 2328750
Text: 嗯，对，然后呃的确就是说 bell 威尔通过呃这两个作品系列吧呃创立了一种全新的风格，包括呃覆盖到了整个主机平台。嗯，然后与此同时呢，实际上美式的呃 RP 级呃有一系列的作品对，我们觉得也可以横向的对比一下。对对对，嗯，其实我们横向对比不能不提到明年要出的巫师。, Start Time: 2350280
Text: 三猎魔 racher 三猎人三猎魔人三猎魔人，但是台风台台湾的观译是巫师嘛，其实 v 台湾的关译不是是圣魔猎人。好吧，猎魔 v cry 傻傻分不清了。然后巫师是盗版翻译。对对对，就是 racher 跟那个就是专根业者。其实我们都知道，在前一阵子就是粉丝群一直在打。, Start Time: 2374190
Text: 嗯，因为就是谁是次时代最好的王者是吧？因为 r 童这主游戏，对，因为猎魔人的设定也非常好，非常详非常因为他有那个猎魔人，他就跟那个因为他是有一个文学作品，而且是一个就是陈列很深的这个人作品，所以他会就是底气上面跟八五 y 做的东西不一样。八卦怪他那个东西有一种就是更加是一个一整体一个产品的感觉是对，, Start Time: 2397610
Text: 然后就是说然后就是说这个这个猎魔人这个游戏就是就是就是把就是当时很多西方没有读过这本小说人，就把硬生生丢到这样一个世界中间，反而产生一种非常不一样的效果。没错，而且他是纯的纯是一个就是品牌塑造出来的人物，他跟玩家其实关系没有，还不像 sheer 的。那么对他就是其实这个这个 galtt 这个人算是嗯就是 KOTOR 那条线里的最终极产品，, Start Time: 2420600
Text: 就是你连练捏人都不能捏，对你这个 RG 完全全角色已经很很了。对对，代价就是玩家可能可能代入感会差一些。不，我我不觉得我觉的代入感极强。因为就是说如果你个人个性或者说你比较认同他这种性格，你会有特别强的代入感。就是你扮演的就是 galret t 你不用想是吗？, Start Time: 2449080
Text: 你别想是我自己的问题。对对对，但是这个角色塑造绝对是就是对非常非常棒。对，因为他塑造出来的东西，他就要给你展示我的性格，就是这样。对对对，所以所以这是一个 trade off 吧，就是嗯对，这这是一个取舍问题。就是说你肯定你做你你有你追求了有很多高的自由度之后，, Start Time: 2467840
Text: 肯定你这方面会很弱。因为因为他一个团队精历有限，他也不可能说考虑到你所有选择，把任何一个配音啊什么全都全都填的特别满。而且相对来说， vchher 的这个就是随意度比感觉更高一些。比方说自由就是就是他们制作主义想，我们要做一个很宏伟的计划，于是他们就去做了，, Start Time: 2486730
Text: 居然做了 VHR，做两个。第二张对这个就成稳的这个考虑来说，完全不可想象，是大部分玩家是不玩二中的波波疯狂波澜人，你等于做了四张就让人玩了三觉。但是这个效果确实实是说说 VR 的那种，就是一一个一个小分支，对，一张一张一的那种，他提他的这个反应更加强烈、更更有感觉。, Start Time: 2506350
Text: 确实而且嗯嗯我我是觉得就主要这是他是作为一个就是可能作作为波兰作为欧洲的这样一个厂商，他可能因为他本身因为美国加拿大北美这个就是游游行业业这种资资金啊这些东西他都有一个非常严严格的规范，就像好莱坞电影一样。对，就是他成熟的制作成对，所以说所以所以反而说你说就像电影一样，, Start Time: 2529950
Text: 你反而有一些就法国他们做的一些片子，你感感觉那个孩子特别一样。欧洲的作家电影嘛对波兰的电影本来就很强。修女爱达。今年奥斯卡的那个外语片，最佳佳语片片，也是波兰斯基。对对波兰的电影本来就很强，他有强烈的这个嗯作家电影的味道很牛逼逼导演。嗯，没错对对，感觉就是威事么每做一做，, Start Time: 2551620
Text: 然后赚了的钱，剩下全都扔到下一座，然后我们要做一个确实特别完美，最完美。而他们工作室这一帮人他也很开放。嗯，他知道自己是小电影人，所以他们特别有那种开放式的，是你随便去盗版，随便去玩。我跟你做所有国家语言的版本，你们一定要喜欢我的游戏，是他想对到强烈的认同感。, Start Time: 2573100
Text: 对，这个是不是要说到那个波兰，因为是没有祖国的国家，所以对对对又扯到这样线上，实际上就是玩 vacher 的感觉，就是它是一个真实的中世纪。你你很有就是它每一个王国乃至这个扎史乃至这个他的美术美术之类的东西，它都严格限定在那个时段某个区域区域。因为你像龙腾世界，, Start Time: 2592350
Text: 它有时时候者者，像魔世世界，它有时候追求一种风度，所以它会把很多什么十六、十七是一包火枪，什么全部出来，对对，特显得特别五花八门比较满木，但是我又觉得得特别差异，特别大的那种。对对对，但我个人其实并不偏向于这种设计，反而我更喜欢就是这种比较纯粹的感觉。其实龙腾我觉得还好，, Start Time: 2614430
Text: 因为龙腾是有一个明显的，它按照欧洲世界、欧洲史的这个这个方向来的。所以其实大家看 DAI 是文文艺复兴风格。没错， DDAO 是是这个中世纪风格，但它其实是包含着时间和地域差异在里面的。然后但是其实龙腾的感觉就是典型的史诗奇幻血统，你能看到里面战锤的东西。, Start Time: 2632670
Text: 对，然后指环王的东西，还有还有权力的游戏冰与火之歌的东西。对，然后你能看到借鉴了很多东西，但是波兰这个就是他属于远程欧洲嘛，自然独立将感觉完全不同。嗯，但是各有各的好好好吧。对对，这就是看各各自口味了，对波兰更独特一些，主角更酷一些，观点更更立一些。但是龙腾的史诗的史诗感，, Start Time: 2653620
Text: 还有就是他对整个世界厚厚度的这个体现其实更加明确，除了设定上的玩法上也很不一样。嗯，是对对，一个就是呃动那个猎盟人，就是纯粹就是动作 RPG 嘛。就是他讲你看就是什么游戏二作以后，二作二作以后，就是他动作性还挺强强三三将将将是一个大提升三作。对对，说就是就是就是在波兰进入大师录了大概两两百三百多个动作，, Start Time: 2678280
Text: 看的手感特别强。对，特别好看看巫十三的那个动作，感觉跟动作游戏已经没有太大差异了。对，基本上动作就是一个卖位了。对，嗯，觉得这两个游戏最大的差异是他们叙事的角度不太一样。嗯，对对，一个是从一个人去看这个整个世界，整个世界，一个是从应该说一个世界跟我觉得龙人是一个那样，, Start Time: 2702800
Text: 是一个世界和人的结合。就是龙腾是说大时代里的小人物、大人物、大人物、大大物，大时代里的大人物。我觉得 apec 的就是同大每个个一个很牛，就是他就龙腾世界起源的每个起源角色，他都会有有自己的阶级级自自己的身份。然后其实如果你用冰人的角度看，考虑，他就是一个一个 POV，, Start Time: 2723370
Text: 就是你每次每个这个每个张节角角不同样每个人的看法是不一样的。包括即使他这个没有被这个你自己的主角涵盖你的队友，也会涵盖这些视角。他是从各个各个立体的这种视角去分析 POV 好多人可能不知道是什么，就是试点人物，就是就是就是兵角角。对，就是对，就他冰冰之之，, Start Time: 2744410
Text: 他每一一张是就是都是以不同人角视一样，就是个这个世界不同的角落，看到的这个这个这个这个大千世界，那么一小小角角。对同样一个事件，可能不同的人有完全不同的看法。对对，比如说这一张是不认，然后下一张是分析。对对对，而且龙腾这个视角比传统的更加具体。因为传统的只有一个种族啊，, Start Time: 2764990
Text: 或者说我的我的职业，还有我的这个人格倾向。对，龙腾就是一个就是一个我的我我宗教出身，嗯，我我作为一至高老伯爵，我是这么想，我就就就是为就是就是就是就是说就是阶级、阶级还有民族，然后就是拿一个一一个种族。对，具体到义个人，你的宗教信仰，就基本上你现实，尤其现代社会中，, Start Time: 2786480
Text: 你所有能够改设呃，就影响到你立场的因素都存在。而且你不再是一个 idol，你就是具体的人更像 POA 这一点。对对对，然后呃再来谈谈另一个系列，就上古卷轴吧。啊，我觉得我觉得这个家不不在我们嘴下死的很惨，是因为上古卷轴也是的确是爱的深，所以才恨得切。啊。我刚就就说古对其实程峰的 morrowin 第三代是一个开创性的作品，, Start Time: 2807260
Text: 而且他的开创的意义非常深远。嗯，这是为了当为什么当年程峰获奖无数，而且可以说现在主流的欧美 RPG 几乎都在学成分。嗯，比如说开放了世界日液循环的天气系统啊，然后任务像我一直说像联那个联合国难民署一样，就是空洒这个任那个一那个呃水和食物到这个广阔的这个沙盘上面，, Start Time: 2832400
Text: 对吧？然后你就去抢这些点，嗯，就这些组织都是很好的，包括骑马。对，嗯，这些最早都是那上上谷去创创的，所以开放世界这个是上古卷轴最大的贡献。而且上古在商业成功了之后，我们其实能清晰的看到 DAI 和巫狮三三和兽兽猎猎三三都是明明显的借鉴了。上古上古，这是我的构。, Start Time: 2856510
Text: 没错错。但但是上古呢经历这三代的发展，从三代成分到 obliven，再到那个天霜啊尔嗯，就是他因为是那个一代成成功，嗯，对，所以基本上也是呃有一些很套路的东西啊，最为人诟病的。就是首先就是那个非常无聊，重复性非常高。嗯，是是盖，是跑腿的任务太多，找不着拉杆儿。, Start Time: 2877750
Text: 对，而且主线任务极其无聊。嗯嗯，因为这个极其无聊，不是说一点都不能玩下去，而是说相对于北欧亚这种写作似的来比就差太远了。嗯嗯嗯，没什么厚度，确实基本每次都是国王，被被那个什么恶魔呀，什么绑架了，嗯，没有了，然后这个世界等你去拯救。对，但但不过天气里面你都可以扮演那个安黑暗兄弟，, Start Time: 2902900
Text: 会把国王亲自刺杀，是皇帝对皇帝。但实际上那个之前的都有，你都可以加入黑暗兄弟会，就是他连历史都是一样的。每一代对啊，包括那个扮演吸血鬼，对，不过那个那个天天际神道是他那个兄弟会倒没有了，变成那个什么战战战战友团嘛是吧？对，战友团。对，就是总算是历史稍微发生了点变化。, Start Time: 2926000
Text: 对对对，白跑成的那个战友团。对对对，他那个比较有北欧风格一点，我对那个天际嗯有一点我就是因为我是一个纯粹生软粉，所以说有一点我对我我对天际就是其实我玩了挺长时间天际，但是有一点我不是很喜欢，就是他的他其实也是欧美 scarscscr PG 的一个通病，就是他没法把自己的这个种族真正的带入到每一个角落，, Start Time: 2947060
Text: 他其实也做不到。但是你你你扮演的时候，这个感觉就很明显。虽然说风归城可能在风归城，我记得有一个黑暗精灵被歧视的这么一个体现。然后还有就是开头，然后剩下的基本就是很少了，很少能感到你是这个种族的人。对，嗯，然后你你你做过的事情就是实现都不大大是他我觉得做过的所有事情情唯一的体现就是就是那个守卫聊天，, Start Time: 2972460
Text: 守卫全知道，其他人全不知道。对啊，就上古卷轴的问题。一直是说他其实很想去营造一个人在世界里的这个存在感。对，但恰恰他这个存在感呢，在 NPC 的表现上一直是有问题的。比如说为什么说我的膝盖中了一箭能成为一个流星语，是因为 NPC 重复的太多了。对对，哎，那么我们也知道就是说上古其实 NPC 一直有自己的脚本逻辑的，, Start Time: 2996340
Text: 比如早上起来该干嘛干嘛对你观察一下呢？好像蛮有意思。嗯，但是就像你刚才说的，他却忽略了玩家自己扮演的这个角色，在世界里的互动感，对你走进这个世界改变了什么？只有当你偷东西的时候，守卫什么全场的人都来打你了。全村男女老少都出动了，而且第一次玩时候觉得很牛，后面基本就是这几种反应对，, Start Time: 3019870
Text: 而就不无聊了。各个 NPC 的这个作息时间太标准太规律了，以至于反而很虚假。因为因为我觉得他更多，他注重他做的其实比较好的是他跟非 NPC 的一些互动。比如说你去采集一些草药，你做一些东西锻造啊，你去你去在外面有巨人把你打飞之类的，就这种东西，他他是的确做他呃各种各样的猛犸象啊这种身态，, Start Time: 3040290
Text: 他也的确把你采些事件。对，所以事件这种东西，但就是只是说就是他在就社社会性方面，人与人之间互动是比较差的。对，而且他在很多细节的刻画上是不够的，场景细节很够，但是没有深度。嗯，啊而且这些这些道具你收集来了也不会有什么故事。所以其实其实所以说更多的时候，我们要想起上古卷卷回我们带来游戏戏可可能多。, Start Time: 3062110
Text: 就是我们一个人站在一个荒野中间。没错，周围都是雪花。我们学员觉得那场景特别漂亮，但你绝对不会。如果但是如果是龙人师，你可能会想起当时是以某个人对你说的某句话，还有各种各种角色。所以上古的那个角色也是有问题，你是一个人孤独的在浪迹天涯。对，但是没有对应的角度看，, Start Time: 3086600
Text: 嗯，很多人就喜欢这种感觉，就是对我就是一个孤胆英雄，孤胆英雄他就就是自己就是身处世外。所以上古最耐玩的其实是 mode。对，还有各种美女帽子捏人什么。对对，所以就是就是因为他自由度完全完全非常高，故事的存在感也很稀薄。但是世界是美丽的，嗯啊是可探索的，所以他基本上把重点放在了探索上。, Start Time: 3104360
Text: 对，做自由度唯一这个可能说自由度比他高以后，我估计也就是我的世界了，就 my craft 了。对，做 besist，把他的这些好的地方和不好的地方也带到了辐射里头。对对，确实有量。其实我并并不觉得这个引擎和这个游戏方式特别适合辐射。这个没错，就辐射三是也是一个，, Start Time: 3129680
Text: 怎么说呢？又让人扼腕痛惜，但你又不得不接受这个现实，我感激 besist，但是我觉得他做的并不完美。所以那我但我个人还是觉得目前前前为止，就现在人大场中对对这个东西交给百 sista 做觉，我觉得比交给百巴奥奥做稍稍好好点，比较好的多。百 o 二是牌。我觉得除了 DAR 之外，, Start Time: 3149500
Text: 对没有拿得上手的，包括 TOR 和那个 ME 也都不太行。所以我觉得辐在你的白泽塔手里的这个呃辐射，它好的是探索性上面保留了。对，但是我对他最不满意的就是对于不是也不是主线，我觉得故事也还行。说实话战斗什么？对，是战斗系统，包括那个游戏性上面的这些改变。嗯，, Start Time: 3171420
Text: 就比如说打枪的子弹时间，嗯，然后每次都是特写脑袋飞，那特写脑袋飞出现频率太高了。我对他这个系统的改造是非常不满意的。就是他就不像呃布要威尔做质量效应的时候，嗯，去做射击的那个把握把握的这么好。对啊，就显得有一些粗糙和生硬。嗯，太生硬了，他搬的 special 搬到三 DD 里，, Start Time: 3192830
Text: 搬的太硬硬了。对他，而且且他其把 special 给改造了了，就尤其在那个就变成计时的那个战斗方式了。嗯，这改的非常非，其实我觉得是非常有问题了，对，不过他一些末世风和恶搞风格还是还是留存下来。其实在 new vegas 把它交交给那个那个黑曜石作业，是一个非常明智的决定，, Start Time: 3214590
Text: 但是维 gas 是非常棒了。我觉得就 new 维 gas 是把就是这套就是 besasta 刚就是呃就是不擅长的移植，移植到移植到就是那个呃把他把上古卷轴那个东西移植到这个这个辐射世界中间，然后他把他就是 besasta 已经移植过来，这些东西把他性能发挥到了极致。, Start Time: 3234190
Text: 对对，算是这个。因为黑曜石毕竟有黑黑洞血统。对对对，黑岛擅长的那些东西，他会补回来一点，对他的哲学性、深度上 biowear 这些都是比不了的。比如抑郁镇魂曲啊、 KOTOR 二啊，对，都是比不了，就是黑岛的那个终极思考的东西会更多。对尔威尔呢更喜喜欢讲故事，, Start Time: 3252960
Text: 这是有区别的。他喜欢讲一个特别精彩故事，什么飙车戏就是乱七八糟。这个他喜欢这个，至于故事就是呢就是启示其实不知道，对你尤其是也都是从各个碎支上，就是你感较碎片的，不是说一个终极真理没错。而且 new vegas 这个游戏真是他真是同时结合了这个沙盘对他全不同的那条故事实现。, Start Time: 3273640
Text: 你玩 new 给 new vegas，你的感觉就是后半程的游戏体验完全不一样。你加入凯撒军团，或者加入这个加入新加州共和国。对对，完全是两个两个玩法，它的这个故故事故事线做的非常好。这个恰恰其实就是原来辐射最吸引人的地方之一。而且现在好像就是三 d 能把这种故事线和沙盘真正结合的这么好的对对，, Start Time: 3296750
Text: 只有真的是这这一座。对对对，但是请换个引擎。对，马上应该会要要用那个老滚那个引五的引擎了。嗯，呃期待看看巫十三能不能做的更好。对，所以上古卷轴那个 online 也快出来了。嗯啊好像已经出来了。嗯，太久了，那个我觉得那不是一个什么好好好游戏的。所以比较悲观的谨慎，, Start Time: 3319530
Text: 悲观的觉得那个上古六可能更不怎么样。嗯，但是希望辐射如果有星座的话，呃，能够能够改变一前会有公布辐射。至少故事线可能比上古还是要好一些。因为它有存在感，我就觉得那个辐射是因为设定太好了。末世末世启初风格，以至于你再怎么毁，都不太可能把它毁成什么样。对，而且因为这这种这种末世启示的风格格，, Start Time: 3344730
Text: 它的沧桑感，它的是厚度是天然决定的。嗯，而且特别典型，它特别好抓，我觉得对对对，只要带一点这种悲天悯人情怀，还有黑色幽默之类，乱七八糟对，放一点爵士音乐立刻那个时代感就出来。而且希望贝赛斯代能从那个那个那个谁就是黑黑暗石手里学到一点儿，是是故事线和角色的东西，, Start Time: 3368790
Text: 对阵营啊，善恶呀。因为威斯斯的角色是是不比百欧尔的差，就是他这几个队友对你说到这一点的话，其实也是上古，就是基本上其实你做善做恶那个区别真的不大。嗯，呃人的决定非常模糊的。嗯嗯，这也是沙盘的一个很难做的东西。因为你要是把每个人的行为都都是都设计好，那这个成本实在是对太高了。, Start Time: 3390840
Text: 嗯，但是这也恰恰是未来次世代，我们可以去期待的地方有新的游戏，其实在这些上面会着力刻画。嗯嗯嗯，那我们现在就重新集中到嗯龙腾来谈一谈龙腾的世界观。咱们在这期的末尾就给下一个下下面的么个几期节目，做个小铺垫。对对对，说回到这个龙腾世纪上，嗯嗯，我们刚才也讲了，, Start Time: 3414300
Text: 就是龙腾的龙腾从各个史诗奇幻里面嗯，就是融入了很多很多东西，但是他把这些东西结合起来，却能出现一些就是很惊喜的东西。比方说呃大家都知道这个废的这个设定，就是对影界这个设定。影界这个设定明显是跟战锤的这个就是负能量啊，那个压空间这的设界实实上什么影界是什么？, Start Time: 3437890
Text: 因为咱们很多听众可能都没玩过，咱为了普及，这个就是把科普东西都解释清楚了。对对对对对，嗯，大概就是在在龙腾的世界里面教会是这么说的啊。然后这个世界是上帝手里硬币的两面啊，叫 maker。对，在 maker 是手里硬币的两面。嗯，正面是正面是现实世界，背面就是影界，, Start Time: 3462970
Text: 影界是高度流动的，它是相当于一个梦境的存在体。嗯，对，然后中间隔着的叫做 will 杀杖。然然后其实在龙腾的世界里头，每给人做梦做梦的时候，他和影界产生关系。对，然后他就会进入影界。然后然后但是只是惊鸿一瞥，每个人身上都有一点这这些东西有点像星战里的原力虫，, Start Time: 3486330
Text: 就是每个人身上都有一些有一些人类的原力的这种。对对对对对，但是只有法师，只有一些特殊的人发生成为法师。对，然后法师有可能会受那个影界里的这些呃鬼魂吧，或者各种各样的那个抑郁的生物的诱惑的，以及 spirit spspirit，而且 spirit 的设计也是很有意思的。, Start Time: 3507320
Text:  spirit 是有有善恶善恶之分的，但它并不是在于这个生物本身的。其实就是这个绪绪本身。对，然后将会说那个上 maker 的首生就是是 spit。对，就是上帝先创造的是什么？先创造的是是感情。对，但是不是实体。我们说所谓的数绪 o 就是一就就是恶恶恶恶恶魔就是负绪情绪。, Start Time: 3528820
Text: 对，负面情绪，比如说睿智啊、比赛啊、狂暴啊，对，然后嫉妒啊，然后欲那种绝望啊。对对，这这些情绪法师的能力，就是把这些情绪直接使用到这个实现实的生活。对，就转化为魔法的能量，使使使之直接实现。然后他通过就是完成这点，是通过这个瑞 liam 这这种的来来来来获得这个渠道的。, Start Time: 3552020
Text: 然后为什么说法师容易被 deamon？就是就是附体。因为有一些很强很强的感情，对比如说傲慢 prime，比如说迪赛啊，就是欲望欲望这这种很强很强感情，他其实在某种程度上占有你控制你对占有你控制。你在当然有一点不同的是，他也不是纯粹的感情，其实恶魔是有意识的。, Start Time: 3578210
Text: 我们 BAI 里头， so us 主要讨论的就是这个问题，因为恶魔他也是有意识，但是他同时又是这个感情的一个一个不是有合体。嗯，所以嗯我们知道就是为什么说没有说善的，一般很少见说善的感情会控制这这个这个法事。嗯，因为善的感情他的这个侵略性并不强，他并不是说想去控制一些。, Start Time: 3599870
Text: 但是只要是睿智啊，就是愤怒啊、呃傲慢呀，他都是侵略性的，他都是控制性的。所以他会不断的试图冲破影界。然后来到现实，最好的办法就是在法师施法或者说法师造访引界的时候占据法师。然后这个东西就成为了龙腾世纪的一个原罪。对，嗯，就是法师是非常危险的对啊，那么法师危险怎么办呢？, Start Time: 3623200
Text: 就是所以说那个某个教会就想了一个办法，就是说让那个 templine。对，也就是一个组织。对创一个组织，就是把法师管制起来。对，看着他们，对，就变成了法师，某种意义上就变成了有点像囚徒。对他他因为他对这个费了亲和力，他自己对那那个因为别人世界了解，导致就是他他总之会被人以潜在的嫌疑犯的那种眼光去看，, Start Time: 3647620
Text: 会威胁到现实。而且我们我们就是说龙腾世纪的法师为什么就是他是最危险的？相对于其实他龙腾世纪的法师能力不是最强的，对比起 DND 来说，差的差的很远。对，但是龙腾世纪法师首先他是随机性的，就是你不知道哪哪一家他会生出法师，可能法师的孩子生出法师概率更高。嗯，, Start Time: 3671040
Text: 但是只要是谁谁都是有可能是法师，所以他就没有骂一个，没有有麻瓜。对对对对对对，最强是哈利波特。另外一个是它的成本实在太低了，就是任任何个小孩儿都能施法，这必须得提到血魔法这个设定。对 blood magic。对 blood magic 这个设定实在是太太出彩了，, Start Time: 3691040
Text: 因为血魔法它的成本就是鲜血。但何法师，我们刚才说大部分是用利瑞姆作为这个利瑞姆要作为这个成本对来来来使用了。但是鲜血的力量在龙腾世界里头，鲜血的力量比利瑞姆还要大，它是最大的力量。所以可以想到那个前两代游戏的这个呃 logo，它的标题画面其实都是一条血龙。, Start Time: 3710990
Text: 对对对，血做的龙龙当然就是这个的主题嘛。对，所以用用血就是告诉你，其实血的重要性何在。嗯，鲜血这个东西它是最昂贵的，也是最廉价的。因为任何一个小孩儿割破割破自己的手指都能使用，都能使用鲜血。但是如果你要想把这个效应还大化，你就需要成批成批的牺牲人，牺牺牲奴隶来做到这件事情。, Start Time: 3732870
Text: 所以血魔法决定了他的他的低成本，嗯，它的它的高收益。血魔法最大的特点有两有两种，一个是需要人际，另外另外一个是能精神控制。对，这个大家在想，就是如果你要是想上位的话，你要是会精神控制这个能力，那那邪教教主一般都会有这个技能。然后这关键是每一个法师他都他都是有这个有可能性。, Start Time: 3756300
Text: 因为因为血魔法的能力是恶魔给的对，因因为里的这能魔给你的，所以每一个法师都有这个嫌嫌，都有这个嫌疑。因为他的诱惑实在太大，所以龙腾世界里面呃，法师天然的就会跟这个 angtemporal 会有冲突。对，跟因为他是被被监管，这个管制的确切说是跟所有普通人都会对，, Start Time: 3779740
