Text:  go my friad 爸爸，您好，请问您是张先生吗？哎，我是您哪位？您好，我这边是机合网，恭喜您获得核聚变，北京站门票核聚变。我以前去过呀。这次的核聚变引入了新的游戏和新的玩法，会带给您不同的体验和不同的快乐。哎，得嘞，您要不直接跟我说有什么奖品吧？我们除了有四 k 电视 PS 四 pro 叉、, Start Time: 380
Text: 然后很多小的细节其实做不好，都是带来这种非常惨重的代价。嗯，这种情况这个高风险呢其实对我们整个航天系统这个可靠性设计呢提高了可靠性设计和验证嗯，呃提出了非常高的要求。嗯，一个是也进行大量的这种可靠性方面的研究，嗯，呃可靠性设计的研究，这一个非常必要的研究，, Start Time: 2222165
Text: 对还有可靠性验证的方法。呃，比如说我们的呃，比如说咱们的一个设备里用的元器件儿，还还有靠设备备，都是经经过非非严严格的筛选。嗯，对，它实际上是一个你看到是一一个仪器设备，但它实际上可能有十套仪器设备，它只是从十个里边挑出来最好的一个，而且它是实际上是金字塔式的。, Start Time: 2248350
Text: 你就是相当于我这个仪器这个仪器设备有几个呃线路板，线路板，其他的各类卡嗯电源这一系列的组成。实际上可靠性是从我对这个设备提出可靠性的要求，然后分解到各个子系统的可靠性要求，是可能我这个设备的可靠度提的百分之九十九，嗯，那么我的线路板可能是百分之九十九点九。, Start Time: 2278310
Text: 那我上边的元器件，比如电源啊、嗯电容啊、电感啊这些东西，电阻啊这些东西可能就是百分之九十九点九九九，后边有好几个九这种可靠性。一一方面是提的这个要求，而且二一个你是必须做可靠性实验的嗯，去验证它需要做重数据的。对对对对，嗯，就我我嗯举个最简单的例子，我可能挑上边的一个电阻，, Start Time: 2305990
Text: 嗯，我可能需要拿一批电阻去做实验哦，反复分啊。对，让它满足这个在各种环境下，它不会出问题，确保不会出问题。就是然后才能拿这个件去组装这个系统，才能有这个就是安全的系数和数据啊。对，然后再从这批货里面对的是的，这不是一个的问题，这是造出来的那一批批次做到这样，, Start Time: 2331790
Text: 而且下一个批次也得这样。对，咱们可能就是可靠度，可能比如比如零点一，嗯，那可能这个整个火箭的成本可能得乘以呃二到五啊，举个例子还是当然不不恰当的一个比例，这就非常相当于你是系统中的每一个件儿都是经过挑选的，筛选出来的啊，就是这个个啊对，所以提高它的可靠，所以这是工程啊，, Start Time: 2353650
Text: 对这个和科科学和技术不一样，是这是工程啊。对对，实际上那个咱们的器件，宇航级的器件基本上是在千选一到万选一之间差不多。那这样的话其实是意味着一个器件的成本将会增加，将会扩大一千倍或者是一万倍的概念。嗯，所以为什么说航航是很烧钱钱一一件事？嗯，对，但是可靠性这个方面呢呃有两个，, Start Time: 2382320
Text: 实际上有两个点需要呃提供了新的思路吧。其实马斯克实际上是从通过它顶层的冗余的可靠性设计，嗯，或者通过系统的备份来实现它对系统里边单个器件可靠度的一个降低。相当于我如果容许你这个呃器件可靠度降低，但是我整个系统我有两套系统，三套系统去备份分析。对，这实际上是可靠性设计的一个新的思路。, Start Time: 2410340
Text: 嗯，呃，特别是对于航天可靠，过去一个设备非常贵，它一个可能相当于是十个工业级的一个一些这么一个设备，价价只有这一千里。呃，然后呢但是呢我要能设计成三套冗余，那我需要三套，那比你这样价格成本也是你的三分之一啊，嗯我也能实现你相同的可靠度，这就是在可靠性设计方面做的工作。, Start Time: 2438130
Text: 嗯，还有就是在可靠性验证和评估方面做的工作呢。可能现在就是说我系统设计出来还没有生产出来之前，实际上是可以做一些可靠性的评估的。结合专业一定要结合专业去做这个工作。对啊，我考虑我的载荷环境加研以后，我这个到底行不行？是一些通过一些仿真的手段来做的，这个实际上也是后边一个趋势。, Start Time: 2461090
Text: 对，所以这个也牵扯到工程中一个非常重要的概念。就是说其实工程去寻找解决方案的时候，是考虑各个因素的一个平衡点。嗯嗯，是去寻找一个平衡点的一决方案啊，在工程中间我们是没有最优的解决概念的对吧？嗯，应该是一个较优的解决方案。嗯，应该是在各个优的比较对比较比较好的，, Start Time: 2486635
Text: 或者是在不同条件下，可能我们的解决方案同样的一件事情，解决方案会不一样，是因为考虑各个因素的权重不一样。嗯，啊那它其实是在寻找平衡点的一个过程。对，咱是工程思思维吧。对，咱们国家的这个呃成功率还是非常高的，是嗯就相当于在保证可靠性这一块下的功夫非常足。但是那也不能避免失败。, Start Time: 2513490
Text: 是的对对对对，所以这火箭发射整个过程当中，因为它不是有几个阶段嘛，哪个阶段是最容易出问题的。一般最容易出问题的。就是第一个是发射阶段点火的问题，点火对发射阶段。第二个容易出问题的时候，是分离的时候，分离的阶段力产生剧烈变化的啊对力产生剧烈变化的时候。这时候实际上对发动机也是考验。, Start Time: 2538130
Text: 嗯嗯，因为你比如说一级发动机要关机了，二级发动机要点火要点火，一级发动机关机的时间要准确，二级发动机点火的时间一定要准确，不然它直接影影响对，影响到我入轨的速度，那我就不能准确入轨了，不能准确入轨。这个呃带来就是要么就是失败，然后要么就是降低了飞行器的使用寿命。, Start Time: 2567510
Text: 哦，对对对，是对，曾经出现过没有准确入轨，然后导致飞行器的这个使用寿命。我想想降低了三分之一。哇，后来进入了错误的轨道，进对没有没有真正入轨以后，需要使用飞行器上，或者是说那个航天器上它本身自己的推力器，然后去进行轨道调整哦，啊，这样就会额外的去消耗它的燃料哦。, Start Time: 2595230
Text: 所以它真的是一个非常精密的一个连贯的过程啊，对，非常精密连贯那个而且要先停机，然后然后抛抛掉，中间是有一个爆破的吧。对，把后面那东西炸掉，中间要分离。嗯，对，中间要分离分离这个过程，像咱们大部分可能是用火攻品嘛，划一下把它炸开啊，就是炸开的。对，炸开不是瞎炸的是吧？, Start Time: 2620430
Text: 必须按你预定的这个时间哦，然后预定的这个结构破结构分离这个面儿，你一定要在这个面上，你把它切开了，嗯，把它扔掉哦，要精确爆破，精确爆破，然后发动机再立刻点燃。对对，但是也有一些可能一些其他的一些新的一些分离的手段。嗯，比如说 space x 它用的是实际上是冷气分离，, Start Time: 2645350
Text: 它不用火攻瓶，它带着气瓶冷气分离，然后用冷把把它开开。对对，冷气就是把它得给锁嘛。对，相当于分离。你就一开始锁着用冷气把这个锁推开哦哦，推开就分离了，变成一个机械结构。然后啊对它里边是个机械结构得得回嘛嘛，它破破坏那结构构。那正好就是我们说完马斯克，其实这个可以说就是火箭相关的发展，, Start Time: 2673380
Text: 其实它自然也是一直在发展的，是吧？我们刚才说的其实都是一些已经比较稳定的，我们在使用的正好我们接下来我们也正好聊一聊。比如说最近最近千禧年或者千禧年的第二个十年了，然后这个火箭有什么发展了？这个其实大家反而可能会更了解，更接触更多一些。嗯，从之前的这个各国航天局对到相关各说，, Start Time: 2699670
Text: 现在这种商用航天商用航天的这个好感觉是一个很大的一个变化。嗯，对对，这个也是像实时造英雄啊，目前说马斯克的 space x 也是引领了另一个航天的热潮。实际上冷战结束以后，航天一直处于一个低谷，对世界航天一直处于一个低谷。从两千年开始吧，那现在马斯克原来作一个作为一个个低谷，, Start Time: 2721890
Text: 嗯，开始踏足航天以后，确实给航天带来了新的思路，嗯，呃，新的一个发展的一个途径。呃，这个跟跟原来传统航天的发展思路都不一样。嗯，原来嗯以美国为例吧，美国的这个航天是航天发射任务是由呃，美国的波音公司，还有洛克、希德、马丁这两大军火商垄断了，他们成立了一个发射联盟，, Start Time: 2747950
Text: 嗯，相当于定价权在他们，所以说没定多高的定做。对，所以说包括 nasa 实际上是他并不自己运营火箭发射，它只是哦研究这个技术哦，购买他们生产购买对购买发射服务。嗯，他是只购买这个发射联盟发射服务，包括军方，美国军方也是这样的。他们实际上呃 space x 能这么迅速的成长，, Start Time: 2776820
Text: 与军方，还有与美国航航空航天局的大力扶持是分不开的。他有这个需求，对对，一方面是资金的支持，对他的发射服务。另一方面是在技术上确实给予了大量的支断的。比如他的发射场，嗯，哦，比如他一些关键技术啊，他一些人才啊一些支撑，呃，这个让那个 space x 发展非常迅速。, Start Time: 2802700
Text: 嗯，呃我再回到刚才那个议题啊，就说实际上这是一个航天，这个是一个高风险的一个行业。嗯，但是确实是往往是大家都觉得航天人比较保守。但是马斯克却是个例外，他嗯那也是呃，他也是非常具有冒险精神的。嗯，那包括一开始提的火箭可以回收，嗯，呃然后到后边的重型猎鹰啊，都是确实它突破大家的一些惯有思维。, Start Time: 2828570
Text: 包括最近的新的一个飞船，嗯，就是新的新的龙飞船。嗯，可以，现在过去，比如说中国的飞船可能最多只能呃装三个人。嗯，而且那个美国的出国航天飞机装的多一点，但是飞船后来都是买的那个俄罗斯的发射服务哦，呃可能也是我记得是能装三到四个人哦。然后但是到龙飞船到载人飞船，, Start Time: 2861560
Text: 这他有货船，有有载人的船啊，他载人的船一下可以载七个人，而且非常舒适。嗯，包括他宇航服非常漂亮，但是就是对专门请的时尚界的设计师，是使用他们提供的材料设计的，非常轻便跟漂亮。嗯，过去的确实这都是一些确实未来的发展方向，也是也是现在吸引大众目光的，也是实际上是巨大的创新，, Start Time: 2891690
Text: 迈出这一步非常不容易。嗯，因为他这个也是在这种 nasa 的这种大力支持下，在一定的这种非常坚实吧，非常坚实的基础基础下才能做到。而且说到马斯特，我们肯定要说四 ace s 这个回收火箭。对，就是的回收火箭，其实它有什么难点啊？就是真正难点在呃回收火箭，实际上现在做的更多的是一级的回收，, Start Time: 2919300
Text: 还有呃助推的回收。呃，实际上我这个火箭飞回来以后，如果没有呃姿态控制系统的话，嗯，那它就像自由落体一样，或者说往哪吹掉掉哪儿。而且它是在天上飞的速度，因为非常快，那个角度稍微差一点，可能下来的距离可差很多是对吧？咱们很多时候有时候这个呃所以飞船比如说载人飞船在回来的时候，, Start Time: 2943020
Text: 有时候这落点都很难精确控制，实际上是很大的范围呢，大家需要搜救队伍。是的，但是呃像马斯克一级回收，它可以稳稳的停在它的回收船上，或者它是预定好的这个回收点上上实际其实看电视啊，网上的视频都能看到，其实回收精度非常高。嗯，实际上这个回收过程中对它的姿态控制系统要求非常高。, Start Time: 2971030
Text: 嗯，就相当于是我比如说它的一级回收，上面有山格舵，有反推的深格舵，山格舵。嗯，就像咱那苍蝇拍上一样，带很多那种方形的或者菱形的小孔。嗯，它这个调节姿态的是一个非常好的一个东西。咱们国家那个长安 f 的陶艺塔上也有这样的山格舵，嗯，也是呃减速和调姿用的。嗯，, Start Time: 2994610
Text: 然后后边儿那个后边包括他的反推火箭，还有主火箭要预留燃料去减速哦。对，然后还有他的呃回收的时候，缓冲的支腿哦，它特别要伸出来哎，伸出来那个支腿要缓缓收它的冲击嘛。嗯嗯，你想想咱们一般那个一般回收就不带燃料回收回来这个呃回来这个火箭加上发动机，但是加上剩余的燃料也有几十吨种。, Start Time: 3020205
Text: 嗯，它这么多的一个要落下来还是个细长体，它也不翻，难度挺大的。对，你看也是它前几次都失败了。是的，唉，也是不也放弃，不能把这何做成对。呃，即使破产要把这个感觉，这个确实是这个是跟我们呃这种现有的航天体制，我觉得可能还是完全不一样。环环境挺大的对，这个也是我们非常佩服马斯克的一点，, Start Time: 3053110
Text: 还是一定要把这个回收是做出来。呃，现在做出来可能就不一样了，因为火箭也由过去的一次性是输系统，变成了一个可重复使用，有运输系统可回收回收。火箭使得这个呃火箭运输的这个成本啊呃降了很多。嗯，一开始发射联盟举个例子，它可能的价格可能是会是中国的六到七倍。比如说长三火箭举个例子，, Start Time: 3082390
Text: 还能发射一次提供一次发射手务的一亿人民币。嗯，可能，美国的这发射联盟提供相同的服务，得一一亿美元就发射发射联盟可以，但是随意要这样。对，但是像马斯克呢，它可能只需要六七万人六七千万人民币，那就是相当于是原来发射联盟的十分之一。哇，这也就是说它大大的降低了降低去，, Start Time: 3109630
Text: 相当于把波波的费用几乎降了一个量级。嗯嗯，一点是更可怕的是对， nasa 会转而去试。是对，嗯，但是据我所知，就是像这个可回收火箭的技术， nasa 在八十年代末九十年代初其实是已经实验成现了。嗯，但是这个技术没有继续发展起来，而到了今天需要马斯克对对对，, Start Time: 3135820
Text: 才去来来做做个实现的。嗯嗯，我觉得这可能是一方面是一个技术的原因。另一方面一方面是一个需求，嗯，可能在呃波音跟洛马成立发射联盟，垄断这个发射服务以后呢呃相当于变成垄断的价格嘛，它急需引入一个第三方来打破这种垄断，嗯，以获得性价比更高的这种发射服务。嗯，实际上这也就是马斯克 space SSX 公司抽准了这个抽中了这个机会，, Start Time: 3162000
Text: 相像 nasa 跟军方呃都想把或者垄断打破了哦。啊，同时实际上呃过去找个比如说俄罗斯提供发射服务的载人的或者货运飞船，飞船的货运服务实实际上也非常昂贵啊，是对不是跟价格还是有关的对，跟价格它实际上更多的是一种商业行为这种所以引入一个相对公平的一个竞争以后，, Start Time: 3193990
Text: 可以大大降低这个发射成本。嗯嗯，你看后边马马克克边边重猎猎鹰，重型猎鹰也飞成了，那又是又一个我觉得确实是一个巨大的里程碑。是呃我说巨大里程碑呢是因为嗯过去呢土星五指是三千多吨的一个三千四百多吨的一个推力，把三千吨的重量推到天上去。然后现在呢但是它只有五个发动机，, Start Time: 3221620
Text: 嗯，是，但是重型列你看看有多少个发动机，重型列应该是二十七个发动机，二十七台发动机哇，相当于它的每一台发动机的可靠性要非常高。原来重型火箭呃，俄罗斯当时苏联走的有一款重型火箭，它的推力可能比土星五都要大。嗯，但是它也是走的多个小发动机并联的这种模式，嗯，但是故障不断就一直没有成功。, Start Time: 3250550
Text: 这个马斯克把这个原动解决了，就是可以想象它的它第一个采用荣誉的策略。二第二个它的发动机可靠性非常高啊，你看它现在他的技术总裁就穆勒嗯，就是做那个发动机的哦，就是有这么一个非常厉害的一个人。对，这就他一个人，他是这个穆勒，是从 TRW 公司啊，就是美国非常有名的一个公司啊出来的。, Start Time: 3279129
Text: 然后自己一个人可以在自家院子里造火箭炮，这太厉害了。对，而而且他现在已经把咱就说衡量发动机推力的一个最大的一个就是比冲前面说的比冲做的非常领先，嗯，远远领先于其他国家。哦，啊对，现在他新款的发动机可能很快很快就会出来了。不过说回到这个就是回收回收火箭，就是为什么其他国家没有？, Start Time: 3312670
Text: 就是更大力推开它是有别的地方有什么顾虑吗？这个就是咱们就说这个技术原因，技术原因还是呃因为嗯这个里边对火箭发动机呃，一个是结构的，没有呃回收啊。但是更重要的是，火箭发动机可以重复使用。嗯这对嗯这对火箭发动机的技术提出了非常高的要求。嗯，因为火箭发动机的寿命确实是有限的哦。, Start Time: 3339700
Text: 它可重复使用的话，对它的设计制造呃，更重要的是检测提出非常高的要求啊，就是我能保证它能回来，但是它下次能不能用是个问题。能可靠的使用是一个非常关键的一个问题。嗯，因个航天飞机为例吧嗯它呃，重复使用回来检测一次的费用可能将近十亿美金。这个也就是发射发射仪，相当于也是检修十亿。, Start Time: 3367270
Text: 实际上它的检修的费用是它的整个重复，使发射一个最大支出。这也是美国航天飞机为什么停停？实际的一个主要的原因太贵了，嗯，而且重复用确实有安全隐患啊。对你就是说只只有你能呃把可重复的话，可能存在的潜在的故障和缺陷检测出来，才能才可能放心的去用。但是呢这个确实是一个未来火箭的一个发展方向。, Start Time: 3395690
Text: 只不过现在能收回来是第一步啊。对，还没有那么经济是吧？啊，对，但是呃因为前段时间看到 space s 第三次使用它的回收的回收的回收的火箭了。我感觉三次就他可以盈利了，他要回收六次，是不是发射费用还可以再降一半？然后那这个就是呃我觉得未来啊呃普通人还可以真是可以呃有这个就是未未来的这个运输费用会降很多。, Start Time: 3422400
Text: 嗯，普通人也是可以去享受去太空旅行的。对，嗯，但是他是这个在后勤和这个检修商的这个隐形成本，确实是我们看到他成功的时候，很多人不一定能想得到的一个成本。是的是的是的，其其实实了这么多，差不多，我们从这火箭到底怎么样，然后更多的怎么用啊。然后这个现在的趋势啊，, Start Time: 3456720
Text: 新的趋势势我们都讲了一遍。然后其实这也算是给就是我们这期也算是请这个七十二老师给我们做的一个火箭的一个综述。其实还有很多我们呃听众听到现在也知道里面每一个部分其实都非常复杂。对对，非常精密。其实呃我们这期大致也就是讲讲火箭是怎么回事，然后可能以后有时间或者看大家有兴趣哈，, Start Time: 3474560
Text: 我们嗯挑一些火箭非常经历了不分。对，其实刚才聊到两个重要影响火箭的因素，嗯，一个发发机嗯，还有一个是控制系统，是对，如果以后有机会，七号老师有时间再来的话，我们可以再详细讲一下。对对，刚才发动机那部分，我觉得已经很有意思，听完之后有好多问题，比如中间那个几毫米的那个薄板，, Start Time: 3497040
Text: 这种材料是留开这个特别好奇，还是于火焰的这个温度是还挺有意思的。没错，对，所以这我们也留一点悬念呗。嗯，我们回头再讲以后，有机会我们再讲讲。对，然后那再到下一期天地运输，讲完我们该讲什么系统了呢？啊，那我们就该讲载轨航天器了。对对，这个航天器在呃宇宙中在真空中到底是怎么运行的？, Start Time: 3519270
Text: 嗯嗯，可能呃这块的话刚好我们之前也提到了，对于天地运输系统来说，航天器是它的有效载荷。对那么对于航天器来说，它的有效载荷又是里面的这个对对呃，这个航天器本身它也是一个平台，是能够支撑它的有效载荷在空间中运行的一个平台，那么它也存在着轨道姿态。然后还有嗯能源等等这些方面的呃一些概念或者是原理。, Start Time: 3543530
Text: 我可以火箭的工作结束之后啊，又该到他们的这个工作抛天气这方面。对，那咱们这期可以就暂时先到这。对，那感谢曲老师的分享是，然后我们下期进入到下个环节。对，嗯，好的，下期见。哎，下期见，拜拜拜拜一个。, Start Time: 3573400
