Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text:  but just just just inly， but but is a slightly slower slightly slowwer。 yeah。 so if we can in the future， that will be a simplified chinese one，, Start Time: 2435030
Text:  it'll be really appreciate it。 yes。 yeah。 yeah。 next time i meet dell tell because ah i've seen the amount ago we've signed the games for jujue did go。, Start Time: 2444515
Text:  come。 yeah， II will mention them that。 uh they definitely should have a uh chinese version。 thank you so much。 thank you so much。, Start Time: 2455530
Text:  they， they also they have lots of fans in china as well。 okay。 so so besides uh， the the the walking that we you have mentioned uuh，, Start Time: 2463920
Text:  have you got like uum a favorite zidole game on your mind？ of course， i do。 of course， i do。 it's so 为啥啊啊？那那那那那干嘛？ that's obvious。, Start Time: 2472700
Text:  that's that's above。 that's above number once no， not about about the mentioning。 yeah go。 i mean， you know， i'm a huge fout of fun of original，, Start Time: 2488340
Text:  follow ggames and h original followlow one and follow to um um i play um many， many times and then folfollow practics as well。 and and and and um i'm i'm really looking forward，, Start Time: 2498870
Text:  so i'll be making you know some some advertising forbit as though。 but uh， i think they really know what what they're doing。 and i'm looking forward to follow for myself，, Start Time: 2511930
Text:  okay， okgreat。 so and um you know， have you？ uh have any any uh games。 uh， particularly， you know， has inspiuh。 uh HH， you know，, Start Time: 2521530
Text:  in different ways。 yeah， i mean， if if if look look at this this um uis， uh， there was two hundred uh fifty um and above that finishing the which of so ah ah and when we started those probably hundred，, Start Time: 2534350
Text:  yes， each of them is a walking of talking games and psychopdia， and they play everything uah。 so if you put it all together， uh，, Start Time: 2552229
Text:  you will have a superlongest of who was inspired。 so what ah ah so i we play， we religily play all the the p ges。 um we look at the story telling。, Start Time: 2561750
Text:  so i mean， so we definitely look at by our the massifict， yeah， the bit as the staff in terms of the open world。 and ah the sky rent。, Start Time: 2575230
Text:  yes。 ah in terms of of the characters and uh and the perfect realization um in a smaller and more complex more is the last last us。, Start Time: 2583430
Text:  yes， yes。 ah i think you ah then then we look at at the twist in the story i ving into walking that。 and ah each of us has a certain favorite game。, Start Time: 2592810
Text:  you know， some people prefare to to spend their time with with abbulow and some people um prefer to to repeatively die dararkso。, Start Time: 2603180
Text:  so all these games， our inspiration， but i think that's that's the beauty of game development。 um then you know， if if you look at the which ure，, Start Time: 2612460
Text:  so these are the inspirations from the gaming world is。 but uh as a studio uh， we are regularly going to the movies， and the studies inviting the healting to the moviner to see the most recent is h the movies。, Start Time: 2622280
Text:  yeah， all the mathemax is all the super hero， everything。 so you know， a lot of inspiration。 sometimes um i think even other， but if youare are mentioning to me so much，, Start Time: 2635920
Text:  you look at the scene。 yeah， that's that's kind of similar。 you know， the scene in the iron man， i am like payment what the heck i don't remember。, Start Time: 2645420
Text:  yeah um ah ah if you if you're an intist， you you 're are direcct or of like an old designer。 um ah you you consume culture in a different way。, Start Time: 2652680
Text:  you look at different things that the other ably， where uah or required sigsigner。 well， yeah， um and then you have all this， uh giving you the effect of the atmosphere um um in which acuum，, Start Time: 2666020
Text:  you know， and i personally， i have noticed the the opening cinematics， which are three that you know， gerrett。 and uh garrett is tracing a unifer heuh h traces her fourth steps，, Start Time: 2678240
Text:  you know， the horses， and that he's trying to build building up。 uh， you know what what happened in this place， uh， you know， on the battlefield。, Start Time: 2691730
Text:  and that， that thing， you know that for me， it looks like so so similar to to to the load of ring the the two towers， you know，, Start Time: 2702950
Text:  that's like， like the arrogon， arrogon and leglless and and gamly ly that， that tracing these two hobbits。 and so II remember this on good，, Start Time: 2713330
Text:  good bean inspiration。 uh， sorry you， you ah could be an inspiration。 i'm saying， yeah。 yeah。 yeah， you almost be spspeer。 i think you know that don't forget that is this conscious part of inspspiration is re's subconscious？, Start Time: 2724390
Text:  yes， yes， yes。 so ah you you you watinall these things， and then it has a certain influence， and you don't even realialize it。 and you you have a bits of faces like maybe the ambience or maybe the color conscious，, Start Time: 2738410
Text:  what not yeah， yeah， of course， okay。 and now this will be last quesquestion afraid。 and and ah ah ah HH yeah ah ah well close close to vicictory。, Start Time: 2751830
Text:  yeah ah ah have mentioned uh ah you ah just have like very initiative contact with bower， and you you you， you you were invited by them，, Start Time: 2764250
Text:  you know， you know， to gayou know， know to to show your game。 just， you know， by the side。 yethey are showing。 the game is a jay empirirand。, Start Time: 2776430
Text:  so so uh well， it's really really kind kind of must work for for us because it's really， really it use。 uh， you know， it has introduced a lot of uh chinese enenuh culture in their games。, Start Time: 2785890
Text:  so do personally you know ah， do personally know anything。 so do chinese video games。 have you ever played any chinese video games？, Start Time: 2801940
Text:  um i've seen some， but uh as you as you as you surely know， um the reason frankie speaking， almost almost any examples of uh of of this uh available and being plyin the western world。, Start Time: 2810635
Text:  so h think i ever your huge games in in their huge games in in china and chinese speaking territories， and they really get out。, Start Time: 2830240
Text:  i ah think and whenever you talk about the chinese， uh， the dofect uh for the western fehere。 i mean， so you look at out on on the perfefect all and they never win tonight。, Start Time: 2840720
Text:  yes， yeah。 yeah， that's not really not ah。 i mean， is it a chinese game？ i think it's more of your hustern ames。 so yeah， china？, Start Time: 2853600
Text:  yes。 i don't II don't have many examples。 and during my my time at awards ceremony at chaamman en know know ah， the this this beautiful conference sent uh people getting aads ds。, Start Time: 2860760
Text:  i was brobrossing through the catalog， and i didn't recognize one title just， you know， i mean， so this shows uh that uh， you know that that there's a huge possipossiility ility um because if chinese games ers are playing our games，, Start Time: 2875160
Text:  we should be playing。 yeah。 yeah。 yeah。 so that's a lot of potentials。 it seems。 and so yeah， yeah。 and so um so i do um um do um are you interesting in any part of the chinese culture yourself？, Start Time: 2892090
Text:  yeah， i mean， II learn。 i learn chinese， um you learn chinese language。 yeah， yeah。 yeah。 yeah。 yeah。 okay for how long 啊？好，那我已经点会说中中国人哦说的不错，, Start Time: 2908850
Text: 说的很好是嗯说的很很啊嗯啊就是是是是很难啊，说说中国人我我住在台湾啊，我就在台北呀，半年，每天我我学中文四个五个小时，就是呃以后我还有问题说中文。 we are so surprised we are very surprised。 yeah ah it's really nice colrot and and roout。, Start Time: 2924130
Text:  yeah， that's very good prououyes ah， a very pronunciation。 it's really good。 good。 should i think should keep going？ and in the future ture can interview in chchinese mandanding。, Start Time: 2963710
Text:  ah oh， no， you know， at the shamman um h， there was like a partland ceremony afterwarks。 we had journalist asking questions。 and ah h the problem is you know，, Start Time: 2975370
Text:  II was getting like sixty percent yebut。 they have have forty percent。 i wasn't and it's really frustrating。 so i hehad transansating ating。, Start Time: 2986150
Text:  yeah ah have i mean， my personal hobby and passion is uh learning foreign languages。 yeah， and i would definitely like to come back，, Start Time: 2994510
Text:  but but chinese is the most most allenging ing far ar II would have spent another six months to yeah， to really speak well。 and i don't have that time well。, Start Time: 3004590
Text:  and ah you have my wife doesn't doesn't want to let me so yeah， and you know， whenever i will have time。 i'll come for like two weeweeks stustudy language will really like it。, Start Time: 3014450
Text:  yeah。 and we also heard that in the future。 and you also available and and i'll be convenient for you， and i would have any opportunities。, Start Time: 3024590
Text:  yeah， h any conconference is beijing。 yeah。 well， you know， we're really welcome you。 you vivisit that definitely， of course， is in GL。, Start Time: 3032150
Text:  yes， g go。 so kay， i mean， guys， i mean， let me know where's something happening because i ping more than happy to come。 i mean，, Start Time: 3040860
Text:  right now for the next probably， yeah。 so i'll have a bit more time because uh actually before the launch， which three we're just refusing all the invitations like as a general。, Start Time: 3048200
Text:  uh。 but right now， i think， is the time to talk。 so the'll be be thing thing h， but not be personally a pleasure to come。 yeah ah and if you will be at uh any time in europe，, Start Time: 3059560
Text:  yeyeah don't don't know the USH at the or or at the show， let us know， and i'll definitely love to meet you perperson and talah。, Start Time: 3070280
Text:  ah ah i hhence you。 i'm now i'm APHD candidate saying in britain right now。 i mean， yeah， and i hence your hhhence your accent。, Start Time: 3077540
Text:  so ah ah yeah， you can sell that from that accent。 yes。 and because i'm a great fan of load of the rain this in the first and also the game of thrones and harrepporter and all that kind of thing。, Start Time: 3087920
Text:  and ah yeah ah which and and which yeah， yes。 and uh， i'm also personally like a member of the team， or， you know， know you h， the chinese，, Start Time: 3100950
Text:  uh chinese se sion sion， which an novel， and i'm helping， you know them to builout in the sysyrovideo of which that uh the end end of the novel。, Start Time: 3110570
Text:  and so i if know if slilitly you'll like to come to this studio， tes to our fright from london。 so you like to you all more welcome。, Start Time: 3119370
Text:  yeah， it's i'll be it's all ll ly， and you know， h， we like to of that and know you have have mention that， you know， you start the city，, Start Time: 3128230
Text:  projecting a little single small room in the where warehouse， you know know is like that know know that kind of experience， you know，, Start Time: 3136110
Text:  ssyof dite to us because ah h slightly again， you know that you know， starting like that， yeah。 and now we are slightly better，, Start Time: 3142970
Text:  slightly better and know we we have have mentions in beijing right？ right？ and and we can do you have we have employed probably how many ten people ten people around my ten people？, Start Time: 3150730
Text:  now， it's just yeah。 it's it's just dream right？ right？ it's it's it's just like you。 it's it's also our dream to it's kind of bring as as as as as they say，, Start Time: 3161980
Text:  our repeated in in english roroom wasn't built in a day or ah h what is what is the training？ it chinsaying 慢慢来慢慢来。 yes yeah。 yeah。, Start Time: 3174330
Text:  yeah。慢慢 that that's cool。 that's cool。 so so it's great。 yes， it's it's。 it's being really a great experience told me to。 and so henry，, Start Time: 3187130
Text:  have you got any personal questions for for for for matchum， you think because come both both us us ask each each us us asked one fire away fire away。, Start Time: 3197010
Text:  i just got this very new question。 come to my mind is like because which which you know the the highst difficult code level is really didificult。, Start Time: 3212310
Text:  and uh it's in chinese。 it's it's it's trtranslated as r uu hang it means。 it's even even even if i die， there will be no shame of it。, Start Time: 3223530
Text:  and um so it's really didificficult uh， i have tried。 and actually， i really in the first， the white old jd part， i have been killed for thousands of times for thousands times。, Start Time: 3234610
Text:  i know enjoy that。 i know as a game develop of you enjoy that part the most， but okay。 and and and and and also because the which chair was released around probably june，, Start Time: 3247070
Text:  right？ i know。 and so ah before the times， yes。 and ah before the which and also as ah h ah most popular game， you know， the most popular topic for video game is yes ah the blackboard。, Start Time: 3258770
Text:  and it's also yeah known for it's is super difficult difficulty。 and so um and and so as game plaplayers also as you know ah ah in guininside this game industry，, Start Time: 3273130
Text:  what do you think that this blackboone game？ i think you know， i mean， uh， okay， uh， i'll give you two answers to these questions because i first start。, Start Time: 3288690
Text:  uh uh， as a gamer。 yeah， i'm not playing it because it's too difficult for me。 yeah， yeah， thethat's a very honest stanswer。 and ah ah ah i have three kids and a dog。, Start Time: 3299670
Text:  yeah， i would like four kids， and i have fairly limited time for gaming， and i have to choose wise ly for me。 yeah。 and uh if you're asking me，, Start Time: 3312830
Text:  i'm playing the witcher plaplaying， which on the easie's difficulty and on purpose， the easie's difficulty， we called it story。, Start Time: 3323680
Text:  and actually that i've been seesing this pop a lot。 yeah， because i didn't wanted to be easy。 it's story， because then we had a lot of people think i finish the witwither in the story，, Start Time: 3331100
Text:  not because it sounds cool。 yeah， but i finish the witchher uneasy。 this doesn't sounso。 so stry so um h it is very fault， and we and you mention，, Start Time: 3340600
Text:  ed hihiest difficulty level。 and uh， actually， when you are talking， i was about to interrupt uh a few more saying， because if you check the the forum，, Start Time: 3350900
Text:  there's a lot of people complaining that the dead， march easy。 so uh， you know it， no， no， no， i think you are just not be ber heart guar。, Start Time: 3359840
Text:  that's that's that's another way of saying it。 so um i think that's i would really like to which are to appeal to a wiite audidii would like it to appeal to eber heart cor blood，, Start Time: 3372440
Text:  blood， boring guy uh says， well， uh， finally， on challenge on the that ad marand。 i would like it to appeal to guy with for kids like me。, Start Time: 3385580
Text:  no， has maybe uh， just a ghguday or maybe one in a half and uh， a few more hours， uh on weeweekend ds and guy who who 's just a hit buyer that that's very important in terms you know of of of getting our game in front as many games ers as possible，, Start Time: 3394660
Text:  because i am sure that they will love this story。 yeah， if they will have this this thought in their head， like like do um h will not buy this game because i have no time to fight wit ted for such a long time，, Start Time: 3413090
Text:  just to have fun。 um you know know， that's for example， why i'm playing all the tailtal games。 that's a perfect format for me。 yes，, Start Time: 3425010
Text:  i have two hours in the evening back。 i finished that episode， i'm happy。 i have a certain level satisfaction。 this is， you know where lotailis is really good for me。, Start Time: 3432510
Text:  maybe it's no good good for the hardwall player er them。 and if you look at at h at the dark， all all all the all the all the bad bn，, Start Time: 3441475
Text:  i think they they make extremely good game， and this games are really phenomenal yealf。 our stugame not all is playing them yeah，, Start Time: 3451060
Text:  and they have very， very consciously decided that they adcertain gagame only at the certain gamer or core gamer。 and it's not hard art gamer，, Start Time: 3458600
Text:  and they're doing it really well。 so it's perfect。 they know they know what they're doing and trying to become masters in it。 and and i think that's very admirable。, Start Time: 3467860
Text:  and that's the same we are。 we are trying to do with the story telling is， yeah ah ah cannot be， you know， uh jacof all trades and masters of none，, Start Time: 3476420
Text:  because nobody wants to play this kind of games。 yep， yep。 yeah， i agree。 no， so carry。 have you go to her？ so the last question，, Start Time: 3484820
Text:  yeah， yeah。 and then i'm back and then i'm back on my holidays。 okay。 okay。 and actually is there's not question。 yeah。 i think i'll finish most of the questions。, Start Time: 3494470
Text:  yes。 okay。 so i run out of question for now。 but the viitor is really， really are out of with ah ah ah ah ah everyone's talking about that，, Start Time: 3507830
Text:  everyone even who don't really care about video games， but good， at least。 but i think the feedback from chinese players， yes ah ay。, Start Time: 3519190
Text:  so so so really forably to keep conttied by to yeah， yeah， all by the western media。 yeah yeah。 so we we just just king for that。, Start Time: 3529770
Text:  yeah ah really， really layeah keep really looking forward to keep keep contact with you too。 just how how do they like the next coming del？, Start Time: 3541390
Text:  a？ yeah ah be ah don't collect some common from chinese players。 uh， to you。 yeah， yeyeyeah probably we can send it。 uh， yes， through emails today。, Start Time: 3551110
Text:  i just i just say no perone guess。 i mean uh um i um i'm available， if if it won't be me， and you know， know， can always always somebody body the team to help uum。, Start Time: 3561775
Text:  we definitely are very interested uh and with china as a as a as market market， with lot lot really fanantic tic gamers。 of course，, Start Time: 3575620
Text:  there's the language per year， and i deeply regret with didn't uh have the time to the the the the simplified with version i've been in china three times just to talk about it。, Start Time: 3585620
Text:  so it is really important。 uh uh and actually， we are amazed with the with the feedback because you know， coming from poland。 yeah，, Start Time: 3595600
Text:  okay， the western markets， yes， the the first first with which the one we wanted to break out in europe with which which we wanted to get some and which is to recognition ing the US。, Start Time: 3606710
Text:  but culturally this， this is not that far out。 yeah。 but if you look at a china or japan， then you know who are we to tell if the game has the things to make it successful in china？, Start Time: 3616350
Text:  yeah ah h ah h。 and i'm so happy。 you're telling me that right now that people like it's it's it's really shows that that what you're doing it，, Start Time: 3629640
Text:  it's what extremely international and and that's amazing。 and and right now ah h， our goal is to bring it even closer to the game。, Start Time: 3639320
Text:  or like， you know， i would love to have the videos in in the next game in in chinese。 so definitely guys， let's stay in touch。 and if there is any cool event happening，, Start Time: 3646500
Text:  let me know in advance。 uh h definitely would seriously consider coming um h。 and please see me and an seriing yeh from the game where you would need more advand and the for decision sion and a serious lar。, Start Time: 3656080
Text:  h maybe uh， a save game， if you 're playing on the c or or something， oh， HH， just a screing right now。 yeah， yeah， with a brief comment，, Start Time: 3672920
Text:  and i will forward to the to the team。 this is the first time we hear about it， but maybe they know about it already。 i don't know ah also because of the language buyor，, Start Time: 3680350
Text:  you know and the the chinese feedback， it's it's fairly limited。 i mean， i'm not getting that much。 people are not so brave to write to ask，, Start Time: 3688810
Text:  because i think that they probably automatically consider， it will not understand chinese。 well ah， i'm sure we would have it translator translated and and are probably i would be shy to write english。, Start Time: 3696290
Text:  so okay， okay。 thank you。 thank you for articticle， and thanks a lot。 and i thank you the article about ah how the okay， the going to us was was started if you would like anything here，, Start Time: 3707410
Text:  i can。 i can get you an interview uh with crecreators。 this would be trroops yeyeah。 yeah， i really really like that。 ah ah happy liliyeah，, Start Time: 3721230
Text:  let to meyou much， and i will definitely tely。 yeah， i'll definitely take a fuation uah。 i'll definitely take a vacation to what also to to meet you in the future。, Start Time: 3729870
Text:  probably next a few months。 hopefully， you let just let us know if you would like to make into interyou inside or fufuture。 ah ah have fuar yeah ah，, Start Time: 3739010
Text:  be happy to show your ansforce。 so no problem， just just let me know earliah because i'm traveling a lot， but it's always a pleasure。, Start Time: 3747030
Text:  okay。 thank you。 thank you。 thank you so much。 thank you。 yeah。 happy holiday。 yeah。 yeah，再见，再见，再见。 yeh。 yeah，再见。更多节目下载荔枝 FM 收听。, Start Time: 3752910
