Text: 忽然间中手未来的东伤，哎，后来的都在嘿嘿嘿嘿，后来的走。 but the body was nice， the party was pumpping。大家好，欢迎收听最近一期常规节目新闻。大家好，我是大家，我是莫比我我是吴头，他第哈英秀。对，这期节目有点像那个我们那期喝酒喝酒活吧，, Start Time: 300
Text: 骑过之后，我当时觉得我特别牛逼，然后然后然后就当时就特想回头说说说那个我骑怎么样，嗯，然后一回头发现人没了，主要就是他跨坐在后座的时候，那个腿在左边，嗯，然后然后不住了，然后我往左拐，嗯，然后那墩子就直接给他拐下去了。哇，推开臂墩真他妈疼。然后然后关键是就我想回头问他时候呢，, Start Time: 2001650
Text: 我还在往前面骑。然后所以就是当我真正把车停来的时候，已经离他有个十十米距离了。然后他在地上坐着时候，然后当时就非常尴尬，就给他扶起来，但最最后还送到了了地铁。嗯，对，就彼此再无音讯。不是，就就是可能他当时也没反应过来，是怎么回事，就就反正摔了。嗯，然后等第二天来学校了嘛，, Start Time: 2029490
Text: 然后特别尴尬，然后我想跟人道歉，然后他在坐边儿嘛，反正然后就在上课之前，我说那个昨天不好意思，然后然后然后然后女生直接直接就跟我说，说那个你别跟我说话，真的假的真的是不是很难，当时觉得特别尴尬。这那要是咱共同的那个同学吗？不是不是不是不是他对我我刚才突然想起了一个就是在波兰的一个尴尬尴尬的事儿。, Start Time: 2054920
Text: 哦，当时咱们两个吗？哪个是那上厕所那个对，太傻逼了。那个还有照片为证，还有照片，他他都在那拍拍。对，剧剧太好了。就那天我们是在那个波兰的老城区，还是就特老的一条街，嗯，然后特都是特老的酒店什么的。当时是跟 martin 约了采访。对，然后他找那种都是特不尊贵，, Start Time: 2083600
Text: 那对他 roygo school 那种对老炮的那种地方。对，然后我们是提前到了一会儿，嗯，然后我俩就说那个咱们提前到了拍拍空宫还或或者是会找。然后那个我俩就找找厕所，穿点个厕所，那天天天天还挺冷，反正好像是那种宫廷的那种咖啡馆似的，就里面全是西装革履啊啊，, Start Time: 2106260
Text: 服务生什么的。嗯，然后我们俩就进了那个一个酒店的那个洗手间嘛，嗯特别尊贵，然后富丽堂皇那种感觉，然后就小便。然后我就觉得这个哪儿不对，你知道吗？就下意识的点点起了脚。然后后来发现我操这个这个小便池怎么这么高剧逗的。因因为我我觉得我我我我从来没有觉得说这个够不着，, Start Time: 2125920
Text: 这个对身高有什么要求，你知道吗？对，因为都很全世界的这个这个胃这个高度啊差不太都很正常，差的太多。对，就他妈这个酒店，我他妈就你说作为一个文明人，咱肯定是要尽量往里面走，对不对？对，往里面呲对不对？那么一大步。对，所以我就得踮起脚才能满足这个，然后照相在旁边看到到嘿一笑。, Start Time: 2150010
Text: 然后这个但是这个就拿起手机来了，你后然后我在在特特别尴尬的才嘻哈哈的笑，往这边撒尿尿拍拍，那剧到巨到那个太差别太高了，他们东欧人怎么那么高。对，那我不知道你当时觉得那个吃力吗？是有点不太对啊，就是也拍他呀，特奇怪怪我也我还以为你们尿的小手吃的。对对对，不会，, Start Time: 2171110
Text: 那不会，那太不文明了，那太不文明了。我突然想到一个就是咱们去年核聚变的时候的事儿，认错人了，不是认错人，不是去年核聚变前夜的事儿。今天晚上不是那个又因为各种事儿嘛说弄特晚嘛，就我小光，还有夏总，我们三个就跑到旁边的一个洗浴中心。对对，就按摩一下就就出去核聚变。, Start Time: 2199410
Text: 早上是九点开始，我们弄到了六点五点，我我不六七点了，我就六点多了，就天都亮了。然后我我们几个就跑到那个洗浴中心洗，对，你们俩可能不记得了。就是我们今这洗，然后捏了捏什么的准备。接着走的时候，我光着身子，我我穿穿去，我我好像穿着衣服呢，我穿着衣服。嗯，对，然后穿着衣服往外走，, Start Time: 2219870
Text: 就他那个结构特别衣衣服，就我因为早上也没人，我也不知道门口在哪儿，我就先出去了。嗯，然后先出去往左拐，往里自己走。我一看是忙里人，然后一看我没穿衣服去哪走，我不知道走哪去了，我就走人旁边女浴室去了，我我赶紧紧对不起自己，我赶紧出去了，就也你也你也没穿衣服，, Start Time: 2240050
Text: 我穿衣服了，我就上上，然特因因我我就我们就洗完澡，不是捏脚嘛，捏了捏，然后我就出来，然后跑到那那女们女的还没也没注意到我，然后我就赶紧赶紧跑出来，然后巨尴尬。当时觉得吧，但我觉得我告诉你这种有一个特牛逼的，就是我在初中的时候就是去游泳嘛。嗯，我们那个顺序是这样，, Start Time: 2260890
Text: 换衣服，嗯，就是先把衣服脱了，然后去冲一下，对吧？对，然后穿上你的泳裤，然后往往往下一道门走去那个进泳。对对，进泳池对吧？然后有一天就是跟我跟我大哥还是跟我三哥，我们俩就去去那个去游洗澡的时候，聊的还挺高兴还玩儿。然后那个就就忘了穿泳裤这事儿，拿拿着手环直接走出去了。, Start Time: 2280540
Text: 当澡堂了。对，当澡堂了，走出去之后发现我操好像不对呀，挺凉的啊。对，那跑回来了，我特傻傻逼忘了。而且最牛逼的是这这个这个就在这在那个泳池，我发现不只是我犯过这种错误。对我还见过女女女的啊就走出来过，你知道吗？太尴尬了，他是不是要去冲澡，然后泳池设计问错了，, Start Time: 2309990
Text: 那个口没有，就是啊对，那可能是走错口口，女的女的可能是走错口了。但是男的有时候真的是可能是忘了是对，因为就那就那几个人，对，就就就可能就忘了。泳池设计有问题了，但确实有问题，可能核决变啊。关于认错人这个事儿经常发生，但但是是就就已经不是很尴尬了，感觉不是很尴尬了，, Start Time: 2336530
Text: 习惯了，对你们来说很尴尬，但工作人员很尴尬了，很尴了，已经习惯了。你说过我我就不说过吗？呃，就在在在说过以前节目说过说过说过就就是见过我或我说那个就像我和哈利嘛，然后就我在这坐着呢，然后就就就招呼哎，工作人员帮我给哈利留张。对对，有有一次就是有一个哥们说那个哎那个你是导演吧，, Start Time: 2360810
Text: 我说就就就招呼啊。对呀对啊，老师确实会导演，我是说哎我特别喜欢看你导演越场。然后我觉得啊我说那好像是那那个导演，我说你说的是那个导演，嗯，你要把我说成娜迪亚的啊，嗯嗯，但我觉得这也没什么道理啊。对，这个这我也觉得没什么道理，就是有就是情侣特逗，说那个只如我说哎，, Start Time: 2384560
Text: 你看这是无头发不对，那是娜迪亚，我操，可能大家都只闻其声，不见其人。对对对，但是没关系啊，不管我们是谁，我们都能给你那个。对，就是这帮给你帮你合哈利合影，我们也不纠正你，我们就是将错就错认错人这种事儿其实最尴尬的是那种就是你以为他是跟你的说话。对，但是其实人家不是对你还在这配合，, Start Time: 2409910
Text: 然后你还跟那配合。对对，我以前有一次在饭桌上，就是然后旁坐坐一人啊，然后就是也有不认识的人，主要是然后他就跟别人去介绍他最近做的项目还是什么。嗯，然后他就说那个哎我坐他旁边，然后我左边有一个人，就我们仨是一块儿的，你知道吧？嗯，然后他当时跟人说说，哎，我们这这特特好说多亏了他。, Start Time: 2439350
Text: 然后他这时候指了一下，我这边嗯嗯什么呢，说说他现在什么怎么怎么着，然后跟我正好能我觉得你配上，然后我觉得是夸我呢，然后我说我说嗨，没没有配合，然后我说没有没有没有，不是不是不是嗨言过言过了，太棒太棒，他是面有，你知道吗？我我我然后因为我们特别熟，你知道吗？, Start Time: 2461550
Text: 然后他当着那些人的面说，我没说你我说我说他，然后这种从天上就到地下的感觉吗？你知道吗？哇，太屎了，简直简直无地自容。我操这这种还有一种就是我我就坐出租车，不也经常我说现在出车司机机，我欢欢带蓝蓝耳机机，在儿机啊，对，打电话。对对，我也有这个跟蓝河耳聊。我有一次我有一次特别牛逼，, Start Time: 2487410
Text: 就是司机戴着耳机打电话，我根本不知道你啊。因为我上车的时候，他就戴着耳机，我以为他那就是习惯性戴着耳机。对对对，因为他一直戴着呀，对，他省着那手在去操作什么的。然后他就说你去哪儿啊？我我说我去哪儿哪儿，他说哦那个还停堵呢，现在路上我说是是是对，然后后因为那个戴着耳机，, Start Time: 2512400
Text: 他没听见我说话呢，你知道吗？嗯，后他说的都是路上的事儿，对然这跟我完全能聊啊。我跟是聊了五分钟，然后我说的话啊，人都没一字，没听见就能聊今天。然后最后人说那行，我挂了，拜拜我操。所以我上车再也不理司机，不敢跟他们聊天，就太可怕，太尴尬了，太尴尬了，简直我操绝了。, Start Time: 2533080
Text: 我估计可能这司机后来也发现已经不好意思在这打电话接着说了。对哦，太尴尬了。对，可以，我再说一个，你们都说完了是吗？我都差不多了，我说一个我那个为什么启发我做这期节目好大轴，就那我是那事儿，我觉得简直太始，我就跟我媳妇回回家家嘛。后他们家在洛阳，嗯，洛阳有一个著名的景点叫白马寺。, Start Time: 2561780
Text: 嗯，然后那个是一个还挺高级的景区，你知道吧？然后就建设特别好。嗯，然后我说不行，我拉肚子，我得上厕所，然后我就找找那种公共厕所，那个公园里建的厕所，上厕厕所。但但是那个因为那个公园平时其实没什么人，然后我回娘家跟他是不是节假日去的，所以那公园里人特少，然后我就进去了。, Start Time: 2587280
Text: 然后进去之后，我就我我就跟弄了一坑，跟着拉屎嘛，因为也没什么人。嗯，然后这时候突然间就进来几个人，然后在我旁边隔壁那几个那门那儿，然后就就开始也拉屎啊。然后是女的，我操，就我进去的时候，一个人没有，然后突然间旁边就有几个啪啪也演演那种，你知道吗？那种你看看着，, Start Time: 2606420
Text: 然后然后是三个女的，应该是一家子。我就当当时带着女儿，然后他的一个姑姑之类的，然后各种能啥来。我后后我就是我当时巨紧张，然后我当时响了一会儿，我突然间反应来是我他妈走错厕所了啊，我他妈进了女厕所。是啊，但我根本不知道，当时因为为他们进错了，然后我当时就立刻把我手机的声音什么全关了，, Start Time: 2631120
Text: 你知道吗？我不能出声了，不能出不能出声了。因为男的呼吸什么那个声音，其实声的能听出来我不知道啊，就他挺重的，他就吓唬去，他不是一节奏，然后我们俩就隔壁都不知不知，你知道吗？然后我当时屏住呼吸，然后我就把手机关静音。然后我就跟我媳妇说，我操我走错厕所，太尴尬，, Start Time: 2656700
Text: 太使了，简直我操，你知道这有多尴尬吗？最牛逼的是你。然后我我跟他说，我说我跟我媳妇儿说，我说你我我这个现在我这里面有三个人，你在门口给我数着。第三个人出去之后，你赶紧告诉我周围有没有人，然后我赶紧跑出去，因为我怕我从那里出来，那不是吓人出见了，给人吓坏了，, Start Time: 2678930
Text: 我操更傻逼干嘛呢？你是，然后他就给我盯着，你知道吧？然后说你赶紧出来吧，我就跑出去了，我操太使了，确实是走错了，确实是太屎了。这种情况我也我也遇到过，谁没走错过呀？对，走厕所挺正好是你你但是我走错一般就是进去之后就发现错了。嗯，我这个是将错就错了，我也将错就错了。, Start Time: 2700170
Text: 对，嗯，你走错了，你就把屎拉完吧，对吧？那怎么着对吧？那你着急上厕所没坑，这这事儿也尴尴尬。我跟你说嗯嗯差不多差不多了，嗯，反正尴尬的事儿吧，其实谁都有啊，就经常尴尬的呃，也会有主要这件事儿吧，其实呃他没有什么严重影响，但是你会觉得特别的有意起来特别特别逗。, Start Time: 2721770
Text: 对真真严重影响已经选择性忘记了。对真影响影响并不记得了。对，都这一期感觉就是激何要求求摆求是百脱。呃，对我估计评论区大家也估计有不少分享。对对，合挺疯狂，分享一块乐呵乐呵儿，我能再讲一个吗吗？对，想收了吧，又想起来了是吗？现在笑的脸有点僵了。对，就是还是我当当时在在最最早第一个公司上班的时候，, Start Time: 2746140
Text: 嗯，我们整个那个中心所有人啊，不管是老大也好，还是我们这个搞创业这个部门的也好，都喜欢去一个湘菜馆吃饭。嗯，然后那个湘菜馆啊是圆桌的，然后每个桌中间用那个屏风隔起来啊挡着呢。对，然后我们有一起走，有那一小帮，嗯，然后特别好的就是也从一起玩，然后我们就天天一起吃饭，, Start Time: 2773010
Text: 有一天吃饭，我们就说就吐槽同事嘛，好说那他妈谁谁谁天天就他妈会填领导骗俺们的。这位我重说啊，说那他妈谁谁谁天天就会那个拍领导马屁，然后那个什么啊，把把把我们的勇哥怎么着，把这个大哥怎么着，然后那个弄的也。然后其实什么也不是，我说那个他说那个咱老板也怎么怎么着也不行啊，, Start Time: 2798600
Text: 逼都说咋逼逼。然后等我们吃完饭结账的时候，我们我们就往外走啊。过了一个桌之后，发现隔壁桌就是我们的领导，我们说的声音特别大，你道道？然后他们还跟我们打招呼，哎，我们就心里头都对对呀，我伤心他妈脸都绿了，我那赶紧是说的对，后了一个礼拜就没怎么敢跟那个那个说话，, Start Time: 2823790
Text: 那后了你知道吗？傻逼，你这这这人够尴尬了。这个对，但但但主要说的还不是我对这还好一点。我对对我来说，对我不是主说的，主要听的对，有一个人主说的属，因为特别尴尬尬的。对对，觉辞实了，这个对，太狠了啊，太狠了呀，笑脸都僵了，笑的不行了，已经不行了。行了，那咱们这些就有到到这大专了，, Start Time: 2852830
Text: 已经很丢人了。是的，对，丢人大权，我对你乐呵一下。好，行，下期节目再见，拜拜拜拜。 break it down for you。 now baby， it's simple。 you be a namfo up your namo。 o got the magic stick on the lagud，, Start Time: 2878140
Text:  your frienfriends asand， and you about a ong a you， you will give baby， no problem， get on top， then you btaround around like a ruright around a season baby。, Start Time: 2895400
Text:  when it comes to the ship， you work up a sweet， you can play with the steck。 i'm try ying you。 you can milt in your move。 a。, Start Time: 2905580
