Text: 嗯，追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 3250
Text: 我觉得他肯定是受到这个影响。对哎对嗯，那我们就稍微我们现在开始说说宫崎英高他的一些经验的一些好。嗯哎，这个宫崎英高，我觉得他之前你如果光看他的就是生平，你会其实觉得他的生平其实很普通，但是就是说也没有特别值得注意的地方。但是你一旦对照着他的经历和洛夫克拉夫特的经历，, Start Time: 1915460
Text: 会觉得两者有非常有非常非常高的这种相关性。比如说恭清高，他小时候他家境并不是那么好。嗯，所以其实他们很多日本小小小朋友童年都是他们父亲，父母亲会给他买很多。比如说漫画书啊这种东西，就是他们可以在家里面宅，在家里面看。但是公清高，因为家家境不是特别好，所以他每次只能去图书馆看借书看。, Start Time: 1940095
Text: 那你知道一个是七八岁小孩，你把他丢到一个，比如说你丢到国土里头去让他去看书，那他肯定会接触到很多很多，就是他不爱看的东西，西不能超出他理解人类不真真识。对对对对对对，呃，不有，就是他会看到很多他自己无法理解的东西，就是你认字认全了，但是你可能有些字是吧？每个字儿你都识识摆一块你都看不懂了，, Start Time: 1961760
Text: 就是会你会遇到很多类似这种书。然后但是但是你这个其实很多时候你他宫清高，他小时候阅读经历就是对他会接触到很多超出他年龄的范围的书。但是他自己努力去去试着去理解，去去就是就是不气累，去一点点去去看一点点去。但但是他肯定他也自己，呃，所以他整个童年他其实是在图书馆里面度过了非常长的时间，, Start Time: 1984760
Text: 在图书馆度过非常非常长长的时间。而他自己也说，他自己小时候并没有像很多同龄人那样，就是有特别啊宏大的志向啊之类的。然后他自己说他自己并没有什么所谓的理想之类的这种东西。小时候也就是也可能也就是一个比较算是活在当下的这么一个人。所以这这个你看就是他的小时候，, Start Time: 2009310
Text: 你看洛夫拉夫特不是小时候也并一段时间他就去不了这种就去不了学校自个儿看书，自个儿看书嘛，估计也看了很多乱七八糟的这种这种书。然后宫廷高他小时候也是，他自己也并不是一个特别，就是属于那种朋友圈，特别多孩子王。对对对对，他就是他还是更多的。你看包括宫勤高，他现在你看到那照片上，, Start Time: 2030890
Text: 你看他整个人气质给你的感觉就很内向的。对个对对，感觉是很内向，有一个非常丰富了自我的世界。对，但就是不是属于那种，一看就是吧，你看照相的照片就觉得是吧，其实都没有 face，就是一看就是一个帮主，就是一看就是一个就是那种 no face，就是很很外向的，可以就很 easy going 的这样一个人没什么深度。, Start Time: 2051410
Text: 但是一看公积金高，就就很就是专注于自己内心的这样一个个所所就。就是对我觉得宫形高，他可能就是他也是就是说所以这样子从小是在书本里面泡大输虫，然后就是相对于对外界世界并就是并不是那么热衷，并不是那么在意。而对自己内部世界特别的他特常丰丰富，感种肯定很丰富这样一个人。, Start Time: 2075460
Text: 对，就是可以就就是可以塑造出的这样一个东西。而且你看看他宫形高，他做出来的游戏的感觉和我们现在主流的游戏作者感觉特别。你对比一下，就是日本目前这个游戏界做出来游戏的感觉太不其实是还是对对，是有非常非常富同的感觉，肯是太艺艺术家的一个作品了，你知道吗？其实特别自我的艺术家的一个作品。, Start Time: 2098990
Text: 对，其实魂系列刚出来的时候，他我觉得就是你说的画面不好还是怎么着。但是我觉得他其实文艺气息还挺强的，说实话就是他真的跟主流作品非常非常不一样。嗯，尤其是日本那个流行的，你看日式的 RPG 那种，他要求很有探索。对，看审美之类的，他对他都给你这种。他既然敢于给你这种完全零碎的，, Start Time: 2120530
Text: 你不能收集的这些东西。这个不管是在西方的 RPG 还是日式 RPG，基本上都是一个大忌。就是他很多 RPG 给你的这个东西是让你去探索，让你去就是让你给就是给你很多什么文本之类的东西，你可以让你去看这样去研究这个世界，甚至你玩这个游戏可以写一篇论文。但是他反反而就是不想给你完全的信息，, Start Time: 2145000
Text: 他也应该不会出一种就是世界观的设定集这种东西。他顶个出出美术上设定集。对，所以就是说所以说他的作品确实也跟洛夫克拉夫特一样，就是洛夫拉夫特。当时那个年代他属于那种很另类的东西，他属于很另类。而且洛夫克拉夫特他那个东西他达到了这个成就是在他很困愕的情况下，就是很困顿的情况下去拼命突破的那种就是拼命突破。, Start Time: 2165820
Text: 他那种生活上包括生理上各种不适去达成的这样一种东西。而恭情高也算是当时从一个无人赏识的这样一个小小的程序员，然后就是加入到魂系列这个作品中间，就是就是创造出这个咱们可以就是因为我记得好像洛夫克拉夫特，当时他在创作最高峰的时期，他是跟他妻子是分居的。嗯嗯，我觉得这一点咱们可以说一下他这个孤独感这种问题。, Start Time: 2189270
Text: 因为我觉得魂戏他整个贯穿下来到血缘，孤独感是他一个非常重要的一个感情元素，要传达给孤独感。对，因为洛夫克拉夫特他中间跟妻子分居的那一阵，我就觉得他是他应该是陷入一个个人很强烈的一个孤独状态。但其实往往这些人，包括攻突的，他其其实他在三十岁。龚清高在三十岁离开他之前的公司去转投这个对转行。, Start Time: 2214030
Text: 对这个其实在日本是一个非常非常不被认可，对对对异类对曲艺类的人。所以我觉得了对这些些，其实他们对就其实都能体会到一种孤独感。但我觉得他们可能被社社会所理解，那不被认可不被认可。但是他们我觉得跟其他人不一样的一点，就是他们执着有一点点享受这个孤独感，就是执着。, Start Time: 2238020
Text: 我觉得对对对自我的执着对执念。所以他不管是这个享受也好，还是咱们现在玩魂洗这些游戏哈。我觉得这个孤独感，他们很很恰当的传递给了玩家和读者。对对对，确实所以我们刚才给大家分享了洛夫克拉夫特、克拉夫特以及克苏鲁世界观。然后还有这个呃宫崎麟高他们之间的联系和一些大概的梗概。, Start Time: 2257860
Text: 我们不可能在一期之内为大家详述这个克苏鲁文化到底有多么精妙。嗯，对嗯，对，我觉得麦教授可以总结总结，嗯，我觉得总结就是其实你看看当时洛夫克拉夫特他创作的这克苏鲁这样一个体系。然后他在那个时代基本上是不被时代所理解的一个非主流的这样一个这样一个地位位。然后虽然说金子始终没有掩盖，, Start Time: 2315100
Text: 就是他的光芒始终没有被掩盖。我们现代说回头还是发现这样一个丰富的宝藏，就是觉得中间蕴含了特别特别多的价值啊。对，但是就是说但是至少洛夫克拉夫特在他所处的那个时代，他是无法被人所理解的。他所做了很多事情，他是甚至死后，他甚至死后他的东西。很多时候被当时的很多主流文学评论界拿出来说说就是批评直接人身攻击，, Start Time: 2339800
Text: 说他就是个神经病。他写出来这个东西没有什么任何积极进取意义的，完全就是什么伤风败俗这种很低俗的东西被骂的特别惨。但是呃与之相对的，你看案子就是我们功行高，他做了这套东西，就是说他做出来这些游戏其实也是我们这个时代，可能一说是游戏中间一个特经病，非主流的这样一个东西。, Start Time: 2365020
Text: 嗯，很对，是个异类。然后甚至你在挑战人极限。当时也是其实开始也是受到媒体的非议，说你这么做的不友好，这对对，但偏偏就这种东西，或者有人说这个你会很短命，因为不会有人一直想。但是你们看雪缘啊，到雪缘这一座其实已经第四座已经现象到了，他他现现现象了，管管之玩玩没玩过，, Start Time: 2385630
Text: 现在都要玩一玩了。所以他是很幸运的人，我觉得真的他很努力，他很自我，也很幸运。对，而且对就是幸运。就是他现在处于我们现在这个时代。所以我们或许就是我们觉得这个时代，所实我们比当时洛夫克拉夫特那个时代确实要进步多。因为我们容忍这种非主流的，可能，我们不太常见的东西，, Start Time: 2404830
Text: 我们有更多的宽容。对所以我觉得确实宫崎英高这是攻形高的幸运，也是可能也是游戏成成。在这个时代，包括魂系的这个成功，我觉得都是一个非常充满正能量的现代的一个成人童话。真的是成人童话，不光是经了攻形高的胜利，也是我觉得他的游戏正正带领着游戏业界又重新振作了。对他这个一开始作为一个边缘的声音，, Start Time: 2425670
Text: 现在已经变成一个非常主要的一个力量了。对，没错，这也是我觉得是一个联系流行的更迭，对流行的更迭，总需要有这种领头人站得出来，新鲜的血液必须注入。对，所以我觉得冰鲜的血液比所所以我觉得这个游戏游戏这个行业，而且包括玩家们，我觉得他们的还是很宽容了。对，他们真的是不是接受不了那些非主流的东西。, Start Time: 2451060
Text: 对，不仅是能接受，甚至是期许的对我觉得这是咱们这个时代最重要的一个成。所以他这个游戏的成功真的是令太多人欣慰了。对对了不起的作品。嗯，所以那个关于这个作品，我们这期可能联系的不是那么多。嗯，但是我们会在下期特别特别紧密的联系游戏，然后告诉你游戏里面几乎所有设定的这个出处和来源，, Start Time: 2478580
Text: 我们真的手里掌握了非常非常详细的资料，请大家期待下期对，好吗？那咱们这期先这样，好的好的，那拜拜拜拜拜拜。加德 pro 本着高端专业有态度，但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，, Start Time: 2503440
Text: 但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，一一二八幺六八零八，为我们提供更多更好的话题和建议。, Start Time: 2538390
