Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 那个时候那个时代建筑学都不能称为就是美艺术，他们觉得艺术建筑建筑设计都不能算艺术。嗯，因为智能设计我要考虑材料啊，我要考虑这个这个它的沉重啊，我要考虑用哪种石块啊，我们考虑它的功能啊，它就有一种实用性的考虑量考量在里面。所以那个时候人都甚至排斥建筑设计，不不认为那是艺术。, Start Time: 2059150
Text: 然后那又后来又慢慢到了现代，近现代的之后，大家又重新的这种实用性东西，大家又不像以前那么排斥了嗯现在的一些应用艺术，比如说一些设计啊这些东西，某种某些人又开始接受它是一个艺术形式了。所以你看到艺术它本身它的概念是在不停的变化的。对，那另外一个就是说我就是说那游戏呢游戏它当然它作为一个概念，, Start Time: 2081110
Text: 或者他做一种媒媒的媒体形式，它那认认的这在不停停变化的从俄罗斯方式到我们现在的这个战神人，对吧？这样子比较感官刺激的游戏。嗯，再到我们像这个像这个陈金汉老师这个 gerney 像像包括我们现在听这个音乐的肯塔基明号公路嗯这样一种形式，它是有很多多变形式，而且它是也是在不停的变动中间的。, Start Time: 2109210
Text: 对，那么所以我们不妨我们再举个例子来说，就是说比如说摄影技术它刚出现的时候，很多人尤其很多做美术的画画的他们都惊了，觉得哇你可以直接摁一下快门，你不要经过任何训练，你就可以把一朵花完全的就是就是拷贝到你的这个胶片上面，嗯，可以冲冲成这个照片冲印出来。你这样你就不需要经过美术出现这这个这个东西简直歪门邪道啊，, Start Time: 2132599
Text: 他简直在简直在谋杀艺术。对嗯嗯，然后到后来像现在像易斌老师这样的人，对我们可以认为他是艺术家。因为艺术杀人犯艺术上去艺术的对谋杀艺术的人啊，就是他们可以在就是他们对快门的这个快门的精准对焦啊，这方面东西对构图和内容的把握上把握上面，他大家认同啊，这个可以成为艺术电影。, Start Time: 2163160
Text: 我们回头再看电影，电影啊刚刚出现大概一百多年。嗯，一个多世纪刚出来的第一部电影，大家知道是火车近站，卢比二一拍的火车进站就是就是很短的，大概二十几秒，就一定要一列火车进来，开进站，没有任何的运镜，就火车开进来。然后当时把全场观众都吓跑了是吧？那个时代感觉就是这个电影视频有点像西洋镜这样的东西。, Start Time: 2191620
Text: 对，都是娱乐的。大家就看就图一乐。嗯，包括我们戏剧，你看觉得哦芭蕾舞啊，包括包括当时以前的那个莎士比亚那时代的戏剧。对，包括莎白，一是是喜欢看戏剧的。但是他觉得戏剧这种东西很粗俗，上了大雅之堂。因为这个这个莎士比亚总是他环球剧院里面总是各种伦敦底层的那些市民也都会去看。, Start Time: 2216340
Text: 嗯，包括我们的中国的这些戏曲，这些戏班子是吧？总是全国各地走啊，然后那老百姓都爱看，都爱学着唱。那个时候那个时候也觉得这个戏子不是就是三教九流嘛。嗯，戏子上了台上，大家看那个电影，那个霸王别姬，那个时候的那些那些那些艺人，大家都不觉得他是艺术家，大家都看不起他们，, Start Time: 2237350
Text: 觉得都不形式都不是艺术。但是随着社会的发展，随着他们本身呈现形式慢慢的变革，对大家又慢慢的觉得哦，就是觉得有些人开始做。你看梅兰芳这样，他把京剧提升到非常高的高度。对，然后包括大家观众，大家对很多概念，他呃观念上面的变化，有些东西慢慢的被大家接受。对，而且形式上的就就是变化和这个嗯我觉得特别重要。, Start Time: 2259510
Text: 但是你看电影，其实他们一个蒙太奇的艺术是没错。对他不他不光是一个媒介，他一开始只是能够记录真实的一些片段，但是你加上了角度运境，然后内容还有蒙太奇的这些剪辑的手法之后，它才变成了所谓真正的现在的电影艺术。是没错。那我们回头再看一下，回到我们最靠开始我们讲的这个肯卡斯尼号公路。, Start Time: 2285150
Text: 嗯，这游戏戏什么？我之前说它有点颠覆了我对这个游戏这个这个这个媒体的这样一个个认识。嗯，就是比如说它有一个它有两个独立的资料片。这个这两个游戏大家是可以免费去下载的，不需要购买，一个叫做 limits and demonstration。它呢这个这个就是限制与展示，, Start Time: 2308960
Text: 它就是你可以就是操纵三个角色。然后呢，它就是把一个装置艺术展啊搬到了游戏的空间里头。你一操纵这三个游戏人物啊，去在里头去看这些展品。读上面它那个标识上面对这个艺术的介绍，你可以去用游戏的角色去按那个开关啊，去跟这个里头那些展品发生互动。嗯，对，然后呢，他还有另外一个资料片叫做 the entertainment，, Start Time: 2327700
Text: 就叫娱乐。嗯，那他是一个他是一个在游，他把一个话剧啊，应该说他把两个话剧搬到了就是游戏的空间里头。在游戏里面你是第一第一人称视角。你在低人视角，你可以在不停的呃就是转换你自己观看的。就是你可以不停的转头，就相当于你在展厅里面参观，或者说你就坐在观众席里头。, Start Time: 2357500
Text: 嗯嗯，然后你你你可以整个控制他的这个对话的进行速度，你可以跟周围的，比如说周围有个录音机，你可以放在录音机灵乐，你抬头看那个他这个现在这一幕叫什么？你底下你自己的桌上还有一份报纸，你别看桌上的报纸，就桌上发生的西是一个话剧，他还有另另外一个吧台上面有两个人的对话，, Start Time: 2378800
Text: 那是另外一个话剧。而且他还推出了 oculus rift 的版本啊，那就更更加真实。对你可以去观看这个东西。所以说这个就是我目前看到的就是说呃你游戏中游戏的制作人，游戏设计师你可以你可以对游戏本身形式上做了一个发展做了一个突破。所以呃我们最终回到这样一个总结，, Start Time: 2397680
Text: 就是因为艺术本身它的概念在不停的在变动中，对游戏的可能性，你在不停的被突破，嗯，不停的被突破。所以目前我们没有办法下结论，说哎游戏到底是不是艺术，这仍然是一个非常非常难的话题，很难下定义，也不知道未来会不会真的成为一种艺术形式。对，但是我但是其实现在很多人是这么是这么认为，, Start Time: 2422190
Text: 呃，游戏就本身它是一种艺术形式。对，关键是我们要看现在游戏它会怎么发展，它技术上能做怎么样突破。我们看到未来的更多游游戏制作人，他能不能就是有更多的就是说在游戏形式上做一些做一些突破。然后呢，未来的这些受众未来的一种观式，包括就是社会大部分成员是否是否会默认真的会认同对游戏它它本身体现的一种人文价值，, Start Time: 2444150
Text: 是否能有一种认同，认为它是一种艺术。所以目前还是我们要拭目以待的。但是定义并不能由我们来下，我们只是做一个探讨，对，我们只是做一个探讨。对，所以对，今天我但是就是我我我说一个我的想法啊，比如说你看其他的这个艺术形式，它一开始不是都是从各种媒介发展而来的吗？, Start Time: 2470170
Text: 对，都是。比如比如说这个文事件文字，然后比如说美术，美术其实最早的时候不就是产生于一些古代人在比。就比如说墙壁上画一些，它还没有文字的时候，对，没有文字的东西。对然后功能性它有一种功能性，然后文字就起源呃，文学起源于文字，对对吧？把这个事把事件记录啊的记载，, Start Time: 2489040
Text: 对，然后摄影，然后和这个形象来讲，它是记录真实。咱本都有一种功能性存在，它其实都是都是通过一种媒介本身在它的基础之上演化形式。而对然们越来越意识到它的这个就是可能不一样的意义所在。对，但是我觉得就是游戏在对于这些形式来讲，它太过于年轻，而且发展的太快了。是没错，, Start Time: 2509980
Text: 是这样。这其实也就是三十年年之间，三四十年之间的一些一些变化。对于这些古老的艺术形式来说，他太嫩了。所以我觉得他他还需要很多的时间。其实他也是一开始的这个计算机的出现和发展。我错他，所以以个一个一个产物，一个产物。对对，所以嗯对所以我是觉得大家不妨抱着媒个啊，, Start Time: 2536040
Text: 就是政治家老说一个审慎的乐观的态度，我们就是特别乐意看到看到未来游戏这样一步步成长，做一个媒介形式，一步步成长。也就是就是就是希望他能够对寻寻找他自己对这这个专门他就是这个媒体对他能他就是他能够沉现的价值。我觉得以后艺术门类可能就会细分化了。比如说新媒体啊，, Start Time: 2559590
Text: 比如说装置啊，比如游戏，我觉得现在就是其实是可以这么来来划分的。就我们可以把这每个游戏制作人都当做一个艺术家来看待，其实完全不妨这样去看待的。嗯，没错没错。所以今天这我们就稍微啊就探讨了一下，把这个这个游戏和传统这些多数这些其他的艺术媒介媒体的这样一个关系就梳理一下。, Start Time: 2580990
Text: 对，就希望能够就是能够对大家这个以后的讨论有所啊这个有所启发吧，希望是这样。对，如果有比如说对艺术史或者艺术有特别高深的见解或者是了解的朋友们，希望能够来集合网，跟我们一起探讨探讨。没错，没错，以后这个可以做成一个系列，说不定对我觉得挺有意思的。欢这种对，, Start Time: 2605400
Text: 就是家家抒发各个各自抒发一下自己的对个术方面的看法。对，我们进行讨论。对，这次就下定义。嗯，对，这一期节目就全当一个抛砖引玉吧，对吧？感谢麦教授。哎，感谢秦龙。哎，好吧，那咱下期节目目见见好，消化一下的希望。嗯嗯，好的，就这样，拜拜拜拜。加六 pro。本着高端专业有态度，, Start Time: 2627680
Text: 但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。, Start Time: 2652820
Text: 你可以在腾讯微信搜索公共平台 GAMECORES，或者加入我们的 QQ 群，一一二八幺六八零八，为我们提供更多更好的话题和建议。谁愿去 risky years。 so 啊经曾经的，因为 and two year 应该是可以 ok 了， ok 了。, Start Time: 2688315
