Text: 利息朋友饥饿 APP 终于上线了，激动疯了。 IOS 用户在 app store 中搜索激活二字即可，直接下载，赶紧下别废话。我叫很高兴认识你们。大家好，我是电脑娱众。大家好，我是做索尼电娱娱乐的负责人，天天无人 i 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻聊游戏也能长知识。, Start Time: 150
Text: 有一个储水槽。对，有两只巨牛逼的先是一个幻影墙，梯个梯梯子打幻影墙墙后有一很很深的梯子下去啊。然后为什么提麦克唐娜呢？是因为你在储水槽那边，你会发现储水槽下面周围那群全墙上面全部都是罗莎利亚雕像。是的对，这个就很深了。因为它上面有说过，就是三个大主教的三个大主教，, Start Time: 1860680
Text: 大主教装备的三件，分别说了一个大主教的故事。对，嗯，然后其中一个大主教是信奉罗莎利亚开个主主角。对对，是这样说的。然后呃另外一个主教在哪儿？我们没办法实际定位。然后有一个非常像就是在罗莎利亚门口的时候，你杀掉那个不会攻击你的那个那个屈人。那跟一个对现在普遍意见就认为这个就是那个大主教他跟一个红色的一个入侵，, Start Time: 1883660
Text: 呃，也不是入侵，是画地上的那个时。对，然后别人可以召唤你，然后就是用来 PK 的。对，然后然后另另一一块呢，就是麦克唐纳那个储水槽里面，为什么周围全是罗莎利亚的雕像？对，这个也很耐人寻味。所以说这一块我们留到开脑洞期间，我们在这这续亚的对对对对，下一个对对这对。, Start Time: 1907980
Text: 然后接下来我们可以说一下，就是他这个刚刚咱们提到那个下水槽里面那个那个对的对对对。视神一的守护者、守护者对对噬神者的守护者，这个誓约他有这样几个东西可能要提一下。第一个是呃什么叫誓？就是说吞噬神明的守护者对你他的主要作用是什么呢？就是你在前往呃就是说阿诺尔隆德的这条路上，, Start Time: 1925900
Text: 进入到那个阿尔德里奇门前那只阿纳诺隆德那个区域之后，我试了一下，应该是就教宗沙药打完之后过出去到。对对对，阿诺诺德德边为止止没错，你都有可能会被入侵。对，然后你如果说带着这个誓约的话，你就你就会被自动召唤过去，事实的情况是一定会被入侵。那个地方是 PK 圣地，, Start Time: 1953150
Text: 现在三代全部都是人，呃，全是人，门口全是对，全是地面这个召召唤你，你入侵一定会面对这个这这这全是对，没错没错没错。呃，在实际这个过程中的话，就是他这个呃誓约其实很好理解，他就是为就是阿诺德里奇守护者。对，就他他的对，没错，而且这个领头人可能就是那个麦克唐纳啊主教，, Start Time: 1973210
Text: 因为他其实死在了那个储水槽里面，你是通过他去拿到建立这个誓约的。对，然后他那个誓约的东西呃，罗马你还记得吗？就是那个什么人心沉淀物，人心沉淀啊，叫人心沉淀物。这个东西呢就是呃其实呃我感觉也有一些猫腻，就是说日文叫人渣，对，日文叫人渣的。你人那那个上面你那个日文版上面解释是什么？, Start Time: 1996160
Text: 人渣，他就是说是人这个黑暗的这个沉淀物，就是像就是面面解释释一下，没有更多的寿说明。没错没错，中文版也差不多。他这一块呢就是说实际呃要去呃我其实一直觉得很不能理解的是什么呢？就是像你基本上这种教会你去供奉总归是有一个角色，你要去供奉。你就比如说大狼，你就是供奉大狼的，, Start Time: 2022510
Text: 然后像那个罗莎利亚嘛，你供奉罗莎利亚。但这个就很奇怪，这个就不知道是供奉是谁的了。是是是意思是给是给那个就阿尔德里奇的嘛，其实是这一块的话，就是能够开脑洞那个部分其实也挺多的。他可能更多的是跟阿尔德里奇这个势力本身是有关系的。因为我们知道阿尔德里奇，其实他文明是源于他吃人。, Start Time: 2045350
Text: 对对，吃人。但是他为什么吃人呢？最主要原因是因为他上面写了就是他梦到了深海的时代的来临，而且他知道那是一个困难的时期。对对对，因此决定开始食神对他之是他人，成成为的神人。现在为了应对海的时代而决定食神。对，这又回溯到我们之前说的，就是他霍拉斯那段对霍拉逃出来的什么这个孩子就是因为日文跟这个英文不一样。, Start Time: 2070960
Text: 对，那是就是他说他具体吃的这些孩子是谁？他们现在不知道，但咱们知道霍拉斯是其中一个，他逃跑了，逃出来的孩子没错。所以在实际的过程中，就是说阿尔德里奇到就是说跟吞噬神明和守护者之间的关。其实呃也很明显显，不用多加赘述。对对，他们供奉的就是阿尔德里奇，对，吞噬神明守护者。, Start Time: 2098940
Text: 对，没错，下来我们可以聊一下，在那个一个也是大家非常熟悉的，就是在这个法兰不死队的那张图里面，咱们碰到的一个老狼，哎，对，老狼狼这个视爷，嗯，老狼这个视约非常有意思，那个玩过一代的玩家都知道，对吧？那个深渊线，咱们的这个非常悲情的这个英雄，阿大粉丝是阿大。, Start Time: 2120180
Text: 对，所以现在三代很多人就称这个法兰不死队是什么？ a 大粉丝队，大粉丝团 a 舞舞团团团对街舞团 a 大粉丝团队。呃，这一块的话就老狼那边我们可能要这条线其实比较多，而且我觉得很精彩。这一块我们可以稍微着多一点仔细讲讲啊，最主要我们可以先从法兰波斯队本身来说。, Start Time: 2140450
Text: 嗯，首先我想提的一个是就是可能也是重中之重，就是说是法兰波斯队三项伟业。这个呢就是嗯很少人会知道这三项伟业是什么。嗯，呃我我这我们这边就现在也逐步有玩家就发现了嗯，是什么呢？呃，首先他有一个入队仪式，我们知道就要去灭三个火个霍克伍德。之前有霍克伍德有跟你说，, Start Time: 2161060
Text: 对霍克伍德这个角色，我们后面后面再说，就之前我们灰心者对我们上上一上一次节目没去谈谈是有道理。对，要放在后面。就是说这个家伙其实藏的特别深，事儿很大事很大。是嗯说回来就是说那三项伟业，嗯，嗯，其实那火盆上面是有壁画，对大家会注意它那个捏灭那个火的那个后面它是有一个小墙一样的东西。, Start Time: 2184300
Text: 对这三面墙画的东西是不一样的。嗯嗯，而且我可以给大家描述一下，反正时间轴上面有就默认大家看得到啊。嗯嗯，三三三份壁画分别是什么？第一个是长满了骷髅头的一个像王座一样的东西，对吧？嗯，然后第二个是一个带斗篷的一个人，然后左下呃带斗篷人，主要是带斗篷人。对，然后另外一个呢是另外一个是什么呢？, Start Time: 2208400
Text: 四个四个对对对，是四个四个四个戴王冠的。这个不能说一说来老玩家其实都大概对，就是一说大家都明白。对呃，这四幅壁画呢就我我我我个人认为啊就是说可能跟四项三项伟业是一一对应的。对呃，我们可以一个个来嗯，就是说首先我们先从就是说那副呃那副就是说四个王王冠那个线，, Start Time: 2235010
Text: 对吧？对，为什么先拿他来开到呢？因为呃可能有些玩家就只玩过三代，玩家会不明白。因为发现好像对不上号，对，因希王不止不止四个。然后你搞清清楚为什么是的。其其实呢我个人我我或者说我们为为这这张壁画，应该是跟小龙的死亡一代的小龙的四王有关。对，这是一个 boss，, Start Time: 2257510
Text: 是你要拿到那个能漫步深渊的戒指之后，对下。没没办法，他跟阿尔特琉斯那边还是有关系。那条线非常紧密，非常非常紧密。他大致讲的是什么呢？小龙的四王就是大家应该知道，就是说有一个东西叫吸魂鬼，三代也判到就是那个带骷髅头巨牛逼的，然后刷刷这个黑黑暗之剑，很多人都喜欢拿下去刷黑暗之剑。, Start Time: 2277950
Text: 那个就是他。然后呃吸魂鬼呢是出自于小龙德尔。对，在一代里面第一次碰到他是在这个放了水之后，他其实死亡刚才提到的死亡的这个手下的歧视，然后他们一起受到了某个啊存在对某个存在的蛊惑。也好像龙国其实就是最后因为你会在那边碰黑暗大蛇嘛。对对，基本上是确定是。然后我们三代看到对这个黑骑士啊就是吸魂鬼的描述啊，, Start Time: 2299620
Text: 我们会说他是一个赢灭国国的一个什国国。对对，龙不就是其实存在就是小龙德。对，就从这点信息我们可以了解。其实小龙德尔已经灭国。对，然后对于那个就是反正 boss 队的描述里面有一条就是他是深渊的监视者。对，只要监视到一点跟深渊有关的东西，就算灭国也不行，对格杀勿论。, Start Time: 2324500
Text: 对格杀勿论。所以说呃这个可能要牵牵扯到一点点时间线。因为有很多玩家觉得，就是说以前小龙德尔可能是我玩骑士，对整哥已经灭了是吧？已经灭了。但其实我们知道就龙呃，就是说罗德兰那个就一代的那块地方叫罗德兰。罗德兰那块地方实际上是静止的对他可能会有很多角色参与过很多事情啊，, Start Time: 2343420
Text: 时空是重叠，时空是重叠的。所以说就是法兰布斯队这边极有可能是其中一个时间线里面。他去把他们有一个小龙德，对他有重叠，他他把那个就小隆德尔等于说灭了。对，因为他灭的核心合理。对，还一个就是证据是就是是这些灭亡吸吸魂鬼，大部分都是法兰要塞和法兰前往法兰要塞的，, Start Time: 2363330
Text: 就法兰林庙的那个路上。对，就大家有印象，就打这个粉丝团之前啊，那个他有两只吸魂鬼，跟当时就跟那个法兰那张图里面那些叫咕噜一样的那个脑袋上面卷卷曲曲的那种怪系，没没没在互干。对，然后这帮吸魂鬼是向这个门推进的。对，没错。然后呃这里可以提一个就是小的一个一一个一一个就是玩家就弄弄来一个破 ss 挺有意思的。, Start Time: 2386489
Text: 就是你第一次进去的话，就是说那个门还没没嘛，你可是把那个西分鬼也搞搞进引进进对对，引引进去。然后那西分鬼巨牛逼，西魂鬼可以把这个就是陪你一起，把那个直接把一阶段给打掉。是的，就他只是血少一点，他攻击力非常强。嗯，然后嗯其实他跟就是说整个那个不死队是完全敌。, Start Time: 2412000
Text: 对的。对，就是那你被灭国我再来报复你也很正常。对，而且就是说我们侍奉于深渊，那你你跟深渊就是说其实是互相对立，那我来打你也没什么不对。所以对我们都觉得可能跟这幅壁画就是这个意思。对，灭国这个矛盾，我觉得一点都不矛盾，对人也没说灭。对，小龙女，对你认为是或者是他也可能不是，, Start Time: 2431360
Text: 总之就是他他他他他为了这个消灭深，他他会会不熄灭国，然后这个吸魂鬼又是深渊的产物。没错对，没错，所以肯定会这两方面势力对立是必然的。对，然后我们再来讲第二幅幅画色，第二幅壁画是那个呃说魔女头套那个。对，但不是魔魔头头画。对，呸呸呸。对，是不个魔帽角色兜帽。, Start Time: 2449770
Text: 那那个角我们找了，对，我们找了半天，我们找不到就相关的信息，但最后我们在哪里找到呢？是的，是我一个朋友发现就是非常惊讶，就是那幅壁画左下角和右下角都有那种拿长杆的角色，就他是一个个矮矮的一个角色，然拿拿了个是是身身长倍倍左右的这么一个长的一个杆子。然后我们回去翻一代的 OP 的时候，, Start Time: 2469430
Text: 我们居然发现他跟伊扎里斯那一段剧情的那段 OP 的动画是一模一样。大家请看时间轴，请看时间轴巨牛逼。嗯，也就是说这一块实际际跟呃影佳的斯伊扎里斯伊扎里斯魂沌魔魔女那块对形形相有关，但是比较奇怪的。就是有这样一点，就是伊扎里斯那那边并不是个国家。嗯，其实伊扎里斯魔女那边并不能或者换个角度来讲，, Start Time: 2490510
Text: 纵观一代和三代啊，混沌这条和这个亚尔特琉斯这边没有发生太大。对没有太关系相关相关的关系。然后这一块呢就是呃当然有有人什么好像找到那个什么，就是相应的呃就是没有放进去的道具解释里面就说什么法法法术师嗯，然后据说是跟我先谈一下，只是据说啊就是这个不怪我啊，是这个我只是想给大家一个一个大致的一个解释，, Start Time: 2514220
Text: 就是呃可能是因为那边咒术师某些犯了跟深渊相关的一些联系的一些东西。呃，为什么这么说呢？因为其实是有道理的，我后面要讲卡萨斯，卡萨斯那边是有黑暗的，相关的咒术师是存在的。所以说在相关的这一一里面，如果说有咒术相关参与也是有可能的。嗯，另外一条呢就是其实是跟孤鹿有关。, Start Time: 2539220
Text: 对，就咕路是什么？就是是有孤鹿是侍奉法人不死。对他拿到他那短剑上面，他会有解释。嗯，他侍奉法人不死，他这个形象很很很眼熟啊，对，怎样很眼熟。然后在三代里面你会发现什么呢？你会发现在那个恶魔遗迹里面，孤噜居院在里面。对，也就是它只有可能是恶魔。嗯，也就是也许阿尔特琉斯没有和这个发生关系了，, Start Time: 2559820
Text: 但是继承了他的一致的这个不死队。对在某一个时代的这个成员可能莫伐。对对，有可能只能说有可能啊。呃，总之就是说我们想说是他可能跟意大利斯那个魔女是有关系，因为那幅壁画真的是一模一样。大家请你看时间轴。是的是的，然后再接下来呢就是说呃比较联系比较紧密，就是那那副就是各种骷髅的那个那个东西了。, Start Time: 2582510
Text: 我们可以连着把卡萨斯一起讲了。对，卡萨斯那边就是意思是什么呢？卡萨斯是霸王沃尼尔的，就是那个大骷髅。咱们打完那个法兰不死队，直接下去的那个地下墓穴。对，就是那个迪亚莫穴那边我们都知道，就是说那个区域或者说呃你打法兰不死队那块区域它是叫法兰林庙。对对，灵庙一般性都是有两个，, Start Time: 2605450
Text: 就是你要么是供奉对，要么镇压，然后还就我们我个人感觉会更偏向于镇压，下面我也同意。而他的路一开始封着的深渊监持者嘛，他们在那监视什么呀？他们就是在监视深渊。对对，然后我们为什么说卡他的那边跟深渊有关系呢？是因为你能在那边捡到深渊的咒术书。对，还有就是他相应的那个解释里面会有说到就是呃沃尼尔呃就就是就是进入深渊之后，, Start Time: 2631280
Text: 然后他们的那些就是黑暗的这些是叫黑暗了。这这个井察时间轴啊，就是咒术师他们咒术是发明了就是相应的一些黑暗的一些咒术暗术这些的对暗术，然后追寻人的人性追追咒。对对，就包括你在那个地图里面，你滚破那些小罐子出来这些，包括他骷髅会吐的那种追踪的。对对，快以暗伤害为主的这些。, Start Time: 2657200
Text: 对对，没错，大家都知道这个暗是跟深渊。对，没错，他原来二代的时候，就因为那个罗马比较熟，二代的暗术是暗术。二代是这样说，他是从呃奇迹和魔法发展而来，来自于黑暗本身的一种力量，所以被很多国家列为禁忌。没错。对，然后三代就很奇怪，三代这个是列为咒术。嗯，对，三代他取消了这个暗树的，, Start Time: 2678280
Text: 对他取消暗所，其我做为 ki 上有人有人就过来指正我啊。嗯，就是说你那个一代就有暗树，虽然没提，就是说在 DRC 里那个伊拉西路，嗯，啊不是伊拉西路，那个魔魔法个魔法法个乌乌乌乌拉齐路乌拉西。对我现在没反应过来，脑子有点木出吧，乌拉西陆的那个地方。就是首先刚才我想说，, Start Time: 2703830
Text: 那为什么说看到那个那个那个就是咕噜眼熟，他和那个乌拉西路了，当时那个怪基本是一模一样的啊，就是受到深渊侵蚀之后的生物的形或者说人的形象。啊，所以说也就是说他们在深渊监持者说，我们可以是稍微说一点，就是深深渊监者他们为什么乌拉西 ss 过战过程中，一阶段会有他们互相打，, Start Time: 2722170
Text: 然后所有其他的深渊监持者在攻击那个渊史者，虽物监识者对这里要说一下，吸魂鬼是红眼，也就是说红眼代表着他被深渊侵蚀的一种特征。可能对对，有这个有这可能。对，也就是说，在深渊监视者他一边监视的同时，不停的在被深渊侵蚀。这一点跟贾尔特拉克斯是完全相像的遗彩。那句话对他一一边监视一边被侵蚀，, Start Time: 2740910
Text: 所以他们就也就相当于一定要不停的自相残杀。这个这个哥们儿被侵视了，杀掉他。再有一个对形是在杀掉他，而且你会很明显能够看到他们是分两派的。哎，对，就是那些红眼的是追着那个不是红眼的深渊监视者打。哎，对对，然后他们俩，然后那个就特别是第就只是第一阶段嘛，第一阶段那个深渊监视者有一个是掉主血的。, Start Time: 2763120
Text: 对对，然后那个深渊监视者是一旦是有红眼的，开始打他的时候，他就马上不管你了，他就直接开始开干那个红色那个。对，而且你刚进去的时候，就发现他们两个在自相残杀。对对，所以说这一块其实跟深渊侵蚀，我也觉得是很有关系的。而且你前面讲的孤噜那一块，对我突然想到什么呢？, Start Time: 2784380
Text: 就是呃那个那个那个讲的烟熏湖，烟烟熏湖是在哪？烟熏湖是在卡萨斯在下面，对对对对对对吧？卡萨斯在下面，然后烟熏湖又直接跟恶魔一相连。对，然后你说的那块区域，就是在那个原原来的那个皇家庭院，对，森林庭院那个地方也是通向的，也是通向的。对对对，所以这这一点就是从无论从地理啊各种方面一些信息来说，, Start Time: 2802240
Text: 我们都觉得可能跟这块关系是非常非常密切的。对，刚才想说暗树来着嘛，就是说这个乌拉西洛这是第一次出现暗树。就是说那个法术名称其实在 n 二代都是一样的。没错，但只不过在一代没有提暗树这个事情，他只是用这个魔法的触摸触媒来发来发动。啊，到二代呢就把这些归为了一种新的法术，, Start Time: 2827870
Text: 没错叫做暗树。所以说呃大家玩家就是很多人说你这个一代就有暗树，其实我我我本身的意愿就是游戏里既然没提，我就不要，我们就不说不说他是可能是机制上系对发的这的事事这个个样，这个事儿我是知道的。对，然后再接下来的话，我们就继续谈卡萨斯。对，卡萨斯那边的话就主要是霸王沃尼尔。, Start Time: 2846590
Text: 对，霸王沃尼尔就是说呃他的几件武器上面的说明有有说过，就是他刚开始是追进深渊，而且就是其实啊其实沃尼尔很多人第一眼看见他第一个反应是什么？其实是第一代的 boss，呃，那个就是最初的死者尼特啊，尼特。对，然后很有趣的一件事情是什么呢？就是说在说明里对，在说明里说明那个就是沃尼尔的时候，, Start Time: 2869440
Text: 他说沃尼尔想要当最后的死者，对一个最初一个最后悔。对对，就很有很有害害。对对对，他们是什么关系？当然因为一代的时候并没有说那个就系呃那个尼特跟深渊有什么关系，并没有说对。所以我们就不妄加猜测机跟一代什么有什么关系。那我们就只拿三代卡萨斯来，同样是骷髅。然后最后一个最初一个，, Start Time: 2895510
Text: 最后他只是一个目标，但是他实现的手段他作为了去向深渊，对他是做一个手段去做的，或者说最后的死者这个事儿本身意味着什么？对，没错没错。他在就是说进入深渊之后，他最后越靠近深渊，他就越后悔。对对，他上面写的是就是越感到越害怕。最后他第一次向神开始祈祷，嗯，这是他上面的原话。, Start Time: 2917670
Text: 然后关于沃尼尔那把圣剑，也是说他原来那把圣剑其实是从呃呃是从那种呃就他灭掉国家里面拿到的，就是那些宗教国家拿到的。然后这把剑因为深渊而腐蚀掉了。嗯，呃然后他周围的那些嗯这个 boss 战的过程，他是手上带着那个手镯嘛，三个手镯是精光的，明显带有神圣力量的这种手镯。, Start Time: 2941040
Text: 对，他可能是靠着这个才没有完全被黑暗吞噬。对，然后他狮子从里面出来也好，是在拉人进去，他又不知道道，且他通着那个，但但他出现玩家想要摆脱，他就要把这个手镯对他打全部打破，然后让他真正被深的吞噬，可能是有可能是这个样子。他那个就这段剧情其实挺迷的。哎，对，萨萨斯这段剧情其实挺迷的，, Start Time: 2963560
Text: 只知道他是一原来是征询征服诸国的那个，只知道他征征服中国一个霸霸霸他他把各国人，他把各种国家灭掉。对，但是他灭了哪些国，这也对对，他也没说，所以附近也没看到有什么他灭的国。对对对对对，总之他肯定跟深渊是友啊，哎，就跟深渊这个对深渊这边是很有关系的。然后他这一块的相应的那块剧情，, Start Time: 2986310
Text: 就是说其实我觉得就基本是到到这儿到这儿对吧？我们就到这儿。然后接下来我们其实可以再聊一下，就是呃呃另外几个另外几个事约里面相相相关的。就法兰不死队的话，其实还有一块相关的内容是什么呢？狼，你想说狼嘛？对我想说狼就狼我们可以稍微提一下，就是说呃首先那个狼呢就是说我我主要是想为一些玩家稍微做一些解释啊，, Start Time: 3010320
Text: 就是说也不能说解释啊，就是我一些个人理解就是呃最主要是有人说他吸夫嘛，就是有有些人说他吸夫，但其实呃我我自己觉得啊我自己觉得有这样几点，就首先法兰不死队力量其实来自于血。对，是来来自于狼血。然后呃之前那个呃亚尔特琉斯的那个解释里面，之前有说过他跟什么某样某个生物定下的契约，, Start Time: 3035260
Text: 嗯，获得了深渊漫步深渊漫漫步的能力。然后结合老狼老老狼这个他所给的能力，或者说他深渊监视者的能力的话，我觉得可能他们之间的关系应该是就是一个电力契约的关系。他可能跟希夫并没有直接关系。因为一代的 DLC 里面，我们知道就希夫其实是就阿尔特琉斯去干马努斯的时候，, Start Time: 3060670
Text: 其实希夫还是一只小狼小狼，他他并没有牛逼到，可以去去对，帮助那个一起打。对，后面是就其实是阿尔特琉斯拿了一把盾，就是竖在那个其实希夫是可以跟我们一起去打马努努。没错没错没错能错。所以我觉得就这一块呃来说的话，我觉得可能就是说呃西夫可能跟老狼并不是一个，但是他和狼定契约能够在深渊漫步，, Start Time: 3082550
Text: 这个也说不太对对，也说不太多。普遍的意见是说，他还是和大蛇蛇定契约。对，普遍都是说他跟大蛇意见。对，但是这个没明说。对，也没明说。所以我就主致致说说一下，就是我其实主要是想说的是，就跟希夫的关系可能并不是对，又或者说就是阿尔特斯斯本身的这个灰灰迹啊，也就是狼就说这个狼本身并不代表希夫可能是代表阿尔特琉斯本身的一种象征。, Start Time: 3106330
Text: 对，就比如说黄蜂啊，冤枉这些，你并没有什么动物真的出来啊，不见得说有狼一定是希夫啊。没错没错没错，他可能是一种情怀在里面，就是说这个东西狼就象征着他们这样一个监视深渊对抗深渊的这样一种势力的传承。对，哎，然后再接下来的话，我们可以再拉回来，就法兰布斯州周边边相关的一一些事事。, Start Time: 3129360
Text: 是就比如说像结晶老者，嗯，结晶老者，我们可以说一下，因为就是像结因老者，我们知道新王一直没过。对结好，一直没过又又走过了，看起来很弱。对，但是没过我个就结晶老者的话，其实他有这样几个解释，就是说有一个结晶老者就我们知道结晶老者是两兄弟，我们知道对对对，他一个是在那个大叔库，, Start Time: 3150120
Text: 一个是去就是说跟那个呃法兰布斯斯就就交好交好啊，有说过是交好这个交好这个会不会就是那个 boss 的那个对，交好那个我也觉得是 boss 那个呃然后他们那个交好之后，然后法兰就是说他们其实所做的事情是在守护那些战士的安眠。就你在那个手在那个就是呃呃那个那个前往法兰要塞之前会碰到两个流浪骑士，, Start Time: 3173500
Text: 还是流浪者人。对对对对，流行者流行者，然后他们的那个装备上面有说过，就是他们就是在守护就暗战士安眠，帮助狼守护战士安眠是就是守护那些法兰斯队确实是。然后结晶老者呢就是说是呃帮助法兰那边去发明一些就是说或者说去发明了一些魔法，或者说他们呃就是说开发了一些魔法，, Start Time: 3201980
Text: 对，然后就更偏向于实战。有说过结晶老者有提过说是那个一代大帽子罗根的后裔。对啊，就明确说那那但但为什么怎么跟狼扯上关系呢？呃，可能就是三代本身的故事了。对，就是三代本身的故事了。然后在实际那个过程中，我们会在那个前往捷，因老者路上我会碰到一些就发那些一些快件快剑的那些那那那些包括那个很粗的那个灵魂剑一样啊。, Start Time: 3224150
Text: 对，然后打过来，对我见到老者之前，我看到那个大帽子怪。对对对对，如果去这不就是那个罗根的那个题题嘛。对对，结果果然给我来一个那个罗老斯死，罗根是罗根情怀的 bocoboss 情怀 boss。我靠，果然是这样后就发现，但就是实际过程中的话，就是觉得他们这一块应该是一个呃就不管是什么原因吧，, Start Time: 3249210
Text: 反正他们交好之后就是一个呃互相盟约的一个关系，然后在守护那些不死队，主要是这样的。嗯，因为为什么我这样说呢？就为什么守护护？就你在那个周围，你会发现一些红眼的那种带着大十字架的那些特级变，那些怪怪红眼呢啊是是一开始很难打。对，没错没错。然然这些怪呢就是说我们之前有推测过或者猜测过，, Start Time: 3269040
Text: 就红眼是深渊就受到深渊侵蚀的一个标记。我我我们可以猜测是这样的，因为的确是后面表现的是这个样子。那既然这样的话，我觉得他们之间的关系其实很明白，就是说他其实是要去守护战士的话，就是要把那些红眼的这些给干掉。他背着十字架，可能是从然是本来是已经安眠的这战士，, Start Time: 3292280
Text: 然后被黑岩侵蚀之后又站起来成为了这种就比较红眼的的在在对他们可能不想看到这个事情发生，所以守护这个啊也可能是这样。哎，对，没错。然后我们接下来再来谈哪一块哪一块誓约太阳。骑士说一下太阳长子这一块的话，就是首先我们可能要就是说要解释一下，就因为我们目标是让大家都明白大致怎么样，, Start Time: 3311080
Text: 所以我们还是要跟没玩过一代，同同学们就要稍微说一下科普一下，就是太阳长子是怎么回事啊。首先三代出现太阳长子的几样信息的道具呢，有一个道具是叫太阳长子的戒指。这个东西是在哪里拿的呢？是在嗯那个就是你要从打要去打那个就是教宗沙利万之前，他那个有一个平台，你要往后跳跳下去之后，, Start Time: 3333090
Text: 然后在上面有一个有一个界指，然后个祭坛一样的地方。现在他们像在像在供奉太阳长男一样，然后太太长男那个戒指上面就说就是嗯跟一代一样，嗯，跟一代一样，就是说太阳长子原先是贵为战神，对，后面因为太过愚蠢一代是说太过愚蠢，就是愚蠢啊，就是说在太太愚蠢，然后就就是被驱逐被驱逐啊。, Start Time: 3356430
Text: 然后三代里面呢，其实我们慢慢慢慢获得了一些信息，就是太阳长男跟无名王者是一个角色。嗯，然后对吧对吧？我我们这边获得一些，我觉得这个事儿就游戏里虽然没的说，但是大家基本本经认认几乎乎，就比如说我就是那个东西细节多到数不过来，所以嗯就不再对我就不要去认论证他是不是那样长得。, Start Time: 3378250
Text: 如果这个事儿 DRC 或者什么以后这能能删脸的话，我我们也认了，我认了，我认了我就认了。然后呃在实际过程中，就太阳长男是个什么样的角色呢？在一代里面就是说他原来是战神，然后有一个角色是跟他有关系的，叫温斯坦。对呃，一代里面我们是叫他和和外一个个 boss 叫斯魔。, Start Time: 3397420
Text: 对，我们叫他们王者双击团魔兽。对，他们原来就是在阿诺尔隆德先，就是你要打那个阿尔德里奇的地方，一代，也是在同样地同样的同样的场景呢去打他们的。然后呃温斯坦原来是太阳长，男的直属骑士，这个是在那个实际的那个三代里提到三代里面有直接提到过，但他是猎龙者，猎龙者是个猎龙者。, Start Time: 3416900
Text: 乌恩斯坦是个猎龙者，就特牛逼的。而且你看到他的这个长矛和技能啊，对，都不都是这个雷电的这个。对，没没错，错代代有可能是太阳，其实这个是太阳，他们家才有的力量，也很有可能这个温斯坦啊非常亲亲的的个个势势，这代甚至分到了一些力量啊，对，可能是这样的。对，没错没错。, Start Time: 3440370
Text: 在这个实际过程中，太阳长男的因为什在在代里面，其实最大迷迷的就是他有当时三代还没出来之前啊，就有很多人说索哥是不是因为索哥太牛逼了，就是赞美战士索拉尔对这个一代一代有个有一个 MTC，就是呃就可以说是魂系在象雷个吉祥吉祥物一样，我们占了赞美太阳。对，赞美太阳，, Start Time: 3458810
Text: 你们看到赞美太阳都是出自于他。对，然后他是去追寻太阳，他代表宗要就是太阳战士是信奉太阳长男的。对，是信用太阳长。但是这个代代连名字都没有，在他这个掌男男。对，这是被剥夺了。对，他其实是就是像一个竞技一样，就是你们不能提他，哎，就这样，就哥们不让说，对，不让提这个事啊，, Start Time: 3482010
Text: 一代和三代的王城里面都会看到一个雕像是被砸碎的。阿诺尔隆德里面那个雕像就是太阳掌男的呃二代的那个这个视觉也有，就太阳的后记嘛。对所有的这个这个石这个石碑全部都是被打碎的，雕像，就是扔个脚。但是你可以看到那个就是穿着类似于这个拖鞋的那个脚和那个跟那个三代这个无名之王这个武器非常像的下半截。, Start Time: 3501600
Text: 对啊，这就这种细节就对对对，连又连上神巧巧就就对嘛。对对，你要说他不是那个太阳掌，真不信，不是故意的。对，没有任何就是道理，就是这个太魅里面这个游戏背景就是对对，然后一代里面太阳掌男没有太多信息。首先呃首先我再重复一遍，索拉尔并不是并不是那个并不是太阳掌男啊。, Start Time: 3524240
Text: 对，然后太阳长男呢就是说在三代里面，这次一下星期特别多，哎，对对吧？首先就是说一代里面好像是没有一代里面是没有见过他武器的。嗯，对对对，然后这次你在唯一的那个太阳集坛里面也不能说唯一了，就是说反正也只有一个呃那个太阳祭坛里面，你能看到那个碎的那个武器，其实是跟无名王者是一模一样的。, Start Time: 3547420
Text: 以前只能看到一个尖，就是首先你只能看到脚下出出来分，而且你细心你会奇怪，这是个什么武器？因因为它很奇怪，那个长度吧是一个长矛的长度。然后那个下半截呢完全是一个大剑，你就觉得很奇怪。后来果然这个武器出来的时候，又是枪，又是剑，又是枪，又是剑剑。果然我没看错，, Start Time: 3568980
Text: 对我的想太我我果然是这样，是的，是吧？嗯，然后呃在三里里面关于太阳一男呢呃最主要是讲他就是说愚蠢在三代里面给出了答案，就是他最后不能说背叛，应该说他和龙成为了盟友果，就觉为了朋友，说白了在和龙战斗的过程中产生了有情。打个个个对对对对对，这个个龙龙成那武器器。, Start Time: 3586720
Text: 对，然后呃太阳长男呢就是在三代里面，我们就呃就能推断出他应该是在古龙顶端的那个就是无名王。可以说一些细节。比如说他那个头发那个白色的那个头头头冠。对对，在哥哥是一模一模一样的，他所有的装备上都说说这个和他和和初代的这个太和新王，然后有很多相相之处。是的的，, Start Time: 3610880
