Text: 大家好，我叫也很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新，, Start Time: 270
Text: 然后软正面战场我们都知道 ME 三首个首个车呀， DAI 手个投石机啊。对，就是这种这种没有什么层次感强观，确实正面正面战役。但是奥斯卡他巧妙的规避掉这点，他不再正正面风火。你的任务是去是去这个伊萨尔之塔，点亮烽火，点亮点亮烽火，然后洛根洛根公爵来来源，这是一个很重要的转折点。, Start Time: 2115450
Text: 你的任务很重要，但是又避免了说正面战场描写的不足。嗯嗯，于是玩家就火急火燎的去把火点亮了。然后他其实他其实就有点像那个当时现那个锁腰塔一拳层往上打，对，然后就打了。我记得当时最重要，然后当时我是拿那那个是是是坦克吧，然后直接就是最后上上头一只大恶魔，就是就是挺大只大块头，, Start Time: 2138290
Text: 一只大块头。对对对，欧哦，欧只叫欧只那个大块头，食人魔食人魔食人魔。对，然后然后一个 boss 对，然后直接就就是最后有一个就是你终结机会有动画，就是你就拿拿一把剑就就跳到他那个胸口，然后一剑把他放倒了这样。嗯，这是这是麦教授玩普通难度玩家的想法法了。你怎么已经猜出来了？, Start Time: 2160520
Text: 大哥了，我们玩噩梦难度的都是冲上去之后被他拍皮球拍皮球拍死。然后第二周第二遍再打，再被拍皮球、拍皮球、拍皮球摔死。然后最后终于打了好几次之后啊，终于过了。嗯，然后觉得很艰难，然后我们终于扭转了这个战争的局势，点亮了烽火。然后洛根公爵用他那张就是很有特色的领领鞋，, Start Time: 2183830
Text: 拔子里对一一歪。然后然后还有一个细节，就是你能发现他的手下考斯林爵士，就是那个著名的大殿女，他其实是不愿意的。嗯，但是诺恩公爵就让他们撤退了，嗯，然后就把就是国王和这个邓肯就是留在了原地等死。嗯，那好的形式就这么啊，而且奥萨伽有一个很重要的细节，就是我们能看到国王和邓肯的军队都是明显是从各个封建领主里呃领地照顾过来的，, Start Time: 2206910
Text: 然看装备都不统一。嗯，有男有女，然后看 logan 的那个军队，他是小说里都讲是那个马瑞克留下来的。马瑞克之盾相当于巨军那一身轻一色的板甲，嗯，然后非常棒的装备，但是他们就撤掉了。那一刻就是然后紧接就就国国王的训难和和邓肯的死亡。那一刻，他这个情感冲击是非常大，, Start Time: 2236350
Text: 然后玩家关键关键是因为你点燃了烽火，你没有辜对那辜负众望。但是结果你以为你会迎来英英雄般的结局，结果猪队友对，而且不光是猪队友，他明明就是就当时感觉就是在算计你。对，然后就感觉你为背叛了这种背叛感十分明确，尤其邓肯又是这么一个，怎么说呢？这么一个瘟神正义凛然的啊，, Start Time: 2259480
Text: 让我们看起来就是有点对于这角色来说，有点慈父是给第二次生命的这么一个一个角色。然后后感觉阿阿斯卡说说话里他能都能能到这些，然后来然后这就一切就完完了。每一个从奥斯卡出来的玩家都是非常恨罗根的。嗯，即使像我这样之后，对他态度改变的当年也是非常恨洛根的。嗯嗯，, Start Time: 2285700
Text: 然后我们大概再说一下，就是奥斯 ar 出来之后的一个一个重要的村镇吧，叫 lossery。嗯嗯，洛洛泽林其实不是一个很重要的，就是张姐在在整个起源里，但是他彰显了就是生卵的一个嗯叙事能力。嗯，你进 low，就是你从这个奥斯尔，然后被这个弗拉米斯，就是那个法拉米斯，, Start Time: 2307905
Text: 也就是摩尔根的妈妈。对，然后变成一只鸟给救下来之后，这是一个听起来很传统的剧情。其实尔根他爸爸弗拉米斯天生属于喜欢救主角，嗯，他救过。对对对，他救救过的国王，就是在小说里那个小说里的主角，也就是凯兰王的父亲嗯呃也救过 mormard， AO 的主角也救过 DAR。, Start Time: 2334350
Text: 就是对呃天天生适合救主角，然后就这么一个人物，然后然后他怕拍莫 ican 来成为你的队友。这个队友我们后面会再提队友，实在是就是顺尔。对，是讲不完的。嗯，然后我们要单单独讲一下，然后他们他们就是整个国家已经败退了。然后我们来到了这个嗯奥斯卡以北的一个城市叫 lolostering。, Start Time: 2356630
Text: 嗯，洛泽林城市本身并没有太大的特点，但是他的任务设计是很有特点，嗯，是是你一场就会被人打结。对，然后大家还记得这个对对对对对对对对对，就就一会儿就是那个那个那个那个那个就是强盗吧，就是就是就是堵着你们。对，然后最后你是可以选择那个放过他们嘛。我最后那个打劫的剧情非常丰富，, Start Time: 2379840
Text: 就是你可以敲诈他们就可以反打劫，可以放过他们，可以把他们就是处死，可以把他们交给上级，然后他们当然覆干，然后也要起来给你打。嗯，总之就是他是一个呃很复杂，有很多选项。嗯，另外一点他也体会会就是那个这个在这个帝国大盗上就有，就是只要战乱一起，然后立刻就会有这个劫匪出来逃兵和劫匪。, Start Time: 2402820
Text: 就道德标准已经，然后已经崩呃，乱世的局面已经起来了。然后你进入 lostery 之后，你会发现有被他们抢劫的精灵夫妇。对，然后等等有有诸多诸多类似的情节构造，然后就让你感觉你当你当时干掉他们是正确的，但是他们本身又只是为了一口吃的。嗯，然后呃从这个从这个从这个剧情就是这个打劫的剧情，, Start Time: 2426520
Text: 到精灵夫妇的剧情，再到后面，再到后面就是圣殿骑士，圣殿骑士把手教堂这个剧情，圣剑骑士是党管，当时这个教堂的嘛，他们其实应该是来清扫这个这个劫匪剧情他是联系的那你觉得你做的事情确实有价值。罗斯逊还有一个细节，就是有一个有一个重要的队友吗？呃，有一个也不是队友吧，, Start Time: 2452310
Text: 我其实想说的是有一个商人和和和这个教会的对抗。嗯嗯，大家都记不记得，就是当时呃有一个就是有一个商人在这儿做生意，但他是趁着物资缺乏抬高抬高的价位，嗯，但是教会一出出席，教会就会出来，就有一个圣母，有一个教母就会出来阻止他，但是教母什么都没没没没办法给你，然后商人会给会不会给你金钱，, Start Time: 2476860
Text: 让你不要管这个事儿，让你怎么选择这个东西。首先它是有选择性的。嗯，其次它有一个很重要很重要的价值在于他体现了。教会并不是说像我们理解当中十五世纪十六世纪的时候已经腐败了。那种教会这个教会呢其实还是在在为人争取权利。对，还是在为人教会和圣殿，因为当地领主已经已经死掉或者撤退了，, Start Time: 2502210
Text: 只有教会和圣殿在帮助平民维持秩序。对，这这个是我觉得注意到了一个很很好的细节。嗯，罗索人就是有有很多个这样的细节构成，然后他从而形成了一个比较好的任务网。嗯嗯，当然在 lothering 我们确实还遇到了两个很重要的队友。对，嗯一嗯其中这两个队友都是被人落掉过的，, Start Time: 2526190
Text: 一个一个是就是在笼子里的，就是被因为杀了很多人被人关起来的。嗯，库纳利恩斯坦嗯，另外一个是呃莉莉安娜嘛，莉莉安娜。对，而且跟你说，当时我我点很傻。当时我经过那村镇的时候，莉莉安纳任务偏偏就没有做偏偏，就没有让他入过队伍，你知道吗？嗯，后来别人说其实还有一个妹子挺好的，, Start Time: 2549010
Text: 什么不是有那么好吗？不是是尔有，他不是啊，是另外一个短头发，我说没让入。对，没见过。然后花园，但那个陈世套已经被移平了，就是得 more 就是这个嗯这个 location 有一点很有意思，就是你其实不用做任何主线，就是你直接过去都行。对对对，但是他线就渲染染了一个乱世当中的众生。, Start Time: 2571940
Text: 对，而且之后你一旦离开这个沉镇，他之之后就会被那枯潮给吞没。之后你再回做另一个任务之后，对，做一条主线之后再回来，他就再也没有包括斯坦兄贵和和这边呢。如果如果你没有招对的话，他们就再也遇不了了。对，这是一个一个很大的遗憾。对于很多人来说，当然也是鼓励他们玩二周目的巨大。, Start Time: 2592940
Text: 对我也就是因为这个他玩二周目，因为他们说莉莉安娜人真巨好。因为一周末之后跟摸摸莫瑞跟谈恋爱，然后跟莫瑞跟谈恋爱就觉得特别邪气，而知道这姑姑娘怒怒，常常知道道，然后他们说丽安娜巨好，而且当时不是。对，还有一个那个老奶奶嘛，就是反正他他会他会跟你说，他会就是你跟瑞跟谈恋爱，, Start Time: 2615600
Text: 那个老奶奶会很反对。你然说莫瑞跟人人就什么乱七八糟，不靠谱什么的，然后就跟莉安娜，他会觉得雷丽娜特别好。对，就是你你不要伤害他什么的，所以是那个教授当时恋恋恋爱游戏。对，确实完全可以可以真可以，因家确实那个性格好。对，可以，因为人家就是非常温柔雷雷莲娜，人人非常软。, Start Time: 2633460
Text: 对对对，软妹。而且时候候很年轻，轻是那种少女之情怀特别好。对对对，其实其实雷瑞叔都会儿出来了，怪打叔莉莉安娜当时可能已经有二十五到三十岁了，那也很那也很就是因为主角那个二十岁，所以基本是年年上控的那种。嗯嗯，雷丽安娜有一个细节，就是如果你们当过那个平民精灵，, Start Time: 2653640
Text: 就是城市精灵。嗯，嗯，你们会知道雷丽安娜救过你妈，而你妈在几年前已经死了哦。嗯，就雷丽安娜在在那个在她当吟游诗人的时候，也就是他还没进入教会的时候，嗯，他当研究师还没被背叛的时候，他救过你。你想想这中间年龄差是多少岁？所以没有，那只是精灵出身，并不代有人类出身，, Start Time: 2676090
Text: 他们就是年龄差呀，对不对？人类出身应该大概就是十九到二十这样，这个姐弟恋也是可以的。对啊，是什么时代了？是不是嗯嗯嗯就是一个声很萌，大大家都雷雷安安的 morl 妹嘛。但实际上实际上了姐了，是实际上是姐嗯，嗯嗯，然后我我们之后再再再具体谈一下这个人物哦。从 lossson 出来之后，, Start Time: 2696570
Text: 就是整个游戏的剧情就变成了一种自由性比较高的分分散度的就大地图，对吧？对大地图，然后你可以去可以去各个地方要援兵，挥位，有这个权利嘛。在铺潮的时候，去各个种族，各个城市的地方要援兵，其中包括法魂呀、野精灵啊、矮人呀等等。如果就是我们这儿把剧情都说了，那大家也没什么可玩。, Start Time: 2719530
Text: 对，那那基本上就有点像呃就是就是就是那个质量效应嘛，质量效应就是就就是你四处找援兵，最后来找大一三，就是这样子嘛，你还可以看见你的这个援兵数量。对啊，但势势力值这根 ege 我们那个之前也谈了有各种各样的那个种族，有各种各样的组织，有各种各样政治势力。所以你在每一做每一个任务找援兵的过程当中，, Start Time: 2742390
Text: 你就会发现他们不同的那个内部的矛盾，一些故事啊，一些故事。所以就会把整个的世界观慢慢开始。对，因为因为有的时候，比如说你做一个对，比如说你是选法师，你全身就出出现在个法法塔里边。对，但你可能就不了解你第一一周你你不不会了解其他种族的故事。但他就可以通过后面那些你去了解。, Start Time: 2763570
Text: 而如果你以前经历过法环，你再红重庆回到法环，又会加强你对法环这样一个认识。对对，所以它也这也是一个比较好的结构。而且你回来法环人认认识你，然后你在这还会有特特殊的剧情。对对对，我对这个部分就是中间这个最大的部分，剧情印象最深的还是矮人的剧情。啊。对对对，奥 zma 奥 zzma o zzzma a 吧，, Start Time: 2782020
Text: 奥兹 ma 奥兹尔欧尔尔，奥尔 zma 不不是 vzzma，我相信那个猎过人了。奥 zma AO zma 嗯，奥萨玛它的这个一一进那个矮人的那个城市风格就很明确。对，就能感觉到它这从沿江啊，还有它正中间这个嗯正中间这个斗鸡场有棱有角。嗯，对，就是直线。对，, Start Time: 2802820
Text: 变别文化设计。对对对对，美美学风格就非常好，然后它的剧情就是非常无间道。整个嗯一方面一边是我们刚才已经提过的那个那个陷害了你杀了你割的被被沦王，这个人十分的就是阴险狡诈，但是又非常有权利。嗯，但是他又很适合做一个独裁君主，很适合做一个国王。另外一方面是尔就就相当于他代表一个旧旧贵族的实力。, Start Time: 2824660
Text: 但是一个很好的老好人，但是他他代表无法拯救完。对，嗯，然后这这时候你就会面临一个类似于罗马帝国末期的困境，就是你是维持旧的共和制和等级呢，还是说还是说去这个革新革新他在个你并不喜欢的人去做做皇帝。嗯，这个而且他在这个叙述这个故事中间，他来回来去两边讲了很多东西，, Start Time: 2852090
Text: 嗯，分别向你介介绍两边的理由。两边究竟是什么样的人？你有 harmonn 次机会来回跳反嗯最后的结局。哎，你就可以，你对不起，我是我是警察。这就不是一个非黑即白的结局，是两边都不会让人尽如人意。但是最后你要做艰难的选择。而且我们提前说一下，就是这个奥特曼的结局。, Start Time: 2876730
Text: 其实某种地方倒是真是，就是有一些地方是出人意料的。我们表面上看起来，比如说哈尔蒙呢是个老好人，他他做事儿应该是好的吧。结果最后我们在打造东西起源的结局的时候，我们会发现其实国家陷入了混乱吗？对，而伦是反过来的，反而国家进行扩张，嗯，然后收复了一些失地。但是后来人们又分析他真正朝这个 baldeep 的收复失地就是好事吗？, Start Time: 2897030
Text: 嗯，也未必他可能惊醒了更古老的邪恶的东西，而且他的人口已经不足以不足以就是扩张成这么大的一个帝国，这就是见仁见智的问题。对，然后还有这个矮人巨型，有一个我们印象至深的 roboss。对对对，不知道 momother 那个 mother 嗯那个很重口，然后那很难打。, Start Time: 2920540
Text: 对 blloother mother。对， blther mother 确实实恶心心嗯，对嗯，就是年度最恶心 boss。对，就是你那个原射图，你可以网上找来，就绝对巨性感，绝对可以对着撸，可以对着撸一百多个乳房吧，真的是要怪物都当成恋爱对象是吗？真的是那一段剧情设计的其实非常不错。, Start Time: 2940400
Text: 最大原因 broadmother 就是他是生暗 e 的嘛，暗意是把一个女性抓来之后，折磨之后，对他就变成了 broadmother 对他喝各种污秽之物。对，然后他这个这关的是一个矮人的 broadmother，然后你的视角是你就是看一个已经被污秽的女人，她就不是 broand mother，, Start Time: 2960770
Text: 然后他在背后去背一首诗，嗯，然后你每走到一个地方就很阴森的他他这首诗就会往前再背背一段段，然后就是慢慢的最后就引出来这么一个怪物。他那首诗讲的就是一个女人成为这个怪物的过程。对那个整个感觉非常的惊悚，非常痛苦，然后非非常有感觉。对啊，关键这个怪物冲击力太大了，, Start Time: 2979710
Text: 所以你想这个女人经受了多少折磨。对，确实要确实确实。然后其他的我们其实后来发现就是这个他每一个主题，每一个章节都会有都会有一个主题。比如说精灵是关于复仇与宽恕。对对对对，然后比如说这这个呃赤牙是会让我们揭示一个某一某个队友的重要身份。对对对对对对， red cliff 是会让我们揭示蒙岩。, Start Time: 3001050
Text: 对赤壁嗯赤壁。对，赤壁其实之前有人翻译成赤壁，而且嗯赤壁有一个剧情也会跟那个费的有关系。就那个孩子被孩就是你你之前上期节目提到过一个孩子，他如果有了血魔法的能力，对对对，他如果被所谓的这个恶魔恶魔附身了。对，就是他就他是所谓有点像恶灵附身，对，恶灵附身就是给他叫魂的那个感觉。, Start Time: 3029580
Text: 对对对，然后最后你要决定怎么办？是把这个孩子杀了还是怎么样，都是非常艰难的选择。嗯，第一次玩是恶法塔岩。对，因为第一次玩，你决决定死死孩子还是死妈。对，就是你两个觉其实可以两拳，有的方法是可以两全。我第一次就玩出来，我记得呃，因为你第一次就去了法师塔嘛。对，, Start Time: 3053040
Text: 然后第一次玩就是如果你第一次去的是赤牙没去过法师塔，那第一次玩家都是很纠壁，也就不知道选哪个。然后选完了之后回去阿比赛都会都会跟你决裂。因为因为他这个无论是孩子还是母亲，都是都是跟他就是从小就有挺好的关系。然后但是但是这个方法又有解，就是你去法师塔你去先做另一个主线，, Start Time: 3071600
Text: 哎，你就可以把这个法师塔的人请过来解决这个问题。嗯，谈起影界，我们不能不说法师塔的那一段影界之旅。对嗯法师塔影界之旅是两个在游戏性上，他可以就是使玩家完全凌驾于所有队友之上。因为进去之后可以获得各种属性，嗯，但是在在这个情节上是很有意思。嗯，你在这个这个影界里可以看到各个队友的梦境，, Start Time: 3095790
Text: 看到他们在想什么。对呃，比如说雷利安娜在他在思考，就是他在想就是在这个什么时候能恢复教会的这个荣光啊，他在教堂，比如这这类类的虔诚的信徒，对，看到队友心里的本质。对，是对，我觉得一代就是 original，这 fate 的处达和这个表现是所有的里面最好的是比三代 incquisition 里面的这个还还要好一些。, Start Time: 3121050
Text: 对对对，三代更像是去那个打任务。对对对对，是而没有更丰富的这个人物的表达。对对他图像上倒是代代倒是有非常牛逼的一种表达，但我偏偏还就行，还就是喜欢一代这种感觉是吧？特别缥缈的那种感觉。对，就是你真正能感觉到影界中一切都是在动的。对对对，就是但我个人这种那种影界，, Start Time: 3149660
Text: 而且影界看到人的欲望就在里面。但我个人其实但我个人而言，其实我个人审美来说，我不太喜欢这种意识流的写法，就是把那些梦境中的东西做游戏里面做出来，让把让就是老滚舞里头也有这样一个就是你可以在梦中对梦中梦中自己可以变得巨大之类的那种。就是我个人不太喜欢把它做成一个独液关卡的那种做法。, Start Time: 3172780
Text: 对，当然这个废力因为在龙神世纪中间比较重要嘛，所以你们进去也是很重要的。对对，嗯，我们提到就是从肺子里头能看到各个队友的这个想想法和他的心态。那我们现在可以聊一聊队友了，终于可以聊一聊队友了。龙王世纪最重要的部分，我们说群像塑造嘛，可后队友就是莉莉安娜，莉莲娜和莉莉安娜。, Start Time: 3194710
Text: 对，雷丽安娜是我，我是非常喜欢雷丽安娜这个角色。因为雷莲娜是一个人见人爱的角色。对对对对，我我我见见过很有一些人不喜欢的，就是女生觉觉觉觉得他理查婊示吗？不同的玩家会有不同的那个理解。对，会觉得他理查婊就觉得他自己觉得像似的自像是女啊啊，圣母是吧？圣母情怀太弱，, Start Time: 3218890
Text: 女女儿永远讨厌，男人都喜欢。因为雷丽安娜是其实就是起源这个。但但是你说过男人，你男作为男人你也很讨厌，那就是很受女人喜欢，男人，对不对？嗯，还行，王王思吧嗯就是雷迪安娜，他作为就是一个重要角色，他跟别的起源的所有角色一样，他都是有一个强烈的性格发展的。嗯嗯，, Start Time: 3241670
Text: 最重要就是雷雷安娜和阿里斯坦，我们可能会提到了艾里斯坦，就是他他他会有一个强化不强化过程。嗯，就是他是回到过去的生活还是猛，是在现在雷雷安娜不是一个纯粹的，就是看起来很萌，然后实际上也很萌，然后心里也很萌萌。到底的妹子都说一个软妹子切开里面都是黑的。对他是一个具有强开说几个个腹，, Start Time: 3264950
Text: 就是说腹黑了，就是说人家腹黑别想歪了，具有强烈的两面性的一个角色。他在这个来到 firadden 之前，他是一个奥莱的吟游诗人。对，奥莱吟游游诗人可不是说我们看迪游帝里那样，嗯，他就是狄仁地里那样，就是四处唱歌唱歌，或者说有一些呃战斗的这种诗人，他的特点就是他是一个政政治游戏的一个重要角色。, Start Time: 3288630
Text: 嗯，的特也很萌有提到就是那个呃你你如果和那个呃外交官对话的话，他会提到。其实他最早也在呃那个那个柔柔佑当过吟游诗人，他就是在当吟游诗人的时候，认识雷莉安娜的。对啊，非常有意思，而且都是有些是吟游诗人，是贵族去当的。对，并不是平民去当。然后这个吟游诗人属于样样都行，, Start Time: 3314050
Text: 就是属于歌唱的好，架打的好。嗯，然后床上功夫也很好，这不能播属于这种嫁康的行嗯。然后嗯就是他是有这么一个背景，但是他是被人背叛，他被他最最最亲爱的师傅，嗯，就是 ramarell an 给背叛背叛掉，然后控告他是通就是通敌叛国，然后后来被抓到了这个非 frodan 的这个这个监狱里头。, Start Time: 3336880
Text: 这个故事在这个他的 DLC 雷利安娜之歌里头有很详细的论述，嗯，然后接受了非人的折磨，他后面具体怎么折磨，我们也是不知道的。之后他被这个之后，他逃出来之后就来到洛泽林。嗯，然后然后获得了当地的这个呃，受到了当地的这个都德赛亚教母的这个这个救济。因这个雷利亚教母就是后来的教皇，, Start Time: 3365510
Text: 就是后来的迪万嗯斯斯蒂尼亚第五世。所以这个伏笔扑的很早。对，到了第三代里面，实际上那个那个一开始那个教母等于就是就是对，就跟恶魔牺牲了嘛。对，然后雷丽安娜就是说所以跟他陪伴了很久。对，包括后来你跟雷莲安娜对话，也会体现他跟教母的深厚的情感。对，所以在蒂雷欧里头，, Start Time: 3390780
Text: 我们就已经看到雷蕾莲娜就是很纠结的两面性。一面是他他要做一个间谍，有时候心狠手辣，有时候不择手段。对，另外一方面是他是真正的信徒，因为他觉得就是上帝就是主拯救了他，就是 maker，拯救了他。嗯，然后他他会跟你第一次见雷雷安娜，很多人都觉得他很神棍呢。因为上来跟你说，, Start Time: 3411980
Text: 我在一个花园里头，然后他然得看到什么玫瑰枯萎什么的，然后就突然就感觉到了上上主的召唤啊那那种感觉。但是后来发现他可能是真信的，然后我们在起源里就决定他是他是继续哎当一个信徒，还是说还是说回去回到以前那种以前那种吟游诗人式的生活。嗯，后来我们发现在 DN 爱里，, Start Time: 3431400
Text: 他二者合一了，在某种程度上对，然后其他的角色各位还有什么喜欢的？ alice 说说说说可定再说，继续再说。嗯嗯，丽丝，我觉得这样吧，就是你介绍丽丝，因为爱丽丝他后来不是也是加入了 alalworden 吗？对对，他加入 worden。就是因为我觉得刚才 wordden 咱们嗯把这个 worden 这个组织形容的还不够全面。, Start Time: 3457450
Text: 对，因为我觉得他包括他们最后的这个归宿之类的嗯，都会介绍一下对阿里森尔这个角色。大家第一面见着他都觉得极其不靠谱，就是就是满满嘴油枪法的插座大会。嗯，而且还都是各种冷笑话，有一种非常非常诡异的好笑吧。对，非常诡诡异的感觉，嗯，就是一个很不正经的一个人。对，, Start Time: 3479560
Text: 但我很喜欢他那种，对傻呵呵可惜不可惜，是直男是吧？然后他在这个全队基本是是一个总受的地位，就是被各种人调戏，被博尔 an 调戏，被被那个老奶奶调戏。因为温妮调戏被那个被那个 zffer 被那个精灵刺客调戏。嗯，那个精灵刺客倒是倒不是一个直男啊，是是是可推导，, Start Time: 3504000
Text: 就调戏他一个角色。后来我们在赤牙，我们发现他有一个完全不同的这么一个嗯过去是吧？过去他就他是他是这个嗯马瑞克王的私生子，也就是凯文国王的，就是一个同父异母的弟弟吧。对同同父异母的弟其其阿艾斯特的梗夫的很远很远。然后他后面的去作，还知道会知道他妈妈是谁，然后他妈妈有多重要。, Start Time: 3529070
Text: 然后他爸爸有多重要，但是到底也是一个也是一个富二代官二代。对对，但是他首先是作为一个屌丝的情况出现。对，然后阿丽莎这个角色纠结就纠结在哪，纠结在他不想当国王，嗯，他就想当屌丝。嗯，对，然后你就是可以加强的私性格，然后让他去让他去成为担起责任，成为一个国，或者让他继继续就是这逍遥遥下去，, Start Time: 3554050
Text: 对其某某种程度上继续逍遥下去到更符合他的。对对对，确实嗯嗯其实对于阿里斯坦或者我们本人来说， grey wlden 其实并不是说一个很好的选择职业。对，嗯，无奈这个就 gray warden，就算是那种那个什么伤敌，一千自损八百那种。嗯，对嗯，就是我们看类似的设定，, Start Time: 3577800
Text: 就是他为了呃龙世纪起源，没有那个没有没有没有善恶执嘛。所以说你严格意义上你的观点是中立的。对他，但是这种中立是有是有代价的，就是你是一个你虽然说你能号令各种人，但是你你你想干掉大恶魔，你必须得喝掉，喝掉很暗夜，副作用很大。对，暗夜，而且而且 greay wolden 本身因为掌握了很强大的力量，, Start Time: 3598200
Text: 嗯，而果那个受到受到恶魔的这个堕落的召唤，或者他他自己的这个呃使密法变化，他有可能成为一个不受掌落的力量量。而且 greay walden 历有历史是很黑的，就是是他大家玩过军事风。那个 LCC 的话会知道 gray wden den 历史上有干政传统就是也。, Start Time: 3622300
Text: 他严格意义上 gray walden 是不能干政的。对，但是他他会借助他这个这个国家的前辈，就是他这个组织的势力。因为他是独立的军事力量，对来他这个军设政治。所以在这个在这次在这个费罗登独立之前有三三百年，嗯，大概就是 greay wden den 没有进过过飞创。, Start Time: 3640990
Text: 因为为最后后到费费罗登搞篡篡位，所所以 ggrey walden，这是他这个政治上的灰色性。另外一个就是他结局的代价性，嗯，所们最后打到最终端的时候，嗯，会这这个会有一个沃 den 的前辈，然后他最后死了，然后他会告诉你，就是你的这个归宿是什么？就是跟大恶魔同归于尽。, Start Time: 3660410
Text: 对啊，然后这个这个理论上就是这个这个想法就是很微创。因为你最后结局无论怎么样，无论你做过多少英雄，对你都只有有这一个结局。嗯，其实其实你跟大恶魔同归没跟大魔同归同归于尽过四十年，你也会就是疯掉。因为你然后只能说跑到这个 deep 的里听见，然后就就就就是就自身自灭。, Start Time: 3683450
Text: 对对，这个其实跟那个哈利波特也很像啊，就哈利波特。其实他之所以有能量，是也是因为他那个有了一部分这个伏地魔的力量，他也是一个魂器。所以他头上有一个疤，他最后要跟伏地魔爵一死战的话，他自己也得死一次。嗯，对，其实这些设定是有点像的对，但是他反正是不同的，就是他无论如何最后都会疯掉。, Start Time: 3705460
Text: 对，并且死去还是只有四要要去 rodeep road 的对吧？对，因为他他会因为他会怕残害世间生。对对为就就自里放逐，其实就流放了。对，就是去跟跟地底怪怪物。对，要么就是在在那个跟怪物当争死掉，要么就是在里面疯掉，变成一只怪物。对我大家要是看黑暗之幻那一部小说里面其很多讲这个 calling 的这个事，, Start Time: 3729000
Text: 因为那就叫 calling 嘛，他们会听到一一些那个对对召唤的这就是暗义。平时听到这个大恶魔的召唤，其其 DAA 里面也有提到。对会不会还是会不时的听到这些召唤，而且很重要。 DAI 里面 DAI 里面它是一个很大的负对对，但他们们让脑中听到安利，安利呀，, Start Time: 3750540
Text: 我觉得就是很悲很悲哀的一个职业。对对，就是他们是他们有这个就是呃牺牲的这个精神。对，就牺牺牲。对，但同时，他们的牺牲本身又不见得就能换回最好的结果。对，不仅他们自己是悲剧，他们也可能在给这个世界带来带来第二重的伤害。对，但没有，他们却阻止不了 dark bone。, Start Time: 3769570
Text: 对对，就没就就就是就像核武器一样。对，但我觉得他们的就是结局太悲惨了，就是他们也被污染成为一个那个。但是但是 DAO 会给你一个，有可能你不需要牺牲自己的。对对，确实有为为这样感。对，就对行仪式。对对，但这个只这个只能是你是人类难才可可以，不精灵男也可以，, Start Time: 3791170
Text: 精灵也可以吗？矮人男也可以，好像莫不是吧？矮人男说到，其实我最喜欢的队友是瑞 morgan。因为啊对其实是很有意思的。就是你看上去他是荒野女巫，她是就就是就跟哪个种族，哪一个地方来的人都不像，都瞧不起。对，他有点像嗯就是天外来客那种体之外。对对，就就是一个怎么说呢？, Start Time: 3814300
Text: 自由职业，然后又不遵守各种规矩，他的打扮也很独特，我们也能在游戏封面上看见她的形象。就就如果按照那个他应该绝对算是混乱邪恶吧。哎，我觉得就是对他还真不算，就是心里其实并不混，对我觉得混乱混乱。所以我觉得他跟雷蕾安娜完全是反的，雷雷安娜看起来清纯，其实你会了解到他很多很多什么的对雷雷安娜切开以后的事是吧？, Start Time: 3835480
Text: 然后对然后摩里格纳呢实际上看看上去很很很邪。对，实际上心里其实很纯，其实是个森女，真的真的真的是呃摩瑞根的情感发展很很有很有层次感。对，就是你在大概好感度三十的时候，你就可以推倒他。嗯，但是你到好感度九十的时候，他会发现就是他会开始认真思考你们这段感情。对，, Start Time: 3858020
Text: 然后然后最后再做出一个不不同的举动。对，然后他无论如何，他最后都会离你而去。嗯，但是他可能会救你一命，留留下一戒指。嗯，对，然后那个那个起源结尾的那一幕， morrig 那一幕还是很很伤心心的，就是看幻灯片里头，嗯，对他他还会一直想着你到 DAI 里头也可以得到证实。, Start Time: 3880490
Text: 这个在就是 DAI，他又回归了。对，而且在主线剧情里起到了非常重要的作用。对对，但他特别不喜欢那个对代主角角称呼 hero of 一幕，总觉得怪怪，因为没办法，因因为因为都是我就是我操，不不是因为你名字，每个玩家写名字不一样了，然后他个定得给你个魂，你而代对对二代就好怪了。, Start Time: 3901710
Text: 然后其实这个也反映说 DAO 的那个系统做的也会跟之前被 OY 的不太一样。对呃， BOL 之前里，比如说最经典的，我们刚才说到善恶值，但在那个 DO 把善恶值给取消了，只有和队友的好感度。其实你想想也是我们刚才说了这么多的任务，这么多的选择，嗯，其实没有绝对的善恶之分，, Start Time: 3921290
Text: 非常困难。所以他其实是把这个道德选择做的更细腻、更复杂了。嗯，啊我我们其实一说起善恶选择我脑脑袋，其里第一个人物就是洛根。我我们在 lengength meeting 就是领主大会的剧情。这是 DNA 里面比较重要的一个就是等于模拟中世纪型的这种这种这种这种剧情，, Start Time: 3940880
Text: 他会要求你收集各种各种证据，然后来扳倒你的政敌。嗯，大概是这个样子，而且 logan 这个人物真的是相当复杂，对争议议非非常非常就确实我我们在从奥斯特加出来，大家都会非常非常非常恨他。嗯，因为这个因为他出卖了一切嘛，出卖了你的一切，出卖了 greay warry 出卖了国王。, Start Time: 3963200
