Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27710
Text: 一直成为了这个这个啊这个英国军队的象征征。对，直到一战直到一战那个时候就英国慢慢就变成一个呃就是深绿色的，比较现现代的服装。对，然后有个帽帽子，就是绿色的这个色调。对，是的。然后呢，还有他还有当然除了了红之之外，还有熊皮帽啊，我们说高帽对对，大高的对 baskeking。, Start Time: 1927410
Text: 对对，他说其实最早这熊皮帽呢为什么要做成那样？嗯，其实最早这个帽子是在欧洲的军队里面的，舰制里面一般都是质弹兵，掷弹兵才用的这种这种这种熊皮帽，掷弹兵对掷弹兵弹兵这个东西就是当时那个排枪排枪战术系列步兵战术就是出现之后，嗯，然后制弹兵属于怎么说，然后类似精锐 ranger 那种觉 rener 有点点类似那种感觉。, Start Time: 1947280
Text: 然后游戏兵对，所以掷弹兵，包括英国，尤其英国的制弹兵是有战功的，所以就是他们戴戴帽子对比较显显。但是最最早他帽子什么弹帽就手雷，手雷，手雷丢了，就是土质那种啊，就最早早的有就是那种手雷。对对，然后杀伤力还是挺大的，而且他最早其实他那个制弹兵熊票不是像现在那么高，, Start Time: 1974860
Text: 他其实没有那么高，就是熊熊帽帽。对，就是个熊熊帽帽，就是一般的帽子，就是熊皮做的而已。但是到后面他就是啊十八世纪之后增增高了，原因是最什。因为阅兵有气势，否许我来夸咵夸，特别故意为了给他弄。对对，就是为了增加气势的。但是但是有个问题就是他因为成本很高，然后他维护很贵，, Start Time: 1995700
Text: 所以只能用于精锐精锐卫队或者有这种仪式功能的部队。因为走出去很亮眼嘛，然后那也主要是在仪式中间穿戴啊。那个当时就是说就是说对，当时虽然提到了，就是说因为英国的军队当时精锐，然后就是很多掷弹兵是精锐，然后立有战功。对，其实滑铁卢那一战就是英国的制弹卫队，当时一战成名，, Start Time: 2016790
Text: 然后他其实是排枪排枪战术。对这个嗯纪律性要求极高。对而掷弹就排强非常强烈要求的就是更加强强悍的战斗意志。对，然后所以就非常非常强烈。包括现在英国有一首曲子，我非常喜欢，也是我手机铃声。就是很仪仗的时候，那个士战卫队叫做不列颠制弹兵进行曲。嗯嗯，然后他有一个词歌，, Start Time: 2039150
Text: 那他不会对他会歌颂说一排一排前进着的实弹兵。对，是这样，而且是我们那个铁道游击队那个曲子改的这个调是吗？是吗？特别搞搞笑的原原来这样嗯嗯，对它那个这个熊皮帽它标准知识呢为十八英寸，高一点五磅重，而且是要由加拿大的黑熊皮制作的啊，就一定得是那个。对对对，而那很就是很个这个金英的制是对对，, Start Time: 2065680
Text: 而且它军官的帽子是由国纳棕熊皮制成的，就是这这不会有麻烦吗？对，这非常麻烦。它这个它因为它为什么军官用那个呢？是因为磁性的棕熊，它皮更厚毛更密，然后再染成黑色，所以说老沉对所所所所所所以军官是黑黑色，但一般士兵就是英通的黑熊帽。但是这个军官就是棕熊染着黑漆黑的那种黑色，, Start Time: 2091040
Text: 对漆黑的那种黑色。然后呢，而且这个这些皮帽是由英国的制帽商啊，从这个国际市场上拍卖来的，一年它平均就是一年大概会采购一五十到一百块黑熊皮。嗯，它每块黑熊皮价格大概在六百五十英镑，当时六百五十英镑，对时它六百五十英镑就是对对，这这组织织。对对对对对，现在所以有很多的现在英国国有很很我真本石是否还有一定要沿用这个皮？, Start Time: 2112600
Text: 对，因为你知道之前不是白金汉空说了吗？说要把那个象牙的制品全部销毁之类的。因为表示对动物权益的这样一个尊重，所以没准以后可能这个黑熊皮的这种皮帽也可能就是人造的一种那个毛病。但是人造了又有没有这种仪仗的，这个他肯定对对，不如完全都改。对，所以所以我们也不知道之后会有何去何从吧。, Start Time: 2137950
Text: 然后而且游戏里对这个皇家卫队的表现是很正面的啊，对，非常有意思。那那一次任务你进去的时候，虽然戒备森严，就是你你进去的时候，嗯，所有卫兵都会攻击你，他们是皇家卫兵。但那一次任务的有一个额外条件是不要杀害任何一位皇家卫卫卫兵。而且你救出那位队长，对，所是那个在伦敦塔那个任务的。, Start Time: 2158930
Text: 因为你救出了伦敦塔，那个时候就是圣殿骑士已经渗入到卫队里。对，他就是在中间主堡垒里头，然后你把他救出来之后，队长会召集所有忠诚的这个皇家卫士，这是我们的朋友。对，和你一起就是和你一起对抗这些圣殿骑。但如果你杀了，就他们就不会帮你了。倒倒也不是不会，但是你这个其他的地方的引导就会失败。, Start Time: 2179370
Text: 哦，明白了，但但是在任务中就是与之对应的，就是警察特别烦人呃，对，警察警察是一个相对更加烦人的这东西。但是警察这个东西也是在插入维达维多利亚时代出现的。对，如果没有那个时代的几点，我们对吧？杨哥，对吧？也就没有杨哥的经验，就没有杨哥的尊重。就是说警察整个这个现代警察体系，, Start Time: 2199960
Text: 现代警察维多利亚时代开始有。对，没有错。他最早那个之前的之前没有这个概念念，就没有这种那察他有那种嗯那种卫队啊这种或者中国有这种捕快啊这种东西，但是就不是现代警察这种概念就是 polpolicepoliceman。对，是这个一八二九年之前呢，他一般他治安的就是靠一个警叫叫教区狱警或者巡查的东西，, Start Time: 2219960
Text: 叫 parroh 叫区的这这概念念。对，是教教局概念，后后是有有民局概念，然后或者是由那个这个后期这个治安法官任委任的，就是其实是相当于志愿者者，这种薪水就是居委会红姑。但妈大爷的对对对，每个个街道就是每个校区。对对，每个街道是对，没有薪水。对，所以所以平时为了养家糊口，, Start Time: 2242180
Text: 只能卖游戏，在投投什么？在投条活动卖游戏之类的。对，所以没有没有没有薪水，也没有什么，就是缺乏刑侦能力。因为志愿者嘛他重重有一些重大骚动的时候怎么办呢？就出动直接出出动军队或者准军事部队。比如说民兵之类的。就比如说那个你看刺客星条，我看了那个刺客信条，三里边巡查那些英美的军队啊，, Start Time: 2264090
Text: 或者是大革命里面那些那些那蓝一那军队他其实就就是就是巡查，就看其实他们是军类类类似，但是没有什么武警之类的那种。但对其实四客系统是作战人员，并不是治安安。不对，不是治安安。换者说那那个时候就压根没有治安这个概念。没有没有我觉得老百姓应该拿军队来一管。对对对，, Start Time: 2284170
Text: 是这样子的。然后当时而且这个这个警察的概念最早是这个一个叫还是一个小说家，叫亨利菲条三甚那非 elding。他在这个真实警察出现之前一个小时呢，他当时在当一个地方的治安官的时候，地方官的时候创立一个一个组织，叫做工街阶探啊呃攻街侦探。 ball street street unners 这这这一队呢，, Start Time: 2302330
Text: 他就中中间有有么么个地方。对， ball street 是伦敦事界，是伦敦一条街。对，然后他他最早是由八个人组成，自而自己负责查案，偶尔也会协助那些教区的巡查查案。他们这些人，他们有有一些专业的知识，知道怎么查案，知道什么法医鉴定这种东西。然后呢，另外也会有一些民间出民间的人士，, Start Time: 2323480
Text: 他会出钱雇佣一些侦探。那种捉贼人叫捉贼人， saf takers 就就去打击这种犯罪。所以英国侦探文学是有的，这个时对对对，是经他的的是如此。是的，都是 dedetective，都都是 detective，人人都是。所所以在工业革命的时候呢，就是伦敦程序面积就扩大了，, Start Time: 2342400
Text: 人口就开始暴涨。那个这个我们以前老的这种制度就没有办法支持你了呀。那所以当时有一个叫罗伯特皮尔的人，当时他像英国国会提出说，我们需要建立官方任命的全职，全新的针对内部对民众负责的执法队伍。嗯，对，所以警察对，就这就是我们警察的概念了。所以一八二九年通过了一个法案，, Start Time: 2362040
Text: 叫做首都警察法案 detectimetropolicson police act。然后这个是伦敦，就是开始出现了全职业的这个区职这种专业警察队伍。然后一八三九年就在十年后覆盖了整个英国。那这个大家就会觉得哎，英国的警察或者我现在很多警察制服他是偏偏蓝色的对者怎怎么样？, Start Time: 2381690
Text: 为什么我会会用这种颜色的，而且英国不不军队队是红红色的。对，为什么你你又配深蓝色？就是因为警警察红色的的，如果区区分。对对，所以英国就是因为英国之前是有用军队，是镇压百姓革命的。所以你是这个警察，你还穿着红色的，这老百姓都恨死你了。对，所以说他为了区分说区分这个这个军队，, Start Time: 2398850
Text: 他所以他蓝色制服只有蓝色制服。对，然后而那个游戏当中救他们那个小弟的时候，嗯，就是从一个警察手里把他救回来了。对，然后当时就是嗯警察在执法拿着这个警警棍那个时候对警棍，然后还有那个戴着那个高帽子，对帽帽那个那个帽子。对那个帽子其实非常有意思。但是这个帽子就是大家可能会觉得，, Start Time: 2421470
Text: 哎，为什么这个形状呢？而但那个帽子别看那个它高高的，但其实它特别硬，特别硬，像个头盔似的，就是安全帽似的。对，那个像像安全帽似的。但那个最早干嘛呢？设计他最早设计是用于他翻墙捉贼的时候可以垫脚啊，神神设感。不是不是，大家觉得哎可能哎这个是不是这帽子有什么用？, Start Time: 2442740
Text: 但是那个熊熊帽帽鞋，他没有什么不是什么美感，他就是为了垫脚的做那么高的实用主义，对，非常实用，非常实用。对，太实用了。对，而且他那个他那个他设置警察的时候，他警衔军衔也就分开来了，然后警衔军衔也分开来了了。而且一般警警察他最早就只能携带警棍和那个几轮叫 rattit。, Start Time: 2463940
Text: 就是那种怎么说呢？就是那种齿轮，就是中间有个杆子，然后你可以转那个杆，他就会发出那种好，就早早起警铃是吧？那种声音。对，就是有点像口哨那样，这样他就可以就设计群众支需要有部或者需要支援的时候就摇那个就周围几轮。对，叫脊轮经济的济呃，不不荆济的济。对对，经济的济对，, Start Time: 2484080
Text: 然后而且就基本上他就不不携带枪的，最早警察局不带枪的。因以还是因为民众跟就是正是不是因为克伦威尔时期那个军统政府带来的有有这个可能，因为新模范军确实比较流血那种感觉，而且当时比较恐怖，那个社会对比较恐怖。然后而且所以最早他警察局也不是没有枪，他最早只订购了五十发，, Start Time: 2503710
Text: 随发五十支，随发手枪枪效率好低呀。对对，然后但是你要知道当时新教徒社会啊，美国就是一个新教徒社会，他是可以合法持枪的，他可以随时持枪的。那么你看老百姓有枪，警察不给枪，对吧？这个这个后果是很惨惨不合理，对这个非常不合理。所以所以就是说那个那个所以那个时候经常有一些非常频繁的入室抢劫案呢，, Start Time: 2524590
Text: 还有一些袭警的案件。然后所以当时伦敦市民就展开了辩论，说是否要警察这个啊这个持枪最终收先决定呢？这个先让外围在郊区那些比较治安不安定的地方，警察啊可以携带一些枪，但是就是需要上级警警官来担保担保你。对，然后到我们游戏发生的一八六零年代，那个时候呢，就是当时最早订购的随发枪是三十年前的设击就完全被淘汰掉了。, Start Time: 2546150
Text: 然后他们当时从从这个军队在伦敦塔的军军火库里面借来了两百六百二十二支点四五零口径的亚当斯左轮手枪。这时候候使用左轮。对，就是这个时候开始用左轮手枪了，然后那个而且就是当时就是说这个手枪的普习一直持续蛮长时间，一直到游戏结束之后的二十年。那个当时有在六千多警官里，, Start Time: 2572260
Text: 有四千多个警官，就是填填那个调查，说是觉得自己需要配枪啊，所以在游戏里头对看整了十九世纪，对十九世纪。所以说这个这个枪就是这个东西，对警在警察中间也开始普及出来，在英国警察中间普及出来了。这个就是警察，这就就是游戏中间警察他是嗯啊怎么来的啊，而警察在里面也会布置一些任务，, Start Time: 2592960
Text: 那个侦探不是会让你帮他给一一一件一的那个啊。对对，那便衣警察就各种经常糟糕的换装。对对对，非常糟糕的换装不修校。所以我在这儿啊然意识到就是我见过一些人吐槽过福尔摩斯里对警察的塑造。现嗯，现在仔细想想，它是有他的时代背景的。没错，因为当时刚刚成立的警察警察模式，, Start Time: 2612240
Text: 其实他们的行为模式还是很不固定，然后还需要发展。所以那个时候我们看苏格兰厂，感觉就像一帮逗逼一样。对对，但实际上也是需要逐渐发展起来的，应该是有这个时代的印记，是有这个时代的印记。然后然后这个除了警察之外，大家还有一个这个这个东西。就是大家注意到就是有一个天赋也不是升级。, Start Time: 2632710
Text: 对，升级帮派里升级，帮派也升级。是你点了那个升级之后，街上就会出现一种消防车。对对，那个消防车个巨大，然后就是相当于集体里面那大卡车那种种，可以把那一边车很轻易撞青八八。对那种车。对，然后我们就看到消防员，对，尤其中间是那个时代。对，开始有那个消防员，也是到了那个时代最最有。, Start Time: 2654590
Text: 但但这个职业的概念其实出现的很早了。嗯，比如罗马时代，就克拉苏当时就有这样一个消防员的概念了。然后但是就是说伦敦这个情况呢，尤其是那种尤其伦敦。伦敦，当时我们讲到血缘，对我继续安利自己。以前节目我们讲血缘的时候，这个一六六六年讲到伦敦的一场大火，当时烧掉了伦敦，, Start Time: 2674310
Text: 非常大一块城区就五平方公里，土地化为焦土。对，在那之前，伦敦并没有专门的这个这样的就被烧，就是被了消防消防系统。对，然后大火之后呢，当然这个就啊你知道这个资本主义世界就是你有需火就会有人提供这样一种需求了。那就就是火之后呢，一些保险公司他专门成立了专业的保保这个这个消呃，, Start Time: 2692090
Text: 是不是保险部队消防消防队伍对这消防队伍因为因为你火在那儿烧，对吧？你这个人在我这投保了了，我让你是烧烧成平地，我把钱全部钱投了你嘛。当然不是我要降低我的损耗，我宁可花点钱救救火，对，去救对火，去减减低一下损耗。所以他就是在所以开开始是他们公司化对保险公司的是吗？, Start Time: 2713920
Text: 对，然后他且而且就是就是不同的公司，你在不同公司投保，他就会在你门口挂一个小牌。对，就如果你这个着火，就是就是其他公司保那个救火队不是来救，不会来救你的，但你你得得找那个。但在保险公司派人专门来扑火，还有小牌子。对，还有小牌子。对对，所以这个那个后来呢这个这些公司之间就开始合作增加了，, Start Time: 2733560
Text: 因为肯定是可能。对，因为最早就是他后来这个保险公司他们合作就开始增加了。因为比如说我在 a 公司投了保，然后他这个着火，然后烧烧了旁边 b 公司投保了这个东西，那对两家都不好。那索性我们合作吧，那他们就开始合作，开始创这个就是就是开始合作成立了一个叫伦敦消防局。, Start Time: 2753080
Text: 但是这一开始并不是公共，公共不是公共的啊，我就说怪不得为什么我的升级，我管一个黑帮是什么影响到公共设施了？当时我其实特别不理解，然后他最早是最早那个就是还是保险公司的。最早有一共有八十个消防员和十三个消防站，但人家是个民营性质的东西。后来到一八三四年之后呢，, Start Time: 2773770
Text: 就是在这个保险这个这个什么保险队。消防队成立之后的一年之后，国会大厦啊和这个这个这个这个到之后就有有一个土利街的一个大伙呢，让政府也坐不住了。他说他们考虑要给这个一些这个所谓的消防局给他公款，然后让政府管理他。那么也就差不多是在一八六五年的时候，也就是我们游戏故事发生前三年前首都的消防局法案，, Start Time: 2792670
Text: 通过首都消防局成立。然后然后这这时候我们就就真正的政府掌握运营协调的消防局了。那么中间我们不是说嘛这个消防员开着这个特别夸张的消防车，这个消防车这个东西呢，也是有经过一段时间的发展的。这个因为在这段时间里面，欧洲各国的工程师都在发明跟改进人力的消防引擎。最早就是人就手动的抽水布啊，, Start Time: 2817390
Text: 然后那种那种喷水扑那种那种，但是那那个那个力量是非常有限的。然后然后这个那个差不多是在一八五零年的时候才出现了这个消防防引擎。是我我们戏中中间到那个冒着蒸汽那个东西。对，那个是消防引擎。对那那种引擎就是它可以它可以用用那蒸汽力可以泵水。对，所以所以人力或者处理去做这种事情了。, Start Time: 2842040
Text: 然后而且还有一点就是我们现在知道就可能一些动画片里面，我们觉得国外或者欧洲什么都是接着消防栓红色的消防栓。但是其其英英国是没有防防栓的。英为英国没有英国其实有消防栓。但是它消防栓在在地表，它的地底是没有地方的，那面没有国外或者红色那种种，有完全全有有嗯，没有。, Start Time: 2865580
Text: 所以所以如果在做设计师的同学，如果你你们做一些什么？维多利亚英国类的地种千万不要放一个，因为那个是不不存在，现在也没有，对，现在也没有那消防栓。英国的消防栓在地地下的，嗯，然后在地上会有地表上会有黄色的标志标识，上面写着 h 上面写着一个 h 它上面是地表上有个黄色标识，, Start Time: 2886140
Text: 它的地并不在地表，那有怎么用啊？地就是它底下有个口。对对，然后就接上去，你可以接上去，对，它不在地表，它不在地表。哦，对嗯，就大家一看那玩意是红的，就觉得可能也特英国那个对对，但其实并不是，其实并不是。对。但是那接下来还有一个就是呃马车，对马车也算是刺客信条制作，, Start Time: 2903810
Text: 新加了一个对特别他娘的没有亮点性，但是让人感觉有点像极 TA 那种感觉。对我觉得还好。其实其实它马车设计特棒，对我特别喜欢那马车的设计。因为那把各种不同种类用途是还有各种不同大小的马车，全都还原出来，是体验烂的飞机。对，是，那接下验是特别烂，但骑马车简直他妈巨能煎熬疯了的。, Start Time: 2923570
Text: 那是但是你可以看出当时的马车的设计，对，尤其是马车的类。对你看这个就是设设设计师啊，游戏格和和死宅玩游戏不一样的不说，就你运人和运货的马车它也不一样。还有你驾驶员坐的位置什么都不一样，都不一样不一样。对对对，但这个马车最早设计呢其实可以注意到十三世纪的英格兰，, Start Time: 2945790
Text: 但但他的十三世纪之对很早就有这样子一种形带轮子的这种对带轮子这种。但是十七世纪才真正义上成熟，而且它主要是最早是在火车出现之前，他做一些长途运输，它的速度非常慢。他当时如果伦敦到利物浦差多多，你要走十十左右，右之前是是挺慢的，而且沿途途设设一一些站站马，这毕竟不是机器，, Start Time: 2964720
Text: 对它驿站它可以更换马匹，然后旅客可以休息，在边上弄个旅馆酒吧之类的，和着这个驿站 stastastage 其实也是关卡啊，就是。对你就是玩完这关 stage 之时，是还真是还真仔仔细想，马车就就马马拉车算是也是文明共性跟弓箭场合。但是但是我觉得就是英国现在这种民用马车概念好像还是发发展的比较晚。, Start Time: 2986400
Text: 对，是比较晚，是比较晚了。行，对它。而且就是他马车还有一个东西，它是比较依赖的，就是高质量的马路哦，对，高质量的我们说这个这个这个路路面最早之前那种泥地或者怎么样，这个马车跑不快。对，跑快然是中国驿站，都是纯粹只骑马。对对，只骑马不会车。对，是这样的。但是他就是说马车真正迎来自己黄金时期，, Start Time: 3010850
Text: 是因为他的道路系统是因为在阿富仑战争结束之后，一个苏格兰的工程师叫做约克马克啊，约翰马克丹、 john marked 嗯丹。他他当时设计了一个新的新的道路系统，然后让马车速度可非常可观的提升了。然后然后但大家知道看到这个约翰马克丹，其实为什么中国的艺名的那个路叫马路呢？, Start Time: 3031950
Text: 就是因为约克马克丹啊叫马路，不是就是跑跑的路啊，不是跑马。对对，当时中国传统路是不难道不能马马那个马并不是是对不并并不是马马骑马家、老马家的路。对对，马克丹的都是什么？他们的对对，所以叫马马路。对对，然后到后面就是火车慢出现了之后呢，就是这种长途马车就被淘汰了，, Start Time: 3052250
Text: 就变成了私用的了。就主要是市内运输私用的对，然后就是这个私家车，市内交通。对，就就就很多就是最早私家车就是这么回事，就是这个时候叫所谓的 marcapark dack k 就就这最早私家车，然后就游戏中间大家看到多数，其实应该都已经是私家车了，他挺尊贵的那很很小很轻豪豪华，, Start Time: 3073320
Text: 所那那些户户员就就会出门就喊，实际是备马。对，备马就是马就是他家车是吧？对他家车。对，最早就是佣人们什么也就出来了。对对，就是那个时代就是这样时代。那当然我不是说所有人都有钱坐马车的嘛。对，很多穷人，那他们室内运输，所以说阶级分化也是还是挺严重。对啊对啊，, Start Time: 3092520
Text: 有上层住在伦敦西区，这些又住在伦敦东区那些相呃，就是就是土土老帽，那他们怎么办呢？他们这些平民怎么办呢？那么就是我们就出现了我们的大巴巴士，这个大巴在游戏里面有吗？有非常关键的一个任务，有一个关键任务，就是就是就是一个巴士公司的，当时就是我们就不剧透。嗯，, Start Time: 3110860
Text: 对对，我们这边就不剧透了。但是游戏中间对游戏中间你能看到的这这种马车叫做 carriomomana bus。就这个这个是这是一种非常大的，有马拉的，可以疑似载客，非常多的这种车。然后这种最最早的那个最早出现在一八二六年的法国的南特，然后他而且为什么叫 omoma bus？, Start Time: 3129380
Text: 对，为什么叫 bus？我们现在叫 bus，它最早全称叫 omoma。 bus omomibus 是什么东西呢？这个东西是因为为最最早第一个巴巴士，实际上第一个巴士站是在一个帽店帽店的门口帽子店、帽子店的门口帽，那个店主他姓 omminous。然后然后 omenous 上面广告台上上面写的是 omenous omominebus，, Start Time: 3148890
Text: 对，他这个是拉丁语。对，它现在是指哦就是所有人的意思哦， omominomanbus bus 就是为了所有人 for all。对，它本来是广告店一个标语，然后它就变成了一个巴士的名字。就比如广澳门文啊。对，是 omomi bus 是一个拉丁语是吧？对，就是为了所有人，, Start Time: 3168770
Text: 所有人的车，人人为人人就是人人为人人。对，是这个样子。然后然后后来呢，在巴巴黎其实如此，对巴黎这个东西出现的比伦敦要早。他当时这个巴黎这个这个这个有一个商人，就是最早在南特运营这个他联系了一个伦敦敦的车车造商站叫 georsh shiliby。他当时联系了这样一个制造商，, Start Time: 3184970
Text: 给他去制造这样一个更大的更大型的这种马车。然后然后这个那当时因为这制造商帮这个巴黎人做了这个东西。所以一年之后他也在伦敦也搞了一个自己的巴士，那就开始开始固定营巴士。然后最早其实有很多很多公司运营，然后很多包括很多固体个体屋，他可能这公司就一辆车。然后他呢最早他没有固定的公交站，, Start Time: 3204940
Text: 然后呢，乘客在路边随叫随停。然后你要下车的话呢，你就要敲车顶，偷偷偷敲车顶，或者说是那个或者是扯那个扯那个那个那个有有一根绳儿，好像是有一根绳儿，是连着司机手臂，你扯一下司机，要知道有人要下车，滴滴马车上也好心了。对，然后后来他装了铃铛，就是你以后想一下铃铛，, Start Time: 3226740
Text: 叮铃就可以下车哦。所以马车上很多那个片子能看到那个车上带个铃。是对，那个铃铛可能不仅仅是这样子，可能有一些就转弯的时候，那个马车啊那个也会摇铃也是有可能的。对，是这样子的。然后当时那还有那个什么呢啊，但是他当时不要想象，就是觉得哎呀，这个总算平行时代到来，, Start Time: 3247540
Text: 当是当时的巴士，他很不舒服的。你坐在上面是非常非常不舒服，因为他很挤，而且地上为了防止你呕吐物啊什么的，铺了那种稻草啊，就就就是说然后然后然后所以他当时会晕车，什么也对，会会晕车。然后他那个而且经常停，然后速度其实也很慢。所以在市场竞神中间呢，然后这个这个这个当时就是这个伦敦的这个巴士创神这个系列品他会破产了，, Start Time: 3266349
Text: 他就他就舒舒对对，他就被丢进了欠这样人的监狱哦，就是个经怕车生意方。对对，然后他然后他就是这个我们之后会提到，然后他们公司呢，也就不做巴士生意了，改做葬礼车生意了，就是提供自零车生意灵车生意了。对，所以就而且在游戏发生前两年过世，然后呢，应应该就是说直到后面一八五五年的时候，, Start Time: 3291530
Text: 出现了一个公司，就应该是游戏中间的那个任务里面，那个公司就是游戏中的任务。我们可以简单说一下，游戏中的任务涉及到了一次垄断垄断交易。对由黑帮把控的垄断交易也涉及到这个围绕着马车技术的一次技术革新。嗯，然后就是在主角在那个雅各布的帮助下，对，然后推翻了之前圣殿骑士的这个垄断垄断巴士公司嗯，, Start Time: 3313440
Text: 然后建立了新的。没错。然后他后来就是有到一八五五年的时候，历史事实中间呢，一个叫 london general 门的 ombus company，它横空出世了。然后他一年中间就收购了那一八百一十辆大巴，中间的六百辆。就是从一个混乱的竞争状态呈现了一个垄断，, Start Time: 3338900
Text: 然后比较大的集团收购了。对对，他就开始收购，然后开始这个规范运营，它对，开始规范运营。这样因为这种公共交通本身你就需要一个非常大的一个一盘棋嘛。就是你你你不能就很多公司就会沉淀很凌乱，那个路线规划也很不合理，对一家公司会相对比较好管理一些。所以就是很多公共设施在最初维多利亚时代出现的时候，, Start Time: 3355560
Text: 都是商业化的企业。对，其实都是一个资本主义的一个结果。对，原来如此。对，那么最后我们可以讲到这个时代啊，对，还有一些东西，一些小的东西。比如说我们路边看上有人在拍照啊，公眼里里着你会看到有人在那儿拍照，就最早那种闻着暗香的那种。对，那那个东西呢这个东西摄影技术它其实出现确实也是比较晚的。, Start Time: 3377500
Text: 嗯，尽管说小孔成像这种东西，在很很早的时候，就墨子和达芬奇都有叙述，是小孔成像的东西。这种这种这种理念。然后而且我们也很早发现，有些东西有些物体他对他对光是很敏感的。嗯，然后当我们真的想把这两样东西结合起来，也是非常非常后面的事情了，对吧？这个东西要当时当时当时没有这些人的这些横这些天马行空的想象。, Start Time: 3398750
Text: 我们一鸣老师现在又没有饭吃了，对吧？没有一鸣老师吃饭，确实不是用他的摄影，他的爱好的。对，行，然后呢，我们差不多一一直是到差不多十八世纪末。然后他们有人开始发明了照相机，他最早这个叫叫一种叫达盖尔摄影法，他是没有这个没有底片的，它是直接显影的，而且是在这个镀银的这种点蒸汽感光板是一块金属板，, Start Time: 3423970
Text: 是一块板，平是特别科幻。对，是一块板子。然后它工艺非常复杂，然后曝光时间非常长，而且不能复制，必须要密封。不然的话就是说不然的话，你可能手你拿着那个给别人，你手上画，这样是这样手印不粘上手印啊，就是因为那个金金属活性的这些各式各样的问题。对，而且就是你要在特定角度才能看到，, Start Time: 3448070
Text: 你不能就是哎就是现有点像现在电脑屏的 DS 可能是有点傻了。现在好了，现在完了完了，现在好了，怎么能这样？对对对，然后一直到一八四一年，一个英国人叫塔尔伯特，他发明了一个叫卡罗尔摄影板，是以纸纸为片机，然后用用用这个用这个食盐水定影，然后可以得到负向底片，, Start Time: 3468160
Text: 可以就是就是负像就是对吧？就是就是我们现在看到胶卷那个样子叫负向，然后底片可以被多次复制，而且曝曝光时间特别短，但是他那个麻烦是它会有纸片的折痕，因为纸所以的老有些老照片就有那个折痕。对对，不是那个它不是出了出现问题，就是它本身成像。对，它本来就是这样，它的本身纸质就是那个样子的，, Start Time: 3490400
Text: 所以没有办法。然后然后那个那我们看这个这个有优点点嘛，那个金属的那个东很很清晰，不会有任何折痕，但是就是携带不变，不可复制。但这个东西虽然清晰，呃，虽然就是可以复制，然后可携带，然后但是它很不清晰，那结合起来到后面就变大家就用了。就是两者结合起来就是就是解决方法，, Start Time: 3509560
Text: 就是用光滑的玻璃喽，就用玻璃。对，游戏年代呢，如果在游戏发生年代的时候，当时他们想到的办法就是用蛋清到后来用火棉胶，也就是所谓的湿板附在玻璃板上。然后游戏发生那一年呢，正好有人有人还提出提出了一个方法，叫做明乳胶，就是干板。就是后面我们说的干板摄影在之后再慢慢得到了完善。, Start Time: 3531290
Text: 但是就是游戏开发者当时有提到啊，说就是因为那个年代出现了很多的照片了，所以这次还原成这个样子。对，我们可以直接看照片了，我们不用那个有很大摄影。对我们不用再看以前一些文字记载的描述，去啊去想脑补了去脑补，这次可以完全真实的。所以这次就少了一点，之前那种特太朦胧的那种样果，, Start Time: 3551450
Text: 这就特别利索。对对对，非常利索。对，然后最后我们讲到这样一个社会现象，就是足球，嗯，就是足球，就是中国的足球是。对对对，如如果这人算算是现代现在足球的发源地。对，如果这个也是让这个东西，我们实在没有办法想象一个没有腐球的世界，或者说是因为我们没有没有办法想象这个世界里面没有一个热爱国安的老孙啊，, Start Time: 3570050
Text: 所以所以这个这个那这个其实足球其实其实前现代是有一些小的雏形。对，比如说中国的蹴鞠，对对，然后包括古罗马希腊呢，他也有他也有这个足球，就是对对人类天生喜欢踢这个东西。对对，然后但是中国其实中国足球发展到明朝之后，出现一个问题，就是它还是腐化了，就是它开始变成一种很怎么说呢？, Start Time: 3594240
Text: 是一种或种很呃大家想象一下，就有点像清末。那个时候大家看那个看戏，看那些戏，就是那种对那种买戏子啊，那种那那种就那种腐腐化情况。就是说清朝的时候，清朝政府就直接把这个活动给禁绝了。对，如果然然后但西方西方这边的发展呢，就是到中中世纪，中世纪的西方足球是非常非常暴力的。, Start Time: 3615780
Text: 比如说就是我一村二三十个人，我要把这个球带到另外一个村，算得一分了，对吧？但是路上你可以用任任何手段，任何手段用剑哪用锤子呀、用叉子呀、把人给拦下来之类的东西，其实就是没有规演习是吧？对对，就是就就是像战争游戏一样，然后。但是后来就随着这个工业化，平民阶层兴起呢，, Start Time: 3637150
Text: 伦敦呃伦敦这在伦敦这个城市足球就开始盛行了。然后他就开始出现规则化的情况。因为我们踢踢这个这个最后还是就是说没有规则要比赛，那还是要需要规则则。那那就是说最不同最早不同地区它规则是不一样的。他最主要呢开始只是在呃最早的比赛，就是比较规范的。有规则的比赛是在英国的不同的一些工学中间展开比赛。, Start Time: 3657770
