Text: 行，走了，从前那我看怎么能 the money on the bed 要再激动，你是一个 right，知道我来跟你解屏。哎， hello，大家好，欢迎大家收听新一期的家里有桌游节目，我是冰，我是瞬间思路。哇，这终于又听到思路老师声音了，快消失一个月了。快好，, Start Time: 15730
Text: 不存在，就是包括修完了以后拆掉都没有这个痕迹。所以这个没有事实支持。又有日本的考古学家认为，他说有可能外面是大石头，里面用的都是碎石料，土就是土块碎石料什么的。对的。哎，那这样的话呢工程量大大的减低，但同样也是根据现在的发掘和现在的建到的这个实证来讲，并没有出现这个情况。, Start Time: 1851950
Text: 对，所以这个日本哥们提出来的呢，也不能算数。嗯，那这个东西就是就就是变成了迷了嘛，到底是怎么修建的？后来有人在这个金字塔旁边呢发现了古代埃及人密集生活的痕迹。对推石油的对，推测为当时的工人就是奴隶是吧？就是就是这种这种人，然后推测有多少人呢？有两到三万人在周围生活，, Start Time: 1874300
Text: 嗯，这个就符合当时推测修建金字塔的这个数量。可是另一个悖论出现了当时埃及古埃及全国人口有多少人呢？根据当计算和推测记录，推测大概是三万人。也就是说，可能埃及全国人民跑到这来造金字塔，这事儿也不现实，那这个国家不就崩塌了吗？干什么的人都没了，全跑这修金字塔来，, Start Time: 1897080
Text: 这事就不可能啊。接着另一个问题是如何协调组织这两三万人做好一个精确建造工作？嗯，这事其实你看我们一句话带过去，光说造有多难，这个组织工作更困难，对他还包括各种后勤保障协调，有人什么在那儿这个出现了意外情况等等。这些东西如何处理？这个像阿斌，你们像组织核聚变嘛，, Start Time: 1921810
Text: 其实这个组织核聚变多少人，对吧？你说要日常有两三万人，天天得管着他，你想那工作量得有多大？你做核聚变都快吐血了类的对吧？所以这个事情就是你要想他背后隐形的工作量有多大，如何完成？所以这个事儿呢就是呃土坡建造说里面存在的一些目前无法解释的问题。对，其实现在比较主流的一个说法啊，, Start Time: 1944490
Text: 说这些呃我们称之为工人吧，其实他们的待遇还是非常好的。对，而且据说每年还有当时那种古埃及的那种时代的那些啤酒或者什么东西可以供应，真的是还是还是蛮不错的，不是那种奴隶，拿鞭子啪啪抽去的。然后这些工人上面是有管理和监工这种的。但是我们想一下，就算就是他们待遇很好，, Start Time: 1967600
Text: 而且有监工要同时把这么大规模想要协调起来的话，即使这个假说我们目前来说学说是比较靠谱的一个，但是他的难度也是很高的。对，您想当时盖长城的时候，那真的是这个就孟娘女那种感觉是吧？对，但时候就回不来了。对，但是这个造金字塔这种也不是一年两年盖的完的那这么多人征用在这个地方，, Start Time: 1986920
Text: 造这个好像对这个国家的发展很不利啊，这个国家没有编防防嘛，其是他们没外地入侵侵。对，那个时候可能还真真的不咋多。对，但是他他没他最重要的是没有人种粮食，他怎么活下去呢？这些都是问题。所以接下来有第二个假说，第二个假说叫做年代造假假说嗯这个这个年代造假假说是什么呢？, Start Time: 2008940
Text: 他说的是呃，认为金字塔其实是最近二百年到三百年建造的，是一个俄罗斯。这事先先说他是怎么来的，这事儿还不是他提最早提出来的。这件事是这么着，他说是啊这个有人发现在这个对这个胡夫金字塔的石料进行化验的时候，发现首先他发现这个石头的这个它不是都已经风化了吗？外表里头的石头上有些地方有这种气泡空洞这种东西呢，, Start Time: 2029500
Text: 这个就觉得很奇怪，它不像是自然形成的。哎，那我拿着这东西去化验那些人，发现这个石料当中呢，有人工加入的植物纤维和其他矿物成分比例，目的是为了让石料变得更加坚硬。由此，有人认为呢，这好像是人造混凝土，然后这个说法就这么出现了。然后当时在网上这个说法公开之后呢，, Start Time: 2054940
Text: 又有很多各国的国学家以个人身份加入进来进行了讨论。嗯，这个事情就这么讨论起来了。呃，为什么我们认为是两百到三百年呢？因为现代最好的混凝土就是什么荷兰混凝土还是什么呢？就是那种混凝土，它的寿命自然风化寿命大概是五百年，考虑它现状的保存状况，所以推估为二百到三百年是谁盖的呢？, Start Time: 2074550
Text: 有很多说法，有人认为是拿破仑盖的，嗯，拿破仑，反正这什么炸狮身人面脸的也是他这修金塔，也是他们倒霉式楼塔塔。对，然后再一个呢，就是是当时埃及政府修的，为什么呢？为了对对对对，就这么简单，就是为了挣钱。嗯，可是啊这个事有一个很大的悖论，就是它有一个不可解释的问题。, Start Time: 2094870
Text: 如果要修这么大面，因为啊刚才阿斌就说离老远就能看见金字塔这么大个嗯，那又有金字塔，又有狮身人面像，还有很多小金字塔，而且它周围还有很多这种遗迹，建筑的这种这种相当于一片群体吧，建筑群吧，你要复刻建出来一个这么大的，你就想着造一影视城，您造一个什么这个什么各种各种咱们造那些影视城，, Start Time: 2114450
Text: 您造整个造这一个，咱且不说它做旧有多难。对，就说造这么一个大面积，它有可能在两三百年内造完，没有任何消息被流传出来吗？是这么多人，守口如瓶，这么多人把这件事情就埋在心里头吗？这不可能啊，就这事儿，而且最重要的是肯定有规划图吧，规划图纸之类的是记建造记录的有法嗯，, Start Time: 2136770
Text: 全都没有。那这些东西很难说，就是只果您只说二三百年范围之内，时间留存下来，就拿破仑时代或者什么那个时候留存下来，他不可能没有这些东西留存下来。哪怕是有一些人附近的一些人或耳工人，或者怎么样的口耳相传传下来，他也得有很多众说纷纭的说法嗯，都没有。而且大家要提到刚才阿宾说的那个俄罗斯人呢，, Start Time: 2159900
Text: 他到底是干嘛的？这个俄罗斯人呢，他是一个叫阿纳托利福冕科的一个人，这这人名字你竟然念来了。对对对，我我念了好几回了这人名字，所以才记住了这阿纳托利福冕科呢这个人本身其实他阿称是个科学家，考古学家这个什么院士，什么乱七八糟的，他有一本书叫做历史虚构还是科学。, Start Time: 2181720
Text: 在这本书里头呢，他提出了这个观点，就是说这个呃这个叫什么金字塔造假假说嘛。呃不过您要知道这个人呢他提出过各种惊世骇俗的观点。呃，比如说啊他提出的观点，包括长城是康熙年间建造的，目的是用于抵抗俄罗斯人的入侵。然后这个成吉思汗是个俄罗斯人，名字叫格里高利丹尼诺维奇，, Start Time: 2202440
Text: 这名字你竟然又念出来了。然后还有一个呢，是比如俄罗斯人曾经攻占过美洲，是最早到达过美洲的人，南美南美美等等等等等。是是南美北美他也没说，反正就是美洲，就是说这个人的观点基本上在主流科学界和考古学界认为是伪科学。啊啊，对对对，所以那我觉得他说金字塔这还比较真实，, Start Time: 2225360
Text: 因为没说是俄罗斯人造的嘛，对他可能实在自己也掰不过来了。对，不是俄罗斯人造的，可至少不是古埃及人造的人，对吧？所以这些观点也不是说所有持这种观点的人都是像这个负缅科这样扯淡的人啊，也有一些严谨的科学家，他在本着严谨的态度讨论，但是依然无法解释咱们刚才说的那个最明显的这个悖论的观点如何解决，, Start Time: 2247330
Text: 解释这个问题解释不了。嗯，所以这个呢就是另一个这个年代造假说也就卡在这了，你看搁在这一听一乐就完了啊，这里还要说一下，其实金字塔不是只有埃及有啊，所对对，金南美也有，这个有，中国也有对意大利也有。在很多国家都有金字塔结构的建筑，所以金字塔结构建筑在埃及并不是孤立存在的。, Start Time: 2270250
Text: 所以这件事情如果造假的话，这些人要跑到世界各地去造假吗？啊，这就是另一个问题了。那下一个呢可能就有点脑洞了，放飞自我的一个推测了。史前文明建造说，因为这个金字塔，咱刚才提过金字塔的，它的大大小小的金字塔建造水平不一，有的高呢有的低。呃，其实如果你从这个发展历程上，, Start Time: 2290820
Text: 金字塔的质量发展历程来看，它是一个缓慢上升的曲线。然后到了吉萨金字这个三个金字塔的时候，突然间就是一个陡坡蹭上去了，是吧？那个它不是外星人了，然后接着接着造金字塔的水平又回落，然后啊又下降。就是这样的一个一个趋势，就是为什么在吉飒金字塔群那仨金字塔的建造质量这么高呢？, Start Time: 2312180
Text: 然后后头又烂了呢，这到底是怎么回事呢？而且这个咱们这要说一点，就是金字塔的建造时间是如何推定的。这个我不知道你去的时候有有导游有没有聊到过这件事儿。没有，那那我就可以变了。金字塔的修建时间呢，是根据金字塔内部或是周围的考古发现来推论的。他那个地方发现有什么时代的法老的标记，, Start Time: 2333420
Text: 或者是统治时期的特点点么？就认为那个这个金字塔是在那个时代造的啊，其实就这么简单。然后这里就出现有一个可能性。如果有一个法老像乾隆一样喜欢看东西的这上面盖戳，那会出现一个什么情况呢？我们可能会看到一个古老的金字塔，但其实它是被现在的法老标记了，然以它就成为了一个这个时期的金字塔。, Start Time: 2357850
Text: 哦，就是其实没那个那法老是吧？对对，就是它它存在着可能性，就是不其实它的可性早早如说它是很早以前造了一金字塔，然后被若干年后一个法老看见了啊，不错，很好看，盖个章，怕盖一章，然后哎那就是这个时代了。它后来一看有有人发考古，发现哦，发现这位法老的标记了，那他就是这个时代的吧。, Start Time: 2383290
Text: 其实他可能更早明白这个这个逻辑，首先它是这么推论出来的啊，懂。然后另一个是说啊，这个金字塔的本身的建造，刚才我们也提到了，它很精确，有呼应的数据精确到里头。其中一个最精确的就是最有意思的点，就是它呼应着天上的星座。那那这三个极飒的座座金字塔的位置，对应的是天上猎户座的三颗星。, Start Time: 2403480
Text: 这也是咱们在在北方应该很容易晚上能够看到的一个星座猎户座过去的北方。对，其实就是现在的猎户座，大家也能够看到它。腰带就是猎户座，腰带上有三颗星，那三颗星星并成一排是猎户星座的腰带。那这三颗星的位置对应着就是金字塔的位置。可是如果我们放到对应现在的金字塔的时候，, Start Time: 2425420
Text: 它是有细微差别的，为什么呢？因为星空的一座，对，那这大个都知道位置在改变。如果我们倒回去反推，什么时候天上那个三个星，那三颗猎户座腰带的三特星的位置和吉这个吉萨金字塔群三座金字塔的位置是完全严丝合缝的时间的，大概是一万零六百年前，这个位置是完全可定科目号的合适。, Start Time: 2446820
Text: 所以有一种推测就认为这个建筑是建造在这三个金字塔，根本就是造在最古老的时候，造在一万多年前的时代。那而且另一个说法是，刚才咱说了另一种精确是什么精确呢？就是埃及金字塔的这个这四个胡夫金胡夫金塔这这个四个面儿，它是正南正北，正东正西是地理上的那种正。嗯，如果我们现在要修建这样的建筑，, Start Time: 2470710
Text: 唯一的办法是靠 GPS 定位不断的校正。古人怎么办？古人没有 GPS 定位，嗯，而且如果说现在就是现在它这个金字塔离正南正北差概差多少多远呢？就是它有一点偏差，大概是五厘米，就是整个金塔你想要底边变成二百三十米，建筑偏差是五厘米。跟这个正北正南如果说我们倒回头来考虑到板块移动的问题，, Start Time: 2494320
Text: 因为非洲板块是移动的嘛，嗯倒推到一万两千年前的时候，非洲板块的位置的移动的位置估算它因为它是一个其实是逆时针悬了一块悬回来，然后贴过来的形成的那如果我们倒着把它推回到一万两千年前左右的时候，他的那个位置能推到地理上的正北正南正东正西就是连这五厘米的误差都没有啊，, Start Time: 2518980
Text: 所以这个年代就有人就是这个观点，就是从这这么来的。对对到金字塔的修炼年代，大概是在一万呃这个一万零六百年到一万两千年前的时间。那那个时候大概概什游文明明呢就人类类能够发现的古老老文文明，苏美文的时代了，苏美尔尔，苏美尔人比甚至比苏美尔人更早的传说中的文明，, Start Time: 2539840
Text: 比如亚特兰蒂斯里，血血缘里的那几个民族都要出来了。对对对对，而且真就是那么回事。所以我们很多玩游戏的时候，这些个他们背后的杂学查的这些个资料，真的是非常丰富，可能才能够去做游戏设计，做出来的游戏才好玩。因为他有着真实推论的背景。那么在苏美文苏美尔人和这个亚特兰蒂斯文明啊，, Start Time: 2561600
Text: 假如说这些那些时代，他们有一个技术，就是关于大洪水的一个爆发的时代。那么大洪水爆发之后呢，然后整个这些古文明就就消失了嘛。所以有推测说这个有可能是亚特兰蒂斯的移民修建了这个金字塔，具体的作用是什么呢？咱们一会儿在后面的地方再跟大伙再再细说。嗯，好，接下来第四个就是刚才阿斌提到过一句外星人建造，, Start Time: 2583820
Text: 说这这就是什么边都行了。我觉得对对对，咱们没必要过于详细的说，咱就简单说一句吧，这也有理论支持啊，为什么这么说？金字塔其实不是正四边形，你知道吗？就是那个胡符金字塔，这三个它是正八边形，为什么叫正八边形呢？就是它在四个横边的中间，其实是有一个不大于两度的折角哦，, Start Time: 2605780
Text: 就是不大于两度啊，这个几乎就是以人眼是不可能够看出来的。什么情况下能看出来？必须在天空看，而且只有在春分秋分的日出日落的时候，那两天日出日落的时候，阳光打到金字塔上才能够从空中看出来。那有一个折角是这么一个过程，能够求能够看出来。接着刚才咱们说过这个这个金塔建造这个精确的问题，, Start Time: 2629130
Text: 金字塔精确到一个什么程度？它的水平面的误差不超过五十八毫米，这是一个什么概念啊？就是它是经过了几千年风化之后，金字塔的地基和水平面的，就是它的这个这个不是说那个五十八毫米，五十八毫米，说的是那个金字塔的边长，嗯，边长误平均误差五十八毫米，它跟地几那个水平纯水平面的这个误差是多少呢？, Start Time: 2651155
Text: 正负十五毫米，你知道现在我们国家修房子允许的正负误差是多少啊？是一厘米一厘米啊。对，当时修建了一个一百四十多米高的一巨型的这么一个玩意儿，它的水平面误差是正负十五毫米，这是一个什么样的工艺水平？是我们今天可能都达不到的工艺水平。嗯，接着这些数字精确数字对于当时的人的科技水平来讲，, Start Time: 2675430
Text: 极不可学，是就几乎是不可能打的。你要说巧合，我是不信的，这个绝不可能是巧合，其实对于现在来说也也挺难的。对啊，就非常难嘛。而且金字塔最要命的地方是到目前为止没有发现过任何一座金字塔的设计图和建建造记录。嗯，没人知道金字塔是怎么下来。而且金字塔的修建，大家可以想象也能想它是石头一层层堆嘛，, Start Time: 2699280
Text: 它就有点像三 d 打印，嗯，打一层。然后可能在第五层的时候，要这空这个位置上空出一块来，第六层往上第六层的时候要左边挪一点空出位置来。然后这样的话在里头它形成一个斜着的通道。嗯，那这个东西它从哪儿去监控它的，其实最方便的角度是从空中看哦。啊。好，接下来金字塔的外表非常的光滑，, Start Time: 2719980
Text: 就是原来的金字塔不是现在的，就是现在风化以后就完蛋了。原来外面还涂了一层，它外面涂过一层，这个就是石灰。嗯，然后去找平，它非常据说光滑到打磨到什么程度。现在有一些这个当年的石料保存下来，外面第十料保存下来，这个光滑程度据说在阳光下是能反光的这光滑程度差不多就是起源的主人公巴爷克能从上头直接滑到。, Start Time: 2741960
Text: 啊，对对对，你看那个他踩在那个时候刷刷哗滑下去，真的是可以这么滑下去。是，但是滑正常人划完以后就摔死了。对对，不要模仿大家，对不对？也不要随便做信仰之源，然后这个光滑平整的这种精确面，而且在当时的很多石材上面发现过切割的痕迹，这个现在我们依然能够看到这些痕迹保留。, Start Time: 2762550
Text: 有人说这个痕迹是这样的，是那样的，但其实都很难，就是说这些痕迹很可能就都是呃都是机械切割的痕迹。接下来这个壁画就是有很多壁画上发现有这种戴长帽子的人。但是其实有一个说法，说些人不是戴了个长长帽，就是是他脑袋就长那么长哦。而且在后来的考古发掘里发现了长头骨的遗骸，, Start Time: 2781030
Text: 骨骸就是那个头骨就是长在网上，大家能看见那个这个照片都公公开的图片，视频资料，那那个那些发现的那些头骨的头后面那个颅骨特别长，不知道是为什么。对，知道是采用了什么 p 图图技术。对对对对，就是真实现实 p 图。那知能玩，反正这个东西，而且在很多这种象形文字里头发现过类似于飞行器之类的这种东西嘛，, Start Time: 2802880
Text: 就是这种符号。所以这些东西到底是什么呢？也不知道这是一个说法，那我们先放下金字塔这些东西的，怎么建造的几个假说啊。咱们现在先说说，如果说我们在桌面上桌游里头去修建金字塔，我们应该玩一些什么样的游戏？玩乐高啊对，垒了，乐高当然可以了，你可以随便放乐高恰巧，还有还有桌游嘛。, Start Time: 2823560
Text: 咱之前说过那个那个拉美西斯金拉美金字塔。对对对，而且是二 k 你才放过的这个二 k 设计的那这里给大家推荐几个。首先第一个有一个游戏叫做埃及艳后与建筑师。哦啊当然了，埃及艳后大家知道这就已经是末期了嘛。这个这个克里奥佩特拉七世嘛，已经是末期了。那会儿这个游戏呢修的也不是金字塔，, Start Time: 2841900
Text: 它是给这个埃及艳后修皇宫，但是也差不多嘛。这个游戏有意思的地方在于，它是一个拍卖游戏。它的游戏的过程里面真的需要到市，他有一个市场的概念，放着很多的这种塑料制的这种宫殿的配件。嗯，当他玩游戏的时候，要把那个盒底扣过来，把盒盖儿放在前头，然后那些配件会围着那个盒子，, Start Time: 2862630
Text: 整个把它垒起来，变成一个皇宫就贴往那上贴，盒子上贴，最后拼起来变成一个立体的皇宫，然是游戏建造的过程。大家扮演的游戏，这个能三到五个人玩。大家扮演的都是建筑师，就是包工队承包商我来。但你要想获得好的原料，你要通过拍卖，可是你的盒底不一定好啊，那你怎么办呢？, Start Time: 2884120
Text: 每个人有一个小金字塔，在眼前，你可以往里塞黑钱，就是说你可以行贿，你知道吗？获得一些好的资源，你可以用你的这种贿赂的手段获得特殊的资源。嗯，但是当游戏结束的时候，每个人要把金字塔拿开，谁塞的黑钱最多，谁直接喂鳄鱼哦哇，这很合理啊。对，也就是说，如果你在中间获得的途径太狠了，, Start Time: 2905760
Text: 你最后直接出局，这是一个博弈。那这个游戏最大的乐趣就在这儿，你到底要用多少黑钱来获得资源，这个结果其他玩家一个都没用，只有你用了一个，你也算出，你也算出去。对，但是这个游戏里几乎不可能不这就是人性。你不可能不用的，你不用的话，你就一定会获不得好顺位。因为你不可能所有的地方都让你站着这个好的这个顺位和选择权。, Start Time: 2930350
Text: 嗯，你要想在这种资源或者什么的获得上搬回来，你就只有塞黑钱，塞多了又要死，那你要塞多少呢？啊，这个游戏最有气的叫这个，而且这个游戏据说现在马上要重置了，所以大家可以关注一下最近的桌游的这个一些讯息啊什么的。比如看看我的公号了，然后看看这些具体的内容什么时候会出。, Start Time: 2954550
Text: 我给大家强烈推荐这个游戏，这游戏难度不高，而且摆出来非常华丽啊啊，适合这个搞聚会活动了，好看就进行好看，非常好看。你想它整个要真搭出一宫殿来呢。嗯，然后下一个游戏这个游戏，咱刚才讲了建这个什么尼罗河水涨水落呀，讲了这个建埃及金字塔的这些个学术这个猜测呀等等等等。, Start Time: 2976670
Text: 哼这个游戏真的要建金字塔，它就叫埃及人啊。这咱们这回节目开头的时候 work like the egyption，嗯，就是像一个埃及人一样行走嘛，哎这个是像一个埃及人这样游戏，这个游戏叫埃及人，他是二零零九年的一个游戏，支持两到四个人。有的地方说说话，现在已经绝版了，, Start Time: 2997750
Text: 很难买到了。那它是一个工人摆放类的游戏，怎么玩呢？这个游戏的版图上就是一条尼罗河，从上游到下游。那两岸呢有很多的这个可以选择的地方。比如说啊有的地方是修金字塔的，有的地方是盖石身人面像的，有的地方是法老木，有的地方是修字塔碑，有的地方呢是石材挖掘厂，有的地方呢可能是挖矿的等等等等，, Start Time: 3015820
Text: 这些不一样。那游戏当中我们每个人呢会有几条小船，比如说是三条还是四条，他有点忘了。在游戏进行当中呢，这个尼罗河上有很多位置可以放船。它的特点是你放了我就不能放一个坑，只能放一个船啊。这个坑放上之后，它有特点，比如说它在这个位置上，你可能可以挖木头，放在那个坑上呢，, Start Time: 3041220
Text: 你可以挖木头，然后再往下走，有的能修金字塔塔，有的修失身身面相跟不一样啊，修完有分嘛。哎，这个确实就是刚刚这个游戏提到的一种建造金字塔的方法，是目前学界上比较科学的一个。我要一会儿留到一会儿要说的一点，那咱们现在就给说了吧。对对对，说了吧，其实是呃尼罗河这个据说是有非常多运河法对非常多次的改造的。, Start Time: 3061640
Text: 嗯，据说再造这个吉他大金字塔的时候，吉他高原底下就是尼罗河顺流而过。对啊，这个时候就可以顺带把这个石材啊等种种的东西西。它据说它是围着这个金字塔的工地修了一圈人工的运河引水过来。然后这样的话呢，就可以通过船的浮力的方式把这个石料运过来，这也是目前最好解释的这个修金塔的一件事儿。, Start Time: 3084300
Text: 对，而且在现在确实发现了人工运河的一些痕迹，以及发现了埋藏在地下的这种太阳船，就是那种古埃及那种这种船的那个那个埋在下面的一些东西。所以这个理论现在已经越就是支持度越来越高了。对，而且也确实找到了实阵，比起外星人那些就看起来猜测的是要靠对多了。反正不管怎么样吧，, Start Time: 3105410
Text: 这是一个目前来讲也是一个很主流的假说。所以其实有五个，现在这个建造的假说，嗯，那我们接着说游戏里埃及人呢用的就是这个用水来修的这么一个假说这个刚才我说了一个坑，只能放一个人放上，能产生一个效果。可是这个游戏的特点是，如果你把船放在了下游的某一个位置上，你的船再也不能往上游的位置上放啊，, Start Time: 3126810
Text: 换句话说，如果你想抢下游的好效果，你就要损失上游的能放的位置啊，这个游戏的博弈点就在这儿。所以当你自己放船的时候，你放一个，我放一个，他放一个，你放一个，这样放。你要想好自己的船，什么时候往下游的位置上去抢好的点，你抢的晚了，被别人拿走了，你抢的早了，你后面什么都。, Start Time: 3149230
Text: 比如说我抢了一个修金字塔的位置，呵，我这一下能修好多分，可我没法去后面挖石头了呀。嗯，我也没法种粮食了，这个游戏里还能有一个叫做做下游的一一个调节，叫有一个叫调节水位环什么意思呢？它能调节尼罗河的水位，是涨是落啊，这这其实在是自然控制的。对对对，这是自然控制的。, Start Time: 3170580
Text: 但是我们每个人手里头会有一张会有各种各样这种农业农作物的牌。嗯，那个水位在是高是低，会影响着我们的收成是多是少。也就是说你工人雇多了，你粮食不够，可能吃不起啊。你你明白这个控制啊啊，你就会有其他的损失。所以有的时候还要调这个水环，就是 RTS 里面的人口限制嘛。, Start Time: 3189340
Text: 对对对对，所以这个游戏非常妙，就是他每一个环节都互相牵制在一起。哎，还有一个形成一个效果，就里头还有一个点，我觉得就是下游开不回，上游是非常科学的。对，就是你现在看，可能咱们可以有人工啊，什么人力，为什么下游开不回去呢？其实我亲自见到尼罗河以后，我不知道是不是和它的那个水漆有关系。, Start Time: 3208280
Text: 对我看到的尼罗河的水其实很安静，但是水流是非常急的啊，它水很急是吗？对呃，现埃及政府府对它进行过治理，就是两边是有人工的痕迹了。但在之前的话，其实尼罗河两边边的的是有很多鳄鱼的，现在基本上看不到啊，就是划划船的时候不是得有加速件吗？划快点。对，就其实尼罗河水是比想象的，, Start Time: 3227890
Text: 比咱们看到的呃，在江南或者什么地方看到的，长江是要急的啊。嗯哎那就是说这些东西的设计其实很多都是来源于生活的这种真实资料的查询嘛，呃这里要再讲稍微讲。另外一个小护的就是胡佛金字塔到底是怎么命名的。对，刚那就说了，基本金金字塔就发发现了什东东西就命名什么嘛。, Start Time: 3248770
Text: 胡佛金字塔在发现的很长时间里头没有找到任何记录，因为有可能里面东西全给偷走了。对对对，就里头啥也没有，就特别朴素的这么一个地儿。哎，这大伙就觉得奇怪到底到底有什么东西呢？就是这到底是谁建的金字塔呢？不知道后来呢十九世纪的时候，有一个英国的探险家说是探险家呢，, Start Time: 3270150
Text: 其实也就是这人挖坟盗墓，反什么事都干嘛，这就这么一人叫做霍华德维斯。这个哥们当时发现现这里头一个空房已经被发现现一一房间呢。然后后来说所谓的国王的房间嘛，发现这个房间他认为这个房间顶上还有有密室，不知道他怎么怎么知道，反正他就觉得有密室，然后这哥们胆大到什么程炸了，, Start Time: 3287680
Text: 然后就拿炸药把上面给炸了。然后炸完之后发现还真有密室，然后他就用了当时去的他手底下的一些人的名字，大家一起就命名了。这些房间叫什么？最顶上有一个房间叫坎贝尔房间。坎贝尔对这个坎贝尔房间里面呢后他就说说呦，这里头发现有里面面房，鸦室，就是上面当古代人留下来的涂鸦的记号，, Start Time: 3307540
Text: 嗯，写的是胡夫法老如何如何什四四海房房里房嘛，康就是这么个意思吧。然后就就说哎，那这就是胡金金塔定名了。你看我发现了定名胡夫金字塔呀，所以胡夫金字塔这个大金字塔就是这么被定下来的名字啊，但是很多人对此是存疑的。首先这么大的金字塔里头，这么多的空间的位置，什么地方都没记录，, Start Time: 3330100
Text: 怎么就你进去炸了一个爆炸药之后，发现那历史全都写在这个头头前。前半部分我因为为就是你像老远就能看到那个大金塔，意思就是明摆着你来偷吧。对，所以里面没东西，没字，这是正常的，我都能理解。那关键是为什么你就能发现字。对对，而且还有一个是当时在现场炸开这地方的人都包括记录完东西出来的这些人都是他的人啊，, Start Time: 3353210
Text: 有人就说这东西会不会是造假。因为咱从历史资料的照片里面看那个房间里，当时留留下照片的那个上的字写的非常的混混的。咱们看平时那些埃及法老的记述和叙述，哪怕是工人留下来的一些记录，写的是很整齐的。首先帝王古那些是千差万别。对，就这个就好像是那个桥墩子底下夜里有人喷漆那种感觉，, Start Time: 3376830
Text: 知道吗？但他只不过当时没气，他就是那么滑拉上去了，嗯，就是这种感觉。所以有人就说这东西别是孙子，你自己信手投的吧，是吧？但是他也不承认，可是后来就是发现这个人呢，在他死后就发现他当时是英国议员嘛，他竞选议员就采用了会选的方式来来去选的作弊了。对，谁投他呢？, Start Time: 3397000
Text: 他就给这人三点八英镑，谁不投投的对对手，他以以你自自信信的吧吧。所以这个其其人性性有有问题的啊，弃权也可以拿钱。对，然后再一个是当时他面临着一个问题，他他来边边探险挖宝是背欧欧洲金主支持的。如果他当时再拿不出成绩来，很可能他背后的金主就不会再支持他了。他必须有一个惊世骇俗的发现。, Start Time: 3414640
Text: 所以这就导致他有这样作假的动机，那又有了作假的动机，又有了之前作假的记录。所以大家就怀疑这事儿到底是不是胡夫金字塔。所以谁也很难说，因为在这个金字塔里没有发现问题，除了这几个字儿之外，没有关于胡夫的任何记载。嗯，其实啊我结合自己的经历说，其实我金字塔里头也是去了的，, Start Time: 3436120
Text: 嗯，比想象窄很多很多很多。嗯，啊你也斜着，你要猫腰爬嘛，呃，比猫腰还猫，你得是吗？蹲着两只脚往前走，我斜着上去，回来两边就除走不了了。除了两个房间以外，其他全是真要赶上要日本相扑团来旅游，还进不去是吧？哎，你别说还真有好多日本人来，就是我说相扑团什么小锦什么的，, Start Time: 3453620
Text: 横杠的进不去吧，那进不去绝对进不去。哎，那为什么要说这个事儿呢？就是因为要咱要讲一个桌游，这个桌游就叫叫孟卡拉金字塔，就是门卡乌拉金字塔，这看怎么翻译了，就是那个吉萨三金字塔里面最小的那个。对对对，说小其实也不喜欢，这个也蛮大的。这个游戏是一个两到四人的游戏，, Start Time: 3476670
Text: 它在零六年出版是一个卡牌游戏。这个游戏里面呢，大家扮演的是考古学家，就在吉萨地区周围进行考古发掘宝物、挖坟盗墓，把它带回欧洲呢进行展览，就炫耀自己有多牛逼。然后这件事儿呢你要来干这事呢，背后必须有出资人。所以这个游戏的目的呢就是要提高你的声望，提高自己展品的自身价值。, Start Time: 3495660
Text: 那这个就是这么一个抽象的卡牌游戏。游戏里面你要派考古队到各个区域去探险，实际上就是占领那个游戏板块了。然后重要的是它很写实的一点，我感觉你不但要自己挖，你还要阻断对手来吧。你不要不但要自己去考古，你还要干扰别人，不让别人去考古。那这样通过摆放棋棋子进入金字塔区域等等等等，, Start Time: 3516620
Text: 来获得分数啊什么的。这个咱就不太细说了。这个游戏我觉得很有趣的是它它非常完美的体现了一点，就是如何去如何竞争，对，同行之间是预家。对对你说是吧？天津人，对对对对对对你所对。然后另外要给大家大家说到考古这件事就要推崇。我要推崇一个游戏，是这个这期节目里我最推荐的一个游戏。, Start Time: 3539490
Text: 这个游戏叫迪比斯啊，大家知道迪比斯是这个也是这古埃及的城市，对古埃及新王国时期尼罗河中游的一个重要的城市啊，这个大家刺客新娘可哪都去过了这个地儿。那迪比斯呢它是一个两到四人的游戏，零八年出版，它最大的特点是时间轴系统，什么意思？这个就是集合的时间轴系统，对，, Start Time: 3560090
Text: 集合了时间轴系统，就是从这来来的。对，厉厉害。对这个游戏的版图，周围外头一圈呢有一圈数字，这个数字不是几分，它是一年的若干个周，就是一年有多少个周，我现在忘了由多少周组成的那游戏进行当中是以周为单位，你干一件事就要消耗时间。你的子儿在那个那个时间轴上就要往前走，, Start Time: 3578970
Text: 谁的子儿最靠后谁行动？比如说如果我做一个行动，用了五周的时间，你用的做一个行动，只用了两周。那你走完之后你还在我后头，对吧？相当于我的时间间已经在五周后了，你才过了两周还是你动哦。如果咱俩同时踩在五周上，谁后到谁先动。也就是说如果你算好了，时间可以连踩，我好几下啊，, Start Time: 3600320
