Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judual news， waiting for my 大家周五好啊，我是新总部，欢迎收听咱们新一期的家族 news。哎，大家好，我是娜 dia。大家好，我罗罗。, Start Time: 4080
Text: 没有正正经的日式玩家了。对对对，有道理有道理，这个无双大蛇二真是你说为了一真结局，为了一个对最后的这种全收集流程，我要反多多少次。对，其实把之前的那个一的那个特别好的口碑，有点可以专门录一录一个节目，让系统好好批判一下。这个戏不不不批，批判不动有点难，而且然然后说了多多碎的东西，, Start Time: 1743010
Text: 再说一个比较大的事。对，比如是这个昨晚晚上的事，这个怪物猎猎 double XX 个两个是两个叉。对，这个更新了一波这个比较详细的信息，有一个直播。对，一段直播后，比如说这个天汇龙的这个讨伐视频是一整段。然后这个天汇龙这这个个一直直播，这这个天废话就真帅帅。, Start Time: 1765580
Text: 然后重点是可能就是炼金模式。对，因为之前那个风手机呃不是手机风格格，之前这个勇气风格说的比较多，官方说的比较多，而这个炼拿个个这个对，并不知道是什么，可能就是大家一头雾水，不知道这什么意思格。然后这更来这这个炼金风格就属于一个呃支源型定位为资源格的这样一个风格，, Start Time: 1786340
Text: 直接挑战了狩猎敌的地位。对对，其实我觉得如果要要类比的话，它有点像是那个猫呃，有点像是那个猫的那个系统。就是你通过打人打这个命中怪物不会增加那个槽嘛。嗯，然后他这个他这个炼金呢有有五个档的炼金能力，嗯，就是每一档能练出来的东西各自不同。嗯，然后越高档它的内容就是这些练出来的东西或多或少都是一些强化性质的东西。, Start Time: 1808020
Text: 嗯，然后和这个炼金炼金看上去的很强的，这个就是辅助能力相配合。然后公开了新的一个版本的手机，叫做 SP 手机。嗯，这个 SP 手机就是呃装备完之后， SP 手机发动之后，除了手机风手记的内容之外，还会强化周围的队友。嗯，然后这个这个东西就是比如说有些风格只能带一个，, Start Time: 1833190
Text: 就比如说强袭风格不是它能带三种手技嘛。对，但是 SP 手机它只能带一个啊这种感觉，但是炼金风格能带仨呵就是这样一种模式，所以这个也更明确了它的定位。对，但是我现在觉得炼金风格这种东西就是很像是高手手里的道具流这种东西。所以它不一定非得是这个新玩家摸鱼的选择，, Start Time: 1855790
Text: 它有可能是玩出花来或者玩的特别高兴兴有可能最后就是看着特别乐呵的一个狩猎的风格。对，然后包括猫猫其实也是猫更新了这个野兽野兽来。嗯，是对，因为这个个就就是刚刚狼嘛，在在这个上一个 x 里主要的主力输出猫都是飞镖猫是，然后也有很多人开发过这个近战猫，但是总的来说没有远程猫那么舒服。, Start Time: 1876230
Text: 是对，看来这次这个 XX 打算强化一下近战猫的风格，嗯，而且猫的这个战斗本就是一个个刚狼猫地的这对，很有意思，哎，又强又好玩的。对对对对对，然后还包括些些节，比如说这个猫猫新的新的一个炮啊，你把自己能把自己打的装到炮桶里打向怪物，这是一个非常神奇的一个武器。, Start Time: 1900050
Text: 我们在新的预告片里边，其实看到最后就是四个猫啊。对对对对对，是这样的。然后这段这段内容，还有最后就是猎人最关心的就是自己的要狩猎的目标有什么变化啊，然后现在就是四天王的双名齐了都有了。对对对，因为之前我们也知道这个只有斩龙。对的，我们满地找牙那个近灭刃斩龙斩龙的二名近灭刃斩龙炮狐。, Start Time: 1920480
Text: 然后还有那个呃现在现在那个更新了几个，包括巨兽，巨兽叫做引领银银色、山岭山岭银色，引领巨兽。嗯，然后天眼泡芙龙，对，这次叫天眼炮，芙龙是因为这个泡芙龙是吧？对，这个看不见，但是反而就变得更狂躁一点。嗯，然后电龙这叫做青龙兽龙龙，然后这个头上脚能伸出一只光剑，, Start Time: 1942860
Text: 感觉棒棒的对，棒棒的啊，又帅帅又强，希是又帅帅又强。嗯，然后那个淘那个桃宝兽王回归桃毛兽，其实打起来有点烦，对，桃兽就烦烦烦。对，然后这个泡狐龙是吧？对，在二应该不是二名，这个就是桃毛兽王、普通桃桃兽兽王回归。然后以及对于像那个小光这样的这个老老猎人，印象比较深的是旧的这个旧的地形密林。, Start Time: 1966990
Text: 对密林不是旧密林是旧的密林。对，旧的密林不是不是不是旧密林，对，不是制造那个旧密林啊，然后以及新的据点。这个据点我们之前说过是龙石传。嗯，然后这次那个凡敏通又这个多说的一些，这个里的内容，比比说说上面有这个什么酒厂啊，什么研究室啊，嗯后商商铺调查队这些东西，, Start Time: 1992650
Text: 然后还更新了。像比如说酒厂的这个大姐 MPC，很多人也是非常喜欢。嗯嗯，好，具体上怪物猎人差不多是这些信息是看来听起来感觉好像你非常想买首发的样子，都你买不买，再说根本不买。哎，再说再说还行啊。对，然后再快速说几个新闻啊啊呃，本周那个啊西部世界已经完了啊，, Start Time: 2012720
Text: 然后其实老八也写了一个相关的文章，然后但是我没看第十集呢，所以咱们这儿就不讨论了。对对不起大家啊啊。然后再有一个就是 nada 那天发的守望先锋，其实有一个可能圣诞主题就要来了。对，十二月十三号这个暴雪游戏世界里管圣诞节叫端午节嘛啊就是有一个这个端午节的活动，, Start Time: 2034630
Text: 然后就新皮肤啊、新表情等等，然后可能会有新的 PVE 模式，但是现在还没有确定好，这个咱们就等官方正式开这个介绍的时候，但是现在是怎么回事啊？然后另一个喜喜讯是 PC 平台这上的这个群星啊啊，群星这个游戏呢憋坏了啊，憋憋坏了，憋坏坏没有并没有啊，这个群星这个游戏是之前更新了。, Start Time: 2053170
Text: 呃，之前上一个付费店 LC 叫利维坦，这个版本更新了一点三。嗯，然后一点三的主题叫海燕莱茵，就是以这个科幻作家嗯为主题。然后一点四呢，最近就是前两天更新，结果这个更新完了之后呢，玩家惊讶的发现有中文了，有官方中文了。嗯，虽然商店里没体现，但是在登录器里可以切换啊，, Start Time: 2075570
Text: 然后大家就表示很开心，但是翻音质量反正质量待有待提高啊，它是有些内容，比如说单个词汇很奇怪，因为它可能有些词不能像第三方翻译那样放肆的用啊。然后他就你可能要要意思意思适应一下，那些有些建译译非非土土，比如把建筑船叫施工船什么的啊，一种独特的中国大陆是个土味儿，, Start Time: 2099040
Text: 嗯，但是也挺好，也挺别有一分韵味，而且这个我觉得真的啊，这是是发自内心说的。然后他这个官方翻译有一点很不错的是他的事件描述非常通顺。嗯，呃这个倒不是说以 mode 实现的这个内容嗯，有就是不是很通顺。当是我觉得官方翻译之后，你会发现后续 DLC 的这个中文支持可能会会速度快的啊，, Start Time: 2124590
Text: 这是个很好的好事。嗯，然后顺带就是大致说一下，一点四版本又更新了什么一点四版本的这个主题叫 kennedy。嗯，然后一开始我都没明白这人是谁，后来发现他其实是这次受邀请的一个作家。这个作家给那个无光之海写剧情，这个光之就就是一个剧情特别强的 rock like 游戏。, Start Time: 2149090
Text: 所以这一次这个更新免费更新了个 DLC，应该叫世界信号 horizon。 signal 这个 horizon 应该指那个黑洞世界这个意思，然后他是一个跟围绕着黑洞有关的很有意思的故事。嗯，而且你的存档就算是以前版本版本的存档，这个故事很有可能还能触发，是后应该很有意思。, Start Time: 2169070
Text: 反正呃因为我我觉得 TBA 给给给文明六吧，可能不算特别妥，因为文明六完成度并不高，嗯，三文明度很好。然后相比之下，可能在 TJ 颁奖之前已经更新了这么多的群星，更值得你的认可。对更充实，更像是一个完整的游戏。可能文明六真正值得这个桂冠呢，可能要过两年几个资料片之后啊，, Start Time: 2188930
Text: 所以这个群星大家如果喜欢这个题材，正加加上有中文就一定入了吧。对对，是这意思吧？没错，然后刚刚啊我们在来录节目之前，看到了一个消息，就是这个 switch。对，咱们终于看到了，是在飞轮秀上对飞轮秀吉米飞轮，他这个是雷吉抱着雷吉上台，雷吉以这个给马里奥 go 啊，, Start Time: 2211460
Text: 邀欢马里奥马马里奥奥传对这个宣传为雷游。对然邀邀请这个雷伦啊，不是邀邀请雷伦飞轮，然后来点一点这个玩玩这游戏玩的还挺好。然后宫本帽还看着对雷雷伦特别激动，感觉真是。就是从小的偶像看到一个永远根本就控制不住自己。对他浑身都是戏嘛。对对对，然后玩完之后，我们想然后就是没完做一一个惊喜啊，, Start Time: 2233000
Text: 说哎你把这个拿来。对对对，他把这个另一个箱子移开的时候，上面是一个连天都 switch 的真机。对，而且直接就开始玩。对，开始玩赛尔达是真机的，玩掉机了。那几集是对，就是呃雷吉自己说的，这个应该是首次亮亮了在 switch 上运行的赛尔达荒野之息的一段。然后而且我们可以看，, Start Time: 2255250
Text: 呃，也许雷吉拿着手柄冲着屏幕，那个是剥皮。对，但是这个飞轮拿起这台真机玩的这个镜头应该是实级在跑啊，就是他这个镜头是在他手里，而且从他输入了这些很杂乱的指令来看，是能看到。对，能看出来应该不是御先演示播片，而且我觉得那样这是真的，我我何必呢还要对特意播一段片儿，, Start Time: 2277130
Text: 然后还得对着他演，这个就感觉太蠢了。所以看起来很惊艳艳。对对，就是就这么说吧，就是 switch 的实际离咱又近了一步，没错。对，然后再有就是关于呃马里奥跑酷，其实是在下周，是我正式登陆 f door 了，说这个国区没有，但是充钱的手段倒是有的，所以这个咱可以买一个试试。, Start Time: 2297830
Text: 嗯嗯，而而且之前咱也聊过，毕竟他收的这个钱并不便宜嘛。是这个量级来说，我觉得这游戏肯定不会糊弄事儿的。是的，嗯，感觉一大一大波马里奥转的评测即将到来。是的，不就点点屏幕是吧？但是这个我觉得我觉得啊肯定会有意思。对啊，肯定不会唱。对马里奥嘛，对吧？是嗯然后最后呢就是新闻说完了这一周对于咱们来说特别忙，, Start Time: 2317900
Text: 是因为新的游戏特别多。对，非常集中。这个比如说丧尸飞城四，嗯，比如说石人的大，就呃最后的守护者。对，比如说玉璧的 steep。对， steep，还有就是如龙六。哎，对，咱们一个一个说吧，我觉得丧尸飞城我就不用占太多时间了，是因为自己也写了一个文。嗯，啊我简而言之就是没玩过三的四特别好。, Start Time: 2342050
Text: 对，就是特别适合我的观点，就是这样。如果你没玩过三，然后你又对丧尸飞城感兴趣，那四是很适合新人的一个游戏。嗯，但是如果你一二三，然后包括资料片里全都玩过，这个四可能会让你失望啊啊，就是就是对老玩家不是很那个不他对老玩家加就是分数的加成是在情怀上啊，因为他对一代的这个致敬也好，, Start Time: 2363180
Text: 或者说暗示是非常多的。就是你能感觉就像自己回到当初那个地方一样啊，但是呢跟 play 其实还是有点 game play 还那样啊，而且而且我觉得他扣分点是在于在地图上有太多重复利用三代的那个素素材有点条啊啊，这个其实不是他特别好的事儿。是的，而最关键的是剧情联机没了，, Start Time: 2385440
Text: 就是他的联机是放在了一个单独模式里，对，这个其实就有点尴尬了。对，就是反正我我我比较就是算是公正的说法，就是因为四十二没玩过三，所以我还是推荐你玩一下四，那就是就是感觉不会太亏，那就就是停留在这个水平行啊。然后关于丧尸维生，咱就不说了嘛，然后下一个可以说一下玉璧的 step。, Start Time: 2405595
Text: 哎哎，这个游戏是有一些稍微有一些让我们意外。对，但是我依然维持我当时试玩的时候的评价啊赖呃，没没没没有，不是那意思，我是觉得他不太像游戏啊，是整体上太像那个模拟器，大真是大沙盒。对，反正老师一啪一热，他的立益想要回回还原那种极限运动的体验。它的利益并不是我要做一款好玩的游戏。, Start Time: 2426990
Text: 对，可能差别就在这儿，可能他让你体验的一个是极限运动。再有一个就是在野外的那种广阔的感觉。是的，对他的。我觉得他的输入逻辑并不是错的，或者是坏的，是他的输入逻辑是就是很需要学习。对，他就是明感会让你学。对对对，它是有一个明非常明确的知识门槛在那放。而且我觉得你学完了之后也不见得说，, Start Time: 2450250
Text: 就有什么新的爽快的体验。对，而是顺利。就是你一开始看到的那些就是那些玩起来很顺利，只能更顺利的玩而已啊，就是呃你的爽快感和成就感，其实是就是记住了你自己。对，就是你你当你没有失误的时候，当你就是你转了一圈，然后落在地上的时候，它是那个爽快感，而且它还不像是 fosa 那种，, Start Time: 2470980
Text: 就是把这类就是玩的花的内容的一些奖励放的很明面上啊，就是你你其实不是特别有必要追求什么各式各样的东对，一开始你现在能滑利索，别刷了，先别摔。对，别摔的噼里啪啦的就已经很好玩了。对，就是这么个游戏啊，咱屋应该是纳迪亚玩的最多一点。对啊，所以那啊你说说你就以说说这个，, Start Time: 2489460
Text: 我觉得啊他首先说他做的比较好的点吧啊我觉得就是这游戏玩的还是挺爽的。嗯，尤其是 go pro 视角。对，尤其是你切到这个 go pro 视角的时候，就是那根本找不到自己在哪呼呼呼呼然对他。呃，对，首先来说他这个音效做的特别好啊，就是包括这个风的声音，然后包括你的雪板擦击这个雪面的声音，, Start Time: 2512030
Text: 包括摔对边摔，然然后做都非常还原。然后呢呃这个可能很多人就是觉得他这个不好玩在哪儿呢？是因为他这个游戏其实比较严肃啊，就是那个极限滑雪，不像以前那个 PPSR 上那个 SSX 啊，就是那个极限滑雪，那是个撒滑游戏。对对对，然后也不像到后就就是这个稍微严严一些的。, Start Time: 2537290
Text: 肖恩怀滑滑雪，对，安怀特就是处于这两个游戏之间啊，然后 steep 就属于一个这呃非常特别懂的人做的游戏。对，然后就是根本玩不出那种就是说什么什么转个好几千度什么的那种。对，然后呃这游戏我觉得有一个问题，就是除了除了那个翼装飞行啊那个模式，其他三个模式的速度感不强，, Start Time: 2563810
Text: 其实做的非常弱。嗯，就是你不管是这个玩这个花式滑翔伞啊，或或者说你的单板和双板差差多多。对，就是其实你在滑的时候，你你一个绵棉糊，就是你感觉不出来，你你你的速度非常快。嗯，然后其他方面我觉得啊对还有问题就是老掉线掉掉线。对，就是你不是无话可说，就是你玩就爽的时候，, Start Time: 2591600
Text: 然后突然掉线了，然后掉完之后你长时间连不上去，然后挺那然后也挺爽的。对，然后昨天就是啊因为它是那种无缝滑人嘛嘛，但是我确实没体验到这个没有东西啊，我也不知道是因为我打我打太少，还没解锁这个功能，还是说没人。嗯嗯，然后我在这来回走，你看那家一直在那儿掉线，我感觉有没有有没有缝，, Start Time: 2617140
Text: 我不知道，我感觉他一直在缝里面。呃，然后呃我补充一下，我之前试玩的时候， EB 官方给了一些宣传的那个信息啊，他和很多这个一流的极限滑极限运动的赛事和厂牌有很深度的合作。对，然后 pro 不用说红红牛对，红牛那这些东西都有，还有些装备备了。对，然后据说之后在世界顶尖的这个极限运动大赛这个举行同期，, Start Time: 2640250
Text: 据说 speep 还有一些联动的各式各样的内容啊，到时候可以期待一下。其实它这个严谨性算是他魅力的一部分。反正我觉得就像就像四十二说的，其实这是一帮特别懂运动的人做出来的游戏。所以他可能是更在游戏友好度上可能弱一点。对，但是是很耐玩，就是他们可能是特别努力的，, Start Time: 2666260
Text: 想从自己的这个角度出发，让你通过这游戏然后了解到这个运动相关的东西。但是这个门槛高不高，可能得自己去理解了。而且就是我觉得特别逗的是，就是这个游戏一开始的时候就是闪闪过了这个玉璧的 logo 之后啊，出了一行字，说那个就算你在我们游戏里达到分特别高，然后你也不要去那个。, Start Time: 2684500
Text: 对，看了，真的。对对，嗯，然后就是刚才说到那个老掉线嘛，所以我没体验到这个无缝多人是是是是一个什么感受？所以我在 youtube 上啊找了一个这个别人录的多人的视频啊，然后看了一行发现然个问问题很多啊啊，就是我看的那个人，他用的第三人称视角在滑他的雪板就看着一直是飘在雪上边的。, Start Time: 2707160
Text: 哦，就是网络的原因就是你玩单人的时候吧，你滑雪，然后你滑过的地儿会有这个雪印，对啊，对吧？嗯，然后他玩的时候呢，就是根本没有雪印，然后影子的位置也非常奇怪。所以你整个看人就是漂浮在空中，在那滑天，然后在他的视角里看其他人，嗯，就是经常在卡卡顿啊，在抽搐哦，, Start Time: 2735190
Text: 所以其实我觉得就别别多人了，还是自己己单单机玩玩。对，道理理好。 steve 说完了，然后哎我还想补充一个啊，对我还挺喜欢这游戏戏。然后那个我觉得他做的挺好的一点是这个回放模式哦，就是你每玩过一个挑战之后，然后你可以选择看你的回放。然后在你看回放的时候呢，, Start Time: 2755270
Text: 你可以切各种的视角。比如说远端的摄像机啊，近端的摄像机或者你头上的 go pro，嗯，然后可以然后就说什么慢放啊等等一系列啊，所以到时候很有可能有很多比较好的剪辑视频。很多玩家对会用这个来剪一些这种小片儿极限运动的视频。嗯，好，然后 steve 就到这了。, Start Time: 2777110
Text: 嗯，啊然后再说这个最后的守护者，嗯，对大舅大舅嗯大舅这游戏呢之前后说了，对，反正之前看太牛逼了，什么意思？太牛逼了，真是太牛逼了。我真是，反正之前之前看了阿斌的文章了，然后呢，我估计各位哎，不对，龙马还没玩到我的殿藏版在路上啊，然后四十二玩了吗？玩了啊，我也玩了，, Start Time: 2798140
Text: 娜迪也玩，没没没有。对，行，那个我先说说的，我看看这的看法，就是这个就像阿斌在文章里说的，就是喜欢的人就自己去玩就好了。千万别就是说抱着一种这是一个大作的这个态度，然后再把它推荐给各个的话，可能这个可能不太合适适对，真的不太适合不推荐，这很不推荐。而且这个游戏真的有几点很要命。, Start Time: 2821930
Text: 对，操作是操作视角，就这两点能把你恶心死，还有真数啊，真我玩是秒云啊。对，因为因为他他视角喜欢自己动，然后再加上帧数在抖。然后我就一下就这个游戏啊，就是我可能说的稍微夸张点儿。如果你十小时能通关的话，可能其中有两个小时都蛇在操作上。对对，真的是谜皮设计很精妙，, Start Time: 2845130
Text: 就特别精妙。所以你一定能解开，不用担心，就是卡时间很长，就是他的谜题解法。我觉得倒是值得赞赏的，是那种恍然大悟说哦原来是这样，他是真的那种解谜乐趣，而不是说是我不知道这个东西，然后硬猜猜出来那种东西啊，那种谜题很少弄一直手，然后到别易种。对对对对对，差距距吗吗？, Start Time: 2868210
Text: 是嗯就是确实是他的谜题是值得赞赏的。然后呃有一些我觉得真的是我不知道他这个坚持是为什么。嗯，就比如说这个小男孩的移动，对，真的很不舒服，很很这类。我就是特别上天为人似的那种，就是特别粘他粘质感特别的强不起，一直这样啊啊，就是为什么要坚持，对吧？然后这个游戏是我我所见的第一款明确的区分了 PS 四 pro 性能能的一款游戏。, Start Time: 2887520
Text: 而且而且他之前没说对 pro 上能稳稳当当的跑三十帧，一切场景也掉也掉啊。对，但只是掉，他只是掉，但是能稳定三十，特别不容易 PS 四绝对跑不出来这个效果啊。这个帧数是目前玩这个游戏最大的口，那都不重要啊。嗯，对，是不重要。其实我想说这个游戏真的好就好在我我之前不玩主机的，, Start Time: 2917040
Text: 所以我我没有什么上天为人情怀。所以这个游戏对我来说没有情怀加分。所以在没有情怀加分的状态下，这个游戏依然非常非常非常好。嗯，就是极其冲击的那种设计，从关卡到交互，大舅交互的那个体验设计。但是这样思然就是这个游戏啊，你看我已经充了，我已经决定充值了啊。但是我还是要说真的不就是不太适合，, Start Time: 2937710
Text: 就是大家一要冷静的。对对，来看这个是这个呃，我们只推荐给那些，就是怎么说呢？对，等了许久，这个没有玩过这个上天为人所有游戏的人里头肯定也有有适合这个游戏。对，但是我不我我很难找出这种人，让我单独推荐给你。所以我只能就像我我不愿这种比较，但是最后只能说像无人升空一样。, Start Time: 2960810
Text: 当你看着这个游戏的宣传和画面，当你对这个游戏戏达出来这种气质，你你看上眼了，如果你产生犹豫的时候，我买还是不买呢，就就就可能不太适。首先不要买了。对对我对你只适合那种，我一看就我爱的要死的这种。对对对，而且他有一点就像刚才说的这个视角和这个操作的问题。如果你觉得这些都能忍受，, Start Time: 2980470
Text: 或者说这个都不可能说成为你就是不可能成为阻拦你进行进行这下去的理由的话，那这游戏其实是很高的一个评价。对，就是能让你产生你很高的评价。但如果你就是因为这个你玩一会儿就开始骂街了，是那这个真的是很影响心情的。对，而且龙马这个说法我突然想起来有一类，比如说 PC 玩家之前没有接触过，, Start Time: 2999340
Text: 但是想接触的我觉得很适合就是传送门 portal 啊，这类玩家就是你可以见识一下。另外一种思路下极其精巧的谜题设计是什么样？对，而且他的这个谜题真的很高明，反正好的谜题就是我始终是这么觉得，谜题就放在你眼前的，就是过不去。对，而且所有的线索就是这里，对，就是过不去。, Start Time: 3020520
Text: 对，这个就是好的谜题设计。嗯，没错，然后我觉得大家就说到这儿就差不多了。因为反正我我们的态度吧，就是刚才已经说我们态度就是这样，就是我们觉得好你就玩啊，我们不敢瞎推荐。但是我们我们虽然一直都认为我们这几个人都认为都是是对我对我们来说是绝绝好的游戏。但是我们不敢瞎推荐的，, Start Time: 3041500
Text: 或者确实有缺点吧，就是这样一个一款游戏。对，或者说顺着龙马那个角度说，可能哪一类人群有可能会喜欢上这游戏，就可能是家里养宠物的啊。对对对对对对对，特别喜欢自己家这个小动物的这个朋友，有可能你在这个游戏里能找到一些共鸣，或者说我真的是这个我我从小就是从这个动物出生，, Start Time: 3061370
Text: 我就开始养它的。或者说是在他很小的时候，我把它买过来，然后一点有感觉就真的跟我走了两三年，跟我一起成长了这么多年的时候，你在玩这个游戏可能会有一些感触。如果就是那种您觉得您自己是一个就是情感比较敏感啊，很很很想要体验这种就是以情感交互为诉求的这样一些作品。, Start Time: 3081650
Text: 包括电影和游戏的话呢，也许这游戏适合你是没错。好，就是暂时可能我们的理解就到这儿了啊啊。然后最后一个发售是这个周四零点解锁的，如龙六。对，但是此时此刻呢，屋里好像只有我玩到了。对，所以其实我评价如龙好有那么公允，因为我之前没玩过。哎，我不这么认为，我觉得一款游戏就是这个系列没有玩过的人，, Start Time: 3099550
Text: 反而反反反反，反而最公对是吗？哎哎哎，但但是我觉得啊好玩，嗯，啊就是对从我一个新人的角度来说，就是你可以把它形容为一个日本的沙箱嘛。对，日式游戏里的沙箱，就是尽管它这个香没那么大，就确实今天咱们也讨论了嘛，他给我的世界就这么点儿，可能就两三个街区，但是做的足够丰富。, Start Time: 3120720
Text: 对，能玩英雄就是这种丰富能，甚至让我觉得好像是真实的这个场景，就是这些东西。对，其实每一个门都能开，每一个窗户都能跳，不见得有什么意思？是是的，但是反倒是他开的，所有的门里边都有意义。对，一个内个都有一个故事，对，这个是最重要的。是的，而且它里边就是就虽然说之前我和龙外聊过这事，, Start Time: 3142190
Text: 就是是能可能他的一些演出一些分支任务的演出。有的有些傻，就是两个人原地站着对话。对对对，你可是如此。嗯，但是他的对话的内容，他藏的那些梗，然后那些就是对特别愣的幽默会让他觉得啊对我当时玩零的时候都感觉其实就是就因为我之前也没玩过啊，就是我我认为对于就是有兴趣尝试一下如龙的这个朋友，, Start Time: 3161190
Text: 我觉得如龙最大的一个坎儿，就像是很多人没看过日剧和日本电影之前那个坎儿。就是你可能不习惯他的演出形式是当你接触了一下这个形式时候，你会发现他的内容是是非常非常好的。对，是，所以说有兴趣一定要适应。而且这一代是全程语音吧，全程语音所有的不管多么边边角角的那种全友语，, Start Time: 3185050
Text: 全部什么没错。对嗯，阿猫阿狗的人说话，只要说话都有语音，而且所有咱们能看见字的的地方，除了招牌啊，都是中文的，嗯，啊这个是就是完全没有了墙这个中文的就是应该是对我觉得大家是可以就是比较顺畅的享受这个游戏的过程。而且你掰了一个完全版的 VF，没没错啊，真真的是特别别好。, Start Time: 3205120
Text: 然后今其实雨雨落在这里里，他说了一个就是我发现可能大家玩如龙也是两种风格。呃，雨落说他玩这个就是看一个故事。对啊，他就是享受这个剧情。对对，就当日剧看。对，就是特别热血的，或者说就是可能中间会穿插一些温情故事的这么一部对日剧黑日剧。对，但是我发现可能我最后和小光或者说对，, Start Time: 3225700
Text: 然后就是我们玩如龙，真的不是只为了看这游音，而是为了里面那些对小游戏，就是玩各种小游戏。对对，当时陈聊天室。对，就是日剧是天天沉迷。对对，昨天跟我们家三手优雅聊了半小时，我的妈。对，变大了，我的爱。对，就是对，反正说了嘛，就是是吧里边有一些相对暗示一些的内容，, Start Time: 3246040
Text: 就是啊变大了。然后那个三三十个下倍这些东西也体现出来一种是日式的，或者是这个乌龙式的这种幽默。对对对，这我就我就沉迷跟电脑打打麻将，真是很奇怪啊啊。对，如龙麻将做的真是不错的。如龙有一点就是你看他说这两种人啊恰恰是对这游戏的一种褒奖。就是说他这个游戏作为一款线性流程的这个故事，, Start Time: 3268960
Text: 推动的游戏，他也很精彩。是的，不是很棒。然后他作为一款沙盒，他的所有的小的这些很充实啊，都做的很好的。每一个比如这次的棒球，我看起来就非常的棒啊。世佳以前做过，这是这种这个职业棒球体育游戏，街机游戏，包括策略的这种经营的游戏，包括这个就是你直接挥棒打这种街机游戏都有。, Start Time: 3289060
Text: 他相当于在这个用这个新的所谓龙引擎，把他这两种游戏全部都塞在这个啊乌龙里啊，你可以经营这个一个业余的棒球队，然后在比较什么第四棒这种关键的时刻，你自己可以上场亲自去打。这个就是感觉这个游戏里真的塞的很诚意很足。说实在的，完了说了有点想买的。我记得得我当时玩那个如龙铃的时候啊，, Start Time: 3306140
Text: 就是我最喜欢玩那个环节，就是那个开夜总会那个就是就是真的太做做的特别的细致。对，就是我当时这个开夜总会最喜欢一个细节，就是那个每当那个陪友小姐就是冲你做各种手势，然后然后你需要干什么的时候，哎，然后我前几次的时候我老给摁错了嘛，我说不不行，然后然后然后我特意拿本给记下来，, Start Time: 3327230
Text: 就是他做什么手术是是要干什么，然后到后来就特别有成就感，就是没做出来啊，我一看哎，我给你拿一什么。对哎，特别有意思，每个人都沉迷在不同的地方，这就是一个一个沙箱游戏。我觉得最好的褒奖包子真的就是他在一个自己能控制住的一个范围之内，他做的是最精细的对，最完整最非常好。, Start Time: 3350005
Text: 所以我觉得就是可能就是制作人本身他可能也比较自知，他知道自己能控制的范围有多大是对。然后他在这个能控制范围之内，他尽可能的把自己所有想填充进去的东西填填进去了。是的，真的是一个特特别的一个游戏。当然这个我只是目前只玩了两个小时。对，最后我再说一个新的新发售的这个小的 steam 上的游戏。, Start Time: 3370810
Text: 最最近猫比疯疯狂吃，就是这个江湖江战敢死队的江子。对对对，就是这江江湖时战战国死队的一个背景下的盟军敢死队似的。呃，如果说的准确点，应该那个时候叫战术术，即战术游戏啊。对，就这样，就是你控制几个人物，同时及时的潜入完成任务。嗯，就是没啥好说的，就是模拟敢死队，, Start Time: 3390630
Text: 真的就是模军敢死队。其实这类游戏到后来发展变成那个那个海豹突击队那种。对，就是福洛特什么的，就是变成了一种呃，你不是以一个这种简单的上帝视角来控控制这几个人，到后来就变成了就是你带着几个人，你可以随意变成成中一个人人。对，然后再变成这个人时候呢，变成了一个 FPS 游戏。, Start Time: 3414300
Text: 对，以前有这样的游戏，不过这个这个游戏是更 old school 那种纯粹意义上的蒙拟敢死队一和二的那种感觉。对，如果喜欢的话，可以试试。这个组很小，但是依然提供了中文，嗯，翻译的比较寒碜，但是依然会越来越好吧。嗯，实在不行，你可以就是在网站里推荐一下。对我跟大家介绍一下这游戏具体的玩法，, Start Time: 3436800
Text: 或者说大家有一个通过视频能了解一下。不过这刚四十二，好像说自己不是很擅长，我特别不擅长。对我也是呃几次想尝试这个模拟，敢死队都是玩了几关之后，说这游游戏说我不看攻略，我就玩不下去，就是真的对我来说有点难啊，但是看了攻略，这游戏就没意思了。而且我说实话，我看了攻略，, Start Time: 3457120
Text: 我也打过，这是真的。对，所以最后就折在这儿了。是的，嗯，然后咱们这周新闻节目其实现在已经录了大概一个小时了。所以这个讨论话题，我觉得留到下周拜到下周吧，拜拜。主要是因为这个可能这周事儿挺多，新闻比较多。对对对，所以大家可以自己回去消化一下，然后也可以再跟我们在评论区里跟我们聊一下，, Start Time: 3473750
Text: 就是你们对这几个新游戏的一些感受。拜拜了。对，咱们也及时分享一下。因为下周我估计大家这个新游戏就陆续也都到手了，就开始忙碌起来了。哎，所以呢这周就先到这儿了，然后各位朋友，咱们下周再见，拜拜拜拜拜拜拜啊，人角眼泪，爱就来，妈妈天 are man。, Start Time: 3492010
