Text:  hello，大家好，现在是北京时间。上午十一点，欢迎收听集盒游戏频道加油。 new ws 节目，我是 jerry。大家好，我是麦克小五，现在都没有前面准备直接开始录。没有现现在个剧流流水不想录，就是想回去玩这个博德三三 hello CCO 应该是狂狂玩。, Start Time: 31600
Text: 但是有一些公司，就比方说这个另一条新闻叫 SNK 啊，比如公布这个饿狼传说系列的新座，就饿狼传说 CT of the war。五公开了一个先导预告，这个就是让我觉得真正的大佬，他的童年寨可能是饿狼传说是吧？你可能是直接买下来，我喜欢这个，我喜欢这游戏，然后我就我把这公司买了。, Start Time: 1892415
Text: 对，因为给给我其几两年前还是三年前，就是公布的是 SNK 被收购的这个消息的时候，百分之多少控股？百分之九六九十六啊被控股的时候，当时就有传言说，其实这个这位富豪就是非常的喜欢这个 SNK 的早期的一些游戏。嗯，费费金收购。我不知道这个背后这个跟饿狼传说复活是不是有什么关系。, Start Time: 1916020
Text: 可能就是沙沙特王储是真的会为自己的童年债买单啊嗯卖公司也挺好的，看后续这个公司的一个情况吧。嗯，那既然说到这回事的话，就是说一下这些格斗游戏相关的新闻吧。哦哇，这可是有请小五对最近这个格斗圈的大事件啊，一年一度这个 EVO 二零二三啊，圆满落幕了。 EVO 五，, Start Time: 1940585
Text: 我看今年好像说人数有一个新高，而且说比赛好像特别精彩。对对，是这样的，是这样的，因为这个街霸呃街霸六也是这个今年刚上嘛，然后这应该是街霸六时代的第一个 EVO。如果我没记错的话，因为今年年初那个 EVO 还是街霸五呢，唉 EVO 一年举办几次。唉，今年年初的时候有一个 EVO，, Start Time: 1966450
Text:  japan 啊呃那个规模也会稍微小一点，然后这就是相当于全球性的是吧？对对对对，那个其实你也可以参加，但是可能北美的选手去的就不多。然然他那那个人数上也没有这一场这么多明白。对，然后今年的这个 EVO，其其实看点也足足嘛。先说一个，因为拳皇我不太了解，所以我们就先说拳皇的事呗。, Start Time: 1987970
Text: 好唉，这个我们这个小孩国人的骄傲啊，小孩选手在这个拳皇项目上啊，他简直这个拳皇这个项目其直太恐统治地位，对，几乎可以说是大魔王级别的统治地位吧。是他关键今年是连拿两个 EVO 冠军，就是年初那个 EVO， japan 跟这个这个月的全刚结束了。对，刚刚结束束这个 EVO，, Start Time: 2011050
Text: 他也是拳皇的冠军，都是冠军。然后其实最早的时候，他零七年斗具的时候，那个时候他十八岁就拿了拳皇酒吧的冠军，当时就非常震惊。然后我觉得他可能是日本格斗圈最出名，或者说最早出名的这个中国选手。嗯，但是很多日本格斗选手提到都会提到，中国选手可能都会提到效果。对，, Start Time: 2032460
Text: 但是他呃可能呃拳皇是非常有统治地位，可是其他的项目就是不是那么的出彩。但是他也打，但是可能就没有那么出彩。是包括这次这个很很出圈的是他这个蛋糕盒子对保护自己的这个手部动作，对摇杆动作的这个策略。对他是为什么要要照一个这么一颗？这个是一方面。再一方面我我也我也听到有一个，, Start Time: 2054300
Text: 但我没有没有实际情况，就是当时现场什么情况咱也不知道，就是听到有一个推测是说啊是不是有选手，就是说他那个遥感反光。对，然后那个黄金摇杆有点太闪了，然后别人说的他受不了，大家可以看到时候这图也有可能啊也到有这个时候，但不得不说他这个策略简非常出圈，就是效果非常好。, Start Time: 2078640
Text: 拳霸非常开心，真的是好多好多好多截截屏，截那个那个盒子。我这样以高达形态也出现对秘密武器，我将以高达形态出击。对对，非常出圈。那这个就算别人看到他手不操作会会怎么样啊？呃，是这样的，就是因为他们当时这个都是情侣座嘛，所谓情侣座就是俩人面对呃并排做并排做。然后这样的话呢，, Start Time: 2100110
Text: 就比如说啊呃说一个比较简单的情况，就是我被对手打倒了。然后我这个时候我要是有一些操作的话呢，那对手就知道我起身一定会干点什么，然就是他能用余光看见是吧？对对哦对啊，明白，或者说可能更有甚者他能直接听见你拍的非常响哦，这种这种这种感觉的对，然后那那对那那他起身就会防你一手，, Start Time: 2122590
Text: 防你一手哦。那如果你你没这个动作呢，他可能就起身一手或者怎么样。对，就是非常常的细节。但可能谈职业选择里思考的比咱们这个想的还要更多。明白，所以可能也会有这样的情况。但你看像那个就现在正在打的这个石油杯这个一个街霸的比赛，然后他们就像那个别的那个电竞项目一样，, Start Time: 2145970
Text: 就比如说现在两头座，对对，像 dota 或英雄联盟就开了。对，坐的比较开，他是那个舞台是两侧这样两个人就是可能四十五度角面对面这种感觉，这样就用，而且隔得很远，对，隔得很远。对，明白。对，有的时候会这样啊，以前有的那个街机时代的时候的比赛是背靠背的。对，就是街机背靠背，, Start Time: 2165380
Text: 就俩人就是看不见的哦，害怕。对对，种种对确确实可以。然后街霸的比赛，今年这个 EVO 真是特别特别的精彩。因为也是街霸六刚上的，应该是目前街霸六规模最大的一个赛事。就像之前比的 CEO 啊，或者是之前的那个比赛的邀红牛杯，邀请赛都是比较少，人数比较少，职业选手参加的比较少。, Start Time: 2183260
Text: 像这个这次就是报名的人数非常多，然后职业选手去的也非常多。虽然很可惜有一些日本和比如说咱们国内的选手也没有能力能能过去，有可能他们日程安排上有冲突，或者是有一些别的方面的问题。这不能线上参赛，不能线上参赛，这肯定是得线下比赛哦。但是这次参赛这个职业选手也非常多。, Start Time: 2205440
Text: 最后是这个怒鸟， angry 是 birangry，是对，拿下了这个街霸六首个 boe VO 世界冠军。同时最重要的是他也获得了一张通往卡普空杯的门票啊，为什么这么说呢？因为这这届卡普空杯之前在街霸六发售的宣传期的时候就说过呀，总奖金超过了两百万美元啊啊，, Start Time: 2226470
Text: 就是这么个对两百万美元，然后冠军一个人独享一百万美元好家伙。然后呢，在日本的宣传都是冠军能拿一亿多美元。嗯，就日本特别会宣传日。对对对，你换算了一下以后就是一亿多美元，这个感觉说起就特特别爽，我觉是可以作为漫画题材的那种啊。对我说一下，好像以现在的汇率看是一亿三四千万呢，, Start Time: 2246950
Text: 还不少呢，还不是说一亿刚出头。所以其实职业选手对这个这个年底的这个 cup 空杯这个势头都非常高。嗯，然后说到这个 angry bird，其实有一些人会有一些看法。因为七月初这个南非红牛杯的时候，嗯，七月初你想就是这游戏刚发没多久，是对游戏刚发没多久的时候啊，, Start Time: 2269210
Text: 来自阿联酋的这两位选手两个鸟吗？ angry bird 跟这个 big bird 怒鸟跟大鸟他们俩的表现就实在是太抢眼了，嗯，太抢眼了。红牛杯的时候，我如果没记错，好像是邀请了十几十五个选手，还是十几个选手去去打，是邀请赛制的呢？对对对，然后但他也有一个这个那个留了留了两个名额，, Start Time: 2290860
Text: 还是一个名额，就是你可以参赛选拔，然后然后这么多人一块打，然后最后十六个人打吧，好像是。然后呢呃开始打的时候不是抽签嘛，然后这俩人就抽到了小组，就第一轮就遇上了，那时候相当于提前相遇，对，提前相遇。然后结果他俩这场打的就堪称是对家，是本届的的赛，直接提前上演了哦，, Start Time: 2312950
Text: 就打的特别焦灼。然后而且他俩对于这个游戏系统跟这个角色的理解，就完全凌驾于其他选手之上。就是你看他们俩的对局，你在看别人的对局，感觉觉为大大对大家都是职业选手，但你感觉其他选手手根本都会玩这个游戏，为啥呀？是什么？造就了这种天赋，对，为什么呢？就所以就有人就是就是会有颇有微词嘛，, Start Time: 2334030
Text: 就说哎你们是不是那个角前的一些练过啊，因为破解版事件或者是怎么着，或者对对对，没事闹的挺凶的。对，但是我说实话，咱们局外人你也没有什么实质性的证据，对对吧？这个就是对这个咱们就不好说了。但他们那会儿他俩的那个那个小组赛的熟练度实在是太高，他俩打的就是两个人互相把对付手拖到自己的这个呃赛点，, Start Time: 2355770
Text: 然后最后的比分是五比四打赢的。嗯嗯，安 ry 布尔其实那一场也是显示他差一点就被大鸟翻盘了。嗯，然后然后他打过了这个大鸟了以后，后边的一路到决赛全是五比一碾压，就他打谁都是五比一碾呀，就声势横早呀。对，直接一局是吧？对，就直接红牛杯红牛杯的冠军了。但是咱说归说啊，, Start Time: 2380340
Text: 那你这又过去两个月了，那职业选手大家这个时间的进步也比我们普通选手要快。那人家训练市场应该也追上来了。对对，那人家最后也是拿到了这个 EVO 的冠军，我觉得某种意义上也是实至名归吧。他这一路上打了也不少北美或者是海外南美，还有这个日本的非常非常有名的格斗选手。, Start Time: 2402040
Text: 那也不是说就是啊我纯靠那之前的那些熟练度，然后就能比拼的人家对这个游戏的练习啊或者思考还是有的，就是这两个冠军就证明绝对实力。对对，而且我不知道是不是我个人的想法，因为我之前看街霸的嗯这个比赛都很少啊，就是因为这次街霸六很火很出圈，我我也去去看一下，虽然玩不明白，, Start Time: 2423920
Text: 看不白白，看着很爽。哎，对对，但我就觉得这次街霸六的观观影观赏体验是不是比之前又更好了一些？对对，街霸六这次的话在我觉得卡鹏在这个方面的功夫下的非常足。嗯，就是咱们说呃街霸系列的比较有代表性的一部作品，就是三三嘛三三那个游戏的话他真的很难，而他高手的这个对决观赏性真的很强。, Start Time: 2445950
Text: 嗯，但他的问题就在于，就是你你一个新接触街霸的玩家，你看他打的时候你看不懂，看不明白，纯纯看不懂。嗯，纯纯看不懂，你根本不知道这俩人在干嘛。然后就是为什么大家都觉得他们俩很强，为什么都那个？所以其实比较三三那个时候比较出圈的那个一个片段，就是名人大巫跟 justin 王好像是 let's go，, Start Time: 2470250
Text:  justin 打了七次还是对呃，十五次，十十五次，十五次 EOO omenent 三十七。对，但那个就属于你看大家都能看得懂。是对，但那个呢其实你放在街霸三三里，不是一个特别特别那种天花板的对，特别天花板的操作高手都会。对对，只是他当是那个状态下，就是人到那儿了，, Start Time: 2491070
Text: 在气氛到了下操作出来啊。对，以及当时那个很少有职业选手会在比赛里就是把这个操作打出来。就这个东西本身大家都研究过，也都不是说顶级的难。就因为后来那个复刻的那个街霸三三，就是他有一个挑战，就让你打这个哦打打这套连段，其实其实大家都可以打到，但当时那个赛场气氛就到那儿。, Start Time: 2513100
Text: 而且关键的是我记得那那场场其最最后没没赢赢，但只是那一局局赢赢了。但但这可能是我记错了，大家可以在评论区，就如果大家都会，但是如果在同时的比赛，以及对自己的一个临场的心理的这个压力，抗压的能力都比较强。但你看那三三的时候，那个时候就是你普通的玩家，你根本就看不懂。, Start Time: 2534720
Text: 那 g 八六这次就不一样，就是他的游戏系统深度也很高，就是也有非常值得你去挖掘的东西。但他同时观赏性用非常强，反象非常好。对，就是他某些节点，就虽然你看不懂，但你知道这回哇这边这个人肯定要要遭难了，他这会儿肯定要吃套大，或者说哎这个人肯定他现在就是要要要有这个准备逆转了。, Start Time: 2556120
Text: 嗯，如果他这个状态下，他都能把对面翻盘了，那你就知道我就知道哦，这个人太厉害，他现在这个状态都能翻盘，就是他这个观赏性做的会特别特别的让你很能看懂，很能感觉到到什么时候每个人特别强势势他特别有利。什么时候他特别啊可能要这个小心一点了，这种感觉。哎，对，我就是这这个很奇怪的体验，, Start Time: 2577330
Text: 因为我根本明明根本就不懂，但是我也能看的特别有乐呵。对，所以我觉得街霸六这次可能卡彭要是好好发挥的话，可能会迎来格斗游戏的一个再一次比较出圈的一个一个阶段。嗯嗯，就刚刚说到那个那个冠军的时候，其实他这个最后的前六名其实还是比较值得说一说的。而这个 EVO 的这次的亚军呢是这个 manner 二 d 这是一位来自多米尼亚的选手。, Start Time: 2597910
Text: 这个选手呢呃我个人没有特别喜欢他，因为他的打法会比较独特特，就大家会称叫叫冠军法。但是是家实实力还是的的，因为他是好像是八霸时代，唯一一位来拿两次卡普空杯的冠军世界冠军的选手。对，就因为现在街霸五也没了，就是没有人再能挑战他这个两次卡普空杯世界冠军的这个头衔了，, Start Time: 2624730
Text: 就刚街霸六是不是有人可以再打到啊两次或者尼亚的选手冠嗯冠军，他是一七年。我如果没戏斯后的话，是一七年拿了一次，然后那个二二二年还是二三年的时候嗯拿了一次。现在网上出现他相当多的跟这个安徽波尔的的些些图是用那愤愤怒小鸟跟对跟那个小猪猪对对抗的图啊。对对，因为大家戏称他叫朱皇。, Start Time: 2649410
Text: 因为他一七年的时候，九八五跟克多打的时候，他用的是一手波迪。嗯，哎那，不是我对对，是您最喜欢的最波迪。嗯，对，然后但我觉得这个选手怎么说呢？他比较好玩的一点是他特别擅长发掘一些大家没有意识到的强爵的强劲的点啊，就是可能有些角色就是在大家看来没有强度，没有那么高，, Start Time: 2674720
Text: 但他就总能找到一些本版本之下，就这些看上去不是那么高，强度的角色的一些特别令人难以处理的一些套路。嗯，就比如说伯迪在他之前其实没有很多人用，就没有人觉得他那个呃那个夏容水那么强。嗯，然后包括这次的这个布兰卡，直接就被大家尊称为原神。什么原神神为啥哦原神对猿猴的猿神神对特别特别猛，, Start Time: 2700580
Text: 特别特别猛。就是他的这个布兰卡打到最后，很多人处理不了，就没有任何对策。但是但是可能就是大家看过他这个打法了以后，然后再去针对他的这个打法，就做对策。可能啊之后他也不会那么但是他总能在这个版本之下发现一些这种就让你很不舒服的角色，很很边缘的角落，发到发现一个特别对珍贵的东西。, Start Time: 2730470
Text: 对对对，那我其实不喜欢这个人呢，主要是因为他就是他有的时候就是通俗来说，通通俗来说就是很会凹，他总能凹的过，你就是一些脏打法是吧？对，就是他就是无敌记，就是每次都能猜准，或者说大概率他能猜到七七八八啊，就是很就是你就是打的你很不服气，不是说那种这也是一种本事，, Start Time: 2752090
Text: 他就搞你心态。对对，然后我当时就跟杨指导讨论那个事儿，杨指导就说他说那你这么想，人家总能熬得中，那也是本事。对呀，那你不服，你也可以熬，那你怎么叫熬不中呢？是对啊，那那他说格斗游戏本身就是靠赌的，其实是会有一些运气成分的。因为如果像这个大家就是就是按操作的话，, Start Time: 2775140
Text: 那个游戏会变得很无聊，就会变得很没有随机性。他其实他是会有一些这个运气成分。高考还让押题成分。对对，他说那那人家能赌。对，就说明人家心理博弈的本事比你强，就不是说人家人家实力比你强，人家心理博弈也比你强。对，那你没什么好说的，输以这个也是实力的一部分。对，, Start Time: 2794940
Text: 输了就是输了。嗯，对，然后包括像这个胖克，胖哥就不说胖克这个选手比较搞怪，就就不提他了。然后呃像这个第五名的这个海塔尼，他这次的比赛我觉得最抢眼的就是拿了一首现代春丽。嗯啊现代春立对，现代春丽，然后直接打到了就是一路也是一路过关斩将。那最后遇到这个几个高段位选手的时候，, Start Time: 2813840
Text: 可能还是对策上不是很足，有些东西不好处理。为什么说我觉得这个很很很有意思呢？就是现代模式是街霸六这次创新的一个操作模式，还是那个现在现现代模式，它就是可以一接自动挫招啊，不是不是自动挫招，它是就是会有一些输入指令的简化简化。哦，对我很玩，就是那个对对对对对对，, Start Time: 2840190
Text: 然后呢一开始这个现代模式刚出的时候，大家都会觉得啊可能是不是就是没那味儿啊，或者说或者说它能不能跟其他选手在一化化，因为它不有简化了吗？对你放在这个职业赛场上，是不是就不太行啊？是，但是当时发售的时候，卡普就明确说过，这个现代模式是可以参战的。嗯，那个动感模式，, Start Time: 2862110
Text: 你说那一键挫招，那动感模式有点搞笑，那个不行。嗯，这个现代模式是可以跟传统模式是一样去一起参战的。啊，简单来说，就比如说我发一个波动拳，我是这个传统模式的话，我就要下前拳这样一套指令出来。但是这个呃这个现代模式的话，我只需要加方向加一个按键，就可以出这个出这个招。, Start Time: 2881490
Text: 但他有一些局限，就是他很多呃一些别的招会没有他会就是比如说一些特定的拳脚，比如说中拳重腿重腿，他可能某一个就没有你被优化掉，对，就被优化掉了。所以你可能在面对这个角色，在选择的时候，你可能在例会上面就会有一些吃亏的地方。嗯，但海塔尼这一手现代成立，就足以说明这个现代模式是相当值得研究的，, Start Time: 2901700
Text: 强度非常高。所以我觉得之后可能也会有别的这个现代模式的角色登场。嗯，然后就就就比较那个的。嗯，对，然后我我还最后提一下，就是这个土皮 poto 选手手次也是呃一届 EV 里这个日本选手 EVOO 为这届 EVA 大赛里这个日本选手排名最高的一个，他最后拿了第四名，, Start Time: 2924440
Text: 前面三个是怒鸟 manner RD 胖哥。然后第四名就是他嗯我觉得也是非常非常不错吧。他其实 j 霸六刚发的时候，那几场比赛打的都不是很好，包括之前的那些比赛打的都不是很好。但是这次因为我也拿了一个不错的成绩，我关注他，因为为他就用鬼鬼用的比较多，但八四四跟五的时候都非常喜欢用好鬼。, Start Time: 2946640
Text: 哎，但现在有好鬼吗？哎，可惜现在没有好鬼，好 j 霸六的好鬼说了是会在明年春季的时候更新。我记得那个机票上有机票的最后一个，四个人物里的最后一个。所以不知道他明年更新的时候，会不会会不会在用回好鬼。但土 k 六这个选手吧，他是那种呃就是比较科学打法的，就是这个版本谁强势他一般都会用谁，, Start Time: 2968930
Text: 就是教科书吧。对对对，就跟着版本走的。但是他又不是那种灵敏版本的，就不是说他他会发觉一角角色，他不是大发明家。对，但他就是实干家，就执行力很强强的。对对对对，然后比如说这个版本大家发现可能比较厉害，然后他就是各方面性能比较优异吧，让他也就会跟着用坑。对，然后你看成绩也不错，, Start Time: 2993090
Text: 这样。哎，说到这，我还有一个 tompito 的签名的哦，哎，他本人的签名，我觉得他这个签名还挺逗的。可以 excel 在我面前秀了一下。对，可以画完时间之后给大家看，他画了个小笑脸。对，太离谱了。嗯，对，因为他这个 poke face 啊， murder face 是他的一个招牌。, Start Time: 3013150
Text: 对一个招牌，除了这个这些赛事新闻以外， z 霸六还刚刚公布了一个跟忍者神龟的联动是嗯非常的不错。看为什么跟忍者神龟联动呢？怎么连是就是一个皮肤哦，但是这个这个联动说实话我觉得槽点很多，一是一个。首先是我结合之前那个饿狼传说啊星座的时候，因为这个联动是孙奇楼老师画的。, Start Time: 3029250
Text: 嗯，我我我看的时候其实有点怪，我我总会想到当年的那个拳皇的封面。对啊，所以看到他画这个忍者神龟的时候，原来在他底下的忍者神龟是这样的，我还挺好看的。 z 霸之前那漫画也是他画，嗯，画的也特别那什么。对，就是总觉得有点串戏，但是又画的特别好。是，然后另一个就是这个忍者神龟的皮肤，, Start Time: 3054610
Text: 其实现在也有很多人不满意，嗯，所以草率的一个是有点的嗯，有点太贵了。而且这个大家都知道，这四个乌龟其实看上去差不多，但他但他每一个都是卖一样的价格，而且都很贵。对，所以现在有有很多人讨讨论说这个到底是不是一个巨大圈钱行动，嗯，还不买，就是 teenage muton in the turtle。, Start Time: 3075490
Text: 嗯，看大家喜好吧，这个也不知道是不是大家的童年债是对不起，这个不是这个不是我的童年站，我不会花钱，但我觉得穿这衣服跟对方打还挺挺怪，对对手可能会接受攻击，有一种嘲讽嘲讽效果拉满的感觉，不知道为什么。但另一个角度，我觉得这也是一件好事儿。因为街霸舞的时候，咖风最经常联动，, Start Time: 3098880
Text: 就是跟自己的 IP 是怪物猎人，什么怪物猎人、洛克人什么这种嗯这个玩来去最最后有的活动吧。但是他现在就是游外走，对外走，我我觉挺挺好，是一个挺好的。开端以后可能有更多的联动，也说明我们这 IP 火了嘛。对，美女神规也是一个 master，对对，也很正常。对，, Start Time: 3118370
Text: 最最合的是正对招位口。说完这个街霸的一系列活动以外，也说说我们自初的活动吧。哦，耶嗯，得那我就来给大家说一下这个这些标题是什么来着。最初的感动，重拾最初的感动，北京合剧院的朋友们将在这个对九月的九号十号在北京易创国际会展中心举办老地方、老地方。对，然后呢大家很多人说问什么时候开票，, Start Time: 3135750
Text: 我们会将在这个八月十六号啊，然后开始这个开票，也就是下周下周三下周三哪天开始就开票了。对对，然后这次啊我我们的阵容相当之强大，然后场馆相当之之，这个之容之给力给力。对，很满啊。然后有这个很多来自这个国外的厂商，嗯，以及来自国内的厂商，很多首爆的游戏，然后也有很多你想象不到的这个惊喜。, Start Time: 3164940
Text: 但现在还都不能说。对，现在不说没没意思了啊。然后咱们十六号到时候看一看都有谁会参加呢？对，然后对，反正就是预告一下，先先预告一下预告的预告。对，下周咱咱们再详细的说一下，都有有什么。那那我说说点能说的吧，我我来现在透露一点，这个核聚变期间能说的来来来快快快。, Start Time: 3194860
Text: 就是这个九月份的九月九号、十号这这两场合剧变的活动，当场场一场一场合剧变内天啊啊 boom 这个展馆内部啊，我们开辟了很大的一块区域，嗯，这个给到我们所有参与过 boom 的开发者。请注意这个这个区域是只提供给所有参加过 boom 的开发者的，不是谁都能报名者。, Start Time: 3216780
Text: 嗯，啊这个这我们一共这个区域里，我们一共提供了六十八个展位，是免费提供六十八个对六十八个展位，然后免费提供给这个 boom 的开发者。嗯，所以大家现在的话呢就可以看我们的时间轴，看我们网站里来报名。只要你参加过我们的游戏开发活动啊，对，就可以。现在赶紧报名占这个免费的展位。, Start Time: 3238660
Text: 对对对对对，免费的啊。我们这次在这个北京的核聚变两天，甚至有一个四千平米的大厅，都是为咱们的 boom 的活动。开发者们准备咱们今年有一个 boom 的自己的专属展馆，然后里边有有一块区域留给到我们的开发者搭这个暴造馆。对对对，然后大家注意不是说啊你参加了今年的活动啊，, Start Time: 3258480
Text: 是你以往参加过都可以以。零一九年开始到现在，对你都可以带着你 booboom 的作品来。然后有的朋友会说啊，那我当时 boom 那个作品，后来我又完善过又更新过，没关系系带你新版，但你最新的版本过来，嗯，我就感觉会见到很多新老朋友啊。对对对，因为去年核聚变就没成型。, Start Time: 3280550
Text: 对对对，感觉非常遗憾。本来想说跟老朋友们见见个面啊，今年我们就啊重整旗鼓，我来了嘛。对，就啊就要回馈给我们的这个好朋友。在这展厅里同时会有我们 g robpublish 的这个大展位啊，是也会重新公布一些我们这个新的 m 的 m 的的专属展品啊，当然也都是从这个 boom 里面走出来的，, Start Time: 3300070
Text: 非常的厉害。对哎，那我们这个比方说我们来的一些朋友们，他想跟我们这个发行的这个同事们问一问这个了解一下，或者这个具体的情况是不是也能在当地去问呢？那我会在那个参域里多逛做做。嗯，这样我们的同事肯定会在嗯嗯，然后我还要特别感谢一下范克里夫大卫朋友哦，老朋友他说他他昨天跟我们承诺说，, Start Time: 3322410
Text: 他要现场提供六百多瓶饮用水给参这个区域的开发者朋友们，那位老师。对，因为呃如果大家参与过线下展会的话，就会知道。因为开发者们他们那两天那两天来了以后，他会面对无数的观众，无数的这个玩家，然后他要一遍又一遍给他们讲这个自己的游戏是什么样的，然后教他们玩，或者是呃听他们的反馈，, Start Time: 3347760
Text: 然后跟他们聊就是非常非常累。所以呢他就说啊太辛苦了，我要给我的好朋友们提供一些力所能及的支持。然后他就说那两天会给我们提供六百多瓶饮用水，简直太感动了。感谢大伟老师，但是大伟老师嗯啊那既然都提到这个 boom 了，我还想再多说一句啊，如果有朋友说，哎，那我也想去，, Start Time: 3370560
Text: 但是我现在还没有过作品，怎么办呢？没关系，没关系，你还有机会，你还有机会。哎，因为我们这个八月的这个 bomm line 暴躁实验室，我们还有一个 mini jam 的活动，对这次的活动呢还在招募期，还在招募期。现在大家听到这个电台的话，如果觉得哎跟自己的小伙伴有时间，, Start Time: 3392640
Text: 还可以来报名参加我们的这个活动。嗯，然后这次的这个 mein jam 呢跟以往的这个 bone 不太一样。所以我们也是放到了这个暴躁实验室这个这个 IP 之下去去做。嗯，它有哪些不一样的。因为这是我们首次增设了这个线下的开发站点。嗯，就大家就可以在一个我们提供的场地里跟小伙伴们一起啊，, Start Time: 3411870
Text: 线下的面对面的啊共同奋战。对，然后这一次的开发时间呢是一周，然后还会有两场这个线下活动，呃，两场沙龙主题分享。然后十九号的时候是还会开题的时候有活动。对，然后到二十六号大家作品提交了以后呢，我们还会有一个线下的实际展示。对，这两场线下活动呢也是欢迎大家来玩之后，, Start Time: 3432710
Text: 呃，但是十九号那场只针对开发者啊，二十六号那场的话会开放这个玩家跟观众的通道，但是呃现在还没有开启报名。如果大家想去的话呢，可以关注我们下周这个发布的这个报名信息。嗯，对，然后以关注这组暴躁喵这个账号。对对对，然后大家都会可以看到。然后详细的这个说明呢，大家可以看实间轴跳转到相关的页面的文章啊，, Start Time: 3454830
Text: 都会有非常详细的介绍。总之是非常推荐这些有能力有兴趣的，呃，还没有成为开发者，或者说已经成为开发者的人来参加这个线下的活动。对对对，如果你参加了这场八月的这个 boom lab 的活呢，你也可以以带着你的最新作品到九月份的北京核聚变，北京核聚变的线下的参展，, Start Time: 3479400
Text: 这不就连起来了吗？对，连上连上了。对，所以最后还是要感谢这个鹰角网络开拓星这个品牌对我们的大力支持。开拓星是阴角网络发起的，旨在鼓励协助优秀团队进行游戏创作的服饰品牌。啊，感谢开拓星的全年支持。嗯，然后还再说一点啊，就是我们的志愿者开启招募了嗯对北京站的志愿者，, Start Time: 3498040
Text: 嗯，然后这个都可以在这个集核搜索这个核聚变，然后来看这些我们的这个招募的信息，嗯，这到时候也会放在时间轴里面。嗯，对，每年这个北京核聚变的志愿者们也是非常的辛苦。是的是的，北京核聚变的成功举本上都少不了志愿者们。嗯嗯，对，然后刚才那个我们提到了关于核聚变的信息，, Start Time: 3518740
Text: 大家也可以都来我们的 APP 啊或者网站搜索嗯来来看。然后关于 boom 这个 mini GM 可以来 APP，然后进入 oom 暴躁的这个社区里面的这个头图，现在哎是这个活动的具体详细信息是是是好的。那接下来继续报一些新作品的消息哦。嗯，刚才提到了很多这个预告的预告啊，, Start Time: 3541210
Text: 包括我们自己的核聚变啊。呃前两周其实使命召唤搞了很多，哎，我一猜就干活预告的预告是那个终于公布了啊这一周公布了使命召唤现代战争三哎，二零二三年的这个算是新版的吧。啊，公布了他们的反派马卡洛夫的预告片角色预告嗯嗯呃通过这个角色从。哦，这我我不知道是不是监狱啊，, Start Time: 3563650
Text: 还是一个地下地下组织啊，就走出来展示他这个塔兔吧啊串联起了一些经典的这个系列的场景。是的，名场面对很多的这个我们的老玩家们也看出来了啊。 remember，我还特地采访了一下纳迪亚啊。嗯，娜老师说这个看了这个有什么感想问他要不要预购啊？对啊，就很有意思。娜老师说这个确实有很多这个熟悉的场景啊，, Start Time: 3587880
Text: 啊，上很多回忆忆上青哎，哎，也确实毫无疑问，非常期待这个现代战争。三，但我问他是否要预购。嗯，首先娜老师跟我说，他他是不太预购游戏的。对啊，之前在节目里好像也说过这件事。对，然后呢，他停了一下，嗯，然后跟我说，他上一次预购游戏是二零四二啊啊，然后这个话差不多也预告了这次游戏的这个结局了。, Start Time: 3614000
Text: 呃，没有没有，不是这意思啊，不是这意思啊，尽在不言中，好吧，朋友们，嗯，那小五，你的这个这个预告有没有什么？哎，我我我怎么说呢？我觉得使命召唤这几代伤我太深，但我补充一点啊，他虽然他口上他嘴上说他不预购，但他这个必定会买啊。因为他每一代 SUD 他都他是肯定会买的，, Start Time: 3636750
Text: 他已经被这个 IP 绑架了，现在只要使命召唤他一出他必买，所以他到时候肯定就是能预载的时候他就买，然后他就预载了。但其实这跟预购也没什么区别区别。对，如遇足够就早买晚买。但是我不得不说这个近几年的使命召唤，我玩的都非常非常少了。最多的还是那个一几年的那个现在认真重启的第一座。, Start Time: 3657410
Text: 嗯，那那一代确实玩的非常非常好。然后各方面就感觉这个游戏步入了次时代，非常的现代化。包括大家说的非常好的这个整体的音效设计，然后包括这个地图的这个就是整体的那个光照都比以前要好得多。然后建模啊或者什么的都比以前要好得多。但是呢又要说这个，但是这后边连续这几代 COD 先锋呃，, Start Time: 3680910
Text: 冷战跟这个先神人二先任二二，就我我也我也呃我先锋没买，但后边这两个我都买了。嗯，然后真的就是玩了一下就玩不下去，玩一下就玩不下去感觉。呃，我我可以理解疫情肯定对大家影响都很大。嗯，像他们这种又是必必须要出吧，可能就是各方面的公司方面的压力都必须要出。但是实在做的就是我觉得就没有让你特别沉，, Start Time: 3707930
Text: 就玩了以后特别能一直玩下去。那但肯定还是有很多人一直在玩嘛，仅限于我来说，我真的这几代玩的都特别感觉特别一般。所以这个仙战三我打算观望观望了，就而且他这个 COD 这个这个三看着也太刻刻行动了，不知道是故意这么做，有什么暗示，还是就是图个省事或者怎么着，也不知道这次他有没有是剧情方面的变化啊，, Start Time: 3731600
Text: 那肯定是有的。对，因为上一周是其实改动了很多。对对对对对对我我一这个问题啊，就是我其实是从使命召唤幽灵之后，就不怎么玩 COD 了。就我之前对于 COD 的一个很直观的观感，就是他起码单人剧情占很大的比重。你说到点子上了，然后我这两年跟朋友聊 COD 的时候，, Start Time: 3754760
