Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机和宝加九 pro 朋友，你再也不用担心被揭目安利的时候找不到那个游戏了，你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27700
Text: 等于是四年后，对吧？等于是一个很甩卖的一个赛一个一一个游戏。嗯，然后这个之后等于是，而且这个游戏他的呃收入非常好。嗯，我记得当时是有一个他他他的参加一个参加一个节目的时候，给他就是介绍的时候，他说是可能是世家业内是是世家公司内部那个销售成绩最好的一个赛车戏，, Start Time: 1964580
Text: 公司司内部绩绩最好。对对对对对，呃，等于孟美之后，呃，他下游戏还是一个赛车，嗯，叫那个特 scatlaace。对对对，这个是然后基本是换成了那个 model。 l three 呃英文是 SCUD 啊 RACE 哦哦，对，它好像是使一个呃是用的当时的一个一个一个赛车的一个一个一个锦标赛的名字哦。, Start Time: 1986640
Text: 斗豆游戏。对，这个咱国内就是基本上很很很少，没怎么见。对对对对对，所以确实没玩过这个。然后之后呢，就是可能也差，就是因为梦梦美的那个确实是卖的比较好。嗯，然后大哥的那个成绩个人就是呃业业业绩上比较比较比比较出比较出色。嗯，然后九八年以后跟当时林工玉的一样，, Start Time: 2014050
Text: 他也是从 AMR 出出来，成立了自己的那个那个制作组，叫 AM 十一。哦，对，那当时这两款赛车游戏它是主要是做什么呀？呃，他都是都已经是制那个制作人哦，制作人是个 produce。 er 哦对，也是从那个九四年的时候，他就是开始抛头露面，就媒媒体也能看见明媛远洋的这个采访。, Start Time: 2037840
Text: 哦，对，之后他成立那个 AM 十一以后，嗯，就等于是发展发展历程跟之前铃木域差不多嘛，铃木域是从那个第一研究组，然后脱离成立第八眼嘛。嗯，但是两个他虽就是师程城铃木域域块块，但是两个人呢其实那个呃各方面还是有很大差别的。嗯，铃木域他是那种技技术狂人，嗯，就是包括三 d 也好，, Start Time: 2062160
Text: 其他也好，他是那种追求业界最尖端技术。嗯，而且他这个人是不玩游戏的哦，不玩游戏。对，领不玉本人说我他除非是自己的游戏，嗯，他来做测试的时候，嗯像会深玩一下，剩下他是尤其是不粘的哦。他说你宁可你要让我玩玩赛车去的话，我我为什么不去开真车哦，就是玩真实那一排。, Start Time: 2084560
Text: 对对，等于于是要玩托车副副表表什么，玩电脑还是有钱。对啊，他是会把那种其他领域的那些那些体验来做成游戏哦，做成很很牛逼的游，很牛逼的游戏，然后让你玩家去体验。嗯，然后但是呃明月却不是明月，明月他是会通，因为他本身是玩家嘛，嗯他会更多的考虑玩家喜欢什么，嗯，, Start Time: 2106520
Text: 考虑考虑市场的那个需求，他是等于是两个人的是呃也不算是极端的，就是完全方方向是不一样的。嗯，所以呢可以看出后后来明月的很很多游戏就是针对性很强。嗯，对，所以可能这也是他后来能发展的比较好的一个优势，这毕竟毕竟是真喜欢跟假喜欢。对，因为你毕竟还是商品嘛，是本身你个人能力太突出。, Start Time: 2128685
Text: 你要是跟那个用户那个差太就是口味差太远的话，或者完全摸摸不到。用用户的那个喜好的话，还是对你销量是有一些阻碍的。对。然后之后就是 AM 年 AM 十一年呃，独立以后，他们先做的是那个这个游戏的，大家应该都听过是那个锐基哦， spyle ILT。对，当时是呃也是 model three 的嘛。, Start Time: 2151770
Text: 嗯，他这个他这个游戏主打的那种机，因为一般的当时咱们那些横版的那个不也不是横版，就是轻版的 ACT，嗯，嗯，都是那种情侣机就可以坐在一块打的嘛。哦，对对，他这个游戏是等于跟格跟格斗游戏一样，是几个机台来联网打。哦，对，等于当然当时是不是希望是那种就是玩家那种呃完全不认识玩家通过这个通过这个游戏，, Start Time: 2176900
Text: 然后在游一定的相识，嗯，就是跟那种就有其实有有点是不是有点像现在网游的那种那那那那种体验的那种理，其其实就是随机开开间间。对，有点有点那意思，有点那意思就是一个漠漠不相识的玩家，可能带对过头一币进来跟你一块玩玩哦。对，而且这个游戏当时也是算是非常另类。因为九它是九八年的时候，, Start Time: 2200760
Text: 已经是日本，日本阶级已经基本是格斗游戏的天下了。嗯，对，这种动作戏也好，就是是属于那种完全不太受呃接那个游于街机厅经营者的欢迎的。嗯，因为你想你格斗游戏的话，两边一人坐一个人，嗯，基本这一局你输赢都得下去，一个对，接着投币。对，但是这种动作游戏的话，你一个玩的好的话，, Start Time: 2222570
Text: 一个币通关，这一下午这这一台机子对，就全是他的了，全是你的了。对，这种机厅的这种营收出台率比较低。对，非常低的。嗯，所以他本人对这个游戏评价也是那种玩家特别喜欢。然后由于听老板老板都恨然吧，但是是还是坚持做起来了，当时确实而且也卖的还不错。嗯，然后在九九年九九年还出了那个一个新版，, Start Time: 2244630
Text: 就是也不是相当于那个升级版嘛，叫 sparout 的那个 FE。嗯，就是 final 路 ID 头，就那个最终调整版哦，增加了一些关卡和敌人。嗯，但是其实他他本人对这游戏就对这个特征版是不太满意的。嗯，他说他还想做一个叫 pof e 就是 profct。哦，, Start Time: 2269520
Text:  p 对，他想在里边加入那个多分支，嗯，就比如你四个人练四个人同时玩吧，但是你可以这俩人走走 AA 路线，这俩走 b 路线，然后在 c 的时候同时会合，嗯，然后还想加入 NPC 的那个对话功能，就是错剧情，等于是有有一点像后期如龙那个。哦，对对对对，等于他可能把当时那个这个游戏别一一一些遗憾，, Start Time: 2288200
Text: 然后后移到到如龙里对这游戏这游戏我记得后来 x box 上面还出了一复刻是吧？对对对，那等于是主角是那个一代的那个主角孩子嗯嗯大大，但但他他的关他的关卡好像是和 FFE 是一样的。嗯，但是嗯那个版本评价不好的原因是因为一是那个 s box 手柄嗯不太不太好使那个蓄力剂。, Start Time: 2309640
Text: 嗯，二是他当时取消了一些阶机性，就是大家练的很练练的特别熟的那些练习技哦。对，所以在玩就是在在在老玩家爱爱爱好者那个眼里挨批了评价。对，不是特别好。嗯，然后很快这个这个游戏做完之后，就是世嘉迎来了一个就是比较大的一个震动，就是退出那个降级市场。嗯，但是他那个明月本身是一直是负责接机这块的，, Start Time: 2334430
Text: 嗯，可能对他的影响不大。嗯，但是确实是是那一些呃一一些变动，就是还是对他的那个一些开发计划，有有一些有有有有一些影响。嗯，对，就是最明显例的。就是他直直接世家把他们那个几个研呃几个开发开发部直接独立，让他们以这个子公司的这个形式来运营，就等于你你们要自己来独立的盈利嗯来维持你的公司营收哦，, Start Time: 2360040
Text: 等于他当时 AMAM 十一言是成立的公司叫那个 amusemental b 囧。嗯，就你听的名字就是那个负责接机这块的嘛嘛 amamusement。对对对，等于是之后他公司的第一款作品是那个太空哈利的续作，嗯，叫行星哈利行星哈利。对，等于是是他还用用用的，, Start Time: 2389180
Text: 用用的是一个新级版，叫那个伊卡鲁。嗯，叫应该是光吧，日语的那个光的那个那个那个那个读音。对，等于是取消了当时那个体感的那个矿体，就改成了那种普通的一个飞行遥杆的方式。然后画面是那种在那种外星球，嗯，每个美观是一个不同星球，然后之法还是老哈利的玩法。嗯嗯，这个游戏就是可能是没有没有，, Start Time: 2411400
Text: 因为没有家庭剧板嘛啊也是呃没有，就是咱们国内不是特别熟悉，嗯，然后之后的就是那个四盘 monkey board，就超级后头球。对，这个游戏其实挺有意思的，就是因为他后来还出了那个 GC 版嘛。对，等于当他而当时是属于那个任天堂，嗯，在那个力求跟第三方来弥补那个之前的那个关系。, Start Time: 2435080
Text: 对，所以是不是？然后这个游戏 g 机版出来很快以后就就出 GG 版。所以当时是不是然后做 g 机版的时候，同时已经考虑到要针对 GC 这个低龄低龄用户来来做 g 植所所做了这么一个特特别可的的，也有可能跟他之前的风格完全不一样的。对对对，他全全是之前全是打打拳头多的，, Start Time: 2458570
Text: 或者这种赛车的硬盘的面就标的。对，而且他妈这游戏虽然特别可爱，但是巨难哦，对，大家可以玩那个如龙令的那个 PSV 的福袋， APP 里边那些有有一个对那猴子球，那个小游戏有猴子球特别难。所以这个游戏因为难度在日本卖的不是特别好，但是在欧美嗯卖的很好，基本上全系列好像到现在也是四百万哦，, Start Time: 2478970
Text: 那不错呢，其实还是对。然后这个游戏完了以后，还是跟继续跟人生堂合作做做的那个任天堂之前的那个当就是呃本社的一个赛车游戏叫那 f zero 哦， f zero f zero。对，是跟超人和那种就一边玩玩会有摇晃。对对对，那种太空的飞飞船那种感觉。对，这其实就比较和明月的意义了嘛，, Start Time: 2502240
Text: 因为它本身做赛车是很拿手的，嗯，但是这是太空赛车呀。呃，对，但是赛赛车，但是基本上那些甩尾的速度感和甩尾的一些操作，还是偏科幻，不不是那种真实的嘛。对，这这这游戏也是赛赛赛车确实不太熟啊，可能怕怕聊多了就是疲准。这个游戏他街机版当时而且街机版有有意思，他使的是那个没有使用本色的机版，, Start Time: 2522870
Text: 嗯，是任天堂的一个机版哦，对，任当任天堂跟南梦宫世嘉做开发的一个叫那个拖拉伊 force。 polly force 就是那个塞尔达里边那个塞尔角力量是吧？对，你听那名就知道谁家做的了啊， try try force。对，然后呃这个游戏包括对世嘉给他做了猴子球和 m dera 南门宫的那个街机版的马车，, Start Time: 2548440
Text: 嗯，也是这个机版哦。对，然后之后嗯就是可以看出他基本重心就慢慢已经偏移了。嗯，街机当时感感就是日本的日本的街机上就是稍微逐渐萎缩。然后家用机这块儿，世家世家的重心就是逐渐转向家用机。嗯，然后所以后边就是马上就是跟的就是咱们今天的这个主题就是如龙等于是在这之前，, Start Time: 2571260
Text: 然后他做了一系列对各种各样的 GG 的游戏，对呃各种大卖有好有坏吧。算是对，最后最后就开始做如龙衣。我记得应该是在如龙衣，应该是二零零五年发售的是吧，二零零五年十二月哦，十二月发售，那他之前等于是一直在做其他的东西。对，所以他他其实虽然项目很多，但是可以看出他就是分析这的项目，, Start Time: 2597890
Text: 就是那种他基本收益都收益都很好，都还行。对，包括孟美也好，把候的球也好。所以他能在他当时同期那些制作人很多，包括中易斯，后来都都都慢慢就就消沉了嘛，他还能一直就是维持到现在的那个步步高升。嗯，所以跟他的那个我觉得跟他的本身的制作理念就是他会更多的从我要我游戏要卖给谁给谁做。, Start Time: 2623550
Text: 然后这些用户来喜欢什么分析这个用户去。对对对对，然后咱们聊到说之前这个做如龙，接下来就是如龙的故事了。嗯嗯嗯呃等于马我们我们接着说的就是我我们我们的主题就是如同系列它的立项之初的这些始末。嗯嗯，其实他在一五年的时候，呃，世嘉就是基本转战家用机了嘛，家平台。, Start Time: 2646030
Text: 嗯，然后他明月也在一直在考虑就是新的游戏系列的这个企划。嗯，但是当时当时的市场环境，其实大家呃零零四年的时候，日本已经开始就有一些衰退的一个迹象了。嗯，就是基本上大作只有大作，那们鬼谷子的火化。对，嗯，然后包括他因为因为日本一般之前的游戏的输出，都美国市场在日本，, Start Time: 2674180
Text: 日本游戏在美国市场也是很很很有地位的嘛。嗯，包括之前 PS 呃三十二位时代的，还有 PS 二初期那些游戏嗯，就排行榜上基本上都是常年都是日本游戏来刷榜。嗯，但是到那个时候已经是日本游戏，已经很少很很少了。嗯，除呃那些大作生化了，生化生化那个核心装备也好，那零四年的那个生化核心装备三嗯还有还有升华机四这些游戏还可以接着大卖。, Start Time: 2701670
Text: 但是其他的一些小厂或者一些新座了，包括当欧欧美基基本是没有什么地位了，包括当时欧美游戏 GTA 也好，嗯，然后一些大厂 EA 什么转战家用机，所以已经对对日对日本本、日本本身游戏主机游戏行业冲击是特别大。嗯，然后导致日本的这个游戏开发商也开始就是一一些就比比较畏手尾脚，, Start Time: 2727030
Text: 嗯，不知道该做什么，不知道该做什么了。对，然后就是故意的去迎合一些那个呃主就是海外玩家的那些喜好，嗯，然后然后然后来做一些。但是本本身就就日日本游戏，就是它本身的那个文化。嗯嗯，你的游戏的一些特点是跟海外就是完全是不一样的。嗯，所以明月认为就是说你呃与其与其你去费劲的去讨好讨好那些你不太了解的用户，, Start Time: 2752370
Text: 不如就是倾下心来来呃做一款你想要真正想要来表达东西，然后给你真正想要喜欢你东西的这这这些玩家来做，等于是开拓一些新的市场。对，所以他当时等于当当时世家合并了以后，他有他已经是已经不是他从子回社到又又又又回到总社了嘛。嗯他当时的地位好像是那种创业总监，嗯，哦这不是我吗？, Start Time: 2780190
Text: 几何明月。对，然后当时他也想是通过，就是因为旗下已经有其他部门的那个那个那制制制作人来已经重重组了。所以他说可不可以就是跟他之前原有的老部下，然后来做一些新鲜新旧学的这交替，能不能出现一些比较好的点吧。但是试验了一段时间，又还是觉得过于保守。嗯，他希望年轻的那种制作人，, Start Time: 2810055
Text: 有那种更多的那种想做新东西的欲望。嗯，就是说为了表达你本身的那些，可能是那种任性想法，来不顾一切的来来来冲破一些束缚。就比如完全你明月什么的，就是世佳什么什么也好，我完全不放不放在眼里，完全按照我的来，他特别希望那个年轻人有有这种冲劲，嗯，但是其实呃还是就收效比较收效甚微吧。, Start Time: 2839500
Text: 嗯，所以他决定最终还是自己来重新考虑，就是下一步来站立步棋。嗯嗯，他在立项的时候，就是当时给自己定了三个原则嘛。嗯，一个是要是坚信自己多年，然后在游戏业打拼，嗯，包括对游戏的这些审美嗯和和品味，他就完全做一款就自己认为好的游戏嗯，其实是有点那种任性任性。对对对，, Start Time: 2863900
Text: 然后二十就是要放弃现在公司呃所主要抓的这些个目标的用户。嗯，就因为是呃一般的日本的那个游戏定位，基本都是青少年嘛，对吧？对，十几岁对或者二十岁往下或者更小更更小一些。孩子。对，所以他说决定要开开拓这个十八岁嘛，十八岁以上。嗯，一些之前的用户对成人可能年轻时候经常玩游戏，, Start Time: 2891355
Text: 但是已经从游戏毕业成家立业。嗯，然后不不然后基本不碰碰游戏了，他要。但是但是对游戏还有还有一些认识和一些想和有和有和有一些兴趣。他他他想要来主打这主打主打这块用户，然后还有就是一定要让自己的游戏到达一个品质。嗯，因为假如你要是单纯的那种靠卖，你那种创意特别新奇，, Start Time: 2918669
Text: 然后但是你的质量很很低的话，就感觉是那种就是完全是那种投机取。嗯，就是你只是来耍花样，但是并没有真正来对你游戏质量有一些保证。因为他说我嗯要要让要让玩家家是有说服力，觉得我们这游有游戏确实实打实的好东西。所以但是这东西确实要把钱砸。对对，所以这是他当时立项支出三个考虑嗯，, Start Time: 2941530
Text: 而他给他自己这个项目当时起的那个代号叫 product 的 ggggorgorgger。对，就是那个欧美那个 RP 里边那种兽人哦，兽人是吧？绿皮兽人对绿皮的那个，所以不不知道这个为什么什么含义啊，可能是就是想表达那种就是跳出人类是不是就是兽性对固有的那种呃束缚那种感觉。, Start Time: 2967670
Text: 对，所以所以大家看那文章里边，他那个后来把那个项目称成那个 product，就是对对那个 product，就是那个兽人的日语那个究竟哦就近对对，打头头那个 g 哦，所以大他当时就是这个用用用他最开始那个想法，嗯，然后来饶饶饶不下，然后就是不断完善。嗯，对，, Start Time: 2993950
Text: 他最初那个想法一一点一点的那个添枝加叶嘛，嗯然后就是等于是最后呃定的是我们要打我们要打那个成年用户，然后要让我们的那个游戏的内容，就是呃怎么说呢？嗯，跳出当前游戏那些伦理的那些，那你你你那些那些管制嗯也不是跳出啊，就是说我们不不能被那个当时因为日本对那种暴力游戏限制比较比较大。, Start Time: 3018320
Text: 对，然后但反而对对，色情这块儿视头比较开，嗯，他决定就是挑战，就是其实说白就是就是弹板球嘛，弹板球。然后但是因为当时他他他认为就是说游戏与其当时游戏的那个视觉效果已经相当，表表表现能力已经相当高了。就比如你你你你的你的人物，包括你的那那那那那那那些那些效果已经呃水平就表现表现表现率越来越高。, Start Time: 3047680
Text: 但是假如你要永远被这些不能杀人，嗯，什么不能不能掏枪，然后会觉得很假，不能出血。对对对，你这这个这个行业发展的并不是一个好事。嗯，他说与其你被这些条条框框绑住的话，你不如来去呃挑战一下怎么来怎么用，用什么方式来表现这些那种。嗯，比如你就是你杀人的时候，不也就就就比如你掏枪掏枪射击的时候，, Start Time: 3078080
Text: 你不是为了就是单纯单纯杀人，你是为了一个惩恶扬善哦，说你是为了来来来来来打击邪恶，就是给他一个更正面积极的意义，给他赋赋予一个一个一定道理。对，可如是是无目的的。对对对，比如比如比如你别我车，我也揍你一顿。对对，就连那女司司机的对，可以打，你是有理由的，不是没理由。, Start Time: 3103390
Text: 对，这样就是不是那种单纯为了为了暴力而暴力。嗯，对，所以这这是他，这是他的一点考量。嗯，二是还有用户这块，确实当时日本你呃游戏虽然年头不长，大概有从八三年到呃二多二二三十年的这个发展吧。嗯，已经他的对那种用户的品味和你游戏类型这些针对性已经有一个固定的模式了。, Start Time: 3125950
Text: 嗯嗯嗯，就比如你某某类某类用户群，女性，你比如比如女性玩家吧，嗯就喜欢玩那种呃那种 BL，那种那种那种那种 AVD。嗯，相对来说市场可能这些已经对比较刻意的一个比比较习惯的，对你男性玩家永远是动作游戏。嗯，对你的轻轻玩家永远是玩玩 BG，他觉得这个也是一个呃算是一个限制行业发展的束缚吧。, Start Time: 3153630
Text: 嗯，他这块他用的是当时他年轻时候日本的电影业来做了一个比喻。嗯，就是他在他当时小的时候会，或者他就是呃几十年前吧，就是可能可能八七十年代八十年代那会儿，就是说日本的电影业也是和现在的游戏有一些类似的状况。哦，对，就是你的那个呃所有片所所有院线的那些片源，被几个大的电影公司来来来垄断。, Start Time: 3180800
Text: 对，然后你的那个类型片嗯就是就就片子类型很很固定，包括你给你，比如你给大人看，永远是那种包括呃除了色情色片也好，还有那种侦探片，嗯，就是永远是同一条班，同一条班子，嗯，然后同一些明星演员，然后再拍一些同样的题材。嗯，保险吗？对，没错。然后因为因为他，因为因为知道就是这这这这拍出来肯定有人看嘛，, Start Time: 3208330
Text: 嗯票房有一定保证。嗯，然后还有你作为，但是这样的话就是等于是让你的那个我用户知道我经典影院，我我看的永远是这种片子没有什么变化。对，没有什么变化。然后包括你的你你你的用户嗯，你除了大人看这些，然后小孩还有一些那个比如那种儿儿童作品或者电视电视那种儿童节目改编的电影。, Start Time: 3234140
Text: 嗯，就呃但是中间比较，比如说呃中间中间这段，比如就十几岁到二十二十岁，这个这这这个针针对针对他们看的片子就就没有。嗯，所以这个这个这一块后来可能有那个后来后来发展出那个偶像电影，嗯，嗯，还有一些那种荧光之道，还有一些就是动画漫画改编的作品，嗯，就是来来田姆这块，, Start Time: 3257330
Text: 但是还是就是也是很很很很固定的几种模式嘛。嗯，然后所以就是导致电影的一直日本，日本电影本身就是走出一个比较僵化的一个一一一一一个路子。嗯，再加上当时后来有那个录像带。嗯，对对对对，那个电影行业的一个一个一个冲击。嗯，就是大家我不用去电影院看，我只要电影出来，, Start Time: 3279550
Text: 我在家等个两三天，我就可以买袋子租袋子。哦，对对对对对，你的那个那个影院的收支还是一个大大还便宜。对对，还便宜还是一个很大的影响。所以这块儿可以影射到当时的日本的游戏，嗯，就是只有那些大作嗯，大作的续作在在在在在在盈利。嗯，可以可以可以保证销量。然后一些小公司呃，, Start Time: 3301530
Text: 一些公司司的新座，嗯，就是完全是无人问津也好，反正销量很惨。嗯，然后小公司嗯就完全没没有没有能力承担那个就是制作费嘛，嗯所以他的东西也很难问世。嗯，对，然后还有一些其他其他平台，比如网游嗯手游对那个日本游戏的这些冲击，零五年左右是吧？对，当时也没有那个独立游戏的概念嘛，, Start Time: 3325780
Text: 嗯对吧？啊，所以也也也也有一些很很多很多人在抱怨说现在日本游戏完蛋了嗯，怎么着的？但是明月就是觉得你与其抱怨的话，你不如去想一些呃如何来开拓或者摆脱现在这这这这这改变一下现状。对对，他当时举例子就是比如就比如说电影电影业吧，嗯就可以多启。后来就是多启用一些年轻的班子，, Start Time: 3351220
Text: 导演也好，编剧也好，然后多去。因为因为之前电影好像好像拍电影人有一种他就是那种傲气嘛，就是我们电影有一定要按照我们拍电影的步骤，拍电影的步骤来。然后我们的我们的那个剧本一定要选那种好的文学作品。嗯，我们一定要有深度。嗯，这种就等于是完全是把其他媒体一一些比较轻的媒体，, Start Time: 3375650
Text: 或者一些那个比较大众的一些东西，就是直接就给筛开了。对对对，就是我们要做一些也也有点有点闭门倒车，闭门倒车的意思吧？就是要要做一些懂可以给那个懂电影的人嗯配给他们看的。嗯，所以游戏到后来就是电影，电影到后来就是他会懂得一些吸取其他媒体的一些嗯一些东西。然后就是就浮沉名卷，, Start Time: 3398620
Text: 浮沉名卷比较广，题材也好，你的那用户群也好，嗯，就是选择可可可选的范围更大。嗯，然后他他认为游戏这块儿也是应该是从跟跟电影这块儿多学习一点制作的手法呀。对对对对对，多多扩扩充一下那个用户的那个种类嗯，和你的那个本身游游游戏的题材内容。嗯嗯，咱这个上一期已经聊了差不多一个钟头了。, Start Time: 3420870
Text: 然后呃咱们大概梳理了一下这个明月人洋，从小时候一直到他参加工作，从大学再到如何进入游戏行业，我们先歇息一会儿，然后在下一期当中我们再跟大家聊一聊明月忍洋之后再开发卢龙的时候发生的一些嘉族 pro 本着高端专业有态度，但没有节操、大气美观、国际化，但没有水平的严谨风格，, Start Time: 3446920
Text: 为你带来游戏圈内各种大哥的严逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com，或者在新浪微博关注机核网。你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，, Start Time: 3474460
Text: 一一二八幺六八零八，为我们提供更多更好的话题和建议。, Start Time: 3514275
